Date,Open,High,Low,Close,Volume
2026-05-26,943.95,948.4,928.1,930.2,8489543
2026-05-27,932.0,935.95,923.0,931.15,5349669
2026-05-28,931.15,931.15,931.15,931.15,0
2026-05-29,915.1,937.8,895.3,908.25,46752428
2026-06-01,911.45,918.0,888.0,889.05,6887616
2026-06-02,874.0,884.4,860.45,882.0,15697997
2026-06-03,882.0,882.0,863.5,876.8,14747769
2026-06-04,870.2,879.15,868.0,874.4,9676279
2026-06-05,874.0,913.0,874.0,889.4,13274646
2026-06-08,873.0,879.4,866.5,871.1,6203084
2026-06-09,886.0,888.75,872.1,886.9,9183355
2026-06-10,890.1,894.7,880.1,884.1,6939714
2026-06-11,880.0,886.95,868.5,870.55,5191085
2026-06-12,881.2,921.0,881.1,918.3,11729668
2026-06-15,942.0,959.0,939.0,942.3,11989428
2026-06-16,946.0,963.9,946.0,959.65,9335988
2026-06-17,955.1,961.8,951.55,958.4,5682977
2026-06-18,958.35,960.95,948.0,958.85,5750456
2026-06-19,954.05,971.7,953.25,961.8,12941776
2026-06-22,966.05,972.95,961.55,968.3,5680845
2026-06-23,968.3,977.7,960.5,962.4,8202516
2026-06-24,952.4,993.9,952.4,990.95,9873777
2026-06-25,996.2,1005.6,978.9,980.4,12807092
