Date,Open,High,Low,Close,Volume
2026-05-11,771.95,774.85,761.9,763.65,41123422
2026-05-12,756.6,759.7,747.8,750.45,43937132
2026-05-13,752.0,759.95,747.35,749.6,28960919
2026-05-14,751.0,778.3,747.0,769.55,50992358
2026-05-15,773.0,781.9,765.4,767.5,24347873
2026-05-18,759.0,774.1,751.35,768.65,29812079
2026-05-19,766.7,770.8,760.25,762.45,40307830
2026-05-20,759.6,762.25,755.15,759.5,24013451
2026-05-21,767.0,768.25,755.15,759.15,34664725
2026-05-22,759.15,775.0,759.15,766.8,25604071
2026-05-25,776.0,787.85,775.2,786.85,26043952
2026-05-26,784.05,790.85,776.75,778.9,31528062
2026-05-27,769.5,773.9,756.9,758.65,63680153
2026-05-28,758.65,758.65,758.65,758.65,0
2026-05-29,746.05,760.5,737.75,744.55,101299431
2026-06-01,749.0,752.35,739.2,742.7,47996441
2026-06-02,737.0,753.6,733.15,748.25,47314447
2026-06-03,744.45,756.9,742.6,753.65,36109480
2026-06-04,749.15,757.3,745.0,754.2,42673538
2026-06-05,753.95,758.7,744.65,747.05,22116568
2026-06-08,738.0,741.5,734.5,738.65,21550700
2026-06-09,739.45,743.95,732.3,738.35,38539563
2026-06-10,736.5,755.95,736.4,746.85,44458159
2026-06-11,743.0,756.0,740.1,744.6,32630304
