Date,Open,High,Low,Close,Volume
2026-05-11,1151.09,1161.86,1147.27,1152.07,7336288
2026-05-12,1137.39,1137.39,1099.21,1116.15,16891948
2026-05-13,1112.53,1118.4,1097.26,1099.31,6664111
2026-05-14,1096.08,1098.14,1065.93,1071.81,16914842
2026-05-15,1078.66,1109.2,1078.27,1095.3,17482450
2026-05-18,1095.3,1121.82,1094.32,1118.3,12096377
2026-05-19,1137.39,1173.02,1137.39,1171.55,32175705
2026-05-20,1161.86,1181.34,1159.8,1168.42,15121010
2026-05-21,1170.77,1176.34,1152.07,1156.18,10021033
2026-05-22,1157.45,1166.56,1147.67,1149.62,8803066
2026-05-25,1157.94,1159.9,1141.4,1143.75,5856136
2026-05-26,1141.6,1155.69,1138.27,1142.97,8005767
2026-05-27,1136.41,1142.58,1130.54,1135.33,6371871
2026-05-28,1135.33,1135.33,1135.33,1135.33,0
2026-05-29,1156.96,1184.37,1129.17,1136.31,69085430
2026-06-01,1150.11,1191.22,1148.84,1177.03,19439331
2026-06-02,1206.39,1251.81,1206.39,1243.88,36032600
2026-06-03,1215.79,1223.43,1190.24,1196.7,18534303
2026-06-04,1182.41,1189.46,1170.86,1175.86,12755957
2026-06-05,1194.16,1197.88,1169.0,1172.14,8692290
2026-06-08,1152.56,1175.27,1151.58,1162.45,8631711
2026-06-09,1168.32,1168.32,1142.58,1155.3,10984054
2026-06-10,1160.1,1171.4,1143.3,1145.3,8887626
2026-06-11,1129.7,1133.7,1109.0,1114.6,9370050
