Date,Open,High,Low,Close,Volume
2026-05-11,1413.46,1421.43,1375.64,1381.81,15261787
2026-05-12,1385.59,1387.09,1354.04,1357.72,24357500
2026-05-13,1355.13,1366.08,1346.18,1352.55,13797989
2026-05-14,1358.92,1371.66,1352.15,1355.53,17303059
2026-05-15,1350.56,1358.52,1323.08,1330.25,19976192
2026-05-18,1327.86,1335.82,1312.63,1329.75,13022473
2026-05-19,1332.54,1337.81,1312.33,1316.61,21665501
2026-05-20,1312.63,1356.63,1306.56,1353.44,13248515
2026-05-21,1360.91,1364.59,1339.01,1343.39,17150630
2026-05-22,1343.79,1361.11,1342.89,1348.27,7105813
2026-05-25,1360.51,1364.79,1350.75,1360.71,6750071
2026-05-26,1353.84,1362.2,1346.18,1350.06,13769747
2026-05-27,1346.77,1354.74,1342.39,1344.28,13215138
2026-05-28,1344.28,1344.28,1344.28,1344.28,0
2026-05-29,1357.72,1362.7,1310.94,1315.12,42634247
2026-06-01,1326.37,1329.35,1312.43,1313.92,10700603
2026-06-02,1301.68,1321.69,1294.32,1308.55,23302785
2026-06-03,1308.95,1317.91,1295.01,1307.16,20012293
2026-06-04,1295.01,1305.17,1287.15,1297.7,23474327
2026-06-05,1304.5,1306.0,1288.0,1291.0,17785223
2026-06-08,1277.0,1282.6,1259.2,1263.3,16494759
2026-06-09,1269.0,1274.2,1257.5,1269.2,23620214
2026-06-10,1275.0,1300.5,1254.4,1258.8,21012796
2026-06-11,1258.0,1276.0,1253.2,1263.0,13116909
