Date,Open,High,Low,Close,Volume
2026-05-11,1827.2,1885.8,1825.0,1872.7,2564978
2026-05-12,1875.0,1879.4,1840.0,1845.7,3263351
2026-05-13,1845.7,1860.0,1820.0,1824.8,1972365
2026-05-14,1852.0,1867.5,1829.7,1863.2,2429220
2026-05-15,1874.0,1887.9,1863.2,1878.2,2756465
2026-05-18,1878.2,1911.0,1865.0,1905.8,3456331
2026-05-19,1900.5,1916.6,1880.0,1882.3,2200951
2026-05-20,1880.0,1892.9,1872.0,1880.3,1376695
2026-05-21,1892.0,1899.6,1868.1,1891.3,1605806
2026-05-22,1903.0,1903.0,1833.1,1844.6,3610732
2026-05-25,1840.0,1849.0,1825.0,1840.6,3049028
2026-05-26,1830.0,1844.9,1815.9,1840.8,2337759
2026-05-27,1865.0,1882.0,1830.0,1844.3,1385752
2026-05-28,1844.3,1844.3,1844.3,1844.3,0
2026-05-29,1844.3,1852.8,1785.3,1799.2,10058572
2026-06-01,1812.0,1812.1,1777.1,1796.5,2051152
2026-06-02,1794.2,1800.0,1766.5,1789.9,2885899
2026-06-03,1781.0,1796.3,1756.8,1788.5,4209769
2026-06-04,1787.0,1793.4,1768.6,1780.1,2343536
2026-06-05,1789.0,1802.9,1779.0,1782.2,2495159
2026-06-08,1780.7,1803.5,1773.5,1788.8,3098542
2026-06-09,1787.7,1796.6,1766.1,1779.0,3756570
2026-06-10,1779.6,1797.6,1771.0,1786.4,1882009
2026-06-11,1780.0,1805.0,1778.7,1794.2,1858019
