Date,Open,High,Low,Close,Volume
2026-05-11,2339.28,2382.69,2339.28,2360.89,1975188
2026-05-12,2343.23,2343.23,2252.46,2269.53,6347884
2026-05-13,2275.15,2278.31,2238.65,2242.4,3171843
2026-05-14,2234.7,2234.7,2176.88,2215.95,5633313
2026-05-15,2221.87,2274.07,2221.87,2233.71,3410637
2026-05-18,2233.71,2262.23,2222.07,2252.66,3773336
2026-05-19,2269.23,2345.79,2266.37,2295.97,10394707
2026-05-20,2292.81,2310.67,2286.79,2296.26,2537422
2026-05-21,2299.82,2304.65,2283.04,2296.07,3299087
2026-05-22,2299.92,2308.7,2277.22,2286.3,2617262
2026-05-25,2325.0,2326.1,2293.0,2308.2,3298364
2026-05-26,2308.2,2327.9,2272.4,2276.2,3587597
2026-05-27,2275.0,2295.6,2260.9,2284.2,2653950
2026-05-28,2284.2,2284.2,2284.2,2284.2,0
2026-05-29,2291.0,2334.0,2235.0,2258.9,16331582
2026-06-01,2284.0,2335.0,2280.0,2297.4,7505095
2026-06-02,2320.0,2457.4,2316.2,2446.9,11306127
2026-06-03,2393.0,2393.0,2224.8,2241.7,15660062
2026-06-04,2241.7,2253.1,2216.6,2241.0,4867263
2026-06-05,2262.9,2271.8,2192.0,2198.9,5019717
2026-06-08,2170.0,2177.0,2143.3,2151.4,6536734
2026-06-09,2174.0,2174.0,2132.8,2151.0,4148655
2026-06-10,2151.3,2180.8,2144.8,2153.9,2848650
2026-06-11,2127.0,2154.6,2110.0,2135.6,3079260
