Date,Open,High,Low,Close,Volume
2026-05-26,206.99,208.69,202.94,203.73,46458415
2026-05-27,203.85,205.99,200.2,201.58,39465643
2026-05-28,201.58,201.58,201.58,201.58,0
2026-05-29,211.0,211.0,203.65,204.25,82734524
2026-06-01,205.1,207.75,205.1,206.41,26491139
2026-06-02,208.0,210.18,206.51,209.84,42476874
2026-06-03,208.0,208.4,202.0,204.1,62282204
2026-06-04,203.0,205.09,202.1,204.32,40659957
2026-06-05,191.52,199.0,188.15,198.37,43539069
2026-06-08,193.39,193.89,181.0,181.76,75164049
2026-06-09,183.97,184.35,180.6,181.67,28381665
2026-06-10,182.1,182.29,178.5,178.93,16935979
2026-06-11,176.97,178.2,175.83,177.37,14468882
2026-06-12,178.65,180.45,177.57,180.14,13850153
2026-06-15,183.0,183.0,180.91,181.38,13870660
2026-06-16,182.39,183.38,181.63,182.67,11706020
2026-06-17,184.0,185.25,183.58,184.47,16131548
2026-06-18,184.47,184.76,181.71,182.84,18165845
2026-06-19,176.76,181.48,174.89,180.8,37469436
2026-06-22,180.84,182.4,180.0,180.18,10368112
2026-06-23,179.5,179.5,174.0,174.49,23954730
2026-06-24,171.5,175.49,171.49,174.48,56627728
2026-06-25,176.0,176.39,172.69,175.0,21544904
