Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
ADANIENT,2025-12-19,2247.99,2248.99,2209.01,2238.0,880005,880005.0,1.0,,0.0,,,,,,0,,0,-0.2383,0,,0,-0.1818,0,0,0.283,0,124,0.0,0.0,0.0,0.0,0
ADANIENT,2025-12-22,2258.99,2272.98,2244.9,2262.49,599195,739600.0,0.8102,0.010943,0.007933,0.00301,0.00301,,,,0,,0,-0.4242,0,-0.4534,0,-0.1818,0,0,0.2755,0,114,0.0,0.0,0.0,0.0,0
ADANIENT,2025-12-23,2271.48,2272.58,2244.0,2247.79,450112,643104.0,0.6999,-0.006497,0.000181,-0.006678,-0.003668,0.012332,0.012332,1.0,0,-0.7071,0,-0.5322,0,-0.5542,0,-0.1818,0,0,0.2548,0,91,0.0,0.0,0.0,0.0,0
ADANIENT,2025-12-24,2248.99,2257.79,2216.41,2221.71,825693,688751.25,1.1988,-0.011603,-0.001339,-0.010264,-0.013932,0.011822,0.011822,1.0,0,-0.7797,0,-0.0436,0,-0.709,0,-0.1818,0,0,0.267,0,104,0.0,0.0,0.0,0.0,0
ADANIENT,2025-12-26,2228.3,2249.89,2217.01,2228.9,566237,664248.4,0.8524,0.003236,-0.003818,0.007054,-0.006878,0.010053,0.010053,1.0,0,0.4194,0,-0.3829,0,-0.6026,0,-0.1818,0,0,0.2768,0,116,0.0,0.0,0.0,0.0,0
ADANIENT,2025-12-29,2231.0,2237.2,2195.02,2202.22,690691,668655.5,1.033,-0.01197,-0.003848,-0.008122,-0.015,0.009998,0.009998,1.0,0,-0.8794,0,-0.206,0,-0.7251,0,-0.1818,0,0,0.2677,0,105,0.0,0.0,0.0,0.0,0
ADANIENT,2025-12-30,2203.81,2218.01,2194.02,2213.71,935026,706708.4285714285,1.3231,0.005217,-0.000125,0.005342,-0.009658,0.008129,0.009577,0.8488,0,0.7305,0,0.0781,0,-0.6445,0,-0.1818,0,0,0.2524,0,88,0.0,0.0,0.0,0.0,0
ADANIENT,2025-12-31,2215.31,2245.4,2215.31,2238.7,779141,715762.5,1.0885,0.011289,0.007354,0.003935,-0.005723,0.010489,0.010041,1.0446,0,1.1155,0,-0.1517,0,-0.5852,0,-0.1818,0,0,0.2334,0,56,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-01,2247.99,2286.38,2240.0,2258.99,1046220,752480.0,1.3904,0.009063,0.000649,0.008414,0.002691,0.009136,0.009823,0.9301,0,0.7995,0,0.144,0,-0.4582,0,-0.1818,0,0,0.2492,0,82,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-02,2258.99,2282.68,2257.99,2278.78,715242,748756.2,0.9552,0.008761,0.006961,0.0018,0.004491,0.009445,0.009527,0.9914,0,0.7045,0,-0.2822,0,-0.4311,0,-0.1818,0,0,0.2607,0,97,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-05,2285.98,2302.87,2273.28,2278.48,696380,743994.7272727273,0.936,-0.000132,-0.002972,0.00284,0.007331,0.004463,0.009009,0.4954,0,-0.2179,0,-0.301,0,-0.3882,0,-0.1818,0,0,0.2781,0,118,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-06,2287.88,2289.38,2247.1,2258.09,698294,740186.3333333334,0.9434,-0.008949,-0.002728,-0.006221,-0.0019,0.008458,0.009143,0.9251,0,-1.0718,0,-0.2938,0,-0.5275,0,-0.1818,0,0,0.2521,0,87,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-07,2263.99,2282.98,2242.0,2273.08,529451,723975.9230769231,0.7313,0.006638,-0.00145,0.008088,0.012866,0.007677,0.008877,0.8648,0,0.5976,0,-0.5015,0,-0.3047,0,-0.1818,0,0,0.2435,0,69,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-08,2273.98,2274.88,2204.01,2213.01,792800,728891.9285714285,1.0877,-0.026427,-0.010095,-0.016332,0.006798,0.014304,0.011468,1.2473,0,-2.2345,0,-0.1524,0,-0.3963,0,-0.1818,0,0,0.1464,0,14,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-09,2213.11,2215.01,2144.04,2152.74,1570376,784990.8666666667,2.0005,-0.027234,-0.00748,-0.019754,-0.02001,0.015287,0.013088,1.168,0,-1.8753,0,0.7415,0,-0.8007,0,-0.1818,0,0,0.1475,0,15,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-12,2155.64,2179.03,2118.05,2170.63,1257197,814503.75,1.5435,0.00831,0.004164,0.004146,-0.007742,0.017168,0.012928,1.328,0,0.7942,0,0.294,0,-0.6156,0,-0.1818,0,0,0.2377,0,64,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-13,2186.82,2186.82,2140.14,2157.54,791556,813153.8823529412,0.9734,-0.006031,-0.002247,-0.003784,-0.016868,0.017242,0.012531,1.3759,0,-0.3048,0,-0.2644,0,-0.7533,0,-0.1818,0,0,0.282,0,122,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-14,2155.04,2168.03,2141.04,2152.34,618139,802319.7222222222,0.7704,-0.00241,-0.002592,0.000182,-0.020621,0.015593,0.012133,1.2852,0,-0.0154,0,-0.4632,0,-0.8099,0,-0.1818,0,0,0.2737,0,111,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-15,2152.34,2152.34,2152.34,2152.34,0,760092.3684210526,0.0,0.0,0.0,0.0,-0.029035,0.013259,0.011782,1.1254,0,0.1782,0,-1.2177,0,-0.9369,0,-0.1818,0,0,0.1702,0,24,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-16,2161.83,2192.92,2151.14,2156.34,758469,760011.2,0.998,0.001858,0.00112,0.000738,-0.030097,0.005341,0.011486,0.465,0,0.3264,0,-0.2403,0,-0.9529,0,-0.1818,0,0,0.2703,0,107,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-19,2154.04,2155.84,2122.05,2133.65,749495,759510.4285714285,0.9868,-0.010522,-0.004236,-0.006286,-0.039223,0.004945,0.011345,0.4359,0,-0.7227,0,-0.2513,0,-1.0905,0,-0.1818,0,0,0.2555,0,92,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-20,2133.05,2138.94,2039.09,2054.18,1160975,777758.8181818182,1.4927,-0.037246,-0.013797,-0.023449,-0.056451,0.016127,0.01343,1.2008,0,-2.4766,0,0.2442,0,-1.3505,0,-0.1818,0,0,0.107,0,12,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-21,2055.58,2067.28,2003.2,2031.29,1354644,802840.7826086957,1.6873,-0.011143,-0.002972,-0.008171,-0.07271,0.015609,0.013195,1.1829,0,-0.5178,0,0.4348,0,-1.5957,0,-0.1818,0,0,0.1662,0,21,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-22,2054.98,2101.96,2050.08,2085.47,942721,808669.125,1.1658,0.026673,0.005263,0.02141,-0.034968,0.023197,0.01442,1.6087,0,2.0553,0,-0.076,0,-1.0264,0,-0.1818,0,0,0.1561,0,16,0.0,0.0,0.0,0.0,0
ADANIENT,2026-01-23,2079.57,2081.57,1847.17,1863.37,7492631,1076027.6,6.9632,-0.106499,-0.009539,-0.09696,-0.112174,0.049563,0.025407,1.9508,0,-3.9052,1,5.6019,1,-2.1911,0,-0.1818,0,1,-0.134,1,1,0.8926,0.2011,1.0,77.34,1
ADANIENT,2026-01-27,1908.15,1973.02,1892.15,1958.62,5449633,1244243.1923076925,4.3799,0.051117,0.00506,0.046057,-0.070263,0.061215,0.027478,2.2278,1,2.0402,0,3.0719,1,-1.5588,0,5.4551,1,1,-0.116,1,2,0.376,0.0,1.0,59.4,0
ADANIENT,2026-01-28,1984.11,2003.1,1951.13,1993.81,2073198,1274945.2222222222,1.6261,0.017967,0.006647,0.01132,-0.055159,0.061273,0.027295,2.2448,1,0.807,0,0.3749,0,-1.331,0,5.4551,1,1,-0.0227,1,4,0.0,0.0,1.0,50.0,0
ADANIENT,2026-01-29,1998.91,2028.19,1971.12,2018.3,1391239,1279098.5714285714,1.0877,0.012283,0.003005,0.009278,-0.046063,0.061522,0.026949,2.2829,1,0.584,0,-0.1524,0,-1.1937,0,5.4551,1,1,0.0067,0,8,0.0,0.0,0.9,18.0,0
ADANIENT,2026-01-30,2004.1,2037.89,1991.31,2019.5,1230915,1277437.0689655172,0.9636,0.000595,-0.003865,0.00446,-0.041603,0.059809,0.026456,2.2607,1,0.1476,0,-0.274,0,-1.1265,0,5.4551,1,1,-0.0012,1,7,0.0,0.0,1.0,50.0,0
ADANIENT,2026-02-02,1955.73,2001.31,1933.14,1994.51,1229270,1275831.5,0.9635,-0.012374,-0.009172,-0.003202,-0.045543,0.023831,0.026034,0.9154,0,-0.3361,0,-0.2741,0,-1.1859,0,-0.1818,0,0,0.2537,0,90,0.0,0.0,0.9,18.0,0
ADANIENT,2026-02-03,2149.04,2232.4,2130.15,2201.62,6918581,1457855.677419355,4.7457,0.10384,0.025476,0.078364,0.039107,0.045875,0.032239,1.423,0,3.2222,1,3.4301,1,0.0911,0,-0.1818,0,1,-0.0261,1,3,0.4491,0.0,1.0,61.23,0
ADANIENT,2026-02-04,2219.01,2245.0,2188.22,2227.2,2051918,1476420.125,1.3898,0.011619,0.001883,0.009736,0.072292,0.046186,0.031766,1.4539,0,0.3552,0,0.1434,0,0.5918,0,-0.1818,0,0,0.2431,0,68,0.0,0.0,0.9,18.0,0
ADANIENT,2026-02-05,2231.0,2242.7,2209.01,2235.6,992382,1461752.303030303,0.6789,0.003772,-0.005168,0.00894,0.089403,0.046841,0.031256,1.4986,0,0.1065,0,-0.5528,0,0.8499,0,-0.1818,0,0,0.2482,0,79,0.0,0.0588,1.0,21.47,0
ADANIENT,2026-02-06,2225.11,2237.0,2199.42,2225.4,933650,1446219.8823529412,0.6456,-0.004563,0.001985,-0.006548,0.061445,0.047469,0.030776,1.5424,0,-0.1577,0,-0.5854,0,0.4281,0,-0.1818,0,0,0.2425,0,66,0.0,0.0,0.9,18.0,0
ADANIENT,2026-02-09,2248.99,2286.98,2239.0,2249.09,1650899,1452067.857142857,1.1369,0.010645,0.006757,0.003888,0.162293,0.044512,0.030358,1.4662,0,0.3311,0,-0.1043,0,1.9495,0,-0.1818,0,0,0.1728,0,26,0.0,0.5143,1.0,32.86,0
ADANIENT,2026-02-10,2257.99,2267.29,2170.03,2227.4,1670672,1458140.1944444445,1.1458,-0.009644,0.002623,-0.012267,0.103969,0.009333,0.029958,0.3115,0,-0.332,0,-0.0955,0,1.0697,0,-0.1818,0,0,0.2525,0,89,0.0,0.1498,1.0,23.74,0
