Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
AVANTEL,2024-07-31,210.38,210.88,203.49,203.85,517685,517685.0,1.0,,0.003776,,,,,,0,,0,-0.1912,0,,0,-0.1679,0,0,0.2339,0,408,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-01,206.17,207.19,195.15,198.41,563044,540364.5,1.042,-0.026686,0.002395,-0.029081,-0.029081,,,,0,,0,-0.1669,0,-0.3467,0,-0.1679,0,0,0.2342,0,414,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-02,194.52,199.39,192.52,197.51,416358,499029.0,0.8343,-0.004536,-0.011723,0.007187,-0.021894,0.015662,0.015662,1.0,0,0.7071,0,-0.2867,0,-0.2673,0,-0.1679,0,0,0.2335,0,401,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-05,181.56,191.03,181.56,185.15,1489699,746696.5,1.9951,-0.062579,-0.026786,-0.035793,-0.057687,0.029291,0.029291,1.0,0,-1.069,0,0.3828,0,-0.6631,0,-0.1679,0,0,0.1646,0,113,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-06,186.52,194.52,179.65,183.36,646183,726593.8,0.8893,-0.009668,-0.002621,-0.007047,-0.064734,0.026242,0.026242,1.0,0,0.6173,0,-0.255,0,-0.741,0,-0.1679,0,0,0.227,0,358,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-07,188.53,193.02,184.54,191.1,562517,699247.6666666666,0.8045,0.042212,0.01271,0.029502,-0.035232,0.037992,0.037992,1.0,0,1.4335,0,-0.3039,0,-0.4148,0,-0.1679,0,0,0.1879,0,173,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-08,191.1,191.86,187.68,188.59,357226,650387.4285714285,0.5493,-0.013134,-0.007429,-0.005705,-0.040937,0.03718,0.033983,1.0941,0,-0.0216,0,-0.4511,0,-0.4778,0,-0.1679,0,0,0.2406,0,449,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-09,191.3,191.3,184.44,186.14,521211,634240.375,0.8218,-0.012991,0.010387,-0.023378,-0.064315,0.037088,0.031023,1.1955,0,-0.0164,0,-0.2939,0,-0.7363,0,-0.1679,0,0,0.2392,0,442,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-12,183.06,196.11,179.73,191.73,1060631,681617.1111111111,1.5561,0.030031,-0.000841,0.030872,-0.033443,0.026705,0.032417,0.8238,0,1.1475,0,0.1296,0,-0.395,0,-0.1679,0,0,0.1913,0,184,0.0,0.0,0.0,0.0,0
AVANTEL,2024-08-13,193.92,193.92,182.55,183.86,655173,678972.7,0.9649,-0.041047,-0.008543,-0.032504,-0.065947,0.034295,0.032358,1.0599,0,-0.9306,0,-0.2114,0,-0.7544,0,-0.1679,0,0,0.2114,0,263,0.0,0.0,0.0,0.0,0
