Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
BALAMINES,2016-06-27,233.6,241.16,232.98,236.72,21805,21805.0,1.0,,0.0,,,,,,0,,0,-0.058,0,,0,-0.2178,0,0,0.2636,0,2014,0.0,0.0,0.0,0.0,0
BALAMINES,2016-06-28,237.33,243.1,237.33,240.98,36452,29128.5,1.2514,0.017996,0.004095,0.013901,0.013901,,,,0,,0,0.0269,0,0.0602,0,-0.2178,0,0,0.2491,0,1496,0.0,0.0,0.0,0.0,0
BALAMINES,2016-06-29,241.16,252.13,241.16,249.44,68821,42359.333333333336,1.6247,0.035107,0.009369,0.025738,0.039639,0.012099,0.012099,1.0,0,0.7071,0,0.1529,0,0.3461,0,-0.2178,0,0,0.2163,0,880,0.0,0.0,0.0,0.0,0
BALAMINES,2016-06-30,250.67,267.17,250.43,262.63,139393,66617.75,2.0924,0.052878,0.010208,0.04267,0.082309,0.017442,0.017442,1.0,0,1.0062,0,0.3108,0,0.82,0,-0.2178,0,0,0.1728,0,517,0.0,0.0144,1.0,20.36,0
BALAMINES,2016-07-01,262.92,272.37,250.62,253.98,440648,141423.8,3.1158,-0.032936,0.004899,-0.037835,0.044474,0.036983,0.036983,1.0,0,-1.3843,0,0.6563,0,0.3998,0,-0.2178,0,0,0.1022,0,282,0.1232,0.0,0.9,21.08,0
BALAMINES,2016-07-04,253.51,261.45,253.51,257.38,76316,130572.5,0.5845,0.013387,0.005085,0.008302,0.052776,0.032103,0.032103,1.0,0,-0.1215,0,-0.1983,0,0.492,0,-0.2178,0,0,0.2579,0,1787,0.0,0.0,0.8,16.0,0
BALAMINES,2016-07-05,259.75,261.59,255.35,259.37,42250,117955.0,0.3582,0.007732,-0.004151,0.011883,0.064659,0.032373,0.028977,1.1172,0,-0.2748,0,-0.2747,0,0.6239,0,-0.2178,0,0,0.2595,0,1848,0.0,0.0,0.7,14.0,0
BALAMINES,2016-07-07,256.39,261.02,255.35,258.28,32046,107216.375,0.2989,-0.004202,0.000234,-0.004436,0.060223,0.031088,0.027501,1.1304,0,-0.6201,0,-0.2947,0,0.5747,0,-0.2178,0,0,0.2445,0,1391,0.0,0.0,0.6,12.0,0
BALAMINES,2016-07-08,259.94,261.02,255.4,259.51,40362,99788.11111111112,0.4045,0.004762,-0.001763,0.006525,0.066748,0.018295,0.025621,0.7141,0,-0.2763,0,-0.259,0,0.6471,0,-0.2178,0,0,0.2598,0,1868,0.0,0.0,0.5,10.0,0
BALAMINES,2016-07-11,262.21,265.75,255.82,262.73,45210,94330.3,0.4793,0.012408,0.017385,-0.004977,0.061771,0.007087,0.023967,0.2957,0,0.021,0,-0.2338,0,0.5919,0,-0.2178,0,0,0.2588,0,1823,0.0,0.0,0.4,8.0,0
