Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
FIVESTAR,2022-11-21,467.18,541.72,446.65,488.31,13932702,13932702.0,1.0,,-0.008068,,,,,,0,,0,-0.0594,0,,0,-0.1309,0,0,0.194,0,796,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-11-22,492.29,505.0,473.86,490.3,1117795,7525248.5,0.1485,0.004075,0.004639,-0.000564,-0.000564,,,,0,,0,-0.3586,0,-0.003,0,-0.1309,0,0,0.1889,0,722,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-11-23,491.3,497.68,479.44,488.86,554688,5201728.333333333,0.1066,-0.002937,0.001263,-0.0042,-0.004764,0.004958,0.004958,1.0,0,-0.7071,0,-0.3733,0,-0.0533,0,-0.1309,0,0,0.1741,0,488,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-11-24,482.38,496.23,482.38,488.31,192573,3949439.5,0.0488,-0.001125,0.011871,-0.012996,-0.01776,0.00364,0.00364,1.0,0,-0.3103,0,-0.3936,0,-0.209,0,-0.1309,0,0,0.1775,0,531,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-11-25,489.3,521.79,488.61,510.78,372240,3233999.6,0.1151,0.046016,0.00155,0.044466,0.026706,0.023197,0.023197,1.0,0,1.4876,0,-0.3703,0,0.3236,0,-0.1309,0,0,0.1206,0,199,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-11-28,512.22,516.86,493.39,497.72,152475,2720412.1666666665,0.056,-0.025569,0.002701,-0.02827,-0.001564,0.026048,0.026048,1.0,0,-1.1387,0,-0.3911,0,-0.015,0,-0.1309,0,0,0.1505,0,322,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-11-29,508.24,511.18,492.29,498.47,557957,2411490.0,0.2314,0.001507,0.002979,-0.001472,-0.003036,0.026074,0.023322,1.118,0,-0.0924,0,-0.3294,0,-0.0326,0,-0.1309,0,0,0.1977,0,843,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-11-30,498.27,534.75,497.23,509.38,386424,2158356.75,0.179,0.021887,0.007536,0.014351,0.011315,0.026874,0.022377,1.201,0,0.6981,0,-0.3478,0,0.1392,0,-0.1309,0,0,0.1693,0,440,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-12-01,511.43,529.86,506.99,516.96,302352,1952134.0,0.1549,0.014881,0.002887,0.011994,0.023309,0.026383,0.02094,1.2599,0,0.36,0,-0.3563,0,0.2829,0,-0.1309,0,0,0.1765,0,517,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-12-02,517.91,526.87,511.48,516.21,239327,1780853.3,0.1344,-0.001451,-0.006187,0.004736,0.028045,0.018257,0.019805,0.9218,0,-0.3946,0,-0.3635,0,0.3396,0,-0.1309,0,0,0.1735,0,481,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-12-05,515.21,524.03,509.43,518.7,181204,1635430.6363636365,0.1108,0.004824,0.000265,0.004559,0.032604,0.009762,0.018679,0.5226,0,-0.0742,0,-0.3718,0,0.3942,0,-0.1309,0,0,0.18,0,567,0.0,0.0,0.0,0.0,0
FIVESTAR,2022-12-06,515.36,622.44,513.42,622.44,2132436,1676847.75,1.2717,0.2,-0.003117,0.203117,0.236285,0.085429,0.061058,1.3991,0,2.8853,1,0.0361,0,2.8336,1,-0.1309,0,1,-0.0503,1,28,0.0,0.9768,1.0,74.42,1
FIVESTAR,2022-12-07,665.69,685.32,585.32,615.77,3357129,1806100.1538461533,1.8588,-0.010716,-0.004412,-0.006304,0.234181,0.089089,0.059064,1.5083,0,-0.5361,0,0.2423,0,2.8084,1,-0.1309,0,1,0.032,0,72,0.0,0.9636,1.0,44.09,0
FIVESTAR,2022-12-08,619.85,627.77,581.04,588.16,1157910,1759800.857142857,0.658,-0.044838,0.002632,-0.04747,0.199707,0.097186,0.05942,1.6356,0,-1.022,0,-0.1796,0,2.3955,0,-0.1309,0,0,0.0613,0,99,0.0,0.7482,1.0,38.7,0
FIVESTAR,2022-12-09,584.08,589.91,558.12,563.05,525960,1677544.8,0.3135,-0.042692,-0.006059,-0.036633,0.118608,0.102102,0.059197,1.7248,0,-0.9189,0,-0.3006,0,1.4242,0,-0.1309,0,0,0.1232,0,209,0.0,0.2413,1.0,26.03,0
FIVESTAR,2022-12-12,565.79,581.93,559.11,565.54,236792,1587497.75,0.1492,0.004422,3e-05,0.004392,0.15127,0.102119,0.057075,1.7892,0,-0.1191,0,-0.3583,0,1.8154,0,-0.1309,0,0,0.115,0,182,0.0,0.4454,1.0,31.14,0
FIVESTAR,2022-12-13,575.65,601.61,562.05,581.34,595677,1529155.3529411764,0.3895,0.027938,0.005993,0.021945,0.174687,0.031144,0.055298,0.5632,0,0.2835,0,-0.2739,0,2.0959,0,-0.1309,0,0,0.1122,0,176,0.0,0.5918,1.0,34.8,0
FIVESTAR,2022-12-14,582.98,605.85,580.94,598.28,386062,1465650.1666666667,0.2634,0.02914,0.002811,0.026329,0.186665,0.036561,0.053698,0.6809,0,0.2958,0,-0.3182,0,2.2393,0,-0.1309,0,0,0.0926,0,150,0.0,0.6667,1.0,36.67,0
FIVESTAR,2022-12-15,596.53,615.12,575.01,582.73,214083,1399778.2105263155,0.1529,-0.025991,-0.013151,-0.01284,0.161831,0.03216,0.05291,0.6078,0,-0.7006,0,-0.357,0,1.9419,0,-0.1309,0,0,0.0932,0,152,0.0,0.5114,1.0,32.78,0
