Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
GENUSPOWER,2016-07-07,46.4,46.4,44.59,45.06,148940,148940.0,1.0,,0.0,,,,,,0,,0,-0.07,0,,0,-0.1604,0,0,0.2254,0,2072,0.0,0.0,0.0,0.0,0
GENUSPOWER,2016-07-08,45.75,45.75,43.9,44.32,153351,151145.5,1.0146,-0.016423,-0.001763,-0.01466,-0.01466,,,,0,,0,-0.0636,0,-0.2418,0,-0.1604,0,0,0.2217,0,1894,0.0,0.0,0.0,0.0,0
GENUSPOWER,2016-07-11,44.45,45.06,43.99,44.22,102613,134968.0,0.7603,-0.002256,0.017385,-0.019641,-0.034301,0.010018,0.010018,1.0,0,0.7071,0,-0.1746,0,-0.451,0,-0.1604,0,0,0.2096,0,1455,0.0,0.0,0.0,0.0,0
GENUSPOWER,2016-07-12,44.45,45.01,43.53,43.95,192736,149410.0,1.29,-0.006106,0.006277,-0.012383,-0.046684,0.007325,0.007325,1.0,0,0.2943,0,0.0565,0,-0.5828,0,-0.1604,0,0,0.2003,0,1202,0.0,0.0,0.0,0.0,0
GENUSPOWER,2016-07-13,43.72,44.5,43.02,43.21,106764,140880.8,0.7578,-0.016837,-0.000182,-0.016655,-0.063339,0.007359,0.007359,1.0,0,-0.8739,0,-0.1757,0,-0.7602,0,-0.1604,0,0,0.2091,0,1440,0.0,0.0,0.0,0.0,0
GENUSPOWER,2016-07-14,43.81,44.32,42.98,43.67,223434,154639.66666666666,1.4449,0.010646,0.005341,0.005305,-0.058034,0.011369,0.011369,1.0,0,1.4813,0,0.1241,0,-0.7037,0,-0.1604,0,0,0.1476,0,518,0.0,0.0,0.0,0.0,0
GENUSPOWER,2016-07-15,43.99,43.99,42.65,42.79,87723,145080.14285714287,0.6047,-0.020151,-0.002755,-0.017396,-0.07543,0.012292,0.011656,1.0546,0,-0.9978,0,-0.2425,0,-0.8889,0,-0.1604,0,0,0.2011,0,1232,0.0,0.0,0.0,0.0,0
GENUSPOWER,2016-07-18,42.75,43.25,41.73,41.91,101860,139677.625,0.7293,-0.020566,-0.003828,-0.016738,-0.092168,0.013238,0.011573,1.1439,0,-0.8921,0,-0.1881,0,-1.0672,0,-0.1604,0,0,0.1978,0,1141,0.0,0.0761,1.0,21.9,0
GENUSPOWER,2016-07-19,42.51,42.51,41.82,42.28,79247,132963.11111111112,0.596,0.008828,0.002333,0.006495,-0.085673,0.01592,0.01266,1.2575,0,1.3181,0,-0.2463,0,-0.998,0,-0.1604,0,0,0.158,0,604,0.0,0.0355,1.0,20.89,0
GENUSPOWER,2016-07-20,43.07,44.82,41.68,43.44,303804,150047.2,2.0247,0.027436,0.004374,0.023062,-0.062611,0.021008,0.016693,1.2585,0,1.8794,0,0.3771,0,-0.7524,0,-0.1604,0,0,0.1095,0,329,0.0,0.0,0.9,18.0,0
