Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
RITES,2018-07-03,59.41,62.17,59.37,60.39,18520145,18520145.0,1.0,,0.003997,,,,,,0,,0,0.0151,0,,0,-0.2043,0,0,0.2564,0,1534,0.0,0.0,0.0,0.0,0
RITES,2018-07-04,60.49,60.67,57.41,57.83,7925442,13222793.5,0.5994,-0.042391,0.006542,-0.048933,-0.048933,,,,0,,0,-0.2142,0,-0.7786,0,-0.2043,0,0,0.2515,0,1330,0.0,0.0,0.0,0.0,0
RITES,2018-07-05,57.35,57.66,55.0,55.38,8161322,11535636.333333334,0.7075,-0.042366,-0.001871,-0.040495,-0.089428,1.8e-05,1.8e-05,1.0,0,0.7071,0,-0.1523,0,-1.3655,0,-0.2043,0,0,0.1977,0,556,0.0,0.0589,1.0,21.47,0
RITES,2018-07-06,54.61,57.1,54.58,55.21,4003900,9652702.25,0.4148,-0.00307,0.00213,-0.0052,-0.094628,0.022695,0.022695,1.0,0,1.1547,0,-0.3199,0,-1.4409,0,-0.2043,0,0,0.1537,0,321,0.0,0.0914,1.0,22.28,0
RITES,2018-07-09,55.64,56.29,54.63,54.89,2077962,8137754.2,0.2553,-0.005796,0.007449,-0.013245,-0.107873,0.021936,0.021936,1.0,0,0.8028,0,-0.4112,0,-1.6328,0,-0.2043,0,0,0.163,0,354,0.0,0.1742,1.0,24.36,0
RITES,2018-07-10,55.24,57.55,54.54,56.37,7331162,8003322.166666667,0.916,0.026963,0.008694,0.018269,-0.089604,0.029467,0.029467,1.0,0,1.3675,0,-0.033,0,-1.368,0,-0.2043,0,0,0.147,0,295,0.0,0.06,1.0,21.5,0
RITES,2018-07-11,56.27,58.33,56.01,56.24,3546540,7366639.0,0.4814,-0.002306,9.6e-05,-0.002402,-0.092006,0.024642,0.026738,0.9216,0,0.3436,0,-0.2817,0,-1.4029,0,-0.2043,0,0,0.213,0,686,0.0,0.075,1.0,21.88,0
RITES,2018-07-12,56.51,57.83,56.5,57.36,2914890,6810170.375,0.428,0.019915,0.006841,0.013074,-0.078932,0.015141,0.027142,0.5578,0,0.9919,0,-0.3123,0,-1.2134,0,-0.2043,0,0,0.2009,0,582,0.0,0.0,0.9,18.0,0
RITES,2018-07-13,57.27,57.76,55.82,56.06,1446200,6214173.666666667,0.2327,-0.022664,-0.00039,-0.022274,-0.101206,0.020151,0.025731,0.7831,0,-0.5324,0,-0.4241,0,-1.5362,0,-0.2043,0,0,0.2095,0,654,0.0,0.1325,1.0,23.31,0
RITES,2018-07-16,56.13,56.4,54.33,54.54,1198197,5712576.0,0.2097,-0.027114,-0.007446,-0.019668,-0.120874,0.024353,0.024818,0.9813,0,-0.6501,0,-0.4373,0,-1.8212,0,-0.2043,0,0,0.173,0,393,0.0,0.2555,1.0,26.39,0
RITES,2018-07-17,54.61,55.05,53.81,54.41,1125320,5295552.727272728,0.2125,-0.002384,0.00651,-0.008894,-0.129768,0.018826,0.023556,0.7992,0,0.3285,0,-0.4357,0,-1.9501,0,-0.2043,0,0,0.1661,0,363,0.0,0.311,1.0,27.78,0
RITES,2018-07-18,54.76,56.26,54.07,55.31,2222447,5039460.583333333,0.441,0.016541,-0.002507,0.019048,-0.061787,0.021653,0.023749,0.9117,0,1.0206,0,-0.3049,0,-0.9649,0,-0.2043,0,0,0.2115,0,672,0.0,0.0,0.9,18.0,0
RITES,2018-07-19,55.53,56.1,54.07,55.0,1162900,4741263.615384615,0.2453,-0.005605,-0.002127,-0.003478,-0.02477,0.017461,0.022652,0.7708,0,0.0847,0,-0.4169,0,-0.4284,0,-0.2043,0,0,0.2656,0,1851,0.0,0.0,0.8,16.0,0
RITES,2018-07-20,54.93,55.15,54.14,54.62,598402,4445344.928571428,0.1346,-0.006909,0.004846,-0.011755,-0.031325,0.015523,0.021688,0.7157,0,0.0261,0,-0.4803,0,-0.5234,0,-0.2043,0,0,0.2534,0,1415,0.0,0.0,0.7,14.0,0
RITES,2018-07-23,54.83,56.15,54.68,55.47,1122650,4223831.933333334,0.2658,0.015562,0.006771,0.008791,-0.009289,0.011634,0.021728,0.5354,0,0.9845,0,-0.4052,0,-0.204,0,-0.2043,0,0,0.2244,0,819,0.0,0.0,0.6,12.0,0
RITES,2018-07-24,55.43,56.57,55.29,56.08,1280015,4039843.375,0.3168,0.010997,0.00447,0.006527,-0.021031,0.011497,0.021384,0.5376,0,0.7345,0,-0.376,0,-0.3742,0,-0.2043,0,0,0.2406,0,1074,0.0,0.0,0.5,10.0,0
RITES,2018-07-25,56.09,58.08,56.09,57.59,2514327,3950107.117647059,0.6365,0.026926,-0.000207,0.027133,0.008504,0.014418,0.022121,0.6518,0,1.3407,0,-0.193,0,0.0538,0,-0.2043,0,0,0.2192,0,758,0.0,0.0,0.4,8.0,0
RITES,2018-07-26,57.78,63.27,57.7,62.48,9717965,4270543.666666667,2.2756,0.084911,0.003171,0.08174,0.07717,0.034957,0.030176,1.1584,0,2.7336,1,0.7453,0,1.049,0,-0.2043,0,0,0.0709,0,153,0.0,0.0,0.3,6.0,0
RITES,2018-07-27,63.29,74.97,61.64,74.11,26672655,5449602.157894737,4.8944,0.18614,0.009944,0.176196,0.27564,0.073962,0.052269,1.415,0,3.3195,1,2.2444,0,3.9254,1,-0.2043,0,1,-0.0734,1,40,0.4789,1.0,1.0,86.97,1
RITES,2018-07-30,73.76,79.67,70.71,71.72,22750125,6314628.3,3.6028,-0.032249,0.003653,-0.035902,0.259406,0.084304,0.05183,1.6265,0,-0.8203,0,1.505,0,3.6901,1,-0.2043,0,1,-0.0022,1,94,0.2206,1.0,1.0,80.52,1
RITES,2018-07-31,71.6,74.21,68.75,69.92,10103845,6495067.19047619,1.5556,-0.025098,0.003264,-0.028362,0.239938,0.090377,0.051063,1.7699,0,-0.658,0,0.3332,0,3.408,1,-0.2043,0,1,0.0616,0,144,0.0,0.9996,1.0,44.99,0
RITES,2018-08-01,70.15,72.78,69.87,70.9,4529162,6405707.863636363,0.7071,0.014016,-0.000907,0.014923,0.235813,0.091314,0.049785,1.8342,0,0.1055,0,-0.1525,0,3.3482,1,-0.2043,0,1,0.1055,0,203,0.0,0.9738,1.0,44.34,0
RITES,2018-08-02,71.37,72.74,70.29,72.01,3413787,6275624.347826087,0.544,0.015656,-0.008946,0.024602,0.263893,0.089075,0.048607,1.8326,0,0.1354,0,-0.2459,0,3.7552,1,-0.2043,0,1,0.0899,0,181,0.0,1.0,1.0,45.0,0
RITES,2018-08-03,72.5,79.81,72.42,78.89,14184552,6605163.0,2.1475,0.095542,0.010325,0.085217,0.360865,0.05079,0.050797,0.9999,0,1.6282,0,0.672,0,5.1606,1,-0.2043,0,1,-0.0071,1,92,0.0,1.0,1.0,75.0,1
RITES,2018-08-06,79.67,81.34,77.09,78.79,6329132,6594121.76,0.9598,-0.001268,0.002315,-0.003583,0.348491,0.045407,0.049764,0.9124,0,-0.2716,0,-0.0079,0,4.9812,1,-0.2043,0,1,0.0611,0,143,0.0,1.0,1.0,45.0,0
RITES,2018-08-07,78.69,79.25,76.18,77.23,2253385,6427170.346153846,0.3506,-0.019799,0.000206,-0.020005,0.321959,0.044142,0.049136,0.8984,0,-0.6261,0,-0.3566,0,4.5967,1,-0.2043,0,1,0.0731,0,157,0.0,1.0,1.0,45.0,0
RITES,2018-08-08,77.29,78.89,76.73,77.49,2003317,6263323.925925926,0.3198,0.003367,0.005316,-0.001949,0.292877,0.044805,0.048166,0.9302,0,-0.1517,0,-0.3742,0,4.1752,1,-0.2043,0,1,0.0745,0,159,0.0,1.0,1.0,45.0,0
RITES,2018-08-09,77.51,78.33,76.04,76.98,1866975,6106311.464285715,0.3057,-0.006581,0.001808,-0.008389,0.202748,0.046263,0.047347,0.9771,0,-0.3509,0,-0.3823,0,2.869,1,-0.2043,0,1,0.1278,0,246,0.0,0.7672,1.0,39.18,0
RITES,2018-08-10,76.73,77.0,72.88,73.35,1326272,5941482.517241379,0.2232,-0.047155,-0.003592,-0.043563,-0.017011,0.020318,0.047703,0.4259,0,-1.1561,0,-0.4295,0,-0.316,0,-0.2043,0,0,0.2072,0,632,0.0,0.0,0.9,18.0,0
