Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
RTNPOWER,2016-07-07,11.85,12.3,11.85,12.0,5599158,5599158.0,1.0,,0.0,,,,,,0,,0,-0.1004,0,,0,-0.191,0,0,0.2426,0,2089,0.0,0.0,0.0,0.0,0
RTNPOWER,2016-07-08,12.1,12.2,11.7,11.75,2108354,3853756.0,0.5471,-0.020833,-0.001763,-0.01907,-0.01907,,,,0,,0,-0.2882,0,-0.148,0,-0.191,0,0,0.2491,0,2366,0.0,0.0,0.0,0.0,0
RTNPOWER,2016-07-11,11.95,12.0,11.25,11.4,5357074,4354862.0,1.2301,-0.029787,0.017385,-0.047172,-0.066242,0.006331,0.006331,1.0,0,-0.7071,0,-0.005,0,-0.5105,0,-0.191,0,0,0.2336,0,1651,0.0,0.0,0.0,0.0,0
RTNPOWER,2016-07-12,11.5,11.95,11.35,11.7,4834093,4474669.75,1.0803,0.026316,0.006277,0.020039,-0.046203,0.030141,0.030141,1.0,0,1.1419,0,-0.0671,0,-0.3565,0,-0.191,0,0,0.2132,0,1094,0.0,0.0,0.0,0.0,0
RTNPOWER,2016-07-13,11.8,11.8,11.05,11.2,4492539,4478243.6,1.0032,-0.042735,-0.000182,-0.042553,-0.088756,0.030092,0.030092,1.0,0,-0.8632,0,-0.0991,0,-0.6836,0,-0.191,0,0,0.2157,0,1142,0.0,0.0547,1.0,21.37,0
RTNPOWER,2016-07-14,11.15,11.5,11.15,11.25,1519750,3985161.3333333335,0.3814,0.004464,0.005341,-0.000877,-0.089633,0.027735,0.027735,1.0,0,0.6122,0,-0.3569,0,-0.6903,0,-0.191,0,0,0.2284,0,1456,0.0,0.0602,1.0,21.5,0
RTNPOWER,2016-07-15,11.4,11.4,10.9,10.95,1706455,3659631.857142857,0.4663,-0.026667,-0.002755,-0.023912,-0.113545,0.028289,0.025471,1.1106,0,-0.463,0,-0.3217,0,-0.8741,0,-0.191,0,0,0.2395,0,1930,0.0,0.2097,1.0,25.24,0
RTNPOWER,2016-07-18,11.1,11.25,11.0,11.1,2431804,3506153.375,0.6936,0.013699,-0.003828,0.017527,-0.096018,0.028781,0.025637,1.1226,0,0.9553,0,-0.2275,0,-0.7394,0,-0.191,0,0,0.216,0,1147,0.0,0.1001,1.0,22.5,0
RTNPOWER,2016-07-19,11.2,11.2,10.75,10.8,1865407,3323848.222222222,0.5612,-0.027027,0.002333,-0.02936,-0.125378,0.023719,0.02442,0.9713,0,-0.5817,0,-0.2824,0,-0.965,0,-0.191,0,0,0.2233,0,1295,0.0,0.2836,1.0,27.09,0
RTNPOWER,2016-07-20,11.0,11.2,10.75,11.05,1921655,3183628.9,0.6036,0.023148,0.004374,0.018774,-0.106604,0.023207,0.025798,0.8996,0,1.2394,0,-0.2648,0,-0.8207,0,-0.191,0,0,0.201,0,904,0.0,0.1663,1.0,24.16,0
