Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
SUNPHARMA,2025-12-24,1744.57,1747.65,1707.91,1725.79,2224786,2224786.0,1.0,,0.0,,,,,,0,,0,-0.1005,0,,0,-0.1818,0,0,0.2531,0,116,0.0,0.0,0.0,0.0,0
SUNPHARMA,2025-12-26,1725.79,1725.79,1696.98,1708.4,2507337,2366061.5,1.0597,-0.010077,-0.003818,-0.006259,-0.006259,,,,0,,0,-0.0334,0,-0.3456,0,-0.1818,0,0,0.2539,0,117,0.0,0.0,0.0,0.0,0
SUNPHARMA,2025-12-29,1708.4,1716.35,1699.26,1706.12,1800816,2177646.333333333,0.827,-0.001335,-0.003848,0.002513,-0.003746,0.006182,0.006182,1.0,0,0.7071,0,-0.2949,0,-0.2994,0,-0.1818,0,0,0.2491,0,109,0.0,0.0,0.0,0.0,0
SUNPHARMA,2025-12-30,1711.98,1711.98,1695.98,1709.1,2639497,2293109.0,1.1511,0.001747,-0.000125,0.001872,-0.001874,0.006134,0.006134,1.0,0,0.8101,0,0.0693,0,-0.265,0,-0.1818,0,0,0.2333,0,91,0.0,0.0,0.0,0.0,0
SUNPHARMA,2025-12-31,1709.1,1714.46,1704.43,1708.6,1428439,2120175.0,0.6737,-0.000293,0.007354,-0.007647,-0.009521,0.005218,0.005218,1.0,0,0.421,0,-0.4672,0,-0.4056,0,-0.1818,0,0,0.2476,0,107,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-01,1708.9,1714.86,1697.87,1709.99,877515,1913065.0,0.4587,0.000814,0.000649,0.000165,-0.009356,0.004754,0.004754,1.0,0,0.5559,0,-0.7088,0,-0.4025,0,-0.1818,0,0,0.2434,0,104,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-02,1709.99,1720.82,1708.3,1716.85,974123,1778930.4285714286,0.5476,0.004012,0.006961,-0.002949,-0.012305,0.002049,0.004875,0.4203,0,0.9984,0,-0.6089,0,-0.4567,0,-0.1818,0,0,0.2104,0,68,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-05,1716.85,1734.73,1712.28,1717.74,1416698,1733651.375,0.8172,0.000518,-0.002972,0.00349,-0.008815,0.001652,0.004481,0.3687,0,0.2627,0,-0.3059,0,-0.3926,0,-0.1818,0,0,0.2565,0,123,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-06,1714.56,1751.22,1714.56,1748.84,1658801,1725334.6666666667,0.9614,0.018105,-0.002728,0.020833,0.012018,0.007708,0.007824,0.9852,0,2.0984,0,-0.1439,0,-0.0096,0,-0.1818,0,0,0.1519,0,23,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-07,1743.67,1794.94,1737.22,1771.1,3059500,1858751.2,1.646,0.012728,-0.00145,0.014178,0.026196,0.007827,0.008192,0.9554,0,1.1981,0,0.6254,0,0.2511,0,-0.1818,0,0,0.1708,0,37,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-08,1754.6,1767.12,1746.36,1749.34,1910656,1863469.818181818,1.0253,-0.012286,-0.010095,-0.002191,0.024005,0.011732,0.009097,1.2897,0,-1.5037,0,-0.0721,0,0.2108,0,-0.1818,0,0,0.2023,0,63,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-09,1753.81,1753.81,1715.85,1718.74,1585689,1840321.4166666667,0.8616,-0.017492,-0.00748,-0.010012,0.020252,0.015382,0.010339,1.4878,0,-1.6605,0,-0.256,0,0.1418,0,-0.1818,0,0,0.1732,0,40,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-12,1720.92,1733.04,1703.04,1724.8,2327272,1877779.1538461533,1.2394,0.003526,0.004164,-0.000638,0.017101,0.015451,0.009921,1.5574,0,0.3557,0,0.1685,0,0.0839,0,-0.1818,0,0,0.2414,0,97,0.0,0.0,0.0,0.0,0
SUNPHARMA,2026-01-13,1731.75,1732.55,1701.05,1717.54,1770082,1870086.5,0.9465,-0.004209,-0.002247,-0.001962,0.013267,0.012106,0.00957,1.265,0,-0.4057,0,-0.1606,0,0.0134,0,-0.1818,0,0,0.2415,0,98,0.0,0.0,0.0,0.0,0
