Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
TCS,2025-12-19,3196.75,3215.07,3177.18,3180.28,3902511,3902511.0,1.0,,0.0,,,,,,0,,0,-0.2181,0,,0,-0.2246,0,0,0.2687,0,120,0.0,0.0,0.0,0.0,0
TCS,2025-12-22,3207.41,3225.44,3189.0,3221.85,2632816,3267663.5,0.8057,0.013071,0.007933,0.005138,0.005138,,,,0,,0,-0.5047,0,0.6017,0,-0.2246,0,0,0.2678,0,119,0.0,0.0,0.0,0.0,0
TCS,2025-12-23,3217.01,3217.01,3191.42,3207.41,2365420,2966915.6666666665,0.7973,-0.004482,0.000181,-0.004663,0.000475,0.012412,0.012412,1.0,0,-0.7071,0,-0.5171,0,0.4994,0,-0.2246,0,0,0.2513,0,97,0.0,0.0,0.0,0.0,0
TCS,2025-12-24,3201.7,3223.98,3193.94,3216.13,1367708,2567113.75,0.5328,0.002719,-0.001339,0.004058,0.004533,0.008824,0.008824,1.0,0,-0.119,0,-0.9072,0,0.5884,0,-0.2246,0,0,0.242,0,82,0.0,0.0,0.0,0.0,0
TCS,2025-12-26,3210.42,3217.1,3170.4,3178.34,1176664,2289023.8,0.514,-0.01175,-0.003818,-0.007932,-0.003399,0.010588,0.010588,1.0,0,-1.0993,0,-0.9349,0,0.4145,0,-0.2246,0,0,0.1842,0,34,0.0,0.0,0.0,0.0,0
TCS,2025-12-29,3178.34,3186.09,3142.39,3150.73,2079473,2254098.6666666665,0.9225,-0.008687,-0.003848,-0.004839,-0.008238,0.00994,0.00994,1.0,0,-0.6903,0,-0.3324,0,0.3084,0,-0.2246,0,0,0.25,0,92,0.0,0.0,0.0,0.0,0
TCS,2025-12-30,3149.27,3166.23,3139.1,3146.17,2807593,2333169.285714286,1.2033,-0.001447,-0.000125,-0.001322,-0.00956,0.005729,0.008892,0.6443,0,0.0355,0,0.0817,0,0.2794,0,-0.2246,0,0,0.2544,0,100,0.0,0.0,0.0,0.0,0
TCS,2025-12-31,3139.58,3145.4,3099.37,3106.83,3362634,2461852.375,1.3659,-0.012504,0.007354,-0.019858,-0.029418,0.006685,0.009076,0.7366,0,-1.0145,0,0.3216,0,-0.156,0,-0.2246,0,0,0.2282,0,65,0.0,0.0,0.0,0.0,0
TCS,2026-01-01,3115.36,3133.87,3099.08,3127.37,1255735,2327839.333333333,0.5394,0.006611,0.000649,0.005962,-0.023456,0.008083,0.009103,0.8879,0,0.9523,0,-0.8975,0,-0.0253,0,-0.2246,0,0,0.224,0,59,0.0,0.0,0.0,0.0,0
TCS,2026-01-02,3133.77,3153.44,3119.72,3149.95,1184324,2213487.8,0.535,0.00722,0.006961,0.000259,-0.023197,0.008863,0.00906,0.9783,0,0.9104,0,-0.9039,0,-0.0196,0,-0.2246,0,0,0.2233,0,58,0.0,0.0,0.0,0.0,0
TCS,2026-01-05,3140.07,3146.37,3092.1,3116.42,2341703,2225143.727272727,1.0524,-0.010645,-0.002972,-0.007673,-0.03087,0.009279,0.009067,1.0234,0,-0.9546,0,-0.1408,0,-0.1878,0,-0.2246,0,0,0.232,0,71,0.0,0.0,0.0,0.0,0
TCS,2026-01-06,3110.51,3162.06,3105.67,3154.89,2912325,2282408.833333333,1.276,0.012344,-0.002728,0.015072,-0.020936,0.011358,0.009626,1.1799,0,1.3536,0,0.189,0,0.03,0,-0.2246,0,0,0.2089,0,52,0.0,0.0,0.0,0.0,0
TCS,2026-01-07,3142.39,3198.3,3123.3,3193.46,1989442,2259872.923076923,0.8803,0.012225,-0.00145,0.013675,-0.002598,0.009446,0.009906,0.9536,0,1.1948,0,-0.3947,0,0.4321,0,-0.2246,0,0,0.231,0,67,0.0,0.0,0.0,0.0,0
TCS,2026-01-08,3185.03,3185.03,3083.38,3104.6,4159336,2395548.8571428573,1.7363,-0.027826,-0.010095,-0.017731,-0.024387,0.017554,0.012296,1.4276,0,-2.1182,0,0.8679,0,-0.0457,0,-0.2246,0,0,0.1521,0,24,0.0,0.0,0.0,0.0,0
TCS,2026-01-09,3092.1,3129.6,3092.1,3108.38,1938673,2365090.466666667,0.8197,0.001218,-0.00748,0.008698,-0.007757,0.01702,0.011841,1.4374,0,0.2352,0,-0.484,0,0.319,0,-0.2246,0,0,0.2704,0,122,0.0,0.0,0.0,0.0,0
TCS,2026-01-12,3103.73,3151.21,3075.92,3139.19,2228342,2356543.6875,0.9456,0.009912,0.004164,0.005748,0.00283,0.017055,0.011789,1.4467,0,0.9088,0,-0.2983,0,0.5511,0,-0.2246,0,0,0.2519,0,98,0.0,0.0,0.0,0.0,0
TCS,2026-01-13,3144.43,3178.34,3111.0,3166.71,5645341,2550002.3529411764,2.2139,0.008767,-0.002247,0.011014,0.015166,0.016558,0.011638,1.4228,0,0.7708,0,1.5723,0,0.8215,0,-0.2246,0,0,0.1654,0,31,0.0,0.0,0.0,0.0,0
TCS,2026-01-14,3158.96,3158.96,3084.35,3093.55,3539511,2604975.0555555555,1.3588,-0.023103,-0.002592,-0.020511,0.014513,0.017972,0.012562,1.4307,0,-1.7156,0,0.3111,0,0.8072,0,-0.2246,0,0,0.1841,0,33,0.0,0.0,0.0,0.0,0
TCS,2026-01-15,3093.55,3093.55,3093.55,3093.55,0,2467871.1052631577,0.0,0.0,0.0,0.0,0.008551,0.013307,0.012193,1.0914,0,0.1201,0,-1.693,0,0.6765,0,-0.2246,0,0,0.1559,0,26,0.0,0.0,0.0,0.0,0
TCS,2026-01-16,3176.33,3178.8,3128.58,3163.8,4293470,2559151.05,1.6777,0.022709,0.00112,0.021589,0.029881,0.017012,0.013083,1.3003,0,1.7505,0,0.7814,0,1.1442,0,-0.2246,0,0,0.1613,0,29,0.0,0.0,0.0,0.0,0
TCS,2026-01-19,3145.35,3176.92,3109.93,3121.28,3387562,2598599.1904761903,1.3036,-0.01344,-0.004236,-0.009204,0.02835,0.01804,0.013074,1.3798,0,-0.9626,0,0.2297,0,1.1106,0,-0.2246,0,0,0.1872,0,37,0.0,0.0,0.0,0.0,0
TCS,2026-01-20,3109.44,3117.73,3049.75,3060.8,4499273,2684993.4545454546,1.6757,-0.019377,-0.013797,-0.00558,0.007698,0.018607,0.013369,1.3918,0,-1.3196,0,0.7785,0,0.6578,0,-0.2246,0,0,0.1856,0,36,0.0,0.0,0.0,0.0,0
TCS,2026-01-21,3058.53,3096.51,3040.77,3080.83,2015150,2655869.8260869565,0.7588,0.006544,-0.002972,0.009516,0.003539,0.016674,0.013165,1.2665,0,0.6004,0,-0.5739,0,0.5666,0,-0.2246,0,0,0.2593,0,104,0.0,0.0,0.0,0.0,0
TCS,2026-01-22,3107.86,3117.73,3080.53,3108.25,2269827,2639784.708333333,0.8599,0.0089,0.005263,0.003637,0.024907,0.017235,0.013039,1.3218,0,0.7526,0,-0.4247,0,1.0351,0,-0.2246,0,0,0.2332,0,73,0.0,0.0,0.0,0.0,0
TCS,2026-01-23,3147.62,3151.77,3109.83,3120.19,2068857,2616947.6,0.7906,0.003841,-0.009539,0.01338,0.029589,0.012809,0.01279,1.0015,0,0.3563,0,-0.527,0,1.1378,0,-0.2246,0,0,0.2314,0,69,0.0,0.0,0.0,0.0,0
TCS,2026-01-27,3132.53,3132.53,3088.13,3115.75,4279874,2680906.3076923075,1.5964,-0.001423,0.00506,-0.006483,0.017358,0.011334,0.012521,0.9052,0,-0.0542,0,0.6615,0,0.8696,0,-0.2246,0,0,0.2289,0,66,0.0,0.0,0.0,0.0,0
TCS,2026-01-28,3133.51,3162.32,3128.18,3157.29,2751234,2683511.037037037,1.0252,0.013332,0.006647,0.006685,0.013029,0.005521,0.012575,0.439,0,1.0763,0,-0.1809,0,0.7747,0,-0.2246,0,0,0.238,0,78,0.0,0.0,0.0,0.0,0
TCS,2026-01-29,3157.29,3157.29,3083.79,3102.34,2457641,2675444.25,0.9186,-0.017404,0.003005,-0.020409,0.013131,0.011897,0.012767,0.9319,0,-1.2974,0,-0.3382,0,0.7769,0,-0.2246,0,0,0.2023,0,43,0.0,0.0,0.0,0.0,0
