Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
WIPRO,2025-12-24,264.12,264.16,260.48,261.31,4694861,4694861.0,1.0,,0.0,,,,,,0,,0,-0.3714,0,,0,,0,0,0.1903,0,117,0.0,0.0,0.0,0.0,0
WIPRO,2025-12-26,260.48,262.11,259.05,259.6,2899112,3796986.5,0.7635,-0.006544,-0.003818,-0.002726,-0.002726,,,,0,,0,-0.643,0,0.347,0,,0,0,0.1868,0,111,0.0,0.0,0.0,0.0,0
WIPRO,2025-12-29,259.3,260.66,256.97,257.59,3755074,3783015.6666666665,0.9926,-0.007743,-0.003848,-0.003895,-0.006621,0.000848,0.000848,1.0,0,-0.7071,0,-0.3799,0,0.2762,0,,0,0,0.169,0,90,0.0,0.0,0.0,0.0,0
WIPRO,2025-12-30,257.36,258.06,256.4,257.01,5117699,4116686.5,1.2432,-0.002252,-0.000125,-0.002127,-0.008748,0.002887,0.002887,1.0,0,1.1295,0,-0.0922,0,0.2376,0,,0,0,0.1625,0,84,0.0,0.0,0.0,0.0,0
WIPRO,2025-12-31,257.36,257.94,254.68,256.65,5705044,4434358.0,1.2866,-0.001401,0.007354,-0.008755,-0.017503,0.003128,0.003128,1.0,0,0.986,0,-0.0424,0,0.0785,0,,0,0,0.1717,0,93,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-01,257.84,261.3,257.11,260.62,3639755,4301924.166666667,0.8461,0.015469,0.000649,0.01482,-0.002683,0.009326,0.009326,1.0,0,1.7117,0,-0.5481,0,0.3477,0,,0,0,0.0806,0,28,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-02,260.62,265.54,259.45,262.23,8286204,4871107.0,1.7011,0.006178,0.006961,-0.000783,-0.003466,0.008992,0.008775,1.0247,0,0.6337,0,0.4335,0,0.3335,0,,0,0,0.1723,0,95,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-05,262.67,262.86,255.11,256.67,7006599,5138043.5,1.3637,-0.021203,-0.002972,-0.018231,-0.021697,0.013528,0.011497,1.1767,0,-1.6268,0,0.0461,0,0.0023,0,,0,0,0.1112,0,43,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-06,256.67,259.4,256.33,258.92,4083654,5020889.111111111,0.8133,0.008766,-0.002728,0.011494,-0.010203,0.014086,0.011365,1.2394,0,0.8673,0,-0.5858,0,0.2111,0,,0,0,0.1776,0,100,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-07,258.33,265.64,257.84,263.98,10242615,5543061.7,1.8478,0.019543,-0.00145,0.020993,0.01079,0.015972,0.012662,1.2614,0,1.4485,0,0.6019,0,0.5925,0,,0,0,0.1185,0,47,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-08,264.08,264.08,254.77,255.6,9269522,5881830.818181818,1.576,-0.031745,-0.010095,-0.02165,-0.01086,0.021715,0.015845,1.3705,0,-1.8714,0,0.2899,0,0.1992,0,,0,0,0.0968,0,37,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-09,254.77,257.31,253.9,255.36,4735387,5786293.833333333,0.8184,-0.000939,-0.00748,0.006541,-0.001593,0.021131,0.015036,1.4054,0,0.0698,0,-0.5799,0,0.3675,0,,0,0,0.1918,0,119,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-12,254.14,257.84,252.53,256.48,3802164,5633668.461538462,0.6749,0.004386,0.004164,0.000222,0.002524,0.019278,0.014454,1.3337,0,0.4043,0,-0.7447,0,0.4423,0,,0,0,0.1644,0,86,0.0,0.0,0.0,0.0,0
WIPRO,2026-01-13,256.82,258.18,254.72,257.55,6931244,5726352.428571428,1.2104,0.004172,-0.002247,0.006419,0.01107,0.018861,0.013926,1.3544,0,0.3731,0,-0.1299,0,0.5976,0,,0,0,0.1795,0,102,0.0,0.0,0.0,0.0,0
