Date,Open,High,Low,Close,Volume
2016-07-07,115.67,116.32,113.81,114.18,24484
2016-07-08,116.58,116.6,114.19,116.06,25072
2016-07-11,116.82,127.32,116.36,121.08,368476
2016-07-12,122.13,122.13,119.29,119.71,36940
2016-07-13,120.29,124.76,119.79,120.3,92564
2016-07-14,121.47,121.47,118.2,119.11,21164
2016-07-15,119.98,122.91,116.85,120.77,77008
2016-07-18,122.29,122.69,118.59,120.54,41892
2016-07-19,121.72,121.72,118.07,119.09,24156
2016-07-20,119.74,126.83,118.0,125.36,128208
2016-07-21,124.15,131.45,124.15,128.46,333152
2016-07-22,129.02,129.75,124.88,126.4,103052
2016-07-25,126.59,127.73,124.44,125.37,66384
2016-07-26,127.32,127.32,123.13,124.25,33144
2016-07-27,122.93,130.72,122.93,129.93,179304
2016-07-28,131.45,132.67,128.05,131.69,90392
2016-07-29,129.07,132.37,128.29,128.85,26292
2016-08-01,128.74,130.57,125.37,126.67,33420
2016-08-02,128.53,128.53,118.32,119.74,61576
2016-08-03,119.74,120.74,117.26,119.65,35284
2016-08-04,121.46,122.69,119.55,121.36,41844
2016-08-05,120.27,122.81,120.27,121.86,32908
2016-08-08,120.29,124.09,120.01,122.52,38364
2016-08-09,120.77,122.86,120.77,121.72,22352
2016-08-10,122.68,122.9,119.28,120.01,31796
2016-08-11,119.32,121.69,119.28,119.61,26140
2016-08-12,120.73,122.45,115.69,120.02,160120
2016-08-16,117.82,118.6,112.21,114.82,113612
2016-08-17,112.79,116.08,112.7,114.12,82556
2016-08-18,115.06,121.72,114.41,120.51,149896
2016-08-19,121.72,122.2,119.32,119.81,40940
2016-08-22,120.5,121.23,119.06,120.66,35216
2016-08-23,122.61,122.61,119.32,120.63,29864
2016-08-24,120.88,123.18,119.51,121.46,500464
2016-08-25,121.42,121.72,117.61,118.59,54728
2016-08-26,121.69,121.69,118.07,118.48,55956
2016-08-29,119.2,119.21,116.37,118.32,19020
2016-08-30,119.26,121.23,118.55,119.26,33340
2016-08-31,120.28,120.28,118.07,118.63,48768
2016-09-01,119.95,120.01,117.33,117.53,26700
2016-09-02,118.26,118.3,116.95,117.31,32524
2016-09-06,117.94,119.25,115.64,116.43,45692
2016-09-07,117.46,119.19,115.87,118.67,36568
2016-09-08,119.21,119.22,117.09,117.97,34152
2016-09-09,118.07,118.31,115.63,116.65,281180
2016-09-12,115.76,116.85,114.78,115.2,24148
2016-09-14,115.27,118.07,113.34,117.6,440840
2016-09-15,119.26,124.39,118.2,123.75,331760
2016-09-16,125.12,129.38,125.12,128.74,292164
2016-09-19,129.51,130.89,128.05,130.21,164212
2016-09-20,131.93,131.93,129.01,130.53,108312
2016-09-21,131.2,131.39,129.99,131.11,52808
2016-09-22,131.45,142.07,130.74,138.73,328336
2016-09-23,139.97,157.72,139.57,149.68,980928
2016-09-26,149.71,156.32,149.22,152.37,360360
2016-09-27,152.55,154.58,146.21,147.68,154072
2016-09-28,146.79,156.04,146.79,155.47,196236
2016-09-29,158.23,162.36,141.19,144.95,585812
2016-09-30,146.06,151.73,145.23,151.16,208728
2016-10-03,152.63,157.25,152.63,154.23,179900
2016-10-04,156.77,157.09,152.61,154.07,80968
2016-10-05,153.0,158.11,152.15,157.39,141980
2016-10-06,156.54,164.63,154.99,163.27,599704
2016-10-07,165.53,167.1,155.43,157.43,1203692
2016-10-10,157.5,160.3,156.17,157.21,148680
2016-10-13,159.45,160.64,155.86,156.93,278460
2016-10-14,158.21,159.16,154.74,156.25,145540
2016-10-17,156.77,157.26,151.9,152.96,90540
2016-10-18,157.01,159.45,155.8,158.39,396160
2016-10-19,158.72,159.39,156.33,157.23,123832
2016-10-20,157.74,158.96,156.03,156.38,67572
2016-10-21,157.45,157.45,154.58,155.26,79208
2016-10-24,157.14,157.74,153.48,157.12,74856
2016-10-25,157.5,159.9,156.3,158.9,109640
2016-10-26,157.74,160.2,156.65,158.77,89128
2016-10-27,157.05,159.68,157.01,159.3,99076
2016-10-28,158.23,164.8,156.13,163.34,224828
2016-11-01,165.01,166.75,158.48,163.56,182248
2016-11-02,158.72,162.77,157.5,159.39,72476
2016-11-03,159.21,160.67,155.8,156.32,71484
2016-11-04,156.77,156.78,143.87,149.83,123996
2016-11-07,151.93,156.26,151.93,153.76,43812
2016-11-08,152.54,155.8,150.88,152.41,32116
2016-11-09,128.07,162.0,127.94,152.72,222344
2016-11-10,156.73,159.75,152.38,153.2,70380
2016-11-11,148.51,152.38,146.55,150.72,42280
2016-11-15,151.01,151.01,143.39,143.97,44736
2016-11-16,148.49,151.87,141.39,145.43,40972
2016-11-17,142.82,146.85,142.82,144.39,35356
2016-11-18,143.63,146.55,142.43,145.76,53756
2016-11-21,146.53,147.11,139.0,140.94,47216
2016-11-22,141.8,143.63,140.97,142.24,32128
2016-11-23,144.34,147.28,141.19,146.43,34896
2016-11-24,143.63,146.79,143.38,145.83,19600
2016-11-25,146.18,148.49,145.11,147.55,24188
2016-11-28,147.72,155.05,146.3,153.98,30248
2016-11-29,155.55,157.98,154.34,155.23,34060
2016-11-30,156.45,157.74,154.58,157.28,30144
2016-12-01,157.96,157.98,155.21,157.12,28144
2016-12-02,156.28,158.23,154.95,157.55,38344
2016-12-05,155.07,157.87,155.07,157.49,35120
2016-12-06,158.72,159.12,151.2,157.09,33156
2016-12-07,157.49,158.68,156.31,158.32,78500
2016-12-08,157.04,159.33,157.04,159.01,19104
2016-12-09,159.3,161.88,156.77,160.58,22692
2016-12-12,158.49,161.38,158.23,159.55,20100
2016-12-13,158.0,160.67,153.17,159.72,20540
2016-12-14,157.22,160.64,157.01,159.55,21980
2016-12-15,159.42,160.17,157.05,159.69,18808
2016-12-16,160.65,160.67,157.14,159.49,16696
2016-12-19,158.24,158.24,155.8,157.19,19304
2016-12-20,157.48,159.21,157.48,158.09,33404
2016-12-21,158.38,158.94,157.01,158.6,19796
2016-12-22,158.89,158.89,153.36,155.25,37176
2016-12-23,150.95,153.84,145.32,146.83,119412
2016-12-26,146.83,146.83,139.49,140.41,97356
2016-12-27,140.5,147.18,137.66,145.99,74532
2016-12-28,148.2,148.2,142.54,145.01,33064
2016-12-29,145.57,148.01,139.49,147.61,36396
2016-12-30,147.47,148.46,146.12,147.44,17404
2017-01-02,147.74,149.71,145.1,148.97,9848
2017-01-03,150.19,150.69,147.51,149.74,14136
2017-01-04,149.41,150.93,149.41,149.96,12912
2017-01-05,150.43,152.52,150.09,152.19,26096
2017-01-06,151.18,152.78,150.19,152.3,16132
2017-01-09,151.22,152.45,147.52,149.82,13564
2017-01-10,149.94,152.15,148.84,150.94,7340
2017-01-11,149.86,152.88,149.72,151.0,13268
2017-01-12,150.44,153.36,148.49,151.66,64788
2017-01-13,153.28,153.28,150.47,150.94,7596
2017-01-16,148.76,152.38,148.76,151.79,10776
2017-01-17,153.36,153.36,150.48,152.24,22408
2017-01-18,151.84,153.12,150.21,152.51,20432
2017-01-19,151.63,152.39,150.69,151.01,21288
2017-01-20,149.72,151.85,149.71,151.1,22032
2017-01-23,150.94,150.94,148.29,150.24,8072
2017-01-24,150.32,151.74,149.66,150.94,13712
2017-01-25,150.2,151.34,150.2,150.94,17640
2017-01-27,150.49,151.17,149.49,150.78,14796
2017-01-30,151.17,152.15,149.22,151.17,23460
2017-01-31,149.97,151.17,149.71,150.79,33800
2017-02-01,149.71,150.93,146.95,150.9,56888
2017-02-02,150.15,150.81,146.22,149.7,42804
2017-02-03,149.86,150.62,148.15,150.09,26576
2017-02-06,150.93,158.23,148.25,154.15,65884
2017-02-07,155.31,157.01,152.15,152.9,57848
2017-02-08,154.32,155.29,150.69,152.62,67384
2017-02-09,150.93,150.93,148.49,150.17,44376
2017-02-10,151.04,152.06,149.4,150.86,74300
2017-02-13,151.25,151.25,148.66,150.03,48032
2017-02-14,149.37,149.37,146.55,148.7,39952
2017-02-15,148.99,148.99,147.03,147.53,34832
2017-02-16,148.19,149.22,147.5,148.94,31732
2017-02-17,148.75,150.62,147.27,149.64,40528
2017-02-20,150.77,151.77,147.79,149.85,18016
2017-02-21,150.75,151.67,148.01,149.71,27276
2017-02-22,149.38,149.89,147.07,148.86,48732
2017-02-23,149.07,150.86,147.76,148.52,37388
2017-02-27,150.87,150.9,148.01,148.25,8352
