Date,Open,High,Low,Close,Volume
2025-12-19,2247.99,2248.99,2209.01,2238.0,880005
2025-12-22,2258.99,2272.98,2244.9,2262.49,599195
2025-12-23,2271.48,2272.58,2244.0,2247.79,450112
2025-12-24,2248.99,2257.79,2216.41,2221.71,825693
2025-12-26,2228.3,2249.89,2217.01,2228.9,566237
2025-12-29,2231.0,2237.2,2195.02,2202.22,690691
2025-12-30,2203.81,2218.01,2194.02,2213.71,935026
2025-12-31,2215.31,2245.4,2215.31,2238.7,779141
2026-01-01,2247.99,2286.38,2240.0,2258.99,1046220
2026-01-02,2258.99,2282.68,2257.99,2278.78,715242
2026-01-05,2285.98,2302.87,2273.28,2278.48,696380
2026-01-06,2287.88,2289.38,2247.1,2258.09,698294
2026-01-07,2263.99,2282.98,2242.0,2273.08,529451
2026-01-08,2273.98,2274.88,2204.01,2213.01,792800
2026-01-09,2213.11,2215.01,2144.04,2152.74,1570376
2026-01-12,2155.64,2179.03,2118.05,2170.63,1257197
2026-01-13,2186.82,2186.82,2140.14,2157.54,791556
2026-01-14,2155.04,2168.03,2141.04,2152.34,618139
2026-01-15,2152.34,2152.34,2152.34,2152.34,0
2026-01-16,2161.83,2192.92,2151.14,2156.34,758469
2026-01-19,2154.04,2155.84,2122.05,2133.65,749495
2026-01-20,2133.05,2138.94,2039.09,2054.18,1160975
2026-01-21,2055.58,2067.28,2003.2,2031.29,1354644
2026-01-22,2054.98,2101.96,2050.08,2085.47,942721
2026-01-23,2079.57,2081.57,1847.17,1863.37,7492631
2026-01-27,1908.15,1973.02,1892.15,1958.62,5449633
2026-01-28,1984.11,2003.1,1951.13,1993.81,2073198
2026-01-29,1998.91,2028.19,1971.12,2018.3,1391239
2026-01-30,2004.1,2037.89,1991.31,2019.5,1230915
2026-02-02,1955.73,2001.31,1933.14,1994.51,1229270
2026-02-03,2149.04,2232.4,2130.15,2201.62,6918581
2026-02-04,2219.01,2245.0,2188.22,2227.2,2051918
2026-02-05,2231.0,2242.7,2209.01,2235.6,992382
2026-02-06,2225.11,2237.0,2199.42,2225.4,933650
