Date,Open,High,Low,Close,Volume
2016-06-27,446.3,482.08,437.49,466.45,65818
2016-06-28,469.77,473.8,460.47,463.22,13766
2016-06-29,467.42,498.02,458.75,482.17,129511
2016-06-30,484.38,487.04,468.62,474.86,33423
2016-07-01,484.25,486.59,467.56,470.04,13159
2016-07-04,478.09,478.09,466.45,469.59,8160
2016-07-05,475.97,475.97,458.7,459.54,9582
2016-07-07,464.01,467.56,456.04,457.02,3012
2016-07-08,453.43,469.33,453.43,462.24,13879
2016-07-11,467.07,470.66,460.74,467.07,10853
2016-07-12,471.94,471.94,457.82,459.9,9018
2016-07-13,463.08,463.08,445.42,455.16,9246
2016-07-14,447.68,461.93,445.99,458.48,4892
2016-07-15,459.54,464.55,456.04,462.2,3679
2016-07-18,470.04,470.21,455.03,458.97,10751
2016-07-19,467.56,467.56,449.71,460.69,17309
2016-07-20,465.79,472.87,458.79,470.52,16395
2016-07-21,470.52,476.41,462.64,465.87,5403
2016-07-22,461.4,469.33,461.36,464.41,19946
2016-07-25,476.41,481.5,464.94,476.37,15280
2016-07-26,478.18,500.28,474.64,482.88,85329
2016-07-27,487.92,488.81,473.75,484.56,10879
2016-07-28,486.59,501.65,481.72,497.8,28170
2016-07-29,497.8,530.78,495.89,517.1,89783
2016-08-01,517.1,561.33,517.1,528.92,128064
2016-08-02,528.92,536.54,514.49,519.01,22949
2016-08-03,518.92,533.97,510.06,522.64,14156
2016-08-04,526.8,529.45,516.79,522.33,13043
2016-08-05,514.58,535.65,498.59,502.22,114247
2016-08-08,502.98,510.02,471.98,487.83,53575
2016-08-09,494.08,494.12,471.1,473.36,26059
2016-08-10,470.04,499.75,470.04,496.03,35695
2016-08-11,491.47,495.8,476.85,481.37,14243
2016-08-12,488.72,488.85,472.43,474.46,13215
2016-08-16,482.43,482.43,470.26,478.45,11522
2016-08-17,486.86,486.86,473.8,479.25,13070
2016-08-18,485.71,495.89,476.41,489.65,29670
2016-08-19,494.48,500.23,487.04,493.77,24569
2016-08-22,495.94,519.8,491.51,512.32,31721
2016-08-23,521.93,521.93,500.54,503.95,8789
2016-08-24,503.86,512.67,499.57,506.08,18017
2016-08-25,506.12,509.18,495.89,500.28,5000
2016-08-26,503.64,510.95,487.92,490.8,7400
2016-08-29,491.42,494.83,483.5,487.52,4526
2016-08-30,487.92,502.93,487.92,494.34,37691
2016-08-31,495.89,499.26,487.88,491.29,9063
2016-09-01,487.04,500.23,481.72,496.11,10419
2016-09-02,500.32,500.32,494.12,496.16,13828
2016-09-06,495.89,504.66,492.35,500.05,38322
2016-09-07,500.05,520.07,498.55,507.8,15086
2016-09-08,507.4,518.03,507.4,512.45,10170
2016-09-09,509.18,512.72,495.01,496.34,10307
2016-09-12,495.01,495.01,474.06,478.09,8976
2016-09-14,478.23,495.54,474.06,492.22,6921
2016-09-15,487.92,500.32,485.27,498.86,7245
2016-09-16,496.42,508.11,491.55,501.34,12013
2016-09-19,504.75,504.75,492.75,495.36,8958
2016-09-20,500.41,505.37,493.19,500.85,7146
2016-09-21,499.44,509.18,498.55,501.52,4689
2016-09-22,504.66,522.46,499.61,516.17,187164
2016-09-23,524.19,539.28,516.35,517.01,125203
2016-09-26,516.26,520.82,496.78,498.9,12556
2016-09-27,500.32,506.47,497.66,498.77,2737
2016-09-28,502.09,507.32,498.55,502.49,3575
2016-09-29,502.98,504.7,444.84,466.67,36196
2016-09-30,464.9,482.79,452.72,480.88,17460
2016-10-03,478.18,501.12,478.18,496.82,7433
2016-10-04,496.82,501.21,495.05,496.56,1985
2016-10-05,495.89,496.34,492.35,493.72,1846
2016-10-06,495.01,513.6,488.1,491.2,10957
2016-10-07,491.2,501.03,487.13,490.05,11497
2016-10-10,491.47,504.0,491.47,498.33,7855
2016-10-13,491.47,500.32,483.94,490.18,13271
2016-10-14,506.52,506.52,491.6,497.04,19480
2016-10-17,515.99,521.44,501.38,510.19,76047
