Date,Open,High,Low,Close,Volume
2025-12-19,1003.2,1014.0,1002.5,1008.3,5126009
2025-12-22,1008.3,1015.4,1005.0,1007.8,3921237
2025-12-23,1013.5,1018.0,1005.7,1011.4,4712043
2025-12-24,1011.0,1037.4,1006.0,1011.7,5984816
2025-12-26,1011.7,1011.7,998.0,1000.0,5211460
2025-12-29,1003.0,1003.9,989.6,998.0,6715489
2025-12-30,994.1,997.6,987.1,989.3,7473887
2025-12-31,990.0,994.2,978.4,986.8,9895270
2026-01-01,988.2,989.0,969.0,973.1,7118751
2026-01-02,972.9,994.2,960.6,990.45,6206869
2026-01-05,979.7,999.15,975.0,978.75,10564157
2026-01-06,978.0,987.0,973.3,977.35,8380183
2026-01-07,973.05,976.45,965.05,968.8,7048491
2026-01-08,968.5,978.35,965.3,971.95,4410256
2026-01-09,970.1,983.0,953.7,959.6,7598970
2026-01-12,958.8,961.4,939.85,951.9,5640136
2026-01-13,950.0,955.85,939.0,949.0,6765116
2026-01-14,947.0,953.9,943.15,945.95,4452202
2026-01-15,945.95,945.95,945.95,945.95,0
2026-01-16,940.2,963.0,936.8,950.25,10710080
2026-01-19,950.5,972.9,948.85,969.45,7000442
2026-01-20,975.7,975.7,927.9,933.2,9001207
2026-01-21,925.0,947.3,921.0,936.25,5375254
2026-01-22,947.0,947.0,934.25,942.85,5518756
2026-01-23,942.85,951.4,926.3,927.85,6535035
2026-01-27,930.0,931.95,907.7,914.7,15312488
2026-01-28,914.7,936.9,914.7,935.15,6046468
2026-01-29,935.15,939.8,923.7,935.15,6430445
2026-01-30,928.35,938.0,925.15,929.85,10151379
2026-02-02,887.0,909.4,887.0,903.7,11874989
2026-02-03,960.0,972.8,941.9,964.4,15261370
2026-02-04,965.0,975.7,944.15,963.3,17489015
2026-02-05,964.0,968.5,953.0,964.75,6020258
2026-02-06,973.95,986.5,966.1,981.7,13742927
2026-02-09,988.0,988.0,971.6,983.15,4852548
2026-02-10,983.15,985.15,961.3,965.6,6166752
2026-02-11,965.3,974.5,961.4,968.95,3597342
2026-02-12,968.3,1002.0,965.0,999.1,10346853
2026-02-13,995.0,1032.0,992.8,1024.75,21613987
2026-02-16,1023.05,1029.3,1003.3,1012.75,4460636
2026-02-17,1012.75,1016.35,1004.0,1014.15,2913899
2026-02-18,1014.55,1025.7,1007.05,1023.8,4929647
2026-02-19,1024.0,1024.5,1007.0,1017.05,9866245
2026-02-20,1015.9,1036.6,1008.75,1030.2,6922705
2026-02-23,1032.45,1046.0,1029.05,1031.0,9452225
2026-02-24,1026.3,1028.75,1010.3,1023.55,6610984
