Date,Open,High,Low,Close,Volume
2016-07-07,352.45,352.45,344.65,345.54,1314144
2016-07-08,345.49,348.14,341.9,343.56,860780
2016-07-11,350.24,350.24,344.54,347.63,686414
2016-07-12,348.61,352.29,346.54,349.89,779930
2016-07-13,351.03,352.5,345.77,347.68,862876
2016-07-14,344.65,344.65,334.78,339.32,3710940
2016-07-15,339.39,343.7,337.83,339.27,987628
2016-07-18,341.72,348.84,341.09,343.7,1593660
2016-07-19,346.0,348.84,342.32,346.82,1171538
2016-07-20,346.98,350.43,346.1,347.56,700680
2016-07-21,347.68,349.17,337.43,339.04,921474
2016-07-22,338.36,344.65,337.76,342.67,759124
2016-07-25,343.91,348.15,341.25,347.66,781086
2016-07-26,348.61,350.69,341.67,343.44,566202
2016-07-27,343.95,347.22,339.06,344.47,968096
2016-07-28,346.28,350.62,342.37,349.31,1450112
2016-07-29,349.08,357.94,347.94,354.65,1876940
2016-08-01,355.61,359.52,348.15,349.43,1488992
2016-08-02,350.48,353.74,337.94,339.41,1458524
2016-08-03,338.36,342.56,335.1,337.94,1659008
2016-08-04,337.24,340.83,333.7,337.64,1782854
2016-08-05,336.22,384.22,335.15,379.51,19640598
2016-08-08,379.89,393.82,369.03,384.8,8647012
2016-08-09,380.45,387.25,376.81,383.55,2369846
2016-08-10,384.03,394.29,377.74,383.22,3339864
2016-08-11,384.5,386.76,374.27,377.63,1737556
2016-08-12,378.44,385.2,375.34,383.97,2082460
2016-08-16,384.41,392.8,377.81,391.61,2697676
2016-08-17,393.5,397.32,389.65,395.03,2564896
2016-08-18,395.48,397.48,389.86,391.56,1014556
2016-08-19,392.0,398.48,390.23,391.28,1548184
2016-08-22,394.15,395.17,386.83,388.56,825184
2016-08-23,389.16,406.5,385.67,401.51,2466166
2016-08-24,405.47,406.52,397.81,398.9,1696966
2016-08-25,400.35,406.41,396.15,396.94,4094148
2016-08-26,397.78,402.02,394.94,399.58,1083076
2016-08-29,399.42,400.74,396.15,398.18,817776
2016-08-30,398.65,405.66,398.65,400.74,1173108
2016-08-31,401.28,405.22,394.61,396.29,1828398
2016-09-01,396.99,404.54,392.07,399.69,1415196
2016-09-02,400.35,411.53,400.35,406.94,3310528
2016-09-06,407.8,408.9,402.21,406.24,1164972
2016-09-07,415.26,423.11,409.27,413.86,4618132
2016-09-08,416.66,417.59,406.36,409.53,1516806
2016-09-09,410.23,410.25,399.9,401.63,1076198
2016-09-12,395.69,400.35,385.48,394.38,1676616
2016-09-14,394.38,403.14,394.29,401.26,930762
2016-09-15,402.86,408.27,398.9,405.43,1138522
2016-09-16,409.53,412.0,403.38,407.97,1588894
2016-09-19,408.22,422.81,407.62,421.39,2313504
2016-09-20,424.05,424.05,413.44,415.98,1460896
2016-09-21,414.8,422.63,414.8,419.95,1530570
2016-09-22,426.4,432.16,419.04,431.04,1990704
2016-09-23,432.81,451.71,430.78,439.57,3640692
2016-09-26,437.94,447.84,435.07,437.49,2089118
2016-09-27,439.71,446.21,439.05,441.55,1578202
2016-09-28,445.02,447.09,437.66,439.71,1688122
2016-09-29,437.17,440.01,398.76,418.71,4582436
2016-09-30,418.52,431.01,414.91,424.49,1703832
2016-10-03,430.18,439.96,425.14,438.35,1544524
2016-10-04,440.27,441.87,429.24,430.83,1541588
2016-10-05,427.75,436.54,410.6,431.13,2504578
2016-10-06,431.57,439.96,425.98,433.83,1765382
2016-10-07,443.62,447.19,437.24,445.79,2427858
2016-10-10,450.22,455.81,434.53,436.63,2656906
