Date,Open,High,Low,Close,Volume
2016-06-27,71.08,71.57,70.14,70.88,5534759
2016-06-28,71.52,72.06,70.04,70.43,2696550
2016-06-29,71.03,71.42,70.38,71.08,3912678
2016-06-30,71.62,73.4,71.42,72.85,9921588
2016-07-01,73.35,73.74,72.61,72.9,2314481
2016-07-04,73.25,73.69,72.75,72.9,1432715
2016-07-05,72.9,74.58,72.21,73.05,4126786
2016-07-07,73.3,73.74,72.16,72.41,2406178
2016-07-08,72.11,72.61,68.16,70.14,5912298
2016-07-11,70.83,73.79,70.53,72.26,6399896
2016-07-12,72.85,73.1,71.22,72.21,4860619
2016-07-13,73.0,73.0,69.74,69.94,3510046
2016-07-14,70.38,71.03,69.35,69.99,2429176
2016-07-15,70.19,70.53,68.46,69.35,3716835
2016-07-18,69.45,71.32,69.35,70.19,5439733
2016-07-19,70.14,70.83,69.54,70.33,1548068
2016-07-20,71.03,73.3,70.53,72.66,4701512
2016-07-21,73.1,73.59,71.22,71.52,3399743
2016-07-22,71.77,73.1,71.12,72.51,2821285
2016-07-25,72.8,73.3,71.72,72.95,2469883
2016-07-26,73.1,73.54,71.32,71.91,1999271
2016-07-27,71.62,76.56,71.62,75.82,6416773
2016-07-28,76.95,77.84,75.92,77.15,8292249
2016-07-29,77.2,78.43,76.56,77.55,3769086
2016-08-01,79.52,79.72,75.72,77.55,4115252
2016-08-02,78.43,78.43,75.82,76.16,1460089
2016-08-03,76.76,77.2,73.4,74.09,2390910
2016-08-04,75.17,78.63,74.24,77.99,5903581
2016-08-05,78.93,80.31,77.64,79.62,4516255
2016-08-08,79.62,83.87,79.32,83.32,7565865
2016-08-09,83.97,84.41,81.4,82.34,5797889
2016-08-10,83.08,83.08,80.36,81.05,2246280
2016-08-11,80.66,82.24,80.31,81.6,1691089
2016-08-12,82.19,82.93,81.5,82.44,1559484
2016-08-16,82.48,85.6,81.79,84.91,3252900
2016-08-17,84.95,86.88,84.95,85.4,2686072
2016-08-18,85.55,87.72,85.0,86.29,2619302
2016-08-19,86.49,86.93,85.3,86.09,1650665
2016-08-22,85.7,87.82,85.2,86.34,1989136
2016-08-23,85.94,86.78,84.86,85.35,3821700
2016-08-24,85.0,85.74,83.42,85.35,2724599
2016-08-25,85.65,85.74,82.78,83.13,6107972
2016-08-26,83.08,83.72,81.3,81.84,2061638
2016-08-29,82.04,83.28,78.24,79.42,4287323
2016-08-30,80.76,83.47,78.53,80.85,11403318
2016-08-31,81.99,84.46,81.5,82.29,10605102
2016-09-01,83.42,83.62,79.57,80.11,3377292
2016-09-02,80.36,81.45,79.92,80.66,1822847
2016-09-06,81.5,81.89,80.71,81.45,2019538
2016-09-07,82.19,83.18,81.25,82.58,3519072
2016-09-08,82.93,82.93,80.76,81.69,2444249
2016-09-09,82.19,82.98,80.41,80.9,2873117
2016-09-12,80.02,81.45,76.95,78.83,3736330
2016-09-14,79.03,79.77,77.55,78.53,5782964
2016-09-15,78.78,79.72,78.29,79.03,3961629
2016-09-16,79.52,81.45,79.42,80.02,4135674
2016-09-19,80.31,81.65,80.06,81.15,1762855
2016-09-20,81.45,81.45,80.21,80.56,1760140
2016-09-21,80.26,81.3,79.72,80.06,2201357
2016-09-22,81.45,81.45,79.87,80.56,1750122
2016-09-23,80.61,80.81,79.03,79.42,1198952
2016-09-26,79.13,80.76,78.39,79.03,2143354
2016-09-27,79.23,79.77,77.79,78.04,1763786
2016-09-28,78.04,79.03,77.89,78.78,2095958
2016-09-29,79.62,79.62,68.11,73.64,6160658
2016-09-30,73.59,74.68,72.71,74.14,2123209
2016-10-03,74.38,78.24,74.38,77.79,2506294
2016-10-04,78.04,78.29,76.26,77.1,2714310
2016-10-05,77.25,78.63,76.8,77.84,2431155
2016-10-06,78.24,78.39,74.58,76.01,3585541
2016-10-07,76.06,76.61,75.08,75.92,1981564
