Date,Open,High,Low,Close,Volume
2016-07-07,185.99,187.17,184.29,186.21,215665
2016-07-08,188.13,188.13,183.32,186.54,707755
2016-07-11,186.18,188.81,183.0,184.13,1776155
2016-07-12,185.83,186.56,182.55,185.84,354100
2016-07-13,185.21,187.66,183.9,185.59,1767445
2016-07-14,186.79,187.47,182.13,184.55,1950250
2016-07-15,184.38,185.79,182.94,185.04,421905
2016-07-18,186.22,187.18,183.32,184.69,230995
2016-07-19,187.13,187.18,184.29,186.85,165175
2016-07-20,188.15,191.2,186.27,188.32,1275920
2016-07-21,188.88,197.24,187.2,193.83,593590
2016-07-22,192.59,199.17,190.67,197.45,425860
2016-07-25,198.22,198.59,196.01,198.14,609120
2016-07-26,196.62,202.57,196.46,201.11,2934075
2016-07-27,203.04,214.0,203.04,210.92,1252570
2016-07-28,211.74,214.57,208.83,209.06,1386205
2016-07-29,210.74,220.97,203.24,211.23,2033900
2016-08-01,213.48,226.79,208.83,222.79,992905
2016-08-02,225.02,225.85,220.44,222.92,503690
2016-08-03,222.41,222.57,211.39,216.96,1508905
2016-08-04,218.33,222.17,213.67,215.95,474485
2016-08-05,216.19,220.4,212.51,217.31,228650
2016-08-08,217.15,230.04,217.15,225.19,1512010
2016-08-09,225.08,226.62,219.18,220.6,112545
2016-08-10,220.04,221.35,214.64,217.77,88780
2016-08-11,217.77,219.42,210.77,212.52,118725
2016-08-12,212.7,213.82,210.77,211.61,127290
2016-08-16,213.05,215.61,209.92,215.08,204050
2016-08-17,214.64,218.7,213.67,218.03,126875
2016-08-18,217.73,219.47,213.67,215.19,1110530
2016-08-19,213.29,220.25,213.29,216.03,323590
2016-08-22,215.41,218.87,212.45,213.86,198455
2016-08-23,214.64,216.95,207.87,210.48,1465690
2016-08-24,215.45,215.82,208.64,210.24,740915
2016-08-25,210.77,215.61,210.34,213.54,959305
2016-08-26,214.04,227.79,212.33,224.24,1013895
2016-08-29,225.64,230.88,218.82,225.69,613540
2016-08-30,226.24,228.9,224.31,226.29,133045
2016-08-31,225.66,226.76,223.36,224.21,159605
2016-09-01,226.2,226.63,224.3,225.49,352880
2016-09-02,226.24,234.94,209.42,212.43,40969830
2016-09-06,214.12,215.76,205.61,214.5,2905385
2016-09-07,215.8,216.46,210.87,215.28,2415290
2016-09-08,214.64,216.52,211.35,212.61,791660
2016-09-09,209.03,215.99,209.03,213.26,2679235
2016-09-12,207.46,212.12,204.32,205.39,1006565
2016-09-14,204.42,209.54,204.42,207.73,774730
2016-09-15,212.12,213.48,209.04,212.53,777940
2016-09-16,214.62,215.45,204.0,212.37,6045435
2016-09-19,212.32,213.62,207.87,209.77,551530
2016-09-20,209.61,213.63,208.85,209.48,548365
2016-09-21,210.58,211.6,207.1,208.26,598875
2016-09-22,210.91,218.06,209.44,215.61,2409735
2016-09-23,215.8,219.43,213.09,216.02,642615
2016-09-26,216.51,221.54,213.48,218.82,695225
2016-09-27,219.28,226.43,217.01,219.64,820765
2016-09-28,220.43,221.92,217.32,220.17,679105
2016-09-29,221.85,224.45,201.09,217.23,1570955
2016-09-30,219.84,230.1,212.11,223.79,906690
2016-10-03,227.21,233.39,222.65,228.38,585985
2016-10-04,228.75,236.97,227.99,234.14,1367275
2016-10-05,234.94,238.79,232.06,237.48,421315
2016-10-06,238.81,240.36,232.04,234.09,278190
2016-10-07,233.97,237.84,230.11,231.83,220385
2016-10-10,231.83,234.0,228.39,228.9,666105
2016-10-13,230.94,231.07,223.19,229.33,751050
2016-10-14,231.32,233.78,228.69,232.96,240240
2016-10-17,234.75,237.65,229.91,232.35,995285
2016-10-18,232.23,234.17,227.79,231.2,269585
2016-10-19,232.85,234.36,228.46,229.67,232960
2016-10-20,228.27,232.62,228.27,229.23,191835
2016-10-21,231.06,235.51,230.49,233.71,252540
2016-10-24,233.59,235.72,228.58,230.06,155545
2016-10-25,229.91,231.83,225.93,227.34,442045
2016-10-26,227.22,230.96,216.57,223.06,478150
2016-10-27,225.81,225.85,219.2,220.27,265980
2016-10-28,221.79,231.65,221.41,229.22,695505
2016-11-01,229.3,229.4,223.39,225.55,163475
2016-11-02,227.28,227.28,219.67,224.8,571675
2016-11-03,225.83,225.85,216.78,219.73,892040
2016-11-04,220.05,224.28,210.77,216.24,717880
2016-11-07,224.31,224.31,213.9,215.93,1169405
2016-11-08,219.45,219.46,212.4,214.29,189505
2016-11-09,203.03,208.6,180.46,203.07,879605
2016-11-10,207.17,208.06,188.79,190.95,2008155
2016-11-11,190.95,192.98,168.23,180.93,2673185
