Date,Open,High,Low,Close,Volume
2021-12-24,846.74,854.6,735.76,746.79,13492548
2021-12-27,730.47,733.63,694.71,698.07,2137929
2021-12-28,698.07,739.86,694.37,726.61,1586404
2021-12-29,739.86,815.04,732.15,778.69,5408945
2021-12-30,783.83,805.15,763.65,769.84,1904086
2021-12-31,775.23,784.42,747.88,751.64,980471
2022-01-03,755.69,774.39,749.41,765.14,773259
2022-01-04,770.03,775.32,745.06,750.1,448706
2022-01-05,751.73,780.42,732.45,763.95,953044
2022-01-06,751.68,765.58,749.95,753.07,276248
2022-01-07,758.36,760.64,731.21,732.59,425068
2022-01-10,738.78,766.47,733.88,751.34,561329
2022-01-11,750.75,773.99,740.61,755.0,564979
2022-01-12,761.63,768.15,741.84,745.75,232552
2022-01-13,751.73,751.73,735.36,737.89,189888
2022-01-14,739.86,756.09,727.06,730.57,322468
2022-01-17,741.84,824.93,734.38,805.54,2841269
2022-01-18,812.71,815.53,764.15,771.57,823370
2022-01-19,771.52,803.47,748.17,786.45,812554
2022-01-20,783.39,797.23,767.07,774.83,381920
2022-01-21,775.47,795.26,740.46,750.5,529262
2022-01-24,746.79,756.68,698.32,712.61,471275
2022-01-25,710.19,749.26,697.93,727.9,298283
2022-01-27,714.15,730.86,707.22,709.84,185855
2022-01-28,718.1,768.5,716.13,733.29,771322
2022-01-31,740.76,746.79,703.32,713.95,275063
2022-02-01,719.69,739.86,718.1,724.63,201773
2022-02-02,729.87,745.65,705.59,713.01,429933
2022-02-03,716.13,735.81,714.99,729.08,251681
2022-02-04,731.9,736.01,720.53,723.1,125290
2022-02-07,717.21,729.18,701.83,706.58,193955
2022-02-08,711.18,718.55,687.29,696.34,161360
2022-02-09,709.99,722.01,692.58,710.49,365106
2022-02-10,717.11,723.45,706.23,710.98,128661
2022-02-11,703.27,718.1,702.38,705.49,215967
2022-02-14,682.99,704.26,632.1,642.98,368995
2022-02-15,645.01,677.55,623.4,671.91,470238
2022-02-16,688.43,688.43,663.95,670.18,117711
2022-02-17,672.6,677.4,652.82,657.37,113764
2022-02-18,652.82,665.48,638.03,642.04,111159
2022-02-21,633.04,639.81,604.35,613.8,180059
2022-02-22,602.28,602.28,577.9,591.1,291970
2022-02-23,597.43,618.0,597.43,608.31,117971
2022-02-24,572.01,587.74,568.75,578.98,214539
2022-02-25,593.43,612.76,591.15,601.29,164327
2022-02-28,591.5,617.16,584.82,606.88,195975
2022-03-02,603.37,661.53,597.38,655.25,431871
2022-03-03,666.97,672.31,628.34,633.78,184980
2022-03-04,631.06,638.97,608.31,616.13,162100
2022-03-07,607.32,626.56,598.02,613.36,165831
2022-03-08,621.22,643.38,613.36,635.81,230165
2022-03-09,636.01,712.17,636.01,705.34,463408
2022-03-10,712.17,727.2,657.97,663.26,448415
