Date,Open,High,Low,Close,Volume
2016-07-07,87.5,88.16,85.24,87.12,47225
2016-07-08,86.79,87.4,85.71,86.22,27662
2016-07-11,86.27,91.59,86.27,91.03,190124
2016-07-12,91.03,92.02,90.32,90.98,67082
2016-07-13,90.7,93.99,90.27,91.97,137546
2016-07-14,93.19,93.29,90.89,91.45,35528
2016-07-15,90.7,100.02,90.65,96.91,267828
2016-07-18,96.91,100.45,92.16,93.43,137949
2016-07-19,93.43,98.42,93.43,96.16,140708
2016-07-20,96.16,97.01,95.12,95.74,37323
2016-07-21,95.78,97.2,93.71,94.56,45431
2016-07-22,94.18,98.14,93.66,95.93,55353
2016-07-25,96.35,97.67,92.68,93.62,81706
2016-07-26,94.09,96.54,92.3,93.34,72419
2016-07-27,94.18,95.6,89.85,92.25,95906
2016-07-28,93.44,96.78,92.01,95.64,63217
2016-07-29,95.21,100.12,93.44,98.16,176925
2016-08-01,99.69,103.84,95.64,97.31,205222
2016-08-02,98.31,99.02,94.59,96.35,95862
2016-08-03,96.21,102.03,94.21,99.26,266962
2016-08-04,100.79,101.55,95.35,97.26,109124
2016-08-05,101.55,102.22,94.4,95.64,755953
2016-08-08,96.54,99.5,95.64,98.31,158660
2016-08-09,98.59,99.5,94.4,98.93,292593
2016-08-10,102.55,104.89,95.92,97.54,846625
2016-08-11,98.21,98.21,95.21,97.02,121406
2016-08-12,97.97,97.97,95.49,96.3,66673
2016-08-16,97.54,98.16,95.35,96.16,81297
2016-08-17,97.16,98.16,95.35,96.83,55114
2016-08-18,97.45,102.31,96.83,99.45,184121
2016-08-19,98.74,99.64,97.54,97.73,86627
2016-08-22,97.31,99.78,97.07,98.78,62940
2016-08-23,98.16,101.07,97.54,98.12,57583
2016-08-24,97.73,99.88,97.5,97.93,73052
2016-08-25,98.64,98.69,96.54,97.31,43500
2016-08-26,96.59,98.12,95.59,95.97,31901
2016-08-29,96.45,96.97,94.97,95.97,32421
2016-08-30,94.64,96.97,94.64,96.11,51605
2016-08-31,97.35,111.56,97.26,108.18,1517171
2016-09-01,109.03,118.09,107.03,114.37,1384462
2016-09-02,114.61,123.77,107.56,118.9,1008902
2016-09-06,120.14,124.81,119.19,120.81,501291
2016-09-07,121.1,121.43,116.33,118.43,162202
2016-09-08,118.81,125.34,116.95,124.29,422355
2016-09-09,124.91,127.77,120.71,121.81,270075
2016-09-12,120.81,120.81,114.85,116.04,130611
2016-09-14,116.23,119.19,114.71,118.43,105703
2016-09-15,118.38,120.0,115.37,115.95,97454
2016-09-16,116.81,118.57,110.27,112.66,149645
2016-09-19,113.47,115.95,113.42,115.18,58095
2016-09-20,116.09,119.76,113.47,114.18,234079
2016-09-21,115.66,116.66,112.8,113.23,95058
2016-09-22,116.14,117.71,113.47,116.95,93806
2016-09-23,117.28,118.24,114.52,115.33,59145
2016-09-26,113.52,114.52,111.66,112.61,55166
2016-09-27,111.99,115.37,111.99,113.56,64488
2016-09-28,113.85,118.9,112.99,115.66,212766
2016-09-29,115.95,120.95,103.31,109.27,354462
2016-09-30,106.08,115.23,106.08,113.52,104430
2016-10-03,115.37,116.33,113.56,115.09,71223
2016-10-04,115.37,119.19,115.37,116.42,54679
2016-10-05,116.71,123.86,115.37,122.43,261308
2016-10-06,123.77,125.77,119.81,120.76,206466
2016-10-07,120.14,120.14,114.52,114.76,245214
2016-10-10,114.95,118.04,113.75,114.23,83524
2016-10-13,114.37,119.95,111.66,114.04,202877
2016-10-14,116.71,116.71,110.8,115.14,60695
2016-10-17,114.47,117.28,114.42,114.52,84335
2016-10-18,115.71,116.61,114.76,115.76,43884
2016-10-19,115.76,123.0,112.85,121.29,329463
2016-10-20,120.14,122.91,119.0,119.95,97464
2016-10-21,120.19,120.24,115.18,117.38,120183
2016-10-24,117.71,118.24,114.9,115.9,101686
2016-10-25,117.66,117.66,114.18,114.76,69263
2016-10-26,116.09,116.09,110.61,111.85,107214
2016-10-27,103.5,109.08,102.98,105.12,266573
2016-10-28,105.84,108.7,103.27,106.32,84084
2016-11-01,112.42,112.42,103.93,106.22,97198
2016-11-02,104.89,106.46,100.45,104.41,82969
2016-11-03,104.93,106.13,101.07,101.84,88241
2016-11-04,103.41,103.41,98.45,99.69,88856
2016-11-07,102.22,103.84,99.36,99.98,58165
2016-11-08,100.12,102.03,98.74,99.93,39709
2016-11-09,86.86,102.88,82.96,101.36,172612
2016-11-10,104.89,104.89,101.12,102.17,42640
2016-11-11,98.5,102.98,95.3,95.88,96541
2016-11-15,95.59,98.16,89.63,90.49,73144
2016-11-16,95.16,95.35,85.05,86.86,85471
2016-11-17,87.72,89.63,85.91,88.01,199454
2016-11-18,88.39,92.25,86.1,89.34,55561
2016-11-21,87.39,89.53,84.0,85.15,51731
2016-11-22,88.06,89.44,85.77,86.63,63101
2016-11-23,88.63,89.2,86.77,87.87,41301
2016-11-24,87.72,90.58,87.72,89.77,35534
