Date,Open,High,Low,Close,Volume
2016-10-19,551.48,630.93,551.48,623.7,36506028
2016-10-20,636.33,650.31,586.19,591.45,8610390
2016-10-21,591.98,609.33,583.45,603.79,3193161
2016-10-24,609.24,611.26,597.81,604.9,942296
2016-10-25,604.9,611.69,596.56,603.93,633022
2016-10-26,600.22,604.95,585.23,593.09,514571
2016-10-27,592.94,595.79,583.3,590.1,359111
2016-10-28,590.1,606.15,590.1,602.01,401342
2016-11-01,595.83,599.45,584.36,586.82,214674
2016-11-02,583.2,592.36,567.1,580.31,644219
2016-11-03,577.61,597.18,577.61,582.87,354758
2016-11-04,583.4,586.92,561.13,572.74,322506
2016-11-07,581.37,599.55,576.55,592.32,532110
2016-11-08,592.94,609.33,584.51,601.91,398604
2016-11-09,528.35,623.75,507.13,610.59,685896
2016-11-10,621.29,625.0,601.62,609.67,341773
2016-11-11,597.76,606.44,566.91,574.05,337195
2016-11-15,578.43,578.43,528.83,565.42,552423
2016-11-16,573.76,577.23,538.47,546.71,260799
2016-11-17,546.71,552.45,523.81,528.15,382901
2016-11-18,528.25,534.13,508.1,522.95,472679
2016-11-21,519.43,519.43,500.14,504.19,514445
2016-11-22,508.92,515.52,503.28,510.75,268588
2016-11-23,515.09,530.56,509.06,525.89,264459
2016-11-24,523.52,528.35,514.85,521.21,174139
2016-11-25,528.35,535.09,521.89,525.84,165067
2016-11-28,529.21,556.16,522.99,542.47,246027
2016-11-29,544.16,573.51,539.14,562.76,520680
2016-11-30,563.05,580.17,559.49,571.92,309485
2016-12-01,574.62,576.12,556.4,563.49,92939
2016-12-02,563.49,565.27,544.83,552.35,98655
2016-12-05,549.56,562.81,538.95,546.04,151236
2016-12-06,549.03,553.85,543.29,546.23,103540
2016-12-07,550.52,578.91,549.51,569.27,586912
2016-12-08,572.6,579.2,561.22,563.15,193847
2016-12-09,564.4,569.66,556.31,558.47,43010
2016-12-12,554.67,561.61,548.16,551.34,70120
2016-12-13,550.52,559.2,547.72,548.83,35633
2016-12-14,553.36,557.27,546.66,549.75,75435
2016-12-15,546.33,553.85,542.42,544.3,35556
2016-12-16,544.98,559.68,544.98,552.59,115222
2016-12-19,556.26,562.91,547.72,553.41,81711
2016-12-20,554.38,555.82,545.7,549.22,20829
2016-12-21,553.41,554.28,543.29,547.39,68476
2016-12-22,548.59,549.56,534.32,538.08,29454
2016-12-23,541.94,547.63,536.06,541.31,26758
2016-12-26,540.78,540.88,517.26,523.09,22773
2016-12-27,515.91,533.07,515.91,528.78,32053
2016-12-28,529.79,558.04,527.67,549.8,88237
2016-12-29,544.74,557.08,544.74,549.36,41959
2016-12-30,544.78,568.55,539.0,556.06,100004
2017-01-02,559.2,566.24,552.45,557.8,29239
2017-01-03,561.03,563.01,550.42,552.21,22090
2017-01-04,547.63,559.0,547.63,550.81,14696
2017-01-05,553.32,564.98,550.09,552.98,42381
2017-01-06,552.98,557.37,541.02,542.66,31005
2017-01-09,539.91,551.87,537.99,543.48,22751
2017-01-10,544.59,547.53,535.62,538.13,77279
2017-01-11,558.72,570.77,549.65,553.61,208118
2017-01-12,557.08,586.19,548.54,578.72,475175
2017-01-13,580.41,584.17,563.05,565.99,88396
2017-01-16,565.18,568.41,559.2,563.3,46087
2017-01-17,565.27,575.97,557.51,562.33,568160
2017-01-18,564.31,582.34,564.31,572.7,88258
2017-01-19,574.62,587.93,569.37,579.78,111362
2017-01-20,573.76,578.82,561.61,565.32,27828
2017-01-23,564.98,571.25,560.16,563.34,36243
2017-01-24,559.39,582.24,559.39,575.15,66236
2017-01-25,578.38,595.3,576.6,590.24,217281
2017-01-27,591.98,597.23,583.35,587.06,62223
2017-01-30,580.07,607.4,580.07,603.21,95612
2017-01-31,604.51,610.97,574.62,592.85,219576
2017-02-01,597.76,612.22,586.19,610.34,88030
2017-02-02,607.4,621.29,602.58,617.72,76203
2017-02-03,616.76,620.81,608.71,611.36,97302
2017-02-06,607.5,622.54,607.5,616.85,54012
