Date,Open,High,Low,Close,Volume
2022-11-21,467.18,541.72,446.65,488.31,13932702
2022-11-22,492.29,505.0,473.86,490.3,1117795
2022-11-23,491.3,497.68,479.44,488.86,554688
2022-11-24,482.38,496.23,482.38,488.31,192573
2022-11-25,489.3,521.79,488.61,510.78,372240
2022-11-28,512.22,516.86,493.39,497.72,152475
2022-11-29,508.24,511.18,492.29,498.47,557957
2022-11-30,498.27,534.75,497.23,509.38,386424
2022-12-01,511.43,529.86,506.99,516.96,302352
2022-12-02,517.91,526.87,511.48,516.21,239327
2022-12-05,515.21,524.03,509.43,518.7,181204
2022-12-06,515.36,622.44,513.42,622.44,2132436
2022-12-07,665.69,685.32,585.32,615.77,3357129
2022-12-08,619.85,627.77,581.04,588.16,1157910
2022-12-09,584.08,589.91,558.12,563.05,525960
2022-12-12,565.79,581.93,559.11,565.54,236792
2022-12-13,575.65,601.61,562.05,581.34,595677
2022-12-14,582.98,605.85,580.94,598.28,386062
2022-12-15,596.53,615.12,575.01,582.73,214083
2022-12-16,591.75,625.63,584.47,608.14,423761
2022-12-19,624.78,624.78,588.01,592.6,233791
2022-12-20,591.5,615.67,588.31,612.73,303701
2022-12-21,612.88,612.88,570.02,593.39,270422
2022-12-22,604.55,604.55,561.5,568.58,102954
2022-12-23,568.58,572.12,548.1,551.74,91570
2022-12-26,583.43,591.95,559.41,584.62,182988
2022-12-27,584.62,592.4,570.22,575.65,73459
2022-12-28,576.0,585.42,573.01,578.64,39539
2022-12-29,578.0,611.63,573.01,592.05,221588
2022-12-30,605.6,620.7,599.92,612.58,156851
2023-01-02,612.58,616.71,596.13,603.26,125625
2023-01-03,607.89,650.69,603.46,625.33,679139
2023-01-04,626.68,642.67,614.82,625.38,137670
2023-01-05,629.97,657.62,623.79,647.46,272222
2023-01-06,646.76,648.15,625.33,635.05,188156
2023-01-09,640.78,644.72,624.88,630.76,62370
2023-01-10,628.52,628.82,585.12,591.55,156571
2023-01-11,602.81,607.69,593.94,599.97,71875
2023-01-12,599.87,599.87,575.01,583.88,68778
2023-01-13,585.47,597.88,581.73,586.02,49846
2023-01-16,582.98,593.34,582.98,587.86,30969
2023-01-17,583.48,601.17,583.48,592.3,41657
2023-01-18,594.99,601.91,584.52,587.76,41427
2023-01-19,591.9,596.93,587.96,589.41,20392
2023-01-20,588.96,594.24,585.37,589.86,21039
2023-01-23,597.93,613.77,585.47,588.56,88310
2023-01-24,591.0,597.93,586.37,588.61,82420
2023-01-25,589.01,601.91,587.26,594.99,38999
2023-01-27,597.93,601.81,583.98,591.2,73100
