Date,Open,High,Low,Close,Volume
2016-07-07,46.4,46.4,44.59,45.06,148940
2016-07-08,45.75,45.75,43.9,44.32,153351
2016-07-11,44.45,45.06,43.99,44.22,102613
2016-07-12,44.45,45.01,43.53,43.95,192736
2016-07-13,43.72,44.5,43.02,43.21,106764
2016-07-14,43.81,44.32,42.98,43.67,223434
2016-07-15,43.99,43.99,42.65,42.79,87723
2016-07-18,42.75,43.25,41.73,41.91,101860
2016-07-19,42.51,42.51,41.82,42.28,79247
2016-07-20,43.07,44.82,41.68,43.44,303804
2016-07-21,43.53,44.13,42.98,43.07,170981
2016-07-22,43.44,44.78,43.02,44.59,252754
2016-07-25,45.19,46.53,43.99,46.16,761131
2016-07-26,46.4,46.4,44.09,44.59,304675
2016-07-27,44.82,46.67,44.36,46.16,476024
2016-07-28,46.49,46.49,44.32,44.82,280631
2016-07-29,44.78,44.96,43.44,43.85,97132
2016-08-01,44.59,44.78,42.98,43.35,172938
2016-08-02,42.98,43.9,42.51,42.61,65319
2016-08-03,42.84,42.84,41.59,41.73,105216
2016-08-04,42.28,42.98,41.64,42.01,90242
2016-08-05,42.51,43.62,41.96,43.39,193823
2016-08-08,43.35,44.04,42.61,43.35,97713
2016-08-09,43.85,43.85,42.65,42.98,85398
2016-08-10,42.51,43.72,42.05,42.42,52188
2016-08-11,42.47,43.53,41.64,42.38,206491
2016-08-12,42.42,42.93,42.1,42.19,76662
2016-08-16,42.47,42.47,40.34,40.67,240502
2016-08-17,41.04,41.5,40.25,40.9,81552
2016-08-18,41.17,42.33,40.71,41.73,94145
2016-08-19,42.1,42.33,40.57,40.8,110014
2016-08-22,39.74,44.82,38.96,43.85,529329
2016-08-23,43.44,44.04,43.35,43.95,143751
2016-08-24,43.48,44.73,43.16,44.45,205000
2016-08-25,44.82,45.24,44.36,44.73,174253
2016-08-26,45.01,45.01,42.79,43.07,74940
2016-08-29,43.07,43.67,41.96,42.33,66365
2016-08-30,42.88,43.62,42.24,42.51,95976
2016-08-31,43.07,43.58,41.96,42.28,197364
2016-09-01,42.28,43.21,41.96,42.14,53913
2016-09-02,42.19,42.75,41.35,41.54,72595
2016-09-06,41.82,42.24,41.35,41.58,121661
2016-09-07,41.58,42.24,40.66,41.58,171926
2016-09-08,42.19,44.05,41.58,43.63,356669
2016-09-09,44.09,45.44,43.3,43.58,1131076
2016-09-12,42.47,42.51,40.24,41.91,324747
2016-09-14,41.91,43.12,41.63,42.89,83379
2016-09-15,43.12,43.49,42.05,42.33,58484
2016-09-16,42.75,42.98,41.17,41.49,101084
2016-09-19,42.28,42.28,41.35,41.82,66296
2016-09-20,41.82,42.24,40.89,41.17,96159
2016-09-21,41.68,42.0,40.66,40.89,60505
2016-09-22,41.12,41.82,40.1,40.61,145407
2016-09-23,40.47,41.17,39.68,39.91,183366
2016-09-26,40.33,40.89,39.63,40.0,115356
2016-09-27,40.42,40.84,39.12,39.96,91389
2016-09-28,39.96,40.66,39.96,40.42,160584
2016-09-29,41.12,41.12,36.71,37.4,273260
2016-09-30,38.1,39.45,36.33,38.24,101784
2016-10-03,39.03,39.68,38.1,39.17,110851
2016-10-04,39.03,40.42,39.03,39.54,139739
2016-10-05,40.52,40.52,39.49,39.59,53042
2016-10-06,40.0,40.66,39.49,39.54,131303
2016-10-07,39.77,40.24,38.94,39.17,48387
2016-10-10,39.59,41.4,38.33,40.84,402087
2016-10-13,40.42,41.35,39.63,40.7,324447
2016-10-14,41.17,43.68,40.47,43.4,737886
2016-10-17,43.21,43.3,41.35,41.54,218504
2016-10-18,41.82,42.42,40.89,41.77,135012
2016-10-19,41.82,42.65,41.4,42.47,118194
2016-10-20,42.75,47.95,42.56,45.26,2161414
2016-10-21,44.6,47.3,44.14,46.84,1099163
2016-10-24,46.93,47.95,44.7,45.39,852372
2016-10-25,45.53,45.86,43.72,44.05,265251
2016-10-26,43.68,45.72,42.75,43.91,305025
2016-10-27,44.42,44.42,42.28,43.12,170444
2016-10-28,42.89,44.33,42.28,43.3,158044
2016-11-01,43.63,43.63,41.82,42.24,126869
2016-11-02,41.72,42.28,40.52,40.93,177955
2016-11-03,41.58,42.19,40.52,40.7,86430
2016-11-04,40.7,41.26,39.49,39.63,174081
2016-11-07,39.63,41.35,39.63,40.42,49031
2016-11-08,40.75,40.75,39.63,39.91,34563
