Date,Open,High,Low,Close,Volume
2023-12-29,450.77,540.9,450.77,539.8,15496570
2024-01-01,533.42,547.28,504.51,528.78,3492240
2024-01-02,528.39,586.26,526.74,563.83,2538466
2024-01-03,563.83,577.29,545.43,548.23,931875
2024-01-04,548.43,555.36,531.58,535.91,541015
2024-01-05,536.41,551.62,529.33,535.56,969102
2024-01-08,533.42,536.41,510.49,521.95,758943
2024-01-09,528.48,536.16,516.47,525.29,499482
2024-01-10,519.06,531.43,513.58,519.36,333937
2024-01-11,520.51,526.79,514.88,517.07,293035
2024-01-12,517.47,532.42,512.68,517.62,444380
2024-01-15,517.62,517.62,517.62,517.62,0
2024-01-16,512.13,514.43,499.52,505.95,185366
2024-01-17,498.42,518.96,494.54,516.22,275306
2024-01-18,521.46,523.45,499.92,517.67,244371
2024-01-19,575.65,582.18,529.83,537.86,1243047
2024-01-23,525.39,528.88,508.69,515.87,262425
2024-01-24,513.48,524.75,507.5,522.0,130040
2024-01-25,522.0,528.43,501.32,514.38,287078
2024-01-29,513.53,519.36,501.51,507.5,488479
2024-01-30,508.49,514.48,501.51,512.03,366266
2024-01-31,511.49,518.56,509.39,515.52,100137
2024-02-01,515.47,522.45,511.98,520.46,97115
2024-02-02,520.91,536.71,516.97,532.07,248473
2024-02-05,528.48,544.39,526.44,535.17,171630
2024-02-06,531.43,548.87,526.99,539.4,139265
2024-02-07,541.1,553.91,534.87,545.24,172111
2024-02-08,545.24,553.21,524.3,530.08,84629
2024-02-09,530.33,532.77,511.68,525.14,111548
2024-02-12,538.31,548.38,529.53,543.64,274248
2024-02-13,553.36,568.32,529.43,548.63,204146
2024-02-14,529.38,548.87,524.5,544.74,154700
2024-02-15,553.36,553.36,519.61,531.68,91537
2024-02-16,534.22,542.29,526.69,529.43,70015
2024-02-19,534.37,537.81,519.51,522.2,56036
2024-02-20,522.7,533.02,519.46,525.24,91734
2024-02-21,530.43,531.87,514.48,520.71,88132
2024-02-22,524.4,525.19,515.47,522.5,51432
2024-02-23,519.96,536.41,517.52,530.13,98525
2024-02-26,531.23,546.38,527.04,532.07,59412
2024-02-27,533.42,539.3,532.42,534.57,66868
2024-02-28,541.8,565.03,534.67,543.29,248267
2024-02-29,534.42,535.31,521.61,527.34,75847
2024-03-01,528.48,534.42,525.54,531.18,45924
2024-03-04,528.88,535.36,522.05,524.5,63144
2024-03-05,521.46,525.39,521.46,523.4,23577
2024-03-06,522.35,525.0,513.08,522.55,39441
2024-03-07,513.73,526.44,513.73,524.55,233765
2024-03-11,516.52,526.44,515.32,518.66,26688
2024-03-12,518.96,524.45,494.04,511.39,133277
2024-03-13,512.78,512.78,470.11,477.74,96529
2024-03-14,470.56,486.86,460.64,480.53,110232
2024-03-15,476.19,484.27,465.62,477.69,44164
2024-03-18,478.53,482.57,465.67,476.44,77297
2024-03-19,479.08,494.54,461.03,476.94,82830
2024-03-20,476.94,483.52,469.61,473.5,23807
2024-03-21,476.29,482.22,461.63,468.66,73893
2024-03-22,468.66,492.44,468.66,485.31,75179
2024-03-26,478.03,492.24,465.72,467.52,139495
2024-03-27,464.67,470.86,449.12,453.11,242079
2024-03-28,453.71,459.69,441.94,448.22,167019
2024-04-01,454.9,461.53,447.77,449.02,193835
2024-04-02,452.66,463.48,445.98,457.45,294606
2024-04-03,458.69,479.28,457.94,473.45,165435
2024-04-04,476.74,478.28,466.62,467.07,75702
2024-04-05,466.72,471.55,461.18,462.73,74824
2024-04-08,462.78,472.6,460.64,466.02,70819
2024-04-09,468.11,469.61,461.63,462.78,16608
2024-04-10,463.58,470.61,458.69,468.96,41648
2024-04-12,476.49,484.76,466.57,482.42,115776
2024-04-15,482.42,488.55,466.87,484.32,71886
2024-04-16,477.04,483.47,471.6,479.03,23155
2024-04-18,474.69,487.06,471.2,476.94,42241
2024-04-19,470.61,478.58,466.17,468.81,28520
2024-04-22,468.81,473.3,468.66,470.16,14055
2024-04-23,470.16,472.6,463.93,467.91,25137
2024-04-24,469.11,473.6,464.03,472.6,39922
2024-04-25,468.86,474.44,468.66,470.56,15422
2024-04-26,465.67,473.6,463.73,468.16,26673
2024-04-29,459.69,473.6,459.69,471.3,49229
2024-04-30,473.6,474.59,465.02,471.7,30795
2024-05-02,474.79,475.59,461.13,463.88,64580
2024-05-03,467.47,467.47,453.71,456.95,39903
2024-05-06,463.93,465.47,449.77,458.09,29622
2024-05-07,458.59,461.68,448.92,454.95,17090
2024-05-08,460.59,461.58,449.42,460.59,19702
2024-05-09,459.74,463.63,450.32,451.01,18587
2024-05-10,458.54,460.64,449.67,457.59,21080
2024-05-13,457.74,466.02,453.91,459.54,28385
2024-05-14,461.38,472.2,459.29,467.52,29654
2024-05-15,471.6,483.37,468.61,477.39,67511
2024-05-16,479.58,494.29,478.08,487.56,331501
2024-05-17,487.66,503.41,485.06,501.07,106766
2024-05-21,515.62,515.62,500.17,502.01,32618
2024-05-22,502.51,505.95,483.02,489.5,40772
2024-05-23,485.56,503.51,485.56,494.78,44997
2024-05-24,501.02,502.01,481.87,484.37,34357
2024-05-27,488.55,498.57,478.58,494.88,46474
2024-05-28,496.53,496.53,485.11,486.36,14003
2024-05-29,489.05,493.54,478.63,488.45,17950
2024-05-30,493.04,504.01,453.91,467.71,123318
2024-05-31,470.86,486.51,470.86,479.18,68823
2024-06-03,483.57,491.49,468.61,477.09,257335
2024-06-04,477.09,483.57,420.11,454.9,96169
2024-06-05,461.73,494.54,448.32,487.16,120737
2024-06-06,491.05,503.51,480.83,499.52,83362
2024-06-07,494.54,503.96,487.56,495.88,39409
2024-06-10,503.31,503.31,489.6,491.15,25972
2024-06-11,496.03,496.03,485.66,489.2,23617
2024-06-12,489.1,494.54,482.57,490.55,30052
2024-06-13,492.04,496.93,488.55,489.4,24913
2024-06-14,493.54,496.53,485.66,490.9,23580
2024-06-18,491.54,498.37,477.59,481.72,194951
2024-06-19,484.56,496.63,484.56,494.88,749456
2024-06-20,503.51,507.5,492.39,500.72,67690
2024-06-21,499.52,500.82,492.59,498.67,43351
2024-06-24,502.51,502.51,493.09,499.47,111693
2024-06-25,499.62,514.43,499.47,510.54,71262
2024-06-26,510.54,522.45,494.68,502.36,100991
2024-06-27,502.56,512.48,488.6,505.5,39395
2024-06-28,505.65,512.48,493.54,507.05,69918
2024-07-01,507.25,518.31,485.36,497.13,126555
2024-07-02,497.13,507.5,492.04,503.46,50321
2024-07-03,510.99,512.78,496.18,500.17,84781
2024-07-04,507.65,512.28,503.51,506.85,50971
2024-07-05,506.85,508.49,501.96,505.95,23471
2024-07-08,510.99,515.47,497.83,511.29,48683
2024-07-09,519.76,519.76,493.54,504.06,533925
2024-07-10,509.39,510.24,496.58,502.56,78537
2024-07-11,502.56,504.21,494.14,501.42,60886
2024-07-12,498.52,514.53,498.52,510.19,60163
2024-07-15,510.19,517.47,501.46,509.44,54332
2024-07-16,503.51,547.78,499.52,512.98,298210
2024-07-18,518.41,581.28,516.17,555.8,561753
2024-07-19,554.36,580.03,546.43,556.45,240564
2024-07-22,563.13,596.53,547.58,560.29,429190
2024-07-23,560.89,590.25,539.45,577.59,197248
2024-07-24,584.27,624.25,584.27,617.57,359844
2024-07-25,617.12,633.12,607.0,624.85,179495
2024-07-26,632.58,634.12,600.32,607.95,113516
2024-07-29,608.6,637.11,599.62,631.03,114595
2024-07-30,641.5,647.88,619.17,630.38,76311
2024-07-31,638.66,638.66,620.71,631.03,75185
2024-08-01,633.37,637.06,611.24,625.3,96714
2024-08-02,615.33,629.09,609.25,618.97,122785
2024-08-05,609.2,612.79,584.52,595.49,165726
2024-08-06,596.03,620.31,591.3,608.3,82946
2024-08-07,612.19,633.22,606.65,626.99,75564
2024-08-08,623.75,634.52,600.22,606.85,74806
2024-08-09,618.17,632.13,593.54,596.78,72877
2024-08-12,608.1,608.1,590.85,603.36,194780
2024-08-13,608.1,694.89,598.28,650.27,669177
2024-08-14,672.91,677.84,636.27,647.78,160806
2024-08-16,646.63,670.91,635.77,664.78,182808
2024-08-19,669.47,722.86,669.47,685.32,283029
2024-08-20,687.61,718.27,685.32,697.28,195133
2024-08-21,696.94,699.53,673.01,676.05,123416
2024-08-22,676.05,687.91,669.42,674.2,68171
2024-08-23,674.65,693.99,666.13,690.11,102803
2024-08-26,696.84,696.89,679.14,693.2,78457
2024-08-27,697.78,712.79,668.07,679.04,165536
2024-08-28,680.98,685.87,656.01,664.13,62364
2024-08-29,671.91,671.91,646.09,649.13,166083
2024-08-30,650.07,666.03,650.07,655.96,59675
2024-09-02,677.99,707.65,664.03,694.44,207718
2024-09-03,694.44,703.67,684.02,695.74,45799
2024-09-04,695.74,702.42,682.63,699.18,53484
2024-09-05,709.6,770.12,703.42,734.47,445452
2024-09-06,734.72,762.64,717.82,749.58,176797
2024-09-09,731.33,762.64,724.21,757.36,63769
2024-09-10,762.64,762.64,737.81,755.46,83035
2024-09-11,749.53,780.09,732.83,742.3,129583
2024-09-12,749.08,772.66,738.16,756.91,99634
2024-09-13,762.64,791.01,753.52,782.58,70749
2024-09-16,783.58,792.05,762.14,773.16,75462
2024-09-17,772.61,839.06,758.75,800.73,269309
2024-09-18,807.46,812.09,792.6,803.37,81528
2024-09-19,814.59,814.59,746.89,771.52,144052
2024-09-20,771.71,805.56,756.31,792.55,86710
2024-09-23,800.48,802.62,763.74,766.78,97714
2024-09-24,773.76,773.76,752.77,759.55,46311
2024-09-25,759.6,776.8,752.82,770.02,52773
2024-09-26,777.7,777.7,751.92,759.15,43353
2024-09-27,766.73,792.65,753.82,770.47,43086
2024-09-30,770.47,776.7,751.08,770.82,52535
2024-10-01,770.82,782.68,756.31,772.71,47502
2024-10-03,760.35,772.71,754.91,761.89,31847
2024-10-04,764.49,773.11,724.85,735.32,52130
2024-10-07,740.81,767.73,693.4,736.92,78421
2024-10-08,737.67,747.74,721.91,733.48,36907
2024-10-09,734.18,754.76,719.72,725.9,40475
2024-10-10,731.13,734.52,712.89,720.67,47118
2024-10-11,725.85,725.85,706.01,712.49,39312
2024-10-14,714.04,763.69,712.89,748.33,233488
2024-10-15,748.78,763.29,725.6,736.27,51718
2024-10-16,738.71,738.71,721.86,735.07,18684
2024-10-17,735.67,737.81,723.11,731.93,32650
2024-10-18,727.84,747.69,707.9,743.8,48054
2024-10-21,743.8,744.74,716.88,724.5,25440
2024-10-22,729.74,729.89,678.54,685.82,74834
2024-10-23,678.99,743.85,678.89,717.82,121625
2024-10-24,717.87,737.81,702.87,724.21,38477
2024-10-25,724.11,747.79,695.19,708.25,128700
2024-10-28,712.89,752.57,698.38,738.61,41934
2024-10-29,757.21,763.19,723.86,731.43,61196
2024-10-30,731.43,774.71,731.43,759.65,47882
2024-10-31,777.5,785.67,756.01,775.3,35614
2024-11-01,780.69,789.66,777.7,785.52,21179
2024-11-04,792.65,842.5,786.67,802.22,164876
2024-11-05,790.21,827.55,790.21,818.78,92638
2024-11-06,827.45,846.29,827.45,840.21,83491
2024-11-07,874.41,874.41,834.68,859.75,99976
2024-11-08,891.36,981.04,864.44,948.74,995710
2024-11-11,938.22,1016.19,910.4,935.58,395500
2024-11-12,937.22,974.76,921.37,951.23,97492
2024-11-13,957.96,995.8,936.28,958.26,262586
2024-11-14,957.17,1007.02,953.53,985.58,175196
2024-11-18,989.27,999.84,955.22,968.03,142950
2024-11-19,968.23,968.23,916.98,929.0,111704
2024-11-21,932.24,972.12,902.33,965.89,101261
2024-11-22,975.06,1055.87,968.43,1012.35,254282
2024-11-25,1030.75,1032.49,990.17,1001.78,250289
2024-11-26,1016.99,1056.87,999.39,1038.82,193679
2024-11-27,1040.92,1041.42,1002.03,1016.34,88505
2024-11-28,1022.87,1026.86,980.65,1002.03,148323
2024-11-29,1002.08,1037.93,1002.08,1018.88,107670
2024-12-02,1030.95,1172.53,1026.76,1122.08,601106
2024-12-03,1116.69,1119.09,1077.56,1090.17,115164
2024-12-04,1092.76,1095.7,1014.99,1021.82,178017
2024-12-05,1026.81,1128.96,1013.05,1113.85,232899
2024-12-06,1111.41,1111.41,1070.83,1079.45,86485
2024-12-09,1079.3,1087.48,1050.69,1068.34,86953
2024-12-10,1065.84,1108.72,1054.93,1085.83,92103
2024-12-11,1096.55,1113.15,1058.42,1067.84,78821
2024-12-12,1074.82,1077.86,1021.97,1038.37,68839
2024-12-13,1048.74,1084.79,1027.01,1048.2,84116
2024-12-16,1040.72,1044.91,1012.0,1015.04,59312
2024-12-17,1020.93,1035.68,997.15,1029.8,73636
2024-12-18,1030.95,1045.85,1002.03,1006.57,45120
2024-12-19,1006.57,1026.96,984.73,1014.15,58857
2024-12-20,1014.99,1023.67,965.59,975.66,72260
2024-12-23,983.04,1001.04,972.37,983.79,51458
2024-12-24,983.79,985.03,954.12,972.52,53837
2024-12-26,965.69,1108.02,962.25,1053.08,128281
2024-12-27,1076.81,1104.63,1027.06,1077.86,165772
2024-12-30,1077.86,1151.59,1077.86,1095.56,210563
2024-12-31,1098.75,1126.61,1079.35,1112.11,64234
2025-01-01,1112.11,1116.69,1093.71,1106.17,30551
2025-01-02,1122.77,1161.56,1122.18,1135.49,127989
2025-01-03,1156.57,1211.41,1146.6,1179.46,204927
2025-01-06,1189.08,1255.28,1178.51,1199.0,299695
2025-01-07,1199.45,1246.46,1198.6,1236.34,132989
2025-01-08,1240.33,1256.28,1160.06,1184.19,127687
2025-01-09,1169.54,1177.56,1108.12,1117.04,114673
2025-01-10,1117.04,1141.37,1066.84,1078.36,108555
2025-01-13,1069.68,1092.27,1005.07,1012.7,106429
2025-01-14,1096.7,1096.7,1016.99,1035.43,72915
2025-01-15,1041.91,1064.85,973.32,1013.3,231915
2025-01-16,1021.97,1054.93,992.06,1038.57,89774
2025-01-17,1035.93,1037.43,1008.81,1031.4,40633
2025-01-20,1046.9,1058.27,1007.02,1017.04,48117
2025-01-21,1013.65,1041.76,1000.29,1033.04,46308
2025-01-22,1031.94,1031.94,949.84,1000.04,110121
2025-01-23,982.89,1095.75,982.89,1065.69,110563
2025-01-24,1057.37,1057.87,984.04,1000.04,96705
2025-01-27,978.35,996.0,915.29,934.78,124751
2025-01-28,934.78,949.64,878.45,893.06,146174
2025-01-29,878.4,967.53,878.4,949.74,85861
2025-01-30,949.74,981.24,945.85,966.09,32531
2025-01-31,970.87,1012.1,966.09,1001.88,34631
2025-02-01,1001.88,1003.48,927.35,963.35,85862
2025-02-03,987.08,1001.98,963.4,986.63,41856
2025-02-04,997.05,1008.31,982.24,1005.02,31183
2025-02-05,1008.91,1020.98,984.09,1004.23,36499
2025-02-06,975.11,980.99,921.27,947.74,177604
2025-02-07,936.23,936.23,897.59,922.42,101051
2025-02-10,923.27,937.22,892.36,897.94,35777
2025-02-11,897.94,903.23,847.49,848.94,79162
2025-02-12,837.52,846.39,817.58,839.51,64852
2025-02-13,852.13,860.1,832.53,835.53,97217
2025-02-14,840.51,844.4,775.25,822.81,78028
2025-02-17,811.3,830.19,786.77,797.04,56562
2025-02-18,793.95,807.61,759.8,769.67,94202
2025-02-19,772.71,840.46,772.71,811.2,66538
2025-02-20,812.69,817.53,787.67,809.05,63441
2025-02-21,827.55,831.99,773.21,781.83,79679
2025-02-24,770.37,780.49,755.26,767.73,77369
2025-02-25,767.73,786.47,764.29,774.41,28201
2025-02-27,774.41,775.7,740.46,758.5,40913
2025-02-28,769.87,769.87,697.98,723.76,62453
2025-03-03,722.86,735.72,660.05,689.06,130186
2025-03-04,736.62,736.62,673.31,684.97,114938
2025-03-05,669.82,734.82,661.39,717.38,533414
2025-03-06,721.86,762.89,721.86,733.08,109664
2025-03-07,744.1,817.58,732.83,763.79,427389
2025-03-10,762.34,802.42,748.78,780.99,154629
2025-03-11,769.27,795.64,751.32,786.82,64696
2025-03-12,787.67,787.67,764.98,773.36,58719
2025-03-13,770.42,796.64,763.24,777.25,106033
2025-03-17,781.68,817.98,769.92,784.93,71270
2025-03-18,784.93,784.93,784.93,784.93,0
2025-03-19,855.77,892.06,842.8,875.41,113751
2025-03-20,888.52,897.29,855.52,891.86,85413
2025-03-21,900.73,925.61,889.57,915.74,96435
2025-03-24,926.26,944.85,920.52,935.28,76138
2025-03-25,957.12,961.15,885.33,894.65,95003
2025-03-26,894.65,919.28,873.36,883.43,95695
