Date,Open,High,Low,Close,Volume
2018-09-28,30.69,34.63,30.47,30.93,56754790
2018-10-01,31.14,32.39,30.28,31.8,6246240
2018-10-03,32.13,32.61,31.17,31.39,2797650
2018-10-04,31.21,31.21,30.09,30.32,2323640
2018-10-05,30.31,30.47,28.92,29.78,3735300
2018-10-08,29.64,29.79,28.3,28.45,1343180
2018-10-09,28.49,28.77,26.44,27.08,2516940
2018-10-10,27.33,28.63,26.57,27.19,6824820
2018-10-11,26.8,27.79,26.07,26.88,1919870
2018-10-12,27.63,27.81,26.97,27.41,2589690
2018-10-15,27.86,28.21,27.45,27.96,2281080
2018-10-16,28.18,29.2,27.71,28.26,2342680
2018-10-17,28.66,28.66,27.23,27.38,1099970
2018-10-19,27.34,27.34,26.81,26.94,594940
2018-10-22,27.1,27.18,26.44,26.5,508450
2018-10-23,26.5,26.5,25.77,25.91,609410
2018-10-24,26.29,26.41,25.62,25.73,556270
2018-10-25,25.61,26.02,25.17,25.52,539670
2018-10-26,25.56,26.29,25.39,25.81,613980
2018-10-29,26.07,26.21,25.7,25.96,576260
2018-10-30,26.13,26.62,25.85,25.94,777200
2018-10-31,26.13,26.2,25.66,25.87,404030
2018-11-01,26.0,26.96,25.84,26.54,1432030
2018-11-02,26.86,27.65,26.71,26.88,1817750
2018-11-05,27.04,27.48,26.96,27.23,433010
2018-11-06,27.56,27.56,26.96,27.11,400310
2018-11-07,27.36,27.82,27.18,27.66,499290
2018-11-09,27.82,29.05,27.71,28.7,1340130
2018-11-12,28.95,31.11,28.94,30.36,3099970
2018-11-13,30.31,31.27,30.09,30.95,2841870
2018-11-14,31.65,31.65,30.39,31.37,5148410
2018-11-15,31.59,32.16,30.91,31.46,3015070
2018-11-16,31.38,31.8,30.69,30.9,1028090
2018-11-19,30.9,31.12,30.3,30.54,428820
2018-11-20,30.39,30.82,29.79,29.93,487210
2018-11-21,29.94,30.29,29.5,29.66,553750
2018-11-22,29.77,29.94,28.82,28.96,382310
2018-11-26,29.05,29.6,28.08,28.99,652240
2018-11-27,28.67,30.61,28.67,30.42,1075660
2018-11-28,30.54,31.73,30.54,31.55,2184300
2018-11-29,31.65,32.39,31.13,31.86,1564090
2018-11-30,31.88,32.1,31.47,32.01,674970
2018-12-03,32.17,32.69,31.88,32.23,748810
2018-12-04,32.25,32.25,31.38,31.72,384860
2018-12-05,31.43,32.7,31.43,32.36,2394120
2018-12-06,32.32,32.74,31.47,32.12,1958240
2018-12-07,32.29,32.58,31.77,32.02,1430850
2018-12-10,31.13,31.73,30.88,31.01,703030
2018-12-11,30.69,31.5,30.06,30.98,504790
2018-12-12,31.28,32.03,31.08,31.64,470890
2018-12-13,32.02,32.24,31.5,31.59,355890
2018-12-14,31.44,32.06,31.32,31.67,342160
2018-12-17,32.03,35.08,31.8,34.17,14966000
2018-12-18,33.99,34.91,33.76,34.52,5064700
2018-12-19,34.65,34.83,34.05,34.24,1632580
2018-12-20,33.89,34.71,33.41,33.83,1546660
2018-12-21,33.66,34.04,33.11,33.33,981360
2018-12-24,33.33,33.44,32.49,32.56,540850
2018-12-26,32.4,33.37,31.73,33.04,1146320
2018-12-27,33.07,33.88,32.84,33.71,983050
2018-12-28,33.71,34.22,33.58,33.78,564860
2018-12-31,33.89,34.18,33.14,33.18,601810
2019-01-01,33.32,33.74,33.0,33.3,409800
2019-01-02,33.15,33.51,32.47,32.58,374770
2019-01-03,32.62,32.89,31.77,31.88,630570
2019-01-04,32.03,32.23,31.32,31.4,581990
2019-01-07,31.65,32.17,30.92,31.03,637140
2019-01-08,31.06,31.23,30.65,30.73,475480
2019-01-09,30.83,31.44,30.65,30.73,712090
2019-01-10,30.74,31.42,30.69,30.83,636240
2019-01-11,31.19,31.42,30.8,31.02,761540
2019-01-14,30.84,31.21,30.58,30.78,418180
2019-01-15,30.83,30.96,30.4,30.6,589360
2019-01-16,30.61,31.21,30.61,31.05,471310
2019-01-17,31.13,32.17,31.08,31.37,1548890
2019-01-18,31.54,31.54,30.47,30.58,689570
2019-01-21,30.61,30.94,30.25,30.37,330360
2019-01-22,30.37,30.37,29.37,29.55,619770
2019-01-23,29.42,29.79,28.9,29.04,367350
2019-01-24,29.32,29.32,28.58,28.65,461120
2019-01-25,28.75,29.75,28.67,28.9,1005850
2019-01-28,29.05,29.33,27.63,27.98,644440
2019-01-29,28.0,28.59,28.0,28.28,295770
2019-01-30,28.45,29.27,28.44,28.77,329240
2019-01-31,29.05,29.31,28.75,29.03,488890
2019-02-01,29.34,29.34,28.54,28.64,362150
2019-02-04,28.75,29.12,28.06,28.3,347270
2019-02-05,28.38,29.05,28.31,28.81,402340
2019-02-06,28.98,29.23,28.38,28.7,355160
2019-02-07,28.88,29.25,28.73,29.02,438850
2019-02-08,29.08,29.26,28.72,28.81,784270
2019-02-11,28.76,29.2,28.38,28.91,360280
2019-02-12,29.2,29.34,28.76,29.08,349950
2019-02-14,28.71,29.01,28.56,28.69,200330
2019-02-15,28.43,29.34,28.43,29.12,360010
2019-02-18,29.11,29.11,27.73,28.15,181000
2019-02-19,28.14,28.71,27.89,28.26,281020
2019-02-20,28.07,28.58,28.06,28.38,274710
2019-02-21,28.65,29.09,28.35,28.84,203770
2019-02-22,28.74,29.48,28.74,29.27,219460
2019-02-25,29.11,29.57,29.11,29.45,114900
2019-02-26,29.19,29.26,28.73,28.97,184930
2019-02-27,28.88,30.14,28.74,29.2,439930
2019-02-28,29.2,31.1,29.2,30.68,1099940
2019-03-01,31.03,31.64,30.23,31.18,1108170
2019-03-05,31.33,32.82,27.43,32.15,1629170
2019-03-06,32.48,32.94,31.95,32.74,803630
2019-03-07,33.0,33.02,32.34,32.66,469100
2019-03-08,32.45,33.71,32.18,32.93,1053720
2019-03-11,32.69,33.36,32.69,32.89,388910
2019-03-12,33.1,33.33,32.71,32.85,747210
2019-03-13,33.17,33.17,32.08,32.27,436080
2019-03-14,32.04,32.71,31.88,32.06,271910
2019-03-15,32.1,32.48,31.49,31.59,309140
2019-03-18,31.49,32.25,31.28,31.42,293720
2019-03-19,31.49,31.6,31.11,31.25,235950
2019-03-20,31.44,31.98,31.15,31.23,462100
2019-03-22,31.34,31.41,30.65,30.75,196470
2019-03-25,30.63,30.63,30.03,30.08,157140
2019-03-26,30.84,31.33,30.41,30.67,580480
2019-03-27,30.67,31.03,30.15,30.56,564370
2019-03-28,30.87,30.9,30.3,30.43,323370
2019-04-01,31.03,31.34,30.84,30.91,265070
2019-04-02,30.95,31.23,30.76,30.89,221450
2019-04-03,31.03,31.98,30.92,31.11,549440
2019-04-04,31.26,31.48,30.87,31.06,234980
2019-04-05,31.18,31.41,31.05,31.24,260880
2019-04-08,31.41,31.77,30.85,31.08,296670
2019-04-09,31.11,31.26,30.2,30.53,344560
2019-04-10,30.79,31.07,30.49,30.56,144000
2019-04-11,30.48,30.93,30.48,30.64,312970
2019-04-12,30.64,30.79,30.34,30.44,134340
2019-04-15,30.72,32.33,30.33,32.07,1507550
2019-04-16,32.22,32.62,31.57,31.78,524990
2019-04-18,31.78,32.1,30.64,30.96,378540
2019-04-22,31.77,31.77,30.93,30.96,301200
2019-04-23,30.72,31.02,30.57,30.82,123580
2019-04-24,30.95,31.03,30.57,30.84,140480
2019-04-25,30.73,31.18,30.73,30.96,140610
2019-04-26,30.99,31.18,30.69,31.02,118270
2019-04-30,31.02,31.02,29.95,30.55,236810
2019-05-02,30.72,31.07,30.38,30.67,265950
2019-05-03,31.37,31.79,31.04,31.42,735060
2019-05-06,31.1,31.33,30.8,30.93,183070
2019-05-07,31.18,31.18,30.18,30.51,149500
2019-05-08,30.03,30.56,30.03,30.21,115630
2019-05-09,30.18,30.95,30.18,30.64,421420
2019-05-10,30.34,30.63,30.18,30.3,87610
2019-05-13,30.2,30.94,29.28,29.55,319070
2019-05-14,29.5,30.26,28.96,29.79,238010
2019-05-15,29.5,30.01,28.89,29.09,597130
2019-05-16,29.11,29.41,28.73,28.76,150030
2019-05-17,28.76,29.36,28.65,29.12,180200
2019-05-20,29.85,30.4,29.4,29.68,583740
2019-05-21,29.72,30.11,29.59,29.64,232130
2019-05-22,29.87,30.11,29.19,29.98,508530
2019-05-23,30.48,31.1,30.15,30.25,592710
2019-05-24,30.45,31.72,30.27,31.07,905980
2019-05-27,31.33,32.48,31.26,31.89,1225060
2019-05-28,32.25,33.25,31.95,32.77,1611610
2019-05-29,31.79,31.79,29.88,30.94,2717340
2019-05-30,31.33,31.79,30.57,31.68,816870
2019-05-31,31.72,31.94,31.03,31.3,371520
2019-06-03,31.33,31.98,31.03,31.68,384620
2019-06-04,31.33,31.92,31.33,31.69,272560
2019-06-06,31.79,31.79,30.91,31.16,197430
2019-06-07,31.46,31.46,30.84,30.89,221380
2019-06-10,30.87,31.14,30.26,30.33,319190
2019-06-11,30.49,30.89,30.38,30.44,160780
2019-06-12,30.51,30.63,29.5,29.74,398360
2019-06-13,29.95,30.33,29.74,30.13,129120
2019-06-14,30.33,30.63,30.03,30.26,243350
2019-06-17,30.41,30.41,29.81,29.9,197030
2019-06-18,29.88,30.18,29.81,29.88,195400
2019-06-19,30.25,30.25,29.21,29.33,252970
2019-06-20,29.18,30.08,29.18,29.55,139980
2019-06-21,29.57,29.72,29.22,29.63,169280
2019-06-24,29.72,29.8,29.5,29.54,119180
2019-06-25,29.57,29.68,29.27,29.41,119570
2019-06-26,29.65,29.72,29.39,29.6,125320
2019-06-27,29.72,30.11,29.62,29.79,117030
2019-06-28,29.95,30.87,29.78,30.76,419090
2019-07-01,30.79,31.48,30.72,31.26,291100
2019-07-02,31.26,31.52,30.85,31.13,283080
2019-07-03,30.87,31.74,30.87,31.45,290500
2019-07-04,31.45,31.64,30.87,30.95,261080
2019-07-05,31.18,31.54,30.87,31.23,405310
2019-07-08,31.41,31.41,29.53,29.7,330120
2019-07-09,29.87,30.18,29.5,29.98,175240
2019-07-10,29.95,30.25,29.28,29.61,143350
2019-07-11,29.65,30.37,29.65,29.98,155550
2019-07-12,29.95,31.45,29.64,30.33,1292400
2019-07-15,30.34,30.91,29.89,29.97,186980
2019-07-16,30.26,30.49,29.95,30.02,129650
2019-07-17,30.11,30.26,29.58,29.76,131270
2019-07-18,29.98,29.99,29.58,29.63,210440
2019-07-19,29.95,29.95,29.13,29.23,260820
2019-07-22,29.12,29.44,28.69,28.73,261550
2019-07-23,28.81,28.95,28.0,28.21,238620
2019-07-24,28.41,28.54,27.96,28.12,171590
2019-07-25,28.23,28.49,28.1,28.27,79720
2019-07-26,28.35,28.57,28.14,28.27,146800
2019-07-29,28.46,29.49,28.39,28.78,578340
2019-07-30,29.03,29.49,27.2,27.74,470960
2019-07-31,27.73,28.3,27.37,27.45,277270
2019-08-01,27.47,27.78,26.67,26.87,423770
2019-08-02,26.81,27.24,26.43,26.88,178190
2019-08-05,26.88,27.15,26.34,26.62,165640
2019-08-06,26.58,27.2,26.58,27.06,274590
2019-08-07,27.04,27.26,26.97,27.19,217620
2019-08-08,27.15,27.48,27.04,27.19,126030
2019-08-09,27.96,28.12,27.27,27.59,975510
2019-08-13,27.59,27.6,26.97,27.14,223130
2019-08-14,27.14,27.2,26.97,27.15,92860
2019-08-16,26.93,27.2,26.78,27.07,254090
2019-08-19,27.2,27.28,26.97,27.19,695610
2019-08-20,27.39,27.39,27.06,27.25,157420
2019-08-21,27.2,27.2,26.81,26.89,154140
2019-08-22,26.89,27.12,26.51,26.88,249040
2019-08-23,27.15,27.15,26.32,26.58,397300
2019-08-26,26.73,27.48,26.41,27.2,520230
2019-08-27,27.24,27.68,26.85,27.04,509310
2019-08-28,27.04,27.16,26.44,26.61,224930
2019-08-29,27.12,27.25,26.36,26.6,411320
2019-08-30,26.57,27.01,26.49,26.8,133370
2019-09-03,26.97,26.97,26.53,26.63,80160
2019-09-04,26.57,27.12,26.57,27.04,142290
2019-09-05,26.89,27.29,26.89,27.2,156050
2019-09-06,27.28,27.29,27.06,27.27,262390
2019-09-09,27.28,27.39,26.89,27.12,149580
2019-09-11,27.4,27.4,26.99,27.25,382370
2019-09-12,27.28,27.35,27.09,27.21,474230
2019-09-13,27.28,27.35,27.04,27.25,181920
2019-09-16,27.46,27.46,26.9,26.92,254690
2019-09-17,27.12,27.19,26.86,26.91,239340
2019-09-18,27.02,27.99,27.02,27.58,557020
2019-09-19,27.52,27.6,26.97,27.02,196670
2019-09-20,27.28,28.81,26.89,28.65,1451980
2019-09-23,29.26,30.64,28.51,29.01,1073650
2019-09-24,29.02,30.68,28.7,30.37,3038660
2019-09-25,30.6,30.76,29.42,29.62,1099990
2019-09-26,29.68,30.73,29.68,29.85,547350
2019-09-27,30.04,30.76,29.74,29.84,1139610
2019-09-30,30.09,30.42,29.62,29.69,640450
2019-10-01,29.82,30.12,28.06,29.01,522640
2019-10-03,29.2,29.2,28.19,28.8,308860
2019-10-04,28.87,29.26,28.47,28.65,195010
2019-10-07,28.71,29.06,28.23,28.74,252690
2019-10-09,28.82,28.86,28.19,28.61,129720
2019-10-10,28.63,29.26,28.49,29.23,246210
2019-10-11,29.59,30.64,29.43,29.95,2613520
2019-10-14,30.2,30.45,29.15,29.29,1480220
2019-10-15,29.58,29.58,28.79,28.9,449630
2019-10-16,28.86,29.25,28.79,28.9,199970
2019-10-17,28.86,29.18,28.86,29.1,178710
2019-10-18,29.1,30.4,28.95,30.14,961800
2019-10-22,30.14,32.82,30.14,31.59,2830990
2019-10-23,31.79,33.13,31.71,32.2,1655050
2019-10-24,32.34,32.98,31.54,31.95,1078410
2019-10-25,32.03,34.72,31.39,32.29,5013730
2019-10-27,32.74,33.61,32.66,33.44,1171060
2019-10-29,33.41,35.15,33.05,34.55,2596380
2019-10-30,34.79,35.19,34.17,34.36,1737240
2019-10-31,34.4,35.56,33.62,33.94,1580830
2019-11-01,34.0,34.64,33.73,33.93,816850
2019-11-04,34.15,34.27,33.29,33.39,696430
2019-11-05,33.61,33.92,32.52,32.77,617340
2019-11-06,32.89,32.89,31.54,31.68,920520
2019-11-07,31.82,33.8,31.14,33.52,1693310
2019-11-08,33.2,36.46,32.83,34.38,5290080
2019-11-11,34.68,36.12,33.92,34.46,3242110
2019-11-13,34.45,35.43,33.77,34.59,2409650
2019-11-14,34.79,34.95,32.13,32.29,2744190
2019-11-15,32.32,33.05,32.11,32.31,804000
2019-11-18,32.43,32.57,31.26,31.87,1643510
2019-11-19,31.96,33.43,31.96,32.96,2979700
2019-11-20,33.05,34.45,32.82,34.19,3398400
2019-11-21,33.85,35.11,33.79,34.19,2795060
