Date,Open,High,Low,Close,Volume
2016-12-19,94.42,95.98,91.55,92.59,87741675
2016-12-20,93.05,94.33,89.76,91.3,12775220
2016-12-21,91.36,92.51,90.59,91.24,4620385
2016-12-22,90.97,92.11,90.59,91.46,5630110
2016-12-23,91.54,92.13,90.8,91.67,2094665
2016-12-26,91.55,91.93,87.15,87.73,2237565
2016-12-27,88.18,94.71,87.37,92.75,7962865
2016-12-28,93.09,94.44,91.41,93.72,4318655
2016-12-29,94.21,96.16,91.88,92.56,1870740
2016-12-30,93.24,93.38,92.32,92.68,814260
2017-01-02,92.9,94.04,91.73,93.75,903575
2017-01-03,93.67,94.05,91.65,91.81,561355
2017-01-04,92.49,93.24,91.32,91.65,491035
2017-01-05,92.29,93.07,91.65,91.81,455055
2017-01-06,92.3,92.49,90.88,91.12,340570
2017-01-09,92.12,92.51,89.2,91.61,948015
2017-01-10,91.62,91.93,90.3,91.18,370290
2017-01-11,91.36,92.13,91.17,91.56,377015
2017-01-12,90.97,92.62,90.52,91.6,436490
2017-01-13,91.55,96.31,91.21,95.33,2654720
2017-01-16,95.6,96.14,93.28,93.52,2818405
2017-01-17,93.65,94.34,91.55,91.92,2304050
2017-01-18,92.31,93.48,91.93,92.15,317020
2017-01-19,92.25,93.48,92.25,92.68,346810
2017-01-20,92.51,92.9,91.65,92.28,580095
2017-01-23,92.32,92.84,91.62,92.02,737715
2017-01-24,92.13,92.71,91.43,92.03,1472090
2017-01-25,92.45,92.51,91.74,92.05,797325
2017-01-27,90.98,92.51,90.98,91.27,181720
2017-01-30,91.36,92.51,91.01,92.16,542220
2017-01-31,92.32,92.71,91.36,91.5,389600
2017-02-01,90.68,92.6,90.68,91.66,3309870
2017-02-02,91.74,92.51,91.07,91.36,654590
2017-02-03,92.28,97.89,90.01,96.91,3281520
2017-02-06,98.29,112.06,97.72,107.36,13370230
2017-02-07,107.55,112.75,104.56,107.9,7256860
2017-02-08,108.39,109.8,105.27,106.0,2018595
2017-02-09,106.58,108.9,106.58,107.87,1700945
2017-02-10,107.64,107.64,101.62,103.27,2309325
2017-02-13,103.31,104.08,99.28,99.93,1661280
2017-02-14,100.8,100.8,97.63,98.32,1387530
2017-02-15,98.29,100.99,97.06,98.02,1498280
2017-02-16,98.26,98.31,96.51,97.09,1146180
2017-02-17,97.91,98.05,95.79,96.52,796185
2017-02-20,97.5,97.85,95.99,97.39,2796630
2017-02-21,97.33,101.08,95.98,99.51,1426800
2017-02-22,100.22,102.94,99.42,100.55,1468740
2017-02-23,100.03,102.52,100.03,100.45,574105
2017-02-27,101.1,101.1,97.77,98.38,534435
2017-02-28,98.31,100.31,97.75,98.29,552205
2017-03-01,98.84,101.17,98.0,98.31,1252155
2017-03-02,99.21,99.45,96.48,97.93,633500
2017-03-03,97.93,98.37,96.56,97.7,572980
2017-03-06,98.29,99.49,97.43,98.65,491905
2017-03-07,99.07,102.34,97.67,100.51,1245775
2017-03-08,100.4,100.56,99.35,99.82,700715
2017-03-09,99.45,100.98,98.88,99.25,505475
2017-03-10,99.6,100.02,98.29,98.5,213005
2017-03-14,99.59,100.41,98.5,99.19,224685
2017-03-15,99.26,102.73,99.26,101.63,1243615
2017-03-16,102.33,103.11,101.5,102.27,616800
2017-03-17,102.25,103.11,100.84,102.27,603860
2017-03-20,102.34,104.04,101.19,101.71,716870
2017-03-21,103.11,103.12,99.27,99.83,583580
2017-03-22,99.28,99.83,95.65,98.72,316640
2017-03-23,98.87,100.5,98.29,98.65,465955
2017-03-24,99.62,99.84,98.29,98.3,439855
2017-03-27,98.52,99.84,98.5,98.85,388630
2017-03-28,99.64,99.64,97.82,98.36,374540
2017-03-29,98.58,99.67,98.47,99.24,1555455
2017-03-30,99.45,102.13,98.49,99.92,539645
2017-03-31,100.22,100.71,98.9,99.49,364060
2017-04-03,99.64,101.76,99.26,100.34,329685
2017-04-05,100.79,101.96,99.31,100.19,777775
2017-04-06,100.03,101.55,99.35,99.67,215210
2017-04-07,99.31,101.17,96.85,98.41,3167850
2017-04-10,98.29,100.99,98.29,99.12,410910
2017-04-11,99.08,100.22,98.64,98.88,205320
2017-04-12,99.24,99.35,97.86,98.44,499920
2017-04-13,98.58,99.82,97.33,97.5,468170
2017-04-17,98.01,100.96,98.01,99.06,996065
2017-04-18,99.26,101.16,98.68,99.14,974400
2017-04-19,100.19,100.19,98.98,99.66,393900
2017-04-20,100.03,101.76,99.84,101.2,717195
2017-04-21,101.38,101.76,99.74,100.06,586080
2017-04-24,100.78,100.97,99.84,100.06,314920
2017-04-25,98.29,101.19,98.29,100.35,611150
2017-04-26,100.27,102.89,98.87,99.93,736805
2017-04-27,99.93,100.78,99.47,99.95,326795
2017-04-28,99.84,100.79,99.66,100.2,153555
2017-05-02,98.88,103.79,98.88,102.17,575425
2017-05-03,103.17,105.82,101.95,104.52,1793040
2017-05-04,105.43,113.14,104.31,108.21,2454210
2017-05-05,108.86,109.65,106.0,107.61,712415
2017-05-08,106.58,109.24,106.58,107.93,634080
2017-05-09,108.9,108.9,106.43,107.5,354525
2017-05-10,107.16,108.9,106.38,106.93,305230
2017-05-11,106.97,108.39,106.2,106.65,173870
2017-05-12,106.65,107.93,106.02,107.37,275535
2017-05-15,107.93,108.51,106.0,106.49,416355
2017-05-16,108.12,111.96,107.77,111.24,1149830
2017-05-17,112.12,112.42,110.22,111.21,548735
2017-05-18,110.8,114.47,106.2,107.86,1287080
2017-05-19,111.21,111.79,104.08,105.89,1126730
2017-05-22,107.93,109.86,105.53,105.73,976510
2017-05-23,106.02,108.03,103.11,105.98,947590
2017-05-24,106.0,107.05,101.19,101.61,676575
2017-05-25,102.34,106.39,101.87,105.82,361300
2017-05-26,106.38,107.65,104.86,107.14,298500
2017-05-29,107.55,108.21,103.75,104.21,468685
2017-05-30,104.08,106.19,101.88,105.63,192450
2017-05-31,105.62,111.4,105.12,110.34,1983240
2017-06-01,110.82,115.45,110.67,113.56,1323940
2017-06-02,114.67,119.17,112.94,115.79,2023840
2017-06-05,116.35,118.75,114.95,116.31,967575
2017-06-06,117.34,117.95,115.06,116.08,592285
2017-06-07,116.25,119.44,116.03,117.84,1019205
2017-06-08,118.62,121.24,109.7,118.28,1363025
2017-06-09,118.72,121.96,118.5,120.37,962400
2017-06-12,120.44,122.29,119.16,119.58,760360
2017-06-13,120.94,120.94,118.77,119.52,630475
2017-06-14,119.5,119.69,116.69,117.22,474015
2017-06-15,117.95,117.95,114.39,114.87,580215
2017-06-16,115.64,119.31,114.2,116.66,3282500
2017-06-19,118.2,118.2,115.08,116.75,243100
2017-06-20,115.93,117.95,115.83,116.67,259135
2017-06-21,117.86,119.06,116.02,118.42,439915
2017-06-22,118.6,119.39,116.51,116.82,303075
2017-06-23,116.76,118.57,116.42,117.24,2898750
2017-06-27,118.53,118.53,116.62,118.14,268315
2017-06-28,118.14,118.61,116.81,117.63,737535
2017-06-29,117.63,118.59,117.63,117.97,488420
2017-06-30,117.59,118.92,116.82,118.56,337060
2017-07-03,118.92,121.81,118.92,121.11,930510
2017-07-04,122.27,122.59,120.49,120.92,595425
2017-07-05,120.27,121.24,118.63,120.48,1141625
2017-07-06,121.81,121.81,119.02,119.85,565010
2017-07-07,120.36,120.67,118.97,119.76,453920
2017-07-10,119.78,123.65,117.48,119.28,49730
2017-07-11,119.3,119.9,116.13,116.65,1516955
2017-07-12,117.74,118.08,114.89,115.45,569935
2017-07-13,115.92,120.68,115.92,117.78,405935
2017-07-14,118.33,118.8,116.11,117.73,222665
2017-07-17,117.63,119.28,116.43,117.4,996935
2017-07-18,117.46,118.6,115.95,116.41,286445
2017-07-19,116.88,117.45,115.53,115.79,844220
2017-07-20,115.92,116.81,115.09,115.42,513750
2017-07-21,116.01,116.88,115.03,115.44,308090
2017-07-24,116.66,116.77,114.95,115.28,162045
2017-07-25,115.92,115.92,113.21,113.73,203580
2017-07-26,113.99,114.76,113.21,113.66,192640
2017-07-27,113.3,115.71,113.3,114.87,186550
2017-07-28,114.0,114.95,113.32,114.38,115940
2017-07-31,110.42,114.38,110.42,112.19,367235
2017-08-01,111.55,113.99,111.48,112.57,173450
2017-08-02,113.02,113.6,111.69,111.98,122155
2017-08-03,112.06,112.48,110.82,111.53,190415
2017-08-04,111.67,114.95,110.14,112.82,279130
2017-08-07,112.21,112.83,111.28,111.71,196115
2017-08-08,112.06,112.83,110.53,110.82,141830
2017-08-09,110.64,110.98,105.74,106.78,483800
2017-08-10,106.27,107.02,100.68,101.42,508955
2017-08-11,102.38,108.15,99.52,104.92,692490
2017-08-14,106.07,107.92,105.56,106.11,809495
2017-08-16,106.12,107.6,105.31,105.79,183050
2017-08-17,105.68,106.47,104.81,105.25,166605
2017-08-18,105.25,105.27,103.17,103.34,147115
2017-08-21,106.26,107.05,101.05,101.64,499055
2017-08-22,102.4,103.2,100.27,100.41,274405
2017-08-23,100.46,101.63,99.61,101.43,264025
2017-08-24,102.36,102.4,100.1,100.72,207635
2017-08-28,100.66,101.72,97.56,98.7,1201010
2017-08-29,96.6,98.49,80.93,97.15,692780
2017-08-30,98.52,101.04,98.14,100.53,258740
2017-08-31,101.43,103.82,100.87,101.88,951220
2017-09-01,101.62,104.52,101.62,104.27,299885
2017-09-04,102.98,106.25,102.98,105.72,259340
2017-09-05,105.67,106.84,104.89,106.66,218665
2017-09-06,104.62,107.24,104.62,105.53,227130
2017-09-07,105.73,106.92,105.29,106.18,370075
2017-09-08,105.68,107.69,104.67,105.29,233135
2017-09-11,105.26,106.63,102.99,104.33,1604160
2017-09-12,102.51,105.2,102.01,103.05,345410
2017-09-13,104.33,104.33,101.24,101.8,242560
2017-09-14,102.4,108.77,102.01,106.16,601065
2017-09-15,104.33,109.74,104.33,105.92,1989730
2017-09-18,108.19,108.19,104.38,105.42,621335
2017-09-19,105.49,106.86,104.71,105.22,273550
2017-09-20,106.43,106.7,105.1,106.0,167865
2017-09-21,106.26,106.28,103.36,105.35,195605
2017-09-22,104.71,105.77,103.36,104.39,218280
