Date,Open,High,Low,Close,Volume
2022-03-28,29.58,31.05,28.1,28.1,42214051
2022-03-29,26.72,27.22,26.72,26.72,107432712
2022-03-30,25.4,28.04,25.4,27.97,114514962
2022-03-31,27.45,29.35,26.9,29.24,20994001
2022-04-01,28.97,30.69,27.79,29.37,86487987
2022-04-04,30.12,30.37,29.28,29.96,9315387
2022-04-05,29.94,31.21,29.12,30.42,29860846
2022-04-06,30.42,31.19,30.17,30.96,10740220
2022-04-07,31.28,31.28,30.03,30.62,7857918
2022-04-08,30.85,32.14,30.62,32.14,28488199
2022-04-11,32.89,33.93,31.57,33.09,30039577
2022-04-12,33.09,33.27,30.85,31.44,9765749
2022-04-13,31.53,33.48,31.3,33.14,12054588
2022-04-18,32.66,32.89,31.1,31.26,12005557
2022-04-19,31.41,31.76,29.03,29.74,8412845
2022-04-20,29.83,30.35,29.31,30.14,7268514
2022-04-21,30.26,31.62,30.26,31.28,6712435
2022-04-22,31.03,32.48,30.39,32.23,15376765
2022-04-25,31.55,32.71,31.46,31.78,8601343
2022-04-26,32.39,34.48,31.28,33.71,22289685
2022-04-27,33.34,33.55,32.25,32.46,10325935
2022-04-28,32.8,32.96,31.3,32.05,6260336
2022-04-29,32.1,32.21,31.01,31.53,6765768
2022-05-02,30.94,31.71,30.35,31.57,3898186
2022-05-04,31.89,31.94,30.39,30.58,3899081
2022-05-05,30.58,31.73,30.28,31.55,9270277
2022-05-06,30.39,30.8,29.62,30.62,5260313
2022-05-09,29.94,30.51,29.49,29.99,5668224
2022-05-10,29.94,30.48,29.12,29.42,6053448
2022-05-11,29.9,29.92,28.15,28.63,8707127
2022-05-12,27.79,28.17,26.61,27.4,10027505
2022-05-13,27.76,29.31,27.76,28.33,4696510
2022-05-16,28.85,28.85,27.04,27.85,4819836
2022-05-17,27.85,28.99,27.35,28.74,4163506
2022-05-18,29.35,29.35,28.31,28.72,3123138
2022-05-19,28.08,28.53,27.33,28.19,3438327
2022-05-20,28.58,28.69,27.97,28.15,6234930
2022-05-23,28.44,28.72,27.81,28.35,6159699
2022-05-24,28.81,28.81,27.79,28.47,7279277
2022-05-25,28.67,28.78,27.29,27.45,6055386
2022-05-26,27.9,28.35,26.86,28.08,5920264
2022-05-27,27.67,29.15,27.45,28.94,9177270
2022-05-30,29.26,29.67,28.47,29.28,4358263
2022-05-31,29.03,30.1,28.99,29.76,10341893
2022-06-01,30.03,30.24,28.83,29.26,6690219
2022-06-02,29.26,29.28,28.76,28.83,4282101
2022-06-03,29.12,29.46,28.4,29.08,10301209
2022-06-06,29.1,29.92,28.49,29.71,3633662
2022-06-07,29.31,29.8,28.63,29.6,5838060
2022-06-08,29.49,29.85,29.15,29.65,6613012
2022-06-09,29.17,29.87,29.08,29.56,3568980
2022-06-10,29.12,30.03,28.99,29.37,27014610
2022-06-13,28.81,29.53,28.72,29.03,3916610
2022-06-14,28.99,29.28,28.35,28.6,6810371
2022-06-15,28.69,29.06,27.49,28.38,18473641
2022-06-16,28.72,28.97,27.49,28.33,8730855
2022-06-17,27.74,28.19,26.86,27.22,15337114
2022-06-20,27.35,28.01,26.9,27.47,3048788
2022-06-21,27.88,29.01,27.54,28.9,3496138
2022-06-22,28.85,29.08,28.24,29.01,2643209
2022-06-23,29.03,30.37,28.65,30.1,3839176
2022-06-24,30.35,30.89,29.83,30.83,3129627
2022-06-27,31.12,31.53,30.39,30.53,9918759
2022-06-28,30.14,31.48,29.58,31.23,12836171
2022-06-29,30.85,31.94,30.51,31.69,10258511
2022-06-30,31.62,32.57,31.48,31.94,6139595
2022-07-01,32.05,32.05,31.28,31.78,3084846
2022-07-04,31.71,33.8,31.66,33.62,7584381
2022-07-05,33.73,35.29,33.59,34.3,13168481
2022-07-06,34.25,35.61,34.02,35.29,8524789
2022-07-07,35.63,36.02,33.75,33.96,6606849
2022-07-08,33.96,34.41,33.16,33.43,4349762
2022-07-11,32.73,35.84,32.73,35.29,8460825
2022-07-12,35.34,36.13,34.84,35.09,8795754
2022-07-13,35.2,35.5,34.79,35.09,2877070
2022-07-14,34.93,35.97,34.93,35.79,6529909
2022-07-15,35.97,36.88,35.88,36.25,7550942
2022-07-18,36.52,37.04,35.97,36.13,4809705
2022-07-19,36.25,36.25,34.27,34.7,5356268
2022-07-20,35.25,35.79,34.75,35.29,4046707
2022-07-21,35.27,37.52,34.93,36.99,7716578
2022-07-22,37.04,37.06,36.13,36.56,3402900
2022-07-25,36.72,37.29,35.93,36.41,2902415
2022-07-26,36.56,36.56,35.66,36.25,3423091
2022-07-27,36.25,36.59,35.7,36.25,2930509
2022-07-28,36.43,36.88,36.06,36.25,3772690
2022-07-29,36.31,36.5,34.66,35.07,4970618
2022-08-01,35.16,35.84,34.84,35.0,3874133
2022-08-02,34.98,35.59,34.52,35.16,3605334
2022-08-03,35.16,36.02,35.02,35.16,4688657
2022-08-04,35.27,36.25,34.61,36.04,8678019
2022-08-05,36.34,38.29,35.86,36.04,12455304
2022-08-08,36.52,36.68,35.57,35.82,5271595
2022-08-10,35.84,36.65,35.72,36.22,7409096
2022-08-11,36.61,36.7,35.57,35.79,8408611
2022-08-12,35.79,36.04,35.49,35.91,2129611
2022-08-16,36.21,37.42,35.93,36.8,9148472
2022-08-17,36.98,37.12,36.39,36.64,4267799
2022-08-18,36.64,37.6,36.32,36.5,4969045
2022-08-19,36.78,36.92,35.2,35.77,7020013
2022-08-22,35.77,36.23,35.59,35.84,4185491
2022-08-23,35.86,37.05,35.66,36.8,12809360
2022-08-24,37.05,37.6,36.25,36.41,6064374
2022-08-25,36.6,37.24,35.84,36.55,12167775
2022-08-26,36.69,37.08,36.64,36.66,2682248
2022-08-29,35.77,36.46,35.56,35.91,5590971
2022-08-30,36.46,40.2,36.25,37.37,15049106
2022-09-01,37.33,38.25,36.27,36.48,7706886
2022-09-02,36.85,38.8,36.71,37.51,22993574
2022-09-05,37.88,38.96,37.21,38.2,10030521
2022-09-06,38.91,39.51,38.43,38.68,11672466
2022-09-07,38.61,39.9,38.43,38.87,11982455
2022-09-08,39.42,42.99,39.21,41.14,25186558
2022-09-09,41.73,43.13,41.57,41.78,18313107
2022-09-12,42.21,42.21,40.97,41.14,7464735
2022-09-13,41.48,42.08,41.18,41.85,13736864
2022-09-14,41.04,41.8,40.84,41.25,9899705
2022-09-15,41.5,42.19,40.95,41.75,4838031
2022-09-16,41.96,41.96,39.07,39.81,65667350
2022-09-19,41.02,41.41,40.08,40.33,3985765
2022-09-20,40.52,41.11,39.99,40.26,2320101
2022-09-21,40.36,41.39,39.51,39.81,5114468
2022-09-22,39.64,41.04,39.37,40.75,5300694
2022-09-23,41.02,41.02,39.21,39.44,3077932
2022-09-26,38.68,39.39,37.6,38.8,9163477
2022-09-27,39.35,39.62,38.36,38.66,4637668
2022-09-28,40.81,41.18,38.59,38.87,12867155
2022-09-29,39.62,40.56,38.87,39.74,7192059
2022-09-30,39.99,40.63,39.14,40.13,10679643
2022-10-03,40.17,40.86,39.76,40.15,9003148
2022-10-04,40.65,40.65,39.78,39.99,2775623
2022-10-06,40.36,41.04,40.15,40.26,3067719
2022-10-07,40.26,40.42,39.81,39.92,3094032
2022-10-10,39.9,40.47,39.51,39.81,2557086
2022-10-11,39.9,40.08,39.05,39.3,2523708
2022-10-12,39.44,39.94,39.28,39.42,2108608
2022-10-13,39.42,40.36,39.32,40.01,3845753
2022-10-14,40.36,41.57,40.2,40.7,3364946
2022-10-17,40.79,40.91,40.42,40.65,1140547
2022-10-18,40.72,41.09,39.81,39.94,2407745
2022-10-19,40.1,41.23,39.99,40.88,3303251
2022-10-20,40.81,40.93,40.03,40.2,1880123
2022-10-21,40.4,40.49,39.03,39.25,4259913
2022-10-24,39.78,40.03,39.51,39.83,401396
2022-10-25,39.55,40.01,39.3,39.58,1533494
2022-10-27,39.78,39.94,39.21,39.55,4227099
2022-10-28,39.55,40.22,37.1,38.68,3864614
2022-10-31,38.96,41.0,38.77,40.13,11574574
2022-11-01,38.7,39.28,37.56,37.9,14014838
2022-11-02,37.93,38.27,37.47,37.79,3292163
2022-11-03,37.6,37.97,36.85,37.26,7479220
2022-11-04,37.26,37.51,36.96,37.15,8257979
2022-11-07,37.6,38.38,37.44,37.93,3925296
2022-11-09,38.52,38.57,37.65,38.06,3922611
2022-11-10,38.06,38.15,37.31,37.88,2494301
2022-11-11,38.5,38.64,37.9,38.09,3245390
2022-11-14,38.41,38.57,37.6,38.04,3820255
2022-11-15,38.31,38.31,31.23,38.06,5723186
2022-11-16,41.73,45.68,38.62,38.94,14143868
2022-11-17,39.13,39.48,38.39,38.84,2405309
2022-11-18,39.03,39.03,37.46,37.91,2559228
2022-11-21,38.07,38.07,36.92,37.21,4210775
2022-11-22,37.24,37.37,36.85,37.24,1386850
2022-11-23,37.4,37.46,36.66,36.98,2025665
2022-11-24,37.21,37.56,36.95,37.24,1750156
2022-11-25,37.4,37.49,36.53,36.63,1918634
2022-11-28,36.72,38.59,36.63,38.36,6092457
2022-11-29,38.36,38.94,38.3,38.55,6848467
2022-11-30,38.55,40.0,38.33,39.45,8233966
2022-12-01,39.61,39.61,38.52,38.55,3511167
2022-12-02,38.52,38.78,37.91,38.65,2698366
2022-12-05,38.84,39.16,38.46,39.03,2173218
2022-12-06,39.03,39.16,38.59,38.84,3508505
2022-12-07,38.84,38.94,38.39,38.55,1790131
2022-12-08,38.75,38.78,38.33,38.55,1202132
2022-12-09,38.59,38.75,38.26,38.55,1609780
2022-12-12,38.65,38.81,37.82,38.01,4178169
2022-12-13,38.23,39.58,38.1,39.13,4320161
2022-12-14,39.39,40.7,39.2,40.0,7786019
2022-12-15,39.84,40.35,38.84,39.03,1853553
2022-12-16,38.59,38.91,37.43,37.82,2864136
2022-12-19,38.14,38.14,37.21,37.53,5531641
2022-12-20,37.56,37.75,36.98,37.56,3866600
2022-12-21,37.65,38.1,36.92,37.11,1948682
2022-12-22,37.24,37.4,36.08,36.85,2435859
2022-12-23,36.56,36.56,34.86,35.89,14832618
2022-12-26,35.89,37.88,35.18,36.66,3082821
2022-12-27,36.98,38.33,36.79,37.91,2093963
2022-12-28,37.98,38.04,37.04,37.17,3616049
2022-12-29,36.92,37.37,36.76,37.14,3536364
2022-12-30,37.56,37.82,37.24,37.43,1602372
2023-01-02,37.46,37.72,37.14,37.33,1589575
2023-01-03,37.4,37.72,36.82,36.92,5934425
2023-01-04,37.08,37.11,36.27,36.37,2244573
2023-01-05,36.5,36.6,35.99,36.4,1684149
2023-01-06,36.27,36.63,35.12,35.38,3719971
2023-01-09,35.76,36.02,35.28,35.7,6615801
2023-01-10,35.6,35.89,35.28,35.38,1505761
2023-01-11,35.54,35.57,34.35,34.6,4741646
2023-01-12,34.8,34.89,33.48,33.71,8548988
2023-01-13,33.9,33.9,31.94,33.39,27757957
2023-01-16,33.64,33.9,33.26,33.48,4558520
2023-01-17,33.35,33.8,33.16,33.39,5684675
2023-01-18,33.42,33.61,33.26,33.39,12329919
2023-01-19,33.29,33.39,32.84,33.03,1863280
2023-01-20,33.19,33.32,32.61,32.87,1772778
2023-01-23,33.06,33.26,32.13,32.81,3995138
2023-01-24,32.81,32.84,32.29,32.52,9259730
2023-01-25,32.52,32.87,32.04,32.65,4950265
2023-01-27,32.74,33.29,31.27,32.87,13369269
2023-01-30,32.81,33.26,32.2,32.81,5596489
2023-01-31,33.03,33.22,32.36,33.03,5378308
2023-02-01,33.22,34.77,32.68,33.06,9205134
2023-02-02,33.06,33.93,32.84,33.32,4545543
2023-02-03,33.48,33.83,32.78,33.61,2188733
2023-02-06,33.8,34.48,33.55,34.03,3143141
2023-02-07,34.03,34.28,32.49,32.97,6871043
2023-02-08,32.74,34.64,32.33,34.44,4254613
2023-02-09,34.44,34.6,33.48,33.67,3613439
2023-02-10,33.9,34.67,33.61,34.48,2902237
2023-02-13,34.48,34.57,33.06,33.64,4261101
2023-02-14,33.83,34.64,33.26,33.45,2566347
2023-02-15,33.29,33.45,32.87,33.19,2017611
2023-02-16,34.06,34.28,32.13,32.45,11343128
2023-02-17,32.52,32.74,31.97,32.61,6812525
2023-02-20,32.65,33.16,32.42,32.9,4514082
2023-02-21,32.9,33.03,32.2,32.33,4890223
2023-02-22,32.33,32.33,31.68,32.0,3188875
2023-02-23,32.0,32.2,31.68,32.07,4875451
2023-02-24,32.23,32.49,31.59,32.0,4816196
2023-02-27,32.0,32.17,31.52,31.81,1594155
2023-02-28,31.81,32.42,31.49,31.78,7397534
2023-03-01,31.84,32.49,31.72,32.29,1450955
2023-03-02,32.33,32.36,32.07,32.26,1209803
2023-03-03,32.39,32.42,31.78,31.91,4980364
2023-03-06,32.07,32.2,31.78,32.04,2857448
2023-03-08,32.2,32.29,31.75,32.13,1653279
2023-03-09,32.2,32.2,31.36,31.43,4313214
2023-03-10,31.07,31.88,31.07,31.52,4073280
2023-03-13,31.3,31.36,30.05,30.4,8831544
2023-03-14,30.34,30.78,29.89,30.3,2452305
2023-03-15,30.4,30.82,30.34,30.72,2032145
2023-03-16,30.3,30.82,29.53,29.89,8369979
2023-03-17,30.08,30.53,29.53,29.69,1851308
2023-03-20,29.69,30.21,28.99,29.89,5599531
2023-03-21,30.05,30.5,29.44,30.21,2883474
2023-03-22,30.37,30.66,29.92,30.46,1822141
2023-03-23,30.17,30.95,29.92,30.62,4431760
2023-03-24,30.5,30.91,30.24,30.59,1576494
2023-03-27,30.62,30.62,29.85,30.37,1468160
2023-03-28,30.21,30.4,29.79,30.05,1678092
2023-03-29,30.01,30.53,29.53,30.4,4175334
2023-03-31,30.56,31.39,30.3,30.98,5019901
2023-04-03,31.23,32.74,30.69,32.0,1730872
2023-04-05,32.39,32.39,31.72,31.88,3002334
2023-04-06,31.84,32.9,31.52,32.78,5866288
2023-04-10,32.81,32.81,31.88,32.07,7109885
2023-04-11,32.1,32.68,31.78,32.52,7772655
2023-04-12,32.55,33.1,32.29,32.68,6705864
2023-04-13,32.74,33.06,31.97,32.55,7577863
2023-04-17,32.55,32.97,31.81,32.61,3502919
2023-04-18,32.68,32.78,32.04,32.1,3746427
2023-04-19,32.17,32.52,31.97,32.07,2685517
2023-04-20,31.94,32.52,31.78,32.2,2367414
2023-04-21,32.1,32.65,31.97,32.39,3887252
2023-04-24,32.55,32.74,32.17,32.42,3729070
2023-04-25,32.49,33.06,32.23,32.94,2915188
2023-04-26,32.94,33.93,32.45,33.67,5529301
2023-04-27,33.9,34.54,33.61,33.8,5797282
2023-04-28,33.83,34.6,33.67,34.51,3519418
2023-05-02,34.67,34.86,33.45,33.93,2675499
2023-05-03,33.9,34.38,33.58,34.16,15192142
2023-05-04,34.03,34.6,33.77,33.9,7192705
2023-05-05,34.03,34.67,33.77,34.48,1908875
2023-05-08,34.73,34.77,33.45,33.77,9178617
