Date,Open,High,Low,Close,Volume
2016-06-27,233.05,241.96,233.05,235.69,651377
2016-06-28,239.06,241.45,232.88,234.73,373557
2016-06-29,236.37,246.16,236.37,241.96,789253
2016-06-30,244.23,248.85,241.45,246.37,740974
2016-07-01,248.77,251.25,239.81,241.62,1266267
2016-07-04,246.33,250.74,240.44,242.0,1880447
2016-07-05,244.23,244.44,239.77,241.37,376363
2016-07-07,241.7,243.64,231.41,233.93,750466
2016-07-08,235.06,238.55,233.93,234.81,699420
2016-07-11,236.95,240.78,235.44,237.46,733046
2016-07-12,237.5,240.02,232.54,236.49,570807
2016-07-13,237.08,237.16,228.04,228.97,406828
2016-07-14,228.67,233.72,224.05,231.28,481115
2016-07-15,233.59,233.59,228.8,231.36,210733
2016-07-18,230.86,236.24,230.86,234.05,639170
2016-07-19,233.3,235.36,228.72,231.91,327646
2016-07-20,233.63,236.62,231.95,233.97,405662
2016-07-21,233.89,238.34,230.48,231.49,675246
2016-07-22,231.62,237.75,224.76,233.34,375013
2016-07-25,233.09,235.82,231.2,234.64,392683
2016-07-26,234.56,254.23,234.1,240.36,2251385
2016-07-27,241.58,263.56,241.33,259.61,1615063
2016-07-28,263.14,271.55,260.62,268.27,1841800
2016-07-29,276.68,285.84,274.37,278.91,2801296
2016-08-01,279.2,334.69,279.2,298.83,6637764
2016-08-02,304.34,327.88,301.27,304.63,5032368
2016-08-03,309.3,314.76,289.41,292.53,1820593
2016-08-04,298.49,308.29,290.47,302.78,1250266
2016-08-05,306.27,309.38,289.2,296.48,2831915
2016-08-08,290.97,342.0,287.52,336.12,5461511
2016-08-09,337.97,338.39,316.53,319.26,2173829
2016-08-10,322.33,337.97,321.19,329.1,3288202
2016-08-11,326.87,326.87,305.6,309.68,1156538
2016-08-12,311.06,317.75,301.48,310.26,961017
2016-08-16,311.06,312.74,302.87,307.28,810487
2016-08-17,307.32,308.84,300.22,301.27,502318
2016-08-18,304.09,305.18,294.33,302.11,886530
2016-08-19,303.92,303.92,291.73,294.16,813453
2016-08-22,296.1,296.77,284.37,287.69,851607
2016-08-23,288.83,289.88,280.08,281.09,748644
2016-08-24,281.22,286.89,279.96,282.98,787271
2016-08-25,284.16,284.66,271.97,273.9,990183
2016-08-26,276.55,287.94,274.07,282.1,2293655
2016-08-29,280.8,286.47,278.44,285.38,1152717
2016-08-30,287.31,299.63,286.6,297.78,1182006
2016-08-31,300.76,322.24,300.3,315.9,2225380
2016-09-01,316.78,316.78,302.03,305.51,777742
2016-09-02,303.5,307.83,301.27,302.7,560280
2016-09-06,304.84,308.75,299.55,301.14,700729
2016-09-07,302.66,311.82,302.11,309.55,1165248
2016-09-08,311.9,319.3,307.95,315.06,1111549
2016-09-09,316.95,317.12,305.51,308.04,644622
2016-09-12,300.97,301.4,291.39,293.41,425190
2016-09-14,293.41,293.41,277.6,282.31,1077557
2016-09-15,281.64,295.51,281.64,289.92,569726
2016-09-16,294.25,298.37,284.58,288.2,826818
2016-09-19,288.45,295.93,288.45,293.83,600986
2016-09-20,294.25,300.81,294.21,297.7,380026
2016-09-21,302.61,309.38,299.55,305.47,838152
2016-09-22,307.87,326.95,306.86,324.01,1224821
2016-09-23,324.51,325.36,310.22,315.27,1433927
2016-09-26,312.95,312.95,305.89,309.55,408277
2016-09-27,314.43,319.34,311.15,313.84,760818
2016-09-28,314.43,316.65,304.34,306.27,415555
2016-09-29,307.99,310.94,283.45,287.4,700802
2016-09-30,280.92,299.67,280.92,293.24,535178
2016-10-03,298.2,299.29,292.57,295.17,914692
2016-10-04,295.93,297.61,290.13,293.87,355676
2016-10-05,294.25,296.56,289.37,290.63,291600
2016-10-06,292.57,292.57,285.0,286.89,274981
2016-10-07,289.79,289.79,282.77,284.88,192175
2016-10-10,285.34,291.26,280.92,288.95,371824
2016-10-13,289.2,295.3,283.82,288.36,874215
2016-10-14,290.72,295.93,289.2,294.33,675983
2016-10-17,300.05,300.13,290.55,291.98,309914
2016-10-18,295.09,297.91,292.95,295.51,751137
2016-10-19,298.41,298.41,288.07,289.71,347117
2016-10-20,290.47,296.35,290.47,293.62,553749
2016-10-21,293.45,294.29,290.13,290.97,134688
2016-10-24,293.16,309.21,291.35,307.41,1597576
2016-10-25,310.22,317.24,308.71,310.94,1128239
2016-10-26,307.28,310.22,303.58,305.43,208112
2016-10-27,303.83,304.09,297.23,299.88,210513
2016-10-28,299.29,309.72,298.58,301.73,386541
2016-11-01,314.13,314.13,301.52,304.13,284010
2016-11-02,302.57,306.44,287.73,296.48,311317
2016-11-03,296.52,300.09,292.57,295.17,235472
2016-11-04,295.55,298.24,282.61,288.87,278305
2016-11-07,297.61,300.13,291.85,297.4,198691
2016-11-08,299.29,314.26,298.37,304.21,929654
2016-11-09,274.07,309.38,243.81,301.44,1124609
2016-11-10,311.06,311.9,290.47,297.91,595740
2016-11-11,292.57,298.45,270.33,287.06,1636968
2016-11-15,282.56,286.85,245.61,271.13,1649952
2016-11-16,273.27,278.7,255.58,260.41,1110309
2016-11-17,259.78,271.97,256.71,265.54,476145
2016-11-18,264.49,267.35,248.01,253.68,678679
2016-11-21,259.61,259.61,235.4,243.3,954647
2016-11-22,243.39,250.95,236.74,249.06,436999
2016-11-23,251.29,253.35,243.09,249.1,240348
2016-11-24,248.01,250.87,239.48,242.25,428309
2016-11-25,245.49,248.77,240.44,242.42,293613
2016-11-28,242.12,244.65,238.59,240.02,170094
2016-11-29,241.28,263.73,239.64,259.53,1392237
2016-11-30,260.2,261.88,252.21,254.69,347415
2016-12-01,256.75,258.43,251.62,253.81,601939
2016-12-02,252.21,255.58,241.16,248.43,555991
2016-12-05,251.79,251.79,245.07,246.5,125092
2016-12-06,247.25,257.55,247.25,250.66,299710
2016-12-07,252.13,258.56,249.65,251.16,288090
2016-12-08,252.21,255.58,250.57,251.29,169654
2016-12-09,250.53,256.33,250.53,255.28,193100
2016-12-12,253.05,255.28,248.72,249.69,695661
2016-12-13,250.74,250.74,242.12,243.55,276656
2016-12-14,244.14,244.14,229.72,233.97,410404
2016-12-15,234.98,236.41,224.68,227.58,676052
2016-12-16,227.83,231.11,226.15,226.95,361413
2016-12-19,223.04,226.99,221.32,224.51,269430
2016-12-20,225.48,226.99,220.27,224.34,301691
2016-12-21,224.34,233.68,221.95,225.39,339711
2016-12-22,226.15,231.87,222.16,228.63,334746
2016-12-23,227.83,233.47,223.92,231.2,203242
2016-12-26,231.2,231.2,222.79,226.7,216327
2016-12-27,224.55,230.19,223.63,228.93,138249
2016-12-28,229.09,235.02,226.15,230.73,638558
2016-12-29,229.51,238.09,228.25,237.0,245925
2016-12-30,237.08,242.97,234.85,237.67,242396
2017-01-02,239.6,241.28,236.37,239.77,144601
2017-01-03,239.6,245.4,237.92,240.91,285215
2017-01-04,241.28,243.3,239.9,241.2,223054
2017-01-05,243.81,248.51,241.28,246.24,285723
2017-01-06,247.17,250.53,245.61,248.14,345224
2017-01-09,248.05,248.93,244.14,245.36,129404
2017-01-10,245.49,246.33,240.61,242.21,272573
2017-01-11,242.97,245.49,239.77,243.01,604799
2017-01-12,243.34,248.68,242.46,244.52,278627
2017-01-13,250.36,257.43,247.13,249.94,608217
2017-01-16,248.05,256.8,248.05,254.48,272655
2017-01-17,256.42,262.97,255.58,261.0,606718
2017-01-18,263.98,266.51,260.12,260.96,279067
2017-01-19,263.98,263.98,253.94,256.75,203127
2017-01-20,253.31,256.21,240.65,248.14,376263
2017-01-23,247.97,251.16,244.06,248.72,275683
2017-01-24,250.41,253.89,246.2,251.25,244295
2017-01-25,251.37,273.06,251.37,270.33,1013430
2017-01-27,269.87,277.43,266.38,269.66,465915
2017-01-30,269.03,272.77,265.66,269.07,249455
