Date,Open,High,Low,Close,Volume
2021-10-01,468.64,492.07,459.65,492.07,2132033
2021-10-04,516.65,516.65,516.65,516.65,229666
2021-10-05,542.48,542.48,542.48,542.48,598641
2021-10-06,569.56,569.56,569.56,569.56,87885
2021-10-07,598.04,598.04,598.04,598.04,20927
2021-10-08,627.92,627.92,627.92,627.92,18805
2021-10-11,659.29,659.29,659.29,659.29,12686
2021-10-12,692.22,692.22,626.37,626.37,772602
2021-10-13,595.09,595.09,595.09,595.09,132969
2021-10-14,575.01,624.82,575.01,624.82,862242
2021-10-18,643.4,749.77,616.68,749.77,3670817
2021-10-19,830.36,899.71,811.18,899.71,1666350
2021-10-20,977.25,989.64,825.01,989.64,6155927
2021-10-21,989.64,1088.56,934.63,1088.56,4177670
2021-10-22,1177.79,1197.38,1152.71,1197.38,266248
2021-10-25,1244.04,1257.23,1137.52,1137.52,1008261
2021-10-26,1080.67,1080.67,1080.67,1080.67,81234
2021-10-27,1061.28,1077.17,1026.66,1026.66,816381
2021-10-28,975.35,975.35,975.35,975.35,47113
2021-10-29,926.59,926.59,926.59,926.59,49548
2021-11-01,880.27,880.27,880.27,880.27,48211
2021-11-02,836.31,836.31,836.31,836.31,57116
2021-11-03,838.35,878.07,794.54,797.59,4860471
2021-11-04,813.27,824.37,779.45,814.97,565137
2021-11-08,819.37,824.17,774.25,774.25,632449
2021-11-09,753.72,812.92,741.78,812.92,3269902
2021-11-10,812.37,836.86,797.39,804.03,1533686
2021-11-11,807.38,811.38,781.8,788.99,733024
2021-11-12,797.39,806.38,784.05,788.44,388347
2021-11-15,811.38,819.37,785.1,788.54,585353
2021-11-16,789.39,797.39,774.4,775.65,403141
2021-11-17,777.4,777.4,750.42,752.72,487805
2021-11-18,754.62,767.61,715.55,720.79,477613
2021-11-22,725.44,726.74,684.77,684.77,445313
2021-11-23,664.69,706.36,650.55,681.92,1191991
2021-11-24,686.17,716.0,683.52,716.0,220563
2021-11-25,734.38,751.77,732.39,751.77,850837
