Date,Open,High,Low,Close,Volume
2018-05-08,24.12,29.59,24.12,29.59,20000
2018-05-09,28.79,29.59,28.79,29.59,8000
2018-05-10,25.96,26.06,25.96,26.06,8000
2018-05-11,25.02,25.02,25.02,25.02,4000
2018-05-14,25.02,25.02,25.02,25.02,0
2018-05-15,25.02,25.02,25.02,25.02,0
2018-05-16,25.02,25.02,25.02,25.02,0
2018-05-17,25.02,25.02,25.02,25.02,0
2018-05-18,25.81,25.81,25.81,25.81,4000
2018-05-21,25.81,25.81,25.81,25.81,0
2018-05-22,30.78,30.78,30.68,30.68,48000
2018-05-23,30.68,30.68,30.68,30.68,0
2018-05-24,26.31,28.59,25.86,27.2,16000
2018-05-25,29.78,29.78,29.78,29.78,4000
2018-05-28,29.63,29.63,23.83,24.22,36000
2018-05-29,24.22,24.22,24.22,24.22,0
2018-05-30,24.82,24.82,23.83,23.83,8000
2018-05-31,26.26,27.05,23.33,27.05,148000
2018-06-01,27.05,27.05,27.05,27.05,0
2018-06-04,27.05,27.05,27.05,27.05,0
2018-06-05,21.99,21.99,21.64,21.69,16000
2018-06-06,21.69,21.69,21.69,21.69,4000
2018-06-07,21.69,21.69,21.69,21.69,0
2018-06-08,19.86,19.86,19.86,19.86,4000
2018-06-11,19.86,19.86,19.86,19.86,0
2018-06-12,22.59,22.64,22.59,22.64,8000
2018-06-13,22.83,22.83,22.83,22.83,8000
2018-06-14,22.83,22.83,22.83,22.83,0
2018-06-15,22.83,22.83,22.83,22.83,0
2018-06-18,22.83,22.83,22.83,22.83,0
2018-06-19,22.83,22.83,22.83,22.83,0
2018-06-20,20.85,24.57,20.85,21.69,20000
2018-06-21,21.69,21.69,21.69,21.69,0
2018-06-22,20.05,21.64,20.05,21.64,8000
2018-06-25,20.6,20.6,20.6,20.6,4000
2018-06-26,20.6,20.6,20.6,20.6,0
2018-06-27,19.96,19.96,19.96,19.96,4000
2018-06-28,19.96,19.96,19.96,19.96,0
2018-06-29,19.96,19.96,19.96,19.96,0
2018-07-02,19.96,19.96,19.96,19.96,0
2018-07-03,16.88,19.86,16.88,19.86,8000
2018-07-04,19.86,19.86,19.86,19.86,0
2018-07-05,19.86,19.86,19.86,19.86,0
2018-07-06,19.86,19.86,19.86,19.86,0
2018-07-09,19.86,19.86,19.86,19.86,0
2018-07-10,19.86,19.86,19.86,19.86,0
2018-07-11,19.86,19.86,19.86,19.86,0
2018-07-12,19.86,19.86,19.86,19.86,0
2018-07-13,18.86,18.86,16.88,16.88,8000
2018-07-16,16.88,16.88,16.88,16.88,0
2018-07-17,16.88,16.88,16.88,16.88,0
2018-07-18,16.88,16.88,16.88,16.88,0
2018-07-19,16.88,16.88,16.88,16.88,4000
2018-07-20,16.88,16.88,16.88,16.88,0
2018-07-23,16.88,16.88,16.88,16.88,0
2018-07-24,16.08,16.38,16.08,16.28,20000
2018-07-25,14.94,14.94,14.89,14.89,8000
2018-07-26,14.89,14.89,14.89,14.89,4000
2018-07-27,14.89,14.89,14.89,14.89,0
2018-07-30,14.89,14.89,14.89,14.89,0
2018-07-31,14.89,14.89,14.89,14.89,0
2018-08-01,15.88,15.88,15.88,15.88,4000
2018-08-02,15.88,15.88,15.88,15.88,0
2018-08-03,15.88,15.88,15.88,15.88,0
2018-08-06,18.37,18.37,18.37,18.37,8000
2018-08-07,18.37,18.37,18.37,18.37,0
2018-08-08,18.37,18.37,18.37,18.37,0
2018-08-09,18.37,18.37,18.37,18.37,0
2018-08-10,17.87,17.87,17.87,17.87,4000
2018-08-13,17.87,17.87,17.87,17.87,0
2018-08-14,17.87,17.87,17.87,17.87,0
2018-08-16,17.87,17.87,17.87,17.87,0
2018-08-17,17.87,17.87,17.87,17.87,0
2018-08-20,19.86,21.44,19.86,21.44,12000
2018-08-21,21.34,21.34,21.34,21.34,4000
2018-08-23,21.34,21.34,21.34,21.34,4000
2018-08-24,21.34,21.34,21.34,21.34,0
2018-08-27,21.34,21.34,21.34,21.34,0
2018-08-28,21.34,21.34,21.34,21.34,0
2018-08-29,21.34,21.34,21.34,21.34,0
2018-08-30,21.34,21.34,21.34,21.34,0
2018-08-31,19.96,19.96,19.96,19.96,4000
2018-09-03,19.96,19.96,19.96,19.96,0
2018-09-04,19.96,19.96,19.96,19.96,0
2018-09-05,19.96,19.96,19.96,19.96,0
2018-09-06,19.96,19.96,19.96,19.96,0
2018-09-07,19.96,19.96,19.96,19.96,0
2018-09-10,19.96,19.96,19.96,19.96,0
2018-09-11,19.96,19.96,19.96,19.96,0
2018-09-12,19.96,19.96,19.96,19.96,0
2018-09-14,19.96,19.96,19.96,19.96,0
2018-09-17,19.96,19.96,19.96,19.96,0
2018-09-18,19.36,19.36,19.36,19.36,4000
2018-09-19,19.36,19.36,19.36,19.36,0
2018-09-21,19.36,19.36,19.36,19.36,0
2018-09-24,19.36,19.36,19.36,19.36,0
2018-09-25,19.36,19.36,19.36,19.36,0
2018-09-26,19.36,19.36,19.36,19.36,0
2018-09-27,19.36,19.36,19.36,19.36,0
2018-09-28,19.36,19.36,19.36,19.36,0
2018-10-01,15.54,15.54,15.49,15.49,12000
2018-10-03,15.49,15.49,15.49,15.49,0
2018-10-04,15.49,15.49,15.49,15.49,0
2018-10-05,15.49,15.49,15.49,15.49,0
2018-10-08,14.89,14.89,14.89,14.89,4000
2018-10-09,14.89,14.89,14.89,14.89,0
2018-10-10,14.89,14.89,14.89,14.89,0
2018-10-11,14.89,14.89,14.89,14.89,0
2018-10-12,14.79,14.79,13.01,13.01,8000
2018-10-15,12.71,12.71,12.71,12.71,12000
2018-10-16,12.71,12.71,12.71,12.71,0
2018-10-17,12.71,12.71,12.71,12.71,0
2018-10-19,12.71,12.71,12.71,12.71,0
2018-10-22,12.71,12.71,12.71,12.71,0
2018-10-23,12.71,12.71,12.71,12.71,0
2018-10-24,12.71,12.71,12.71,12.71,0
2018-10-25,12.71,12.71,12.71,12.71,0
2018-10-26,12.71,12.71,12.71,12.71,0
2018-10-29,12.71,12.71,12.71,12.71,0
2018-10-30,12.71,12.71,12.71,12.71,0
2018-10-31,12.71,12.71,12.71,12.71,0
2018-11-01,12.71,12.71,12.71,12.71,0
2018-11-02,12.71,12.71,12.71,12.71,0
2018-11-05,12.71,12.71,12.71,12.71,0
2018-11-06,12.71,12.71,12.71,12.71,0
2018-11-07,12.71,12.71,12.71,12.71,0
2018-11-09,12.71,12.71,12.71,12.71,0
2018-11-12,12.71,12.71,12.71,12.71,0
2018-11-13,12.71,12.71,12.71,12.71,0
