Date,Open,High,Low,Close,Volume
2016-06-27,97.29,102.24,97.29,101.14,242150
2016-06-28,101.33,102.92,100.41,100.75,174099
2016-06-29,101.66,105.7,101.66,103.68,670947
2016-06-30,104.45,106.57,103.83,104.79,419513
2016-07-01,105.13,110.61,104.21,109.55,1754219
2016-07-04,110.22,111.67,107.72,108.25,603327
2016-07-05,108.97,108.97,103.68,104.89,465771
2016-07-07,105.75,106.62,103.68,104.26,176661
2016-07-08,105.13,105.13,99.4,101.33,412041
2016-07-11,103.59,104.84,101.95,103.2,608976
2016-07-12,102.67,102.96,100.22,102.05,367252
2016-07-13,102.19,102.19,97.63,98.39,168266
2016-07-14,98.06,104.36,97.48,103.78,210799
2016-07-15,103.78,103.83,99.69,100.65,168908
2016-07-18,101.38,101.47,98.15,98.68,183231
2016-07-19,99.5,100.27,98.25,99.26,82958
2016-07-20,99.55,99.98,98.35,98.88,131317
2016-07-21,98.92,100.41,98.49,99.74,102170
2016-07-22,99.89,104.36,97.72,102.43,408020
2016-07-25,103.88,103.88,99.55,101.76,629434
2016-07-26,100.99,104.69,99.21,99.89,723148
2016-07-27,100.08,102.7,96.93,99.45,536018
2016-07-28,100.81,105.07,99.89,102.26,523780
2016-07-29,102.7,107.4,102.07,103.28,867656
2016-08-01,103.33,111.66,102.89,108.61,2386007
2016-08-02,109.29,109.63,104.44,104.88,390817
2016-08-03,105.6,106.48,101.15,102.65,299635
2016-08-04,103.86,104.54,101.39,102.55,198164
2016-08-05,104.93,104.93,102.74,103.86,260468
2016-08-08,104.44,107.49,103.42,105.6,759462
2016-08-09,106.52,106.52,104.25,104.93,209256
2016-08-10,104.44,105.65,102.16,104.1,89976
2016-08-11,103.42,105.94,101.78,103.04,148590
2016-08-12,104.1,105.75,103.47,104.68,304776
2016-08-16,100.81,103.18,95.96,98.48,375276
2016-08-17,99.79,101.29,98.24,100.42,283071
2016-08-18,101.58,101.58,99.26,100.47,283550
2016-08-19,102.94,103.42,99.45,100.18,500432
2016-08-22,101.19,101.19,97.9,99.06,212087
2016-08-23,99.4,100.47,98.53,100.03,149623
2016-08-24,100.52,100.52,97.03,97.41,191467
2016-08-25,97.41,99.45,95.09,96.4,306588
2016-08-26,97.07,97.95,94.99,95.18,299551
2016-08-29,95.96,95.96,93.54,93.97,117383
2016-08-30,93.05,98.38,92.52,96.59,352258
2016-08-31,96.78,97.56,96.11,97.22,137544
2016-09-01,97.8,98.53,96.01,96.35,95106
2016-09-02,96.25,97.66,95.91,96.49,379024
2016-09-06,100.13,100.13,96.54,97.27,835462
2016-09-07,97.8,98.29,96.54,97.12,255621
2016-09-08,97.03,99.74,97.03,98.24,584119
2016-09-09,99.06,99.11,95.48,96.01,142272
2016-09-12,94.41,94.85,92.18,92.71,194691
2016-09-14,92.71,96.11,92.71,95.43,129127
2016-09-15,94.85,97.8,94.02,95.48,155048
2016-09-16,96.83,96.83,93.78,94.22,162168
2016-09-19,94.6,95.48,92.91,94.02,197580
2016-09-20,93.34,97.56,93.34,96.3,252795
2016-09-21,96.78,96.93,94.51,95.38,116617
2016-09-22,96.06,96.64,94.55,95.81,186016
2016-09-23,96.83,103.42,96.64,100.03,4967285
2016-09-26,100.47,103.71,99.84,101.97,953384
2016-09-27,102.7,103.42,98.63,99.89,282504
2016-09-28,100.27,102.07,99.11,100.9,343154
2016-09-29,101.39,106.62,93.83,96.3,1578456
2016-09-30,94.22,99.84,94.22,99.4,612207
2016-10-03,99.89,103.28,99.4,102.6,304249
2016-10-04,103.52,104.2,99.84,102.5,413592
2016-10-05,102.74,118.25,102.74,115.25,4169462
2016-10-06,116.22,119.9,111.32,112.68,1855306
2016-10-07,111.47,121.16,109.87,118.98,1917100
2016-10-10,120.34,121.79,113.6,114.52,894643
2016-10-13,112.63,113.21,109.05,111.66,393855
2016-10-14,112.44,113.31,110.26,111.9,201746
2016-10-17,112.68,113.31,105.46,106.48,565967
2016-10-18,107.49,112.24,107.06,109.87,444838
2016-10-19,110.89,113.89,109.48,111.61,307768
2016-10-20,111.95,112.92,109.53,110.31,194950
2016-10-21,110.5,115.64,109.09,114.04,629909
2016-10-24,114.13,119.22,112.92,116.17,994584
2016-10-25,116.27,120.39,116.22,117.04,995436
2016-10-26,116.22,119.22,111.47,112.1,630534
2016-10-27,112.44,114.72,112.39,113.02,309706
2016-10-28,113.36,115.1,112.34,113.02,237178
2016-11-01,113.46,116.27,112.63,113.16,179637
2016-11-02,111.47,115.15,110.74,113.79,402999
2016-11-03,114.18,117.09,109.53,111.66,422987
2016-11-04,110.5,111.47,93.05,98.19,2001355
2016-11-07,100.81,102.55,99.3,100.08,395230
2016-11-08,101.05,103.91,99.4,102.84,313894
2016-11-09,87.24,99.35,82.87,98.43,1052314
2016-11-10,102.5,105.56,100.81,101.78,1287224
2016-11-11,99.84,101.58,94.6,96.3,991530
2016-11-15,96.83,96.93,87.67,88.79,795976
2016-11-16,90.19,94.41,88.69,92.42,409220
2016-11-17,90.63,94.51,86.36,93.39,515136
2016-11-18,93.54,94.7,90.24,93.73,255846
2016-11-21,94.31,94.99,87.96,92.71,323991
2016-11-22,93.1,93.78,87.48,88.16,204572
2016-11-23,90.77,92.81,89.22,92.18,307979
2016-11-24,92.18,92.18,85.01,87.62,152266
2016-11-25,86.61,94.99,86.51,94.46,300974
2016-11-28,94.02,100.71,92.47,98.96,305465
2016-11-29,98.77,101.68,97.17,100.9,278096
2016-11-30,99.84,102.45,97.56,99.35,149809
2016-12-01,98.92,100.61,97.9,99.55,125048
2016-12-02,99.79,99.84,94.6,97.03,381709
2016-12-05,96.83,99.59,96.06,99.06,42394
2016-12-06,97.51,101.29,97.51,100.56,132873
2016-12-07,101.63,102.65,99.35,101.73,150457
2016-12-08,100.37,103.23,98.77,102.41,149975
2016-12-09,103.47,107.59,102.31,105.41,213573
2016-12-12,103.13,106.38,100.42,100.85,82409
2016-12-13,102.84,102.84,100.27,101.58,72188
2016-12-14,101.78,101.78,100.22,100.66,31315
2016-12-15,99.84,104.68,99.84,104.2,88311
2016-12-16,104.15,104.15,101.1,103.33,45628
2016-12-19,102.74,103.04,99.93,100.56,47356
2016-12-20,102.65,102.65,100.27,101.34,59750
2016-12-21,101.68,102.31,100.37,100.9,51551
2016-12-22,100.08,101.39,98.77,100.47,80741
2016-12-23,99.5,100.81,95.77,96.4,117742
2016-12-26,95.96,97.9,92.91,96.15,475881
2016-12-27,96.88,97.12,94.07,96.83,93827
2016-12-28,97.27,97.9,92.32,94.46,146468
2016-12-29,94.02,96.93,94.02,96.35,54268
2016-12-30,96.3,99.45,95.48,97.8,163552
2017-01-02,99.26,100.71,98.09,99.98,49171
2017-01-03,100.71,101.48,99.64,100.85,33577
2017-01-04,100.85,102.21,100.13,101.05,106503
2017-01-05,101.0,102.02,100.95,101.34,40933
2017-01-06,101.34,102.02,100.9,101.39,33809
2017-01-09,100.22,102.6,96.44,96.59,332964
2017-01-10,97.9,98.48,96.11,96.64,137645
2017-01-11,96.64,97.9,93.49,93.83,454246
2017-01-12,94.31,94.8,89.08,89.51,828541
2017-01-13,91.02,91.94,89.37,90.97,174235
2017-01-16,89.9,93.05,89.9,91.26,84911
2017-01-17,92.57,95.67,91.11,93.68,477744
2017-01-18,94.02,95.96,93.92,95.62,188197
2017-01-19,95.72,96.44,94.17,95.57,70112
2017-01-20,94.99,95.72,93.78,94.02,55653
2017-01-23,94.07,94.99,92.81,94.26,37349
2017-01-24,94.89,95.43,93.97,94.12,61270
2017-01-25,94.85,98.29,94.6,96.25,156077
2017-01-27,96.88,97.9,95.48,96.54,110924
2017-01-30,96.4,97.27,94.65,96.49,84652
2017-01-31,95.77,96.83,94.75,95.23,140310
2017-02-01,95.18,100.42,94.99,99.3,188683
2017-02-02,100.22,101.05,96.88,99.5,113621
2017-02-03,100.03,101.68,98.67,101.19,380659
2017-02-06,101.1,103.23,97.9,99.84,207249
2017-02-07,100.27,101.1,97.9,100.13,65123
2017-02-08,100.66,102.65,98.58,99.35,112608
2017-02-09,100.52,102.26,94.99,95.81,353818
2017-02-10,94.65,98.38,94.26,94.7,211204
2017-02-13,94.36,96.98,94.02,95.14,70004
2017-02-14,96.06,96.93,94.36,96.59,67873
2017-02-15,96.11,96.3,94.02,94.99,74002
2017-02-16,94.99,95.96,94.02,95.09,47940
2017-02-17,95.33,96.25,94.17,95.14,120993
2017-02-20,95.96,96.93,94.75,95.57,117432
2017-02-21,96.15,96.83,95.09,95.48,33281
2017-02-22,95.33,95.96,94.6,94.94,199260
2017-02-23,95.14,95.14,92.18,92.32,127066
2017-02-27,93.0,96.93,91.36,92.66,335151
2017-02-28,95.33,98.19,94.99,95.57,400833
2017-03-01,95.28,96.83,95.14,96.11,109145
2017-03-02,95.96,96.35,92.57,93.05,81055
2017-03-03,94.65,95.96,93.0,95.28,68401
2017-03-06,94.99,95.72,94.17,95.48,51782
2017-03-07,95.04,95.43,93.54,94.85,102278
2017-03-08,95.86,96.35,94.51,95.81,182363
2017-03-09,95.48,96.25,94.51,96.06,126965
2017-03-10,95.14,96.74,94.46,96.01,116682
2017-03-14,98.87,98.87,94.51,97.37,267866
2017-03-15,97.12,100.22,96.15,98.09,206966
2017-03-16,98.04,99.35,95.43,97.22,160382
2017-03-17,97.85,99.84,95.77,96.74,198671
2017-03-20,97.9,105.17,96.88,100.9,970348
2017-03-21,101.53,102.74,100.61,101.58,369643
2017-03-22,100.81,101.78,99.21,100.52,95812
2017-03-23,101.19,101.24,98.67,100.61,178521
2017-03-24,101.05,101.05,97.32,98.96,175858
2017-03-27,99.74,100.71,98.04,100.47,210360
2017-03-28,100.52,100.81,97.7,99.26,208084
2017-03-29,99.01,104.68,99.01,104.15,462952
2017-03-30,103.71,105.56,102.36,104.59,251488
2017-03-31,104.49,104.49,101.87,102.79,133490
2017-04-03,103.13,106.38,102.74,105.22,299873
2017-04-05,105.99,120.68,104.15,118.2,3342142
2017-04-06,118.06,122.57,110.84,118.25,979966
