Date,Open,High,Low,Close,Volume
2016-07-07,250.47,250.59,242.27,242.91,11136
2016-07-08,242.27,291.47,242.27,291.47,125781
2016-07-11,291.47,304.89,281.08,284.62,119052
2016-07-12,284.09,298.18,284.09,292.63,42335
2016-07-13,290.73,292.29,266.87,270.86,82699
2016-07-14,282.53,283.27,261.06,274.48,67965
2016-07-15,280.26,281.78,264.79,278.58,50130
2016-07-18,276.19,286.22,268.55,270.83,17481
2016-07-19,265.68,272.09,263.15,266.91,13471
2016-07-20,266.87,269.86,264.71,267.36,18502
2016-07-21,263.97,268.25,260.54,261.36,23470
2016-07-22,266.87,296.99,256.07,282.53,51871
2016-07-25,278.17,296.69,278.17,288.53,40096
2016-07-26,287.0,292.22,272.84,277.61,27026
2016-07-27,278.8,280.74,273.58,275.26,14926
2016-07-28,276.53,287.75,275.82,281.08,6835
2016-07-29,283.24,292.33,278.06,289.16,10681
2016-08-01,296.66,296.66,278.06,279.29,15009
2016-08-02,283.27,290.73,279.55,285.03,21471
2016-08-03,289.16,291.47,279.55,282.86,17787
2016-08-04,287.0,288.31,230.35,283.13,25924
2016-08-05,288.08,288.12,275.82,278.06,7631
2016-08-08,280.85,284.62,270.6,274.14,7753
2016-08-09,272.13,283.2,272.09,278.21,13477
2016-08-10,280.22,281.56,272.13,275.56,6081
2016-08-11,272.91,276.71,270.42,275.11,4000
2016-08-12,279.21,281.04,273.21,274.93,3178
2016-08-16,270.6,278.06,265.05,269.04,15717
2016-08-17,268.37,287.0,266.24,284.47,30758
2016-08-18,288.49,289.98,279.25,281.0,10807
2016-08-19,285.85,289.98,281.71,289.28,10686
2016-08-22,293.64,295.2,284.8,293.34,12318
2016-08-23,290.73,294.46,287.0,289.8,6653
2016-08-24,294.01,294.01,287.04,290.21,4441
2016-08-25,292.93,292.97,281.78,289.13,6476
2016-08-26,290.73,290.73,283.31,283.8,2884
2016-08-29,290.73,294.38,283.27,291.77,9442
2016-08-30,290.73,300.42,283.27,288.34,30253
2016-08-31,290.73,293.71,285.7,287.45,3672
2016-09-01,288.43,290.79,285.64,289.97,4204
2016-09-02,289.44,290.79,286.43,288.2,2301
2016-09-06,280.42,299.89,280.42,298.27,64852
2016-09-07,300.68,302.22,293.24,295.04,8200
2016-09-08,294.33,296.96,292.56,296.06,1767
2016-09-09,300.72,304.36,293.61,296.39,10062
2016-09-12,296.21,296.21,281.96,283.95,6819
2016-09-14,282.71,313.46,281.92,300.42,106049
2016-09-15,303.72,311.2,295.49,307.07,32887
2016-09-16,308.23,323.27,306.13,313.65,68337
2016-09-19,315.75,319.51,307.48,311.69,11601
2016-09-20,310.42,318.01,305.45,313.5,16818
2016-09-21,318.57,319.51,309.74,313.95,8749
2016-09-22,315.75,321.62,315.75,318.35,42426
2016-09-23,317.29,334.55,314.25,330.64,66280
2016-09-26,329.25,336.05,316.5,328.01,43390
2016-09-27,324.02,332.74,317.18,321.77,14712
2016-09-28,325.53,330.04,315.94,319.74,41345
2016-09-29,325.9,337.55,301.47,307.41,81159
2016-09-30,311.99,321.17,308.99,320.83,14580
2016-10-03,325.53,338.31,325.53,337.67,36372
2016-10-04,341.31,343.57,325.68,328.65,14126
2016-10-05,330.79,339.81,330.79,337.97,18388
2016-10-06,338.31,370.33,338.31,354.17,74540
2016-10-07,359.92,375.9,354.17,362.89,82625
2016-10-10,362.36,375.9,358.27,371.95,48071
2016-10-13,371.31,375.14,357.21,364.13,14285
2016-10-14,360.97,372.81,360.94,370.14,14045
2016-10-17,368.38,372.14,363.75,370.86,12406
2016-10-18,369.28,372.17,363.87,365.22,6589
2016-10-19,368.15,381.72,360.07,375.71,43323
2016-10-20,376.65,383.41,370.37,375.67,29193
2016-10-21,374.47,379.58,370.67,376.31,20002
2016-10-24,390.86,390.93,370.71,377.85,40021
2016-10-25,369.13,390.93,347.78,378.68,57737
2016-10-26,372.96,402.66,370.63,392.17,37869
2016-10-27,385.11,399.95,384.73,397.32,7402
2016-10-28,394.65,400.78,391.76,394.16,28658
2016-11-01,392.06,398.45,379.66,384.8,4794
2016-11-02,377.55,389.99,367.51,382.93,9016
2016-11-03,376.05,406.68,376.01,388.6,53180
2016-11-04,388.71,392.44,369.13,378.0,15161
2016-11-07,381.91,387.89,377.02,383.75,8393
2016-11-08,377.44,386.35,366.24,370.52,6568
2016-11-09,357.1,376.99,319.51,368.64,20913
2016-11-10,368.42,387.1,368.38,380.48,5390
2016-11-11,381.91,381.91,353.34,363.15,9999
2016-11-15,353.34,362.66,336.05,356.31,16242
2016-11-16,359.66,369.88,345.86,350.52,10704
2016-11-17,356.35,356.35,338.31,340.86,4002
2016-11-18,334.17,338.23,327.03,334.02,9393
2016-11-21,331.88,331.88,293.35,299.78,24208
2016-11-22,306.51,319.51,301.13,317.41,21445
2016-11-23,323.27,333.8,308.65,326.95,6108
2016-11-24,329.02,360.11,318.01,347.97,45476
2016-11-25,343.27,359.58,339.55,342.52,11279
2016-11-28,345.82,353.34,342.78,348.76,39696
2016-11-29,348.76,361.61,345.82,351.65,18303
2016-11-30,353.34,359.09,345.82,355.71,4805
2016-12-01,349.62,357.1,346.58,350.07,2971
2016-12-02,345.86,348.0,342.14,342.97,2808
2016-12-05,342.97,343.94,325.56,331.58,3344
2016-12-06,333.8,342.07,318.31,333.57,23417
2016-12-07,331.5,335.3,327.78,330.56,3770
2016-12-08,338.31,341.31,336.43,337.52,1876
2016-12-09,337.55,370.63,332.33,365.26,16498
2016-12-12,370.41,398.34,355.22,381.35,30409
2016-12-13,389.24,402.21,381.91,383.71,12877
2016-12-14,387.17,390.82,382.06,385.33,8455
2016-12-15,387.25,398.45,377.36,386.8,16348
2016-12-16,388.68,390.14,379.81,388.34,4527
2016-12-19,389.8,402.96,388.71,391.08,13541
2016-12-20,387.59,393.19,383.6,384.99,3312
2016-12-21,390.74,390.78,381.91,383.79,2376
2016-12-22,384.17,390.03,364.58,365.0,11154
2016-12-23,374.92,375.9,349.58,368.9,5604
2016-12-26,362.1,371.23,354.09,357.63,3300
2016-12-27,360.79,367.63,359.73,363.53,2362
2016-12-28,364.47,374.24,360.45,370.78,6416
2016-12-29,373.15,387.06,372.63,381.87,4792
2016-12-30,383.41,387.17,374.47,380.52,6603
2017-01-02,376.65,384.92,376.65,380.59,1361
2017-01-03,390.93,390.93,379.81,386.01,4816
2017-01-04,384.17,398.45,384.17,389.8,17266
2017-01-05,391.01,420.63,388.38,409.05,109645
2017-01-06,418.71,420.63,404.46,407.81,26069
2017-01-09,408.98,413.34,402.21,410.78,8122
2017-01-10,411.98,417.02,408.34,410.63,14005
2017-01-11,414.99,414.99,406.72,411.94,9058
2017-01-12,409.69,411.98,405.97,408.67,8116
2017-01-13,410.14,411.23,402.32,404.24,7191
2017-01-16,400.4,411.98,398.45,408.79,5560
2017-01-17,409.73,414.99,406.42,410.25,12722
2017-01-18,410.82,413.49,406.83,409.54,6741
2017-01-19,405.97,414.16,401.12,403.04,8333
2017-01-20,409.73,409.73,402.21,402.7,4393
2017-01-23,400.78,409.73,400.78,409.46,1730
2017-01-24,409.46,413.49,392.81,403.71,12096
2017-01-25,410.4,410.4,399.95,401.57,4694
2017-01-27,404.46,408.22,381.91,386.2,39882
2017-01-30,387.17,390.56,383.79,387.14,8100
2017-01-31,386.42,398.34,381.16,393.68,12058
2017-02-01,390.14,402.96,390.14,400.1,6081
2017-02-02,394.73,403.56,381.53,394.47,10272
2017-02-03,402.06,402.06,388.68,396.76,13456
2017-02-06,402.21,402.21,388.86,393.68,12931
2017-02-07,402.17,402.17,379.66,389.39,9515
2017-02-08,388.68,393.07,383.41,385.89,2826
2017-02-09,389.43,389.47,377.4,379.35,4529
2017-02-10,378.15,378.15,369.24,375.6,4120
2017-02-13,384.17,384.17,368.6,371.54,2558
2017-02-14,375.71,375.71,364.24,365.97,2063
2017-02-15,363.15,371.61,357.85,359.51,4195
2017-02-16,359.51,367.63,347.33,359.24,16636
2017-02-17,360.86,375.52,358.6,363.27,2250
2017-02-20,366.16,375.86,362.74,369.13,2167
2017-02-21,364.62,373.57,364.62,367.1,571
2017-02-22,367.1,377.78,355.03,361.95,9567
2017-02-23,371.2,372.81,362.36,366.5,3004
2017-02-27,374.32,374.32,352.14,356.01,6237
2017-02-28,360.11,368.79,350.41,363.04,5145
2017-03-01,356.01,370.63,355.97,363.27,1729
2017-03-02,361.61,366.5,357.1,357.33,3503
2017-03-03,357.1,360.86,349.58,353.68,1797
2017-03-06,360.82,367.63,353.42,362.29,1277
2017-03-07,364.62,376.57,360.86,366.72,5873
2017-03-08,360.45,366.12,358.0,362.7,1702
2017-03-09,364.54,366.76,360.86,364.02,1801
2017-03-10,363.15,375.14,362.36,365.82,1669
2017-03-14,372.1,375.9,364.62,366.5,3882
2017-03-15,375.07,375.07,359.17,360.18,2458
2017-03-16,368.3,369.13,353.34,355.75,7471
2017-03-17,356.35,363.64,349.62,354.21,3935
2017-03-20,349.85,425.03,349.58,425.03,101275
2017-03-21,451.08,451.08,410.78,438.63,50585
2017-03-22,432.28,439.8,408.75,412.13,9973
2017-03-23,411.98,426.27,402.21,411.53,8125
2017-03-24,403.71,424.76,403.71,409.91,7962
2017-03-27,405.97,421.0,402.21,415.1,2731
2017-03-28,420.97,423.45,407.85,412.25,7291
2017-03-29,422.09,422.09,406.01,409.99,3602
2017-03-30,415.74,420.78,409.99,418.3,4780
2017-03-31,420.59,425.51,406.72,416.68,6975
2017-04-03,412.36,416.46,403.22,410.07,11306
2017-04-05,414.16,414.2,403.19,404.65,3995
2017-04-06,405.97,417.21,402.96,408.37,3195
2017-04-07,402.25,413.49,389.5,391.35,9418
2017-04-10,389.47,395.33,381.91,386.46,5896
2017-04-11,386.46,386.46,379.66,381.01,15966
2017-04-12,383.41,383.41,377.4,382.62,4716
2017-04-13,383.26,383.41,363.94,367.44,27110
2017-04-17,375.14,375.14,360.94,365.45,8051
2017-04-18,369.13,379.66,364.62,367.29,2129
2017-04-19,369.66,381.91,366.87,369.51,9320
2017-04-20,372.14,419.05,372.1,408.07,109480
2017-04-21,413.22,413.22,390.97,396.68,8277
2017-04-24,399.95,402.92,383.94,392.92,2050
2017-04-25,402.13,402.13,391.72,397.77,2206
2017-04-26,391.31,401.76,381.91,386.23,10422
2017-04-27,392.66,394.32,380.41,385.22,3968
2017-04-28,380.33,388.9,376.65,384.35,6860
2017-05-02,387.17,388.23,375.9,381.23,2092
2017-05-03,387.55,387.55,376.01,381.23,4433
2017-05-04,378.53,386.61,378.53,382.51,1525
2017-05-05,379.66,390.93,375.9,382.66,3433
2017-05-08,393.56,403.71,378.15,395.03,9458
2017-05-09,390.89,396.08,383.49,387.1,7114
2017-05-10,387.17,398.45,383.41,388.75,1522
2017-05-11,390.93,404.39,390.93,398.41,12026
2017-05-12,394.69,394.69,363.12,366.76,41655
2017-05-15,381.16,381.16,368.38,372.96,9324
2017-05-16,377.78,378.04,363.34,368.6,4679
2017-05-17,368.42,384.02,368.38,377.21,7747
2017-05-18,375.93,378.87,356.35,359.09,15801
2017-05-19,360.15,375.14,360.11,365.03,3321
2017-05-22,366.95,375.03,358.04,363.79,2254
2017-05-23,364.66,371.01,349.58,351.69,15303
2017-05-24,353.34,366.5,346.2,349.81,4551
2017-05-25,354.62,360.86,352.59,358.45,1468
2017-05-26,350.41,367.25,350.37,364.73,2737
2017-05-29,364.62,394.69,354.85,356.88,4262
2017-05-30,360.9,368.38,357.85,366.57,1937
2017-05-31,365.15,369.62,360.11,364.96,3974
2017-06-01,367.14,370.67,348.83,350.94,8068
2017-06-02,355.6,365.0,352.59,360.45,3819
2017-06-05,363.23,363.23,351.84,352.55,6820
2017-06-06,353.46,355.82,342.82,346.01,11822
2017-06-07,350.9,357.85,346.58,353.94,4407
2017-06-08,357.85,364.54,349.58,362.59,1716
2017-06-09,358.79,363.87,357.1,358.08,4707
2017-06-12,361.61,365.33,357.85,363.27,2935
2017-06-13,360.9,375.14,360.86,370.67,3314
2017-06-14,369.02,369.13,357.1,362.97,1178
2017-06-15,363.15,366.12,359.36,363.34,6523
2017-06-16,364.66,368.19,362.36,363.04,3178
2017-06-19,364.96,371.39,363.87,365.63,2546
2017-06-20,368.64,368.68,351.95,361.24,10928
2017-06-21,355.71,360.67,353.42,355.41,523
2017-06-22,360.86,365.37,355.6,360.3,3126
2017-06-23,368.34,372.14,356.35,366.8,3937
2017-06-27,372.25,372.25,360.86,363.98,1609
2017-06-28,365.37,372.06,335.75,354.32,4133
2017-06-29,356.39,357.1,351.84,354.81,4512
