Date,Open,High,Low,Close,Volume
2018-07-03,59.41,62.17,59.37,60.39,18520145
2018-07-04,60.49,60.67,57.41,57.83,7925442
2018-07-05,57.35,57.66,55.0,55.38,8161322
2018-07-06,54.61,57.1,54.58,55.21,4003900
2018-07-09,55.64,56.29,54.63,54.89,2077962
2018-07-10,55.24,57.55,54.54,56.37,7331162
2018-07-11,56.27,58.33,56.01,56.24,3546540
2018-07-12,56.51,57.83,56.5,57.36,2914890
2018-07-13,57.27,57.76,55.82,56.06,1446200
2018-07-16,56.13,56.4,54.33,54.54,1198197
2018-07-17,54.61,55.05,53.81,54.41,1125320
2018-07-18,54.76,56.26,54.07,55.31,2222447
2018-07-19,55.53,56.1,54.07,55.0,1162900
2018-07-20,54.93,55.15,54.14,54.62,598402
2018-07-23,54.83,56.15,54.68,55.47,1122650
2018-07-24,55.43,56.57,55.29,56.08,1280015
2018-07-25,56.09,58.08,56.09,57.59,2514327
2018-07-26,57.78,63.27,57.7,62.48,9717965
2018-07-27,63.29,74.97,61.64,74.11,26672655
2018-07-30,73.76,79.67,70.71,71.72,22750125
2018-07-31,71.6,74.21,68.75,69.92,10103845
2018-08-01,70.15,72.78,69.87,70.9,4529162
2018-08-02,71.37,72.74,70.29,72.01,3413787
2018-08-03,72.5,79.81,72.42,78.89,14184552
2018-08-06,79.67,81.34,77.09,78.79,6329132
2018-08-07,78.69,79.25,76.18,77.23,2253385
2018-08-08,77.29,78.89,76.73,77.49,2003317
2018-08-09,77.51,78.33,76.04,76.98,1866975
2018-08-10,76.73,77.0,72.88,73.35,1326272
2018-08-13,71.97,77.35,71.45,75.68,3525725
2018-08-14,76.34,77.77,75.23,76.16,1707302
2018-08-16,75.89,81.17,74.81,79.95,4889525
2018-08-17,82.19,91.29,81.46,86.71,30331785
2018-08-20,87.09,89.3,86.11,86.78,10075430
2018-08-21,86.73,90.13,86.12,87.72,9026325
2018-08-23,87.99,89.18,86.87,88.2,3624075
2018-08-24,87.89,89.11,86.6,87.09,2356947
2018-08-27,87.76,89.97,81.52,82.92,13497305
2018-08-28,83.73,85.13,81.8,82.16,2770387
2018-08-29,82.06,83.03,79.36,80.01,2196195
2018-08-30,80.34,82.16,78.52,80.62,2500462
2018-08-31,81.13,81.83,79.56,79.98,1187752
2018-09-03,80.37,80.79,77.98,78.38,1250877
2018-09-04,78.41,78.94,72.81,73.96,2377142
2018-09-05,73.96,75.47,68.61,70.6,3420325
2018-09-06,71.67,74.74,70.6,74.07,3596320
2018-09-07,74.18,74.31,72.22,73.09,1360377
2018-09-10,74.42,77.01,74.42,75.48,3811667
2018-09-11,76.81,77.02,73.35,73.64,1299167
2018-09-12,73.64,74.06,69.12,71.53,2278432
2018-09-14,72.37,74.02,72.08,72.76,1240197
2018-09-17,73.25,73.28,70.53,71.49,1730145
2018-09-18,71.83,72.14,69.5,69.87,1152152
2018-09-19,73.18,73.89,70.25,71.58,2728532
2018-09-21,72.22,72.22,62.07,67.78,2181577
2018-09-24,67.99,68.26,64.18,64.62,1089182
2018-09-25,64.38,67.61,64.25,66.77,1817735
2018-09-26,67.27,71.77,67.01,71.24,2258685
2018-09-27,71.19,73.87,70.08,70.63,2250742
2018-09-28,70.53,70.63,67.95,69.43,1427360
2018-10-01,68.84,70.48,66.31,69.7,1104280
2018-10-03,68.57,71.52,68.49,69.91,823102
2018-10-04,68.56,69.63,67.43,68.11,598872
2018-10-05,68.11,68.94,63.73,64.35,972577
2018-10-08,64.61,67.12,64.35,65.54,1049217
2018-10-09,66.09,66.16,63.49,64.21,577480
2018-10-10,64.32,68.5,64.21,67.57,1096460
2018-10-11,64.68,67.01,64.33,65.83,645545
2018-10-12,66.55,69.09,66.55,68.5,758632
2018-10-15,68.5,71.89,68.5,70.74,1198660
2018-10-16,70.98,72.51,70.25,71.05,689660
2018-10-17,71.1,71.6,67.71,67.95,532790
2018-10-19,67.57,68.09,65.5,66.61,420552
2018-10-22,66.86,68.16,65.28,67.67,604640
2018-10-23,66.86,68.56,66.16,67.17,429960
2018-10-24,67.71,68.84,66.91,67.75,453487
2018-10-25,66.84,67.65,66.51,67.16,300152
2018-10-26,67.29,68.22,66.02,67.2,383270
2018-10-29,67.2,71.32,67.15,70.9,824397
2018-10-30,70.28,73.65,70.14,71.55,591692
2018-10-31,71.38,72.25,70.09,71.52,533795
2018-11-01,71.55,75.05,70.93,74.48,879980
2018-11-02,75.05,75.84,72.11,73.03,478692
2018-11-05,72.51,75.05,71.76,74.43,517062
2018-11-06,74.44,76.16,74.07,74.85,340942
2018-11-07,75.37,76.57,75.22,76.29,317132
2018-11-09,76.17,82.03,75.62,80.11,1600947
2018-11-12,80.41,80.7,78.36,79.25,486175
2018-11-13,79.28,87.74,77.64,85.61,8031335
2018-11-14,88.59,90.73,86.47,88.9,6190860
2018-11-15,86.25,87.42,83.23,83.88,1627170
