Date,Open,High,Low,Close,Volume
2019-04-11,15.67,16.33,15.38,15.71,89144982
2019-04-12,15.91,16.41,15.83,16.29,29799546
2019-04-15,16.49,19.54,16.41,19.5,80684771
2019-04-16,20.2,22.22,19.96,21.11,98193853
2019-04-18,21.73,22.14,20.74,21.56,49134384
2019-04-22,21.65,21.77,20.04,20.28,27638075
2019-04-23,20.2,20.33,18.97,19.17,23479783
2019-04-24,19.34,19.96,19.25,19.54,10435909
2019-04-25,19.75,19.91,19.13,19.38,9656994
2019-04-26,19.38,19.5,18.92,19.01,7087998
2019-04-30,19.01,19.01,17.48,18.18,12865523
2019-05-02,18.18,20.16,18.18,19.71,21855261
2019-05-03,19.96,20.08,19.05,19.09,7641982
2019-05-06,18.76,19.05,18.31,18.72,4701329
2019-05-07,19.13,19.42,18.72,18.8,4706773
2019-05-08,18.72,18.97,18.55,18.64,4409931
2019-05-09,18.55,19.13,18.55,18.8,5263687
2019-05-10,18.97,19.05,18.64,18.72,3917012
2019-05-13,18.8,18.88,18.02,18.14,6530467
2019-05-14,17.56,18.14,17.56,18.02,4430457
2019-05-15,18.06,18.47,17.93,18.02,2788664
2019-05-16,18.14,18.18,17.73,17.93,2618948
2019-05-17,17.89,18.47,17.69,18.22,4058030
2019-05-20,19.96,20.2,18.8,19.71,10019136
2019-05-21,19.79,19.87,19.05,19.25,3911699
2019-05-22,19.09,19.79,18.88,19.71,4219518
2019-05-23,20.2,20.78,19.38,19.58,13788157
2019-05-24,19.91,21.44,19.42,21.11,24360607
2019-05-27,21.44,23.13,21.23,22.92,35706613
2019-05-28,23.25,24.66,22.59,23.91,40083414
2019-05-29,24.08,24.53,22.72,23.71,25180226
2019-05-30,23.91,24.33,22.84,23.34,15230422
2019-05-31,23.21,23.25,21.89,22.26,16861938
2019-06-03,22.18,22.26,21.32,21.65,10780479
2019-06-04,21.6,23.38,21.19,22.8,29326652
2019-06-06,23.01,23.38,22.55,22.96,16563302
2019-06-07,23.21,23.34,22.39,22.64,8855839
2019-06-10,22.68,22.96,21.77,22.06,8182783
2019-06-11,22.06,22.14,21.44,21.56,7696976
2019-06-12,21.6,22.06,21.32,21.36,6350179
2019-06-13,21.4,21.69,21.23,21.36,4674283
2019-06-14,21.4,22.18,21.4,22.06,8008344
2019-06-17,22.22,22.59,21.85,22.18,6580348
2019-06-18,22.26,22.47,21.85,22.06,5220986
2019-06-19,22.14,22.35,21.27,21.48,6136025
2019-06-20,21.48,22.1,21.11,21.65,5343371
2019-06-21,21.81,22.06,21.6,21.77,4526851
2019-06-24,21.77,21.85,21.36,21.52,3136463
2019-06-25,21.48,21.65,21.36,21.56,2174486
2019-06-26,21.52,22.26,21.4,21.89,5669820
2019-06-27,21.98,23.01,21.93,22.8,10775034
2019-06-28,23.09,23.25,22.68,22.92,6937627
2019-07-01,23.13,23.21,22.8,22.92,4765023
2019-07-02,22.92,23.01,22.39,22.88,4364940
2019-07-03,22.88,23.79,22.84,23.54,10745849
2019-07-04,23.67,23.87,23.17,23.34,8082229
2019-07-05,23.38,23.58,22.1,22.26,14461450
2019-07-08,22.06,22.06,21.27,21.65,6552058
2019-07-09,21.27,22.18,21.27,21.98,4607745
2019-07-10,21.98,22.1,21.44,21.6,2607539
2019-07-11,21.73,21.89,21.56,21.73,2241893
2019-07-12,21.73,21.77,21.27,21.48,3020307
2019-07-15,21.56,21.6,21.07,21.11,3498001
2019-07-16,21.07,21.15,20.53,20.74,4012423
2019-07-17,20.82,21.03,20.61,20.82,1991908
2019-07-18,20.9,20.9,20.28,20.37,2634274
2019-07-19,20.41,20.82,19.83,19.87,3502811
2019-07-22,19.79,20.12,19.38,19.91,3403335
2019-07-23,20.12,20.41,19.54,19.58,2808690
2019-07-24,19.58,19.83,19.5,19.58,2558042
2019-07-25,19.58,19.91,19.54,19.79,2675122
2019-07-26,19.79,19.96,19.63,19.75,2187581
2019-07-29,19.79,19.83,19.5,19.54,1379247
2019-07-30,19.5,19.71,18.43,18.55,3643069
2019-07-31,18.47,19.58,18.22,19.3,4032996
2019-08-01,19.3,19.91,19.21,19.63,3419089
2019-08-02,19.63,19.96,19.25,19.71,1974989
2019-08-05,19.71,19.71,18.88,19.38,2115108
2019-08-06,19.21,19.87,19.05,19.67,1423049
2019-08-07,19.67,19.87,19.42,19.54,1307704
2019-08-08,19.79,20.37,19.42,20.08,3927902
2019-08-09,20.2,21.77,20.2,21.44,8740461
2019-08-13,21.65,21.69,20.24,20.37,2552382
2019-08-14,20.57,20.57,19.96,20.24,1097841
2019-08-16,20.08,20.49,19.83,20.28,1303815
2019-08-19,20.12,20.41,20.04,20.12,1042617
2019-08-20,20.2,20.37,19.71,20.04,1463235
2019-08-21,20.04,20.12,19.5,19.63,2175564
2019-08-22,19.46,19.63,18.64,18.97,3199904
2019-08-23,18.97,19.34,18.55,19.17,1519188
2019-08-26,19.79,20.57,19.21,19.96,2279964
2019-08-27,20.2,21.23,19.79,21.07,7971631
2019-08-28,21.27,21.4,20.45,20.74,6171140
2019-08-29,20.37,20.66,19.96,20.04,2489645
2019-08-30,20.04,20.7,19.79,20.37,1622016
2019-09-03,20.41,20.41,19.63,19.67,1487635
2019-09-04,19.71,20.04,19.38,19.87,1250728
2019-09-05,19.96,20.37,19.91,20.24,1646072
2019-09-06,20.28,20.44,20.03,20.2,1600749
2019-09-09,20.49,21.36,20.03,20.69,3368217
2019-09-11,20.78,21.02,20.53,20.57,2351807
2019-09-12,20.65,20.98,20.53,20.57,2192566
2019-09-13,20.65,20.86,20.24,20.44,2228720
2019-09-16,20.24,20.28,19.74,19.87,2648389
2019-09-17,19.99,20.16,19.62,19.74,2314811
2019-09-18,19.87,20.11,19.78,19.82,1267097
2019-09-19,19.99,20.03,19.33,19.45,1992382
2019-09-20,19.62,20.28,19.45,20.11,6221372
2019-09-23,20.82,21.6,20.32,21.19,6415267
2019-09-24,21.52,22.43,20.73,22.14,12170996
2019-09-25,21.98,21.98,20.94,21.11,5755433
2019-09-26,21.11,21.27,20.44,20.53,5640802
2019-09-27,20.61,21.36,20.28,20.9,10541636
2019-09-30,21.07,21.07,19.78,19.95,5708643
2019-10-01,20.24,20.24,19.29,19.7,3696184
2019-10-03,19.7,19.87,19.2,19.37,3557901
2019-10-04,19.62,19.74,18.95,19.04,3819822
2019-10-07,19.29,19.37,18.91,18.95,1986132
2019-10-09,19.04,19.2,18.67,19.0,1995107
2019-10-10,18.95,19.53,18.83,19.0,2754277
2019-10-11,19.37,21.48,19.24,21.31,27889330
2019-10-14,21.6,22.22,20.78,21.11,24960035
