Date,Open,High,Low,Close,Volume
2016-07-07,153.34,157.62,150.79,152.68,502954
2016-07-08,152.44,154.04,148.72,150.89,153985
2016-07-11,152.58,154.42,150.75,152.11,85452
2016-07-12,151.5,154.46,150.56,151.88,120469
2016-07-13,150.79,152.58,144.91,149.67,49665
2016-07-14,150.0,151.12,148.68,149.62,39779
2016-07-15,149.85,151.41,147.41,148.49,82833
2016-07-18,148.68,150.56,144.96,146.33,46763
2016-07-19,146.47,147.27,143.64,144.77,30794
2016-07-20,144.87,149.1,144.44,148.58,33939
2016-07-21,148.63,152.07,147.83,150.51,192688
2016-07-22,149.62,152.68,149.62,151.64,671218
2016-07-25,151.92,153.34,149.62,151.83,339144
2016-07-26,151.5,153.15,150.84,151.22,74885
2016-07-27,149.67,152.44,149.62,150.98,104102
2016-07-28,151.31,155.17,149.62,150.7,61017
2016-07-29,150.94,155.35,150.27,153.17,49025
2016-08-01,152.88,154.83,150.94,151.37,94266
2016-08-02,150.8,151.93,146.67,147.81,48187
2016-08-03,146.95,151.89,142.58,146.95,68572
2016-08-04,146.95,149.66,144.29,146.19,41450
2016-08-05,145.86,149.99,145.86,148.52,44872
2016-08-08,149.47,159.77,149.47,152.6,922693
2016-08-09,156.16,156.16,149.99,150.37,117696
2016-08-10,150.46,153.79,146.38,147.19,97015
2016-08-11,147.9,156.63,147.9,151.32,115686
2016-08-12,151.46,153.79,150.04,150.75,46822
2016-08-16,150.8,152.84,142.58,146.48,50323
2016-08-17,146.0,149.04,146.0,146.67,38257
2016-08-18,146.76,152.36,146.76,148.09,621065
2016-08-19,148.19,149.89,147.38,148.42,70646
2016-08-22,148.09,149.28,144.39,147.14,42933
2016-08-23,146.67,147.71,144.86,145.53,28295
2016-08-24,145.05,151.18,144.01,150.13,306287
2016-08-25,150.37,157.96,150.37,154.26,443438
2016-08-26,155.97,158.53,154.45,157.16,152139
2016-08-29,156.63,156.63,151.89,154.97,35214
2016-08-30,156.49,156.63,153.79,153.98,66060
2016-08-31,153.03,157.2,150.94,152.22,60054
