Date,Open,High,Low,Close,Volume
2018-06-27,258.63,258.63,245.7,245.7,28655
2018-06-28,233.45,233.45,233.45,233.45,1780
2018-06-29,221.79,221.79,221.79,221.79,101313
2018-07-02,210.71,210.71,210.71,210.71,696
2018-07-03,200.22,200.22,200.22,200.22,834
2018-07-04,190.22,190.22,190.22,190.22,1894
2018-07-05,180.75,180.75,180.75,180.75,1875
2018-07-06,171.72,171.72,171.72,171.72,3198
2018-07-09,163.18,163.18,163.18,163.18,8281
2018-07-10,155.03,171.33,155.03,162.01,574528
2018-07-11,155.57,159.03,145.81,145.81,393685
2018-07-12,137.9,141.42,131.27,133.32,704888
2018-07-13,133.95,146.64,133.95,146.64,570800
2018-07-16,151.27,161.28,151.27,161.28,494446
2018-07-17,165.43,167.87,150.4,165.47,251155
2018-07-18,164.94,175.38,162.69,166.65,161900
2018-07-19,165.91,171.77,162.01,165.62,179532
2018-07-20,165.91,168.84,162.99,163.62,106738
2018-07-23,159.08,167.62,156.15,164.01,37910
2018-07-24,160.16,166.16,160.16,162.16,38636
2018-07-25,160.06,164.94,145.96,155.57,46386
2018-07-26,152.54,164.64,152.54,162.74,60215
2018-07-27,163.96,168.6,158.4,163.23,71244
2018-07-30,161.03,172.75,161.03,170.65,67290
2018-07-31,175.67,177.04,170.89,172.94,51408
2018-08-01,172.01,190.22,172.01,190.22,141201
2018-08-02,201.05,209.2,187.38,195.05,488572
2018-08-03,196.85,204.76,185.34,204.76,361084
2018-08-06,214.96,214.96,211.05,214.96,92267
2018-08-07,225.69,225.69,205.05,212.03,278392
2018-08-08,213.74,216.22,205.93,208.27,62660
2018-08-09,205.05,218.66,205.05,218.66,34210
2018-08-10,229.35,229.6,221.49,229.6,67086
2018-08-13,237.16,241.06,233.25,241.06,113726
2018-08-14,253.12,253.12,253.12,253.12,3473
2018-08-16,265.75,265.75,265.75,265.75,6901
2018-08-17,279.03,279.03,279.03,279.03,2893
2018-08-20,292.94,292.94,279.52,292.94,427703
2018-08-21,302.55,307.57,294.74,307.57,243057
2018-08-23,322.02,322.95,292.2,322.95,462076
2018-08-24,339.05,339.05,328.51,339.05,82847
2018-08-27,355.98,355.98,351.54,355.98,83031
2018-08-28,373.74,373.74,361.35,373.74,87979
2018-08-29,392.39,392.39,355.1,357.59,672044
2018-08-30,353.98,372.82,341.83,361.59,162787
2018-08-31,343.54,363.94,343.54,343.59,229410
2018-09-03,329.44,343.59,329.44,341.44,114834
2018-09-04,341.54,352.27,331.97,338.07,69077
2018-09-05,338.71,339.93,321.19,322.9,94770
2018-09-06,322.26,328.9,310.01,314.26,61032
2018-09-07,305.09,329.97,299.72,329.97,422291
2018-09-10,346.37,346.47,313.48,314.85,260330
2018-09-11,299.13,307.43,299.13,299.13,227416
2018-09-12,292.79,314.06,286.64,314.06,136090
2018-09-14,320.12,321.58,298.89,315.33,89396
2018-09-17,311.33,315.14,299.57,306.55,63214
2018-09-18,306.45,310.75,291.23,292.06,51070
2018-09-19,295.77,306.65,277.47,292.64,582555
2018-09-21,296.11,302.35,278.05,278.49,184047
2018-09-24,283.03,283.03,264.58,264.78,88179
2018-09-25,264.58,271.32,251.55,256.19,78442
2018-09-26,258.87,268.98,256.24,268.98,41892
2018-09-27,273.27,282.39,269.37,280.1,70782
2018-09-28,284.98,290.79,266.1,266.1,105948
2018-10-01,258.68,270.34,252.82,265.51,30459
2018-10-03,264.53,278.78,264.53,278.78,49276
2018-10-04,268.39,292.11,268.39,287.52,64611
2018-10-05,280.15,286.98,273.17,273.22,31846
2018-10-08,271.37,281.08,259.61,261.85,38992
2018-10-09,267.41,267.46,248.87,259.36,23869
2018-10-10,257.26,272.29,257.26,272.29,40030
2018-10-11,258.68,285.91,258.68,285.91,105970
2018-10-12,298.6,300.16,294.89,300.16,23987
2018-10-15,311.33,315.14,305.23,315.04,131336
2018-10-16,330.75,330.75,311.33,314.55,48698
2018-10-17,310.7,326.95,298.84,299.33,45110
2018-10-19,289.96,299.72,285.18,290.79,42811
2018-10-22,301.38,301.38,287.91,288.88,89978
2018-10-23,278.93,303.33,278.15,295.37,29769
2018-10-24,302.5,307.28,287.91,293.33,14459
2018-10-25,300.6,300.6,287.91,290.54,92969
2018-10-26,283.03,294.25,283.03,287.76,22798
2018-10-29,302.11,302.11,293.81,302.11,48665
2018-10-30,302.65,317.19,295.72,304.79,154439
2018-10-31,305.57,320.02,297.67,316.7,156000
2018-11-01,316.65,316.65,305.62,307.82,71334
2018-11-02,310.6,314.26,295.72,297.28,98272
2018-11-05,302.55,302.55,290.84,292.3,15169
2018-11-06,297.57,299.67,286.93,289.91,19974
2018-11-07,296.64,300.55,290.93,295.03,11185
2018-11-09,296.69,309.77,289.62,308.11,150623
2018-11-12,308.4,312.11,292.74,293.57,52197
2018-11-13,293.62,299.47,283.03,295.13,29721
2018-11-14,297.52,299.62,292.45,295.57,9177
2018-11-15,292.84,297.77,291.23,292.4,8051
2018-11-16,295.47,298.45,291.81,293.76,115888
2018-11-19,287.91,297.52,287.91,294.11,7305
2018-11-20,291.81,294.69,289.96,292.15,6214
2018-11-21,287.91,294.69,287.91,290.98,17029
2018-11-22,295.57,295.62,285.08,288.93,34268
2018-11-26,294.59,294.79,285.96,286.35,14437
2018-11-27,285.08,298.6,283.91,291.08,22623
2018-11-28,292.4,295.72,289.86,292.45,8080
2018-11-29,293.03,295.08,283.57,286.54,39957
2018-11-30,286.54,297.67,286.25,291.86,74973
2018-12-03,291.86,296.3,289.86,292.84,23494
2018-12-04,291.76,294.06,285.13,287.62,12241
2018-12-05,284.98,286.88,273.27,274.78,32904
2018-12-06,274.39,276.83,264.0,266.63,13839
2018-12-07,277.51,277.51,259.61,260.92,12050
2018-12-10,269.71,271.32,252.97,258.63,21988
2018-12-11,249.85,262.58,249.85,258.0,46630
2018-12-12,255.99,263.46,255.99,258.68,33347
2018-12-13,263.51,278.15,263.51,275.03,60049
2018-12-14,277.17,283.03,264.97,266.78,71345
2018-12-17,280.83,293.42,269.61,282.69,249232
2018-12-18,280.39,287.32,277.17,278.93,43729
2018-12-19,280.88,285.37,278.25,283.37,32680
2018-12-20,283.22,290.06,281.08,288.49,147608
2018-12-21,286.01,308.31,282.54,297.18,94916
2018-12-24,306.84,306.84,288.25,292.4,28000
2018-12-26,294.55,300.94,284.98,294.01,31385
2018-12-27,297.62,300.6,292.06,294.45,14200
2018-12-28,294.69,297.91,292.98,296.4,25033
2018-12-31,295.67,305.48,294.5,302.74,26368
2019-01-01,302.55,305.18,296.69,301.87,10196
2019-01-02,300.6,302.06,297.18,297.96,6453
2019-01-03,296.69,305.43,294.3,296.3,5923
2019-01-04,295.86,305.38,290.93,300.3,18269
2019-01-07,296.2,315.19,296.2,306.31,46296
2019-01-08,307.43,310.36,301.57,303.48,20803
2019-01-09,302.65,308.31,302.55,303.13,24862
2019-01-10,302.55,315.24,301.57,311.72,44236
2019-01-11,313.24,313.28,307.18,308.89,21336
2019-01-14,309.43,339.78,307.43,335.0,258666
2019-01-15,334.66,337.78,326.8,330.9,132271
2019-01-16,333.39,333.39,323.63,327.34,40163
2019-01-17,325.97,333.0,324.56,329.88,55834
2019-01-18,329.83,331.83,324.26,326.22,33210
2019-01-21,326.22,332.71,326.22,329.92,52606
2019-01-22,329.92,341.29,327.14,337.49,77773
2019-01-23,332.36,338.61,332.32,337.44,23810
2019-01-24,336.66,370.82,334.36,359.15,132469
2019-01-25,360.08,389.21,337.68,344.86,90098
2019-01-28,333.78,346.47,326.95,338.9,66614
2019-01-29,335.73,370.38,332.12,366.23,137705
2019-01-30,363.06,371.79,357.74,361.89,27165
2019-01-31,365.5,398.05,351.69,379.36,814194
2019-02-01,382.58,386.87,365.06,367.06,60837
2019-02-04,370.87,376.14,362.23,369.3,239524
2019-02-05,372.82,377.45,351.15,362.96,51552
2019-02-06,362.96,365.01,354.86,360.13,35849
2019-02-07,360.13,380.28,356.23,366.91,250257
2019-02-08,369.89,379.06,365.89,369.11,35563
2019-02-11,369.01,372.28,364.13,366.08,25457
2019-02-12,364.33,375.75,362.08,369.26,29087
2019-02-14,365.11,369.35,365.11,366.03,12517
2019-02-15,374.77,374.77,355.4,359.69,31965
2019-02-18,359.01,365.01,355.74,360.52,14334
2019-02-19,351.35,370.87,351.35,366.18,14228
2019-02-20,366.18,368.67,361.11,362.62,17588
2019-02-21,363.94,371.06,362.08,365.69,43776
2019-02-22,365.69,367.94,361.64,362.13,139470
2019-02-25,361.5,369.79,361.11,366.47,36825
