Date,Open,High,Low,Close,Volume
2021-06-24,293.31,351.98,287.47,351.98,41848082
2021-06-25,377.99,403.33,346.37,355.39,30784367
2021-06-28,347.88,352.46,328.69,338.63,5967165
2021-06-29,336.19,343.01,332.14,340.18,2476272
2021-06-30,341.79,349.83,332.58,333.56,983870
2021-07-01,333.27,341.06,324.74,336.14,1740419
2021-07-02,334.24,375.17,332.58,367.81,4600866
2021-07-05,371.66,377.99,357.14,373.27,3150274
2021-07-06,372.88,385.59,366.4,378.09,3504682
2021-07-07,374.44,410.05,368.83,395.0,5935443
2021-07-08,394.41,401.87,385.98,392.17,2421453
2021-07-09,389.78,415.9,387.88,411.47,3886823
2021-07-12,414.05,416.09,391.73,398.65,1845286
2021-07-13,400.5,404.89,390.17,391.78,1526457
2021-07-14,394.61,396.56,388.81,391.54,625983
2021-07-15,394.36,398.85,382.18,384.62,727281
2021-07-16,389.78,398.55,389.0,391.25,1023571
2021-07-19,389.3,394.61,378.09,383.74,1220437
2021-07-20,391.44,445.23,381.99,428.62,8324982
2021-07-22,417.07,440.46,400.6,429.25,9450575
2021-07-23,429.74,441.33,408.06,412.44,4378428
2021-07-26,413.17,413.17,392.32,395.19,3491888
2021-07-27,397.58,404.84,383.79,386.47,2330599
2021-07-28,390.22,413.46,385.4,408.06,4790986
2021-07-29,410.0,427.74,405.47,424.28,2548002
2021-07-30,421.8,432.61,415.8,428.03,1833069
2021-08-02,431.35,442.65,424.38,428.03,2478124
2021-08-03,431.69,435.39,421.16,424.91,909060
2021-08-04,428.52,428.52,410.25,411.17,1674935
2021-08-05,414.05,414.15,397.58,399.04,1476251
2021-08-06,399.72,411.71,397.58,400.94,1736766
2021-08-09,416.78,474.27,416.34,465.6,13161558
2021-08-10,468.96,545.11,461.89,476.85,20850838
2021-08-11,485.09,509.55,466.13,486.16,7578893
2021-08-12,490.84,495.76,474.42,478.7,1918516
2021-08-13,481.53,504.19,481.53,488.98,2797664
2021-08-16,490.64,528.16,480.46,503.07,5838267
2021-08-17,502.24,510.42,481.38,483.67,2846613
2021-08-18,486.21,491.86,452.25,461.65,3623680
2021-08-20,455.66,480.41,451.18,454.44,2441515
2021-08-23,460.09,468.62,426.96,433.83,2657952
2021-08-24,437.19,444.84,428.96,438.65,2849668
2021-08-25,445.33,478.61,443.62,460.34,4691070
2021-08-26,462.87,471.64,454.24,459.46,2658679
2021-08-27,458.97,466.67,455.27,462.09,1346020
2021-08-30,470.66,508.38,470.66,499.56,5769574
2021-08-31,496.97,505.55,483.72,487.33,2502460
2021-09-01,487.33,500.0,483.33,485.72,1701574
2021-09-02,485.77,497.95,480.41,481.92,1525755
2021-09-03,483.33,525.04,478.46,512.27,8377452
2021-09-06,518.8,547.55,513.83,534.74,5941536
2021-09-07,536.39,546.58,526.79,534.88,3524987
2021-09-08,537.8,537.8,512.66,530.93,3217349
2021-09-09,531.57,556.42,531.28,536.44,4521235
2021-09-13,538.88,574.25,532.06,568.55,5695633
2021-09-14,572.45,581.56,552.71,557.39,3046264
2021-09-15,560.7,574.25,552.71,567.57,3207889
2021-09-16,569.23,594.42,567.67,570.4,4361456
2021-09-17,573.96,577.12,545.94,555.83,2113066
2021-09-20,549.6,565.19,541.9,551.64,1784926
2021-09-21,555.25,558.07,533.18,548.43,2457993
2021-09-22,551.15,569.09,546.72,560.12,1786786
2021-09-23,565.63,572.74,557.49,560.17,1348917
2021-09-24,562.07,563.97,540.87,543.75,1243064
2021-09-27,549.5,552.32,534.0,546.19,1602071
2021-09-28,548.62,549.99,538.58,542.04,1117400
2021-09-29,538.88,559.15,536.93,548.86,1092189
2021-09-30,550.96,552.32,540.73,541.65,628272
2021-10-01,536.93,557.25,535.17,548.18,1605653
2021-10-04,549.69,566.94,549.64,560.51,1332619
2021-10-05,560.9,574.79,540.83,570.3,2312586
2021-10-06,572.98,576.39,558.37,566.21,1145894
2021-10-07,570.06,671.4,569.08,636.27,8928123
2021-10-08,640.81,643.14,611.04,614.84,2400741
2021-10-11,616.64,648.94,612.35,635.15,1912860
2021-10-12,634.37,643.14,618.78,634.37,1197495
2021-10-13,652.89,729.87,652.89,722.47,7037231
2021-10-14,728.6,792.24,700.0,735.86,5972558
2021-10-18,742.54,785.37,735.72,746.1,2396092
2021-10-19,751.7,753.55,656.79,679.78,1716466
2021-10-20,674.23,676.28,613.91,626.92,4178371
