Date,Open,High,Low,Close,Volume
2016-06-27,82.21,84.23,82.16,82.73,157949
2016-06-28,83.04,83.48,82.65,82.82,300199
2016-06-29,83.44,83.44,82.56,82.6,250826
2016-06-30,82.65,83.0,82.12,82.47,188394
2016-07-01,82.56,83.35,82.52,82.82,234689
2016-07-04,83.0,84.4,83.0,83.44,246795
2016-07-05,83.92,83.92,82.65,82.82,105602
2016-07-07,83.39,83.57,82.16,82.34,585826
2016-07-08,83.04,83.22,81.86,82.6,143349
2016-07-11,83.35,83.57,82.52,82.87,173015
2016-07-12,82.82,83.48,82.73,83.31,444199
2016-07-13,83.39,83.79,81.86,82.12,273988
2016-07-14,82.95,83.44,82.12,82.52,1127841
2016-07-15,82.78,83.44,82.16,82.73,503698
2016-07-18,83.26,86.42,82.95,84.45,1229506
2016-07-19,85.19,85.98,83.57,84.4,161011
2016-07-20,85.02,85.33,83.26,83.61,330342
2016-07-21,84.32,86.95,84.32,84.89,524449
2016-07-22,85.19,90.46,84.4,89.8,1226623
2016-07-25,90.46,92.57,89.8,90.73,732899
2016-07-26,95.65,95.65,88.0,89.28,1082373
2016-07-27,88.88,91.96,88.0,91.47,432281
2016-07-28,92.44,93.8,91.87,92.97,828848
2016-07-29,92.44,94.68,92.0,92.26,666943
2016-08-01,92.44,93.98,88.44,89.01,339716
2016-08-02,89.54,91.52,88.49,88.75,390103
2016-08-03,89.1,89.15,86.51,87.04,250053
2016-08-04,87.92,90.38,86.86,87.74,158767
2016-08-05,88.22,89.15,87.65,88.05,145939
2016-08-08,88.66,88.84,87.83,88.49,122801
2016-08-09,88.71,89.15,86.56,87.65,202585
2016-08-10,87.65,89.8,87.39,87.78,246276
2016-08-11,87.43,88.53,86.6,87.21,99854
2016-08-12,87.3,89.76,86.95,89.1,169904
2016-08-16,89.98,89.98,87.48,89.01,187562
2016-08-17,89.15,90.46,88.71,89.67,94210
2016-08-18,89.98,92.48,89.23,91.96,304880
2016-08-19,92.22,92.57,90.02,90.51,200364
2016-08-22,90.64,96.7,90.64,94.81,1075926
2016-08-23,94.86,97.71,94.55,95.87,814277
2016-08-24,96.17,96.44,94.33,94.68,223893
2016-08-25,96.08,99.16,95.16,95.73,690960
2016-08-26,96.57,97.23,94.42,94.99,213604
2016-08-29,95.43,98.81,93.54,97.62,939233
2016-08-30,98.81,101.13,98.76,99.82,910030
2016-08-31,100.65,102.94,100.56,100.83,721591
2016-09-01,100.61,101.57,97.49,98.15,308907
2016-09-02,98.5,98.72,96.39,97.31,315552
2016-09-06,101.88,103.11,99.91,100.83,952772
2016-09-07,101.66,101.66,99.07,99.29,250849
2016-09-08,100.04,101.18,99.73,100.21,231354
2016-09-09,100.21,101.35,99.07,99.99,281680
2016-09-12,97.53,98.76,96.0,96.61,301570
2016-09-14,97.53,98.72,96.79,98.37,229368
2016-09-15,98.37,100.83,98.37,100.12,323582
2016-09-16,100.65,101.58,97.92,99.07,282235
2016-09-19,99.99,100.12,97.31,98.5,258255
2016-09-20,98.85,98.85,97.44,98.06,134620
2016-09-21,98.67,100.65,98.5,99.24,456418
2016-09-22,100.34,100.78,99.07,99.42,163901
2016-09-23,98.85,99.29,98.58,98.85,182860
2016-09-26,97.26,99.24,97.26,97.57,118885
2016-09-27,98.41,99.02,96.82,97.26,168821
2016-09-28,98.58,98.67,96.87,97.26,208228
2016-09-29,98.28,98.32,88.99,89.78,757434
2016-09-30,90.66,94.1,90.0,93.57,335808
2016-10-03,94.14,95.9,93.96,95.24,382960
2016-10-04,96.25,96.25,93.66,94.1,186334
2016-10-05,95.9,95.9,93.04,93.66,273751
2016-10-06,93.74,94.62,91.37,91.72,330518
2016-10-07,92.42,92.42,90.79,91.23,194208
2016-10-10,92.86,92.86,90.75,91.54,121971
2016-10-13,91.54,92.11,89.56,90.44,204937
2016-10-14,90.88,91.72,90.62,91.15,434894
2016-10-17,95.06,95.5,92.77,93.26,1114890
2016-10-18,94.18,94.93,93.04,93.39,909329
2016-10-19,94.71,97.44,93.79,96.78,848650
2016-10-20,97.13,98.36,96.38,97.04,349233
2016-10-21,97.22,97.22,95.5,96.3,197288
2016-10-24,97.7,98.94,95.94,97.26,324106
2016-10-25,96.82,97.75,95.72,96.38,208835
2016-10-26,96.74,98.06,95.94,97.22,364997
2016-10-27,97.18,100.34,96.38,97.97,676247
2016-10-28,99.68,99.68,98.19,98.36,437130
2016-11-01,98.58,98.76,96.91,97.66,167229
2016-11-02,96.74,96.74,94.89,95.28,199231
2016-11-03,95.28,96.56,92.42,93.26,231215
2016-11-04,93.3,93.35,90.27,91.5,307287
2016-11-07,93.3,93.83,91.98,92.6,195988
2016-11-08,92.64,94.14,92.64,93.39,273869
2016-11-09,88.9,92.25,74.73,91.41,744637
2016-11-10,92.51,94.98,92.51,93.26,240669
2016-11-11,90.84,92.38,90.66,90.93,197940
2016-11-15,91.98,91.98,84.5,86.44,309540
2016-11-16,88.02,88.64,85.43,85.87,244023
2016-11-17,87.1,88.02,85.16,85.51,158925
2016-11-18,86.04,86.09,83.88,85.56,122488
2016-11-21,85.73,86.66,83.84,84.28,133929
2016-11-22,86.04,87.14,82.87,83.62,162965
2016-11-23,84.46,85.21,83.62,84.59,135194
2016-11-24,84.99,87.93,84.15,86.57,224738
2016-11-25,87.19,87.93,86.44,87.45,110369
2016-11-28,87.41,89.74,87.41,88.77,122696
2016-11-29,90.35,96.65,88.81,93.26,562284
2016-11-30,93.3,95.5,92.73,94.36,375947
2016-12-01,95.24,95.33,91.89,92.29,202042
2016-12-02,91.54,91.89,90.35,90.57,142837
2016-12-05,90.57,93.3,89.78,92.69,256406
2016-12-06,92.82,93.92,92.73,93.08,131908
2016-12-07,93.04,93.92,91.28,91.63,93217
2016-12-08,93.0,94.67,92.25,93.26,410929
2016-12-09,93.83,94.23,92.78,93.52,183042
2016-12-12,95.28,98.58,94.54,95.99,814043
2016-12-13,95.99,97.22,95.42,96.25,209467
2016-12-14,97.7,97.7,93.96,94.54,166751
2016-12-15,93.74,98.36,93.3,97.26,385958
2016-12-16,98.8,102.02,97.79,99.9,1247839
2016-12-19,99.73,102.63,98.32,101.71,581339
2016-12-20,102.85,103.73,98.58,99.6,814273
2016-12-21,100.34,101.05,98.36,99.9,276247
2016-12-22,100.78,101.18,98.76,99.29,496218
2016-12-23,99.29,100.26,98.58,98.76,229521
2016-12-26,98.5,98.5,91.5,92.47,636641
2016-12-27,93.3,98.1,91.98,97.57,578929
2016-12-28,97.75,98.94,96.3,97.22,779428
2016-12-29,96.38,98.5,95.99,97.48,313301
2016-12-30,97.4,98.58,95.68,96.12,389072
2017-01-02,98.45,98.5,96.6,97.92,224664
2017-01-03,98.67,103.21,98.06,101.53,1762893
2017-01-04,102.37,103.43,98.98,100.48,573613
2017-01-05,101.14,101.49,98.94,99.55,430330
2017-01-06,100.12,101.27,99.07,99.46,362807
2017-01-09,100.26,100.78,99.2,99.68,417388
2017-01-10,101.14,102.15,100.17,100.96,511425
2017-01-11,101.75,101.89,99.9,100.3,267635
2017-01-12,101.05,101.67,99.33,100.17,641385
2017-01-13,100.65,100.78,99.11,99.38,266005
2017-01-16,99.38,99.99,98.85,99.29,186793
2017-01-17,99.95,99.95,97.26,97.44,340579
2017-01-18,98.01,98.01,95.24,95.59,383410
2017-01-19,96.21,96.21,93.7,94.36,987021
2017-01-20,94.76,100.17,93.3,97.92,1316975
2017-01-23,99.73,100.87,98.58,100.26,749255
2017-01-24,100.74,101.49,97.26,98.1,573671
2017-01-25,98.54,99.99,97.53,98.28,661558
2017-01-27,98.67,99.38,95.33,95.94,699584
2017-01-30,97.75,99.38,96.43,96.87,716664
2017-01-31,96.38,97.4,93.39,94.14,698352
2017-02-01,93.52,94.1,89.61,91.67,2706974
2017-02-02,92.25,92.25,88.11,88.59,964856
2017-02-03,89.03,89.69,85.47,85.95,1068470
2017-02-06,85.95,87.05,85.12,85.56,762311
2017-02-07,86.75,87.71,85.51,85.65,417887
2017-02-08,86.35,86.61,85.38,85.73,466068
2017-02-09,87.14,87.14,84.06,84.32,430883
2017-02-10,84.5,85.21,82.83,83.22,422006
2017-02-13,83.27,83.88,81.33,81.55,396938
2017-02-14,82.74,83.49,79.53,80.06,822172
2017-02-15,79.92,80.06,78.34,79.13,576585
2017-02-16,79.22,79.66,77.81,78.34,363480
2017-02-17,79.22,82.78,78.08,80.06,660406
2017-02-20,80.98,81.6,80.5,80.8,200462
2017-02-21,81.2,81.6,80.14,80.36,204707
2017-02-22,80.98,80.98,78.78,79.22,169430
2017-02-23,79.66,79.66,78.34,78.56,321748
2017-02-27,79.04,79.66,77.28,77.81,352982
2017-02-28,77.81,78.38,77.28,77.5,327988
2017-03-01,78.96,80.98,77.59,78.74,864846
2017-03-02,80.28,82.39,78.78,79.22,1108049
2017-03-03,80.1,80.14,78.78,78.96,184975
2017-03-06,79.75,79.79,77.94,79.31,1337011
2017-03-07,79.66,80.76,79.04,80.06,358131
2017-03-08,80.1,80.8,78.6,79.35,307003
2017-03-09,79.22,79.53,78.38,78.56,209271
2017-03-10,79.13,80.63,78.56,80.28,374353
2017-03-14,81.86,82.56,80.36,80.63,388679
2017-03-15,80.89,84.72,80.32,83.36,999487
2017-03-16,84.06,84.19,82.74,83.09,869890
2017-03-17,82.78,82.96,81.95,82.3,305247
2017-03-20,83.18,83.18,81.16,81.6,320510
2017-03-21,81.42,81.55,79.84,80.1,214361
2017-03-22,80.1,80.1,79.13,79.31,206763
2017-03-23,79.66,79.79,78.25,78.74,246244
2017-03-24,79.13,79.75,78.21,78.56,339078
2017-03-27,79.18,79.22,76.8,77.2,446067
2017-03-28,78.08,79.09,77.33,77.94,383000
2017-03-29,78.34,78.78,76.45,76.62,571252
2017-03-30,77.02,81.77,77.02,81.46,947931
2017-03-31,81.9,83.53,81.33,81.68,808084
2017-04-03,81.95,83.31,81.95,82.65,413414
2017-04-05,82.34,87.98,81.86,87.76,1635893
2017-04-06,89.65,91.54,88.55,89.08,2504987
2017-04-07,88.29,88.29,85.43,85.65,451661
2017-04-10,85.65,86.44,84.15,84.68,360498
2017-04-11,85.21,85.95,83.8,84.24,359789
2017-04-12,84.46,86.26,82.92,85.38,471456
2017-04-13,86.7,88.9,85.38,86.75,704589
2017-04-17,86.66,87.14,84.72,85.29,258721
2017-04-18,86.61,87.8,84.59,84.9,455688
2017-04-19,84.9,85.56,84.1,85.16,205345
2017-04-20,84.94,85.82,84.5,84.72,269407
2017-04-21,83.88,85.73,83.88,84.41,306118
2017-04-24,85.34,88.37,83.71,87.85,845522
2017-04-25,88.73,90.05,86.7,88.51,760289
2017-04-26,89.61,90.66,86.35,86.97,550061
2017-04-27,87.14,87.32,85.65,86.57,181357
2017-04-28,86.75,88.99,86.26,87.63,578483
2017-05-02,88.64,89.25,85.87,88.51,383163
2017-05-03,88.86,92.16,87.8,88.64,762458
2017-05-04,89.21,89.74,86.66,86.88,350423
2017-05-05,86.88,87.71,84.77,85.6,253855
2017-05-08,86.09,87.05,85.87,86.61,248923
2017-05-09,87.49,87.49,86.48,86.57,252661
2017-05-10,86.92,87.93,85.78,86.13,546690
2017-05-11,86.13,87.14,84.81,85.03,425167
2017-05-12,84.94,86.0,84.5,84.85,242076
2017-05-15,85.21,86.04,84.77,85.12,140462
2017-05-16,85.21,88.9,84.99,87.58,590209
2017-05-17,87.14,88.46,85.51,87.1,495720
2017-05-18,85.69,88.02,83.97,84.32,335470
2017-05-19,84.68,85.38,81.9,83.14,260521
2017-05-22,84.5,85.65,81.86,84.59,383434
2017-05-23,84.72,84.72,80.1,80.72,476508
2017-05-24,80.28,81.99,78.34,78.78,322141
2017-05-25,79.92,80.94,78.38,80.45,233982
2017-05-26,80.67,83.31,79.4,80.58,367552
2017-05-29,81.6,81.6,79.31,79.53,124165
2017-05-30,80.1,80.1,77.77,79.13,169343
2017-05-31,79.79,81.6,76.8,78.03,642772
2017-06-01,78.56,81.33,78.34,80.5,430843
2017-06-02,80.98,81.29,79.66,80.5,116330
2017-06-05,79.75,80.98,79.75,80.5,111718
2017-06-06,80.32,80.8,79.22,79.31,119493
2017-06-07,79.92,79.92,78.82,79.35,157761
2017-06-08,79.66,79.66,78.08,78.25,224620
2017-06-09,78.65,78.69,77.9,78.21,179741
2017-06-12,78.34,79.66,77.55,78.69,362692
2017-06-13,79.22,79.22,77.5,77.77,348476
2017-06-14,77.77,78.78,77.42,78.21,226542
2017-06-15,78.34,78.43,75.74,76.36,740782
2017-06-16,77.11,77.64,76.62,77.37,421078
2017-06-19,77.64,78.25,76.62,77.06,234186
