Date,Open,High,Low,Close,Volume
2016-07-07,89.89,94.0,88.71,92.68,2150102
2016-07-08,93.02,93.02,90.87,91.5,593894
2016-07-11,92.78,93.32,91.31,91.55,361478
2016-07-12,90.67,92.63,90.67,91.31,458792
2016-07-13,91.65,93.27,90.28,90.82,580402
2016-07-14,92.97,95.38,91.9,94.05,2209640
2016-07-15,94.54,96.26,93.17,93.91,1206480
2016-07-18,94.59,96.45,93.76,94.2,970627
2016-07-19,94.59,95.47,93.81,94.1,362482
2016-07-20,94.49,96.26,94.2,94.89,471320
2016-07-21,95.57,96.06,94.35,94.59,512496
2016-07-22,94.84,99.0,94.1,98.17,2184597
2016-07-25,99.39,101.75,99.2,99.98,1067441
2016-07-26,100.96,101.65,97.53,97.87,689768
2016-07-27,98.02,98.9,96.65,98.12,525311
2016-07-28,99.0,100.67,98.17,99.44,630806
2016-07-29,99.54,100.77,99.3,99.98,565268
2016-08-01,100.62,101.06,98.02,98.66,447392
2016-08-02,99.0,99.35,97.04,97.24,392996
2016-08-03,97.68,97.68,95.57,96.01,367489
2016-08-04,96.85,97.04,95.13,95.96,232852
2016-08-05,96.65,97.04,96.06,96.7,249816
2016-08-08,97.43,98.02,95.28,95.96,360914
2016-08-09,96.06,96.85,95.33,95.62,296420
2016-08-10,95.28,96.16,94.69,94.84,244088
2016-08-11,95.47,95.47,94.1,94.69,220060
2016-08-12,94.79,95.28,94.54,94.93,215354
2016-08-16,95.13,97.58,94.69,96.75,344990
2016-08-17,96.55,98.71,96.55,97.68,397045
2016-08-18,98.66,100.47,97.14,99.39,590555
2016-08-19,99.0,100.52,98.51,99.15,360839
2016-08-22,99.79,108.02,99.59,106.84,2915126
2016-08-23,107.53,111.25,107.14,109.34,2313939
2016-08-24,109.54,109.69,105.96,106.94,844810
2016-08-25,107.14,113.46,106.75,110.81,2195934
2016-08-26,111.79,113.02,108.9,109.83,774827
2016-08-29,109.1,117.63,107.73,116.89,3181636
2016-08-30,118.95,120.91,117.28,118.21,1685665
2016-08-31,118.61,122.23,117.72,118.51,4015114
2016-09-01,118.56,119.49,114.69,115.22,818661
2016-09-02,115.27,117.43,113.12,115.86,680660
2016-09-06,116.65,120.32,116.65,118.61,742968
2016-09-07,118.75,119.34,116.06,116.5,404209
2016-09-08,117.09,119.1,117.09,117.82,552504
2016-09-09,118.61,120.32,117.38,118.95,1012678
2016-09-12,117.63,118.02,113.71,114.34,868163
2016-09-14,114.2,117.77,114.2,116.21,524769
2016-09-15,117.23,120.57,115.71,118.66,1175790
2016-09-16,119.39,120.08,115.18,115.91,696322
2016-09-19,117.04,117.33,115.18,115.76,296833
2016-09-20,116.06,116.25,114.44,115.13,264708
2016-09-21,116.16,120.37,116.16,118.07,1289856
2016-09-22,119.98,120.27,118.61,118.9,589211
2016-09-23,119.54,119.83,116.21,116.74,366543
2016-09-26,116.84,117.38,115.37,115.86,286155
2016-09-27,116.16,117.63,114.88,115.37,387406
2016-09-28,116.35,118.12,115.71,116.45,383204
2016-09-29,117.43,118.12,102.68,105.23,1550311
2016-09-30,104.83,111.75,104.83,111.01,938550
2016-10-03,111.75,115.67,111.75,114.98,562681
2016-10-04,115.18,115.81,113.8,114.64,347588
2016-10-05,115.22,116.11,112.33,112.92,559139
2016-10-06,113.66,114.44,110.96,112.19,443558
2016-10-07,113.02,113.02,110.76,111.65,313515
2016-10-10,112.63,112.73,110.76,111.01,241278
2016-10-13,110.96,111.06,107.82,109.05,415528
2016-10-14,109.29,111.65,109.1,110.62,295978
2016-10-17,111.75,113.36,111.11,111.6,281242
2016-10-18,112.14,114.2,111.75,112.53,377889
2016-10-19,113.22,116.45,112.28,115.52,694616
2016-10-20,116.16,117.43,114.34,114.59,493582
2016-10-21,114.64,115.32,112.77,113.02,320760
2016-10-24,113.71,116.16,113.71,114.39,258424
2016-10-25,114.24,115.47,113.12,114.1,175509
2016-10-26,113.71,115.27,112.82,114.1,255641
2016-10-27,113.8,115.13,112.09,112.58,404533
2016-10-28,112.68,113.9,112.63,113.07,200456
2016-11-01,113.71,115.08,113.71,113.85,227118
2016-11-02,112.53,112.73,110.76,111.4,342003
2016-11-03,111.75,112.58,109.78,110.18,214672
2016-11-04,110.27,110.27,105.42,107.04,415865
2016-11-07,109.05,109.78,108.22,109.15,240306
2016-11-08,110.13,116.6,108.07,112.38,912923
2016-11-09,100.96,111.75,96.06,110.18,1339757
2016-11-10,116.4,116.4,112.24,112.58,344198
2016-11-11,110.27,112.24,110.27,110.81,253967
2016-11-15,110.81,111.5,104.88,105.81,403375
2016-11-16,108.71,109.15,104.59,105.13,353360
2016-11-17,105.81,105.81,100.08,100.62,647930
2016-11-18,101.6,102.68,98.71,99.2,489891
2016-11-21,100.57,101.35,98.56,99.59,438711
2016-11-22,100.77,102.53,98.81,99.15,446476
2016-11-23,100.47,101.94,99.39,101.4,332847
2016-11-24,100.86,106.3,100.28,103.56,591011
2016-11-25,104.39,105.81,103.46,104.25,283747
2016-11-28,105.08,105.77,103.02,103.81,462509
2016-11-29,104.69,111.99,104.0,110.37,1162811
2016-11-30,110.91,112.53,109.88,111.4,520406
2016-12-01,112.73,112.73,109.78,110.18,234753
2016-12-02,109.29,109.74,106.01,106.65,308191
2016-12-05,107.29,109.49,105.57,108.66,358955
2016-12-06,109.29,110.57,109.1,109.54,202610
2016-12-07,110.32,110.52,107.92,108.22,191323
2016-12-08,109.29,113.61,108.61,111.55,625221
2016-12-09,112.53,113.31,110.37,111.65,447837
2016-12-12,114.78,118.51,114.29,114.78,2281686
2016-12-13,115.76,116.4,113.9,114.64,589112
2016-12-14,114.64,115.91,110.32,111.89,618081
2016-12-15,113.41,119.34,112.92,117.97,1538596
2016-12-16,119.49,128.56,119.19,124.88,5712758
2016-12-19,124.49,129.39,121.65,128.41,3067156
2016-12-20,130.37,133.11,127.04,129.29,3639528
2016-12-21,130.47,130.81,126.55,127.97,1878779
2016-12-22,127.43,129.78,126.55,128.46,1271306
2016-12-23,128.7,130.37,127.53,128.02,1065005
2016-12-26,127.23,127.33,114.78,116.7,1795815
2016-12-27,117.63,122.77,116.89,122.28,1844115
2016-12-28,123.31,124.14,119.59,120.32,924321
2016-12-29,119.68,122.43,119.29,120.62,769648
2016-12-30,121.45,122.92,120.57,120.81,728628
2017-01-02,121.55,123.31,120.27,122.67,657433
2017-01-03,123.65,130.27,123.02,128.21,2992973
2017-01-04,129.0,129.68,124.49,125.91,1281617
2017-01-05,126.45,127.09,121.65,124.39,1125281
2017-01-06,124.88,126.79,123.07,124.88,841568
2017-01-09,125.52,127.33,124.98,126.11,839115
2017-01-10,127.28,129.88,124.98,125.32,1670206
