Date,Open,High,Low,Close,Volume
2016-07-07,83.37,85.24,82.87,83.02,17550
2016-07-08,82.97,84.2,81.54,83.5,7210
2016-07-11,84.24,84.96,82.71,83.41,7010
2016-07-12,86.27,86.27,83.03,83.73,8630
2016-07-13,83.92,84.29,80.15,81.74,41300
2016-07-14,82.64,82.64,80.88,81.44,2610
2016-07-15,80.7,81.76,80.15,81.54,10270
2016-07-18,82.34,84.48,81.07,83.71,15600
2016-07-19,83.02,85.19,81.74,82.09,10650
2016-07-20,83.19,83.19,80.0,81.16,18770
2016-07-21,80.7,82.59,80.43,81.4,15940
2016-07-22,81.45,82.68,80.6,80.75,6320
2016-07-25,81.93,82.19,79.95,80.48,6970
2016-07-26,81.18,81.73,79.65,80.88,8870
2016-07-27,79.93,82.77,79.17,81.18,6580
2016-07-28,80.99,82.59,80.71,82.04,11070
2016-07-29,81.17,84.39,80.59,82.68,17440
2016-08-01,81.54,84.29,81.54,83.38,14540
2016-08-02,84.1,84.27,83.18,84.11,16250
2016-08-03,84.2,84.23,81.59,81.78,5870
2016-08-04,83.54,84.37,81.81,83.22,8230
2016-08-05,84.95,85.24,83.18,84.24,12160
2016-08-08,85.05,101.08,85.05,101.08,1657310
2016-08-09,102.31,102.78,90.09,94.2,1214270
2016-08-10,95.19,97.03,91.52,93.66,197330
2016-08-11,93.4,97.16,91.52,92.75,70090
2016-08-12,93.59,94.62,90.21,91.44,27870
2016-08-16,93.4,93.4,90.08,90.73,27060
2016-08-17,91.03,92.83,88.19,89.79,46150
2016-08-18,90.4,90.4,88.86,89.56,27300
2016-08-19,90.55,93.4,88.39,90.03,42220
2016-08-22,90.55,93.2,90.55,92.09,19030
2016-08-23,92.73,95.29,91.7,93.0,11320
2016-08-24,94.72,96.0,93.07,94.79,36020
2016-08-25,94.81,98.52,94.37,98.05,65440
2016-08-26,98.14,98.9,95.29,95.62,12610
2016-08-29,95.01,100.88,93.24,99.48,49780
2016-08-30,102.5,103.54,96.72,97.35,172010
2016-08-31,101.84,101.84,96.72,97.55,21380
2016-09-01,96.72,98.52,94.63,95.5,28060
2016-09-02,97.6,97.6,94.05,94.76,30060
2016-09-06,97.13,97.13,93.89,94.34,13600
2016-09-07,94.53,100.58,94.53,99.46,80930
2016-09-08,99.54,99.56,94.37,94.72,61750
2016-09-09,95.12,98.61,94.86,98.07,46540
2016-09-12,94.72,102.71,94.44,98.28,19330
2016-09-14,99.28,100.51,95.41,98.06,22550
2016-09-15,97.65,99.37,96.72,97.56,10810
2016-09-16,96.43,98.89,96.43,96.9,11490
2016-09-19,95.13,99.47,95.13,96.42,16360
2016-09-20,95.96,98.8,94.44,94.75,31180
2016-09-21,96.52,97.86,94.17,94.7,47560
2016-09-22,94.82,95.57,93.23,93.99,24430
2016-09-23,94.19,95.67,90.9,92.94,51670
2016-09-26,92.17,94.5,92.16,92.52,1048290
2016-09-27,92.52,94.81,91.98,93.77,648120
2016-09-28,93.58,96.25,93.31,95.26,16530
2016-09-29,96.53,97.1,91.6,94.98,47390
2016-09-30,94.17,95.2,93.21,94.57,8250
2016-10-03,93.43,97.07,93.43,96.64,23790
2016-10-04,95.78,97.1,94.86,96.58,7620
2016-10-05,95.22,100.4,95.22,98.29,29090
2016-10-06,98.03,101.35,97.18,99.95,57340
2016-10-07,97.96,101.55,97.96,100.54,17620
2016-10-10,99.68,104.0,99.68,103.47,43270
2016-10-13,101.4,104.15,100.03,103.17,37570
2016-10-14,101.46,104.17,100.16,102.21,31260
2016-10-17,102.22,104.21,101.65,102.2,18520
2016-10-18,101.59,103.99,99.77,100.96,41720
2016-10-19,101.46,106.1,100.73,105.42,44000
2016-10-20,105.63,105.72,102.4,102.97,11580
2016-10-21,102.88,104.77,100.09,103.78,8470
2016-10-24,103.43,105.53,102.22,105.1,26530
2016-10-25,103.68,108.0,103.68,107.34,33070
2016-10-26,107.43,107.43,104.12,105.84,13030
2016-10-27,103.54,109.61,103.54,108.78,68190
2016-10-28,109.04,111.37,109.04,110.43,39450
2016-11-01,112.84,119.47,111.13,118.14,65900
