Date,Open,High,Low,Close,Volume
2025-12-24,264.12,264.16,260.48,261.31,4694861
2025-12-26,260.48,262.11,259.05,259.6,2899112
2025-12-29,259.3,260.66,256.97,257.59,3755074
2025-12-30,257.36,258.06,256.4,257.01,5117699
2025-12-31,257.36,257.94,254.68,256.65,5705044
2026-01-01,257.84,261.3,257.11,260.62,3639755
2026-01-02,260.62,265.54,259.45,262.23,8286204
2026-01-05,262.67,262.86,255.11,256.67,7006599
2026-01-06,256.67,259.4,256.33,258.92,4083654
2026-01-07,258.33,265.64,257.84,263.98,10242615
2026-01-08,264.08,264.08,254.77,255.6,9269522
2026-01-09,254.77,257.31,253.9,255.36,4735387
2026-01-12,254.14,257.84,252.53,256.48,3802164
2026-01-13,256.82,258.18,254.72,257.55,6931244
2026-01-14,257.36,257.36,253.07,253.65,5625861
2026-01-15,253.65,253.65,253.65,253.65,0
2026-01-16,256.62,263.01,256.38,260.72,12028289
2026-01-19,245.66,245.66,235.47,239.76,65833247
2026-01-20,239.76,239.81,233.37,233.86,16796201
2026-01-21,233.86,236.49,231.62,233.52,14397792
2026-01-22,235.91,236.79,233.18,234.59,8537915
2026-01-23,236.2,237.42,231.86,232.4,13546802
2026-01-27,235.2,236.4,231.75,234.8,15677537
2026-01-28,235.5,238.1,234.95,237.35,10155128
2026-01-29,236.2,240.9,235.45,239.8,12201949
2026-01-30,238.0,238.0,235.3,236.9,11362317
2026-02-02,244.0,244.08,239.29,242.3,12335721
2026-02-03,259.21,259.89,242.28,242.69,25915412
2026-02-04,235.91,235.92,226.26,233.34,25995324
2026-02-05,233.34,235.57,231.7,233.39,10102736
2026-02-06,232.93,232.93,228.6,230.72,12279085
2026-02-09,231.85,232.93,229.61,230.08,9112474
2026-02-10,229.98,232.86,227.2,231.47,12435622
2026-02-11,231.47,233.0,229.5,229.81,7874912
2026-02-12,226.2,226.26,218.5,219.08,40899346
2026-02-13,210.65,216.48,209.01,214.09,23721186
2026-02-16,214.62,216.91,210.11,213.26,20754327
2026-02-17,213.26,219.39,212.26,215.69,26941553
2026-02-18,216.2,216.4,210.26,211.95,22679760
2026-02-19,214.0,215.44,210.4,211.21,14151588
2026-02-20,209.7,211.96,208.25,209.86,17690420
2026-02-23,210.36,211.74,204.28,205.89,20946229
2026-02-24,203.0,203.29,199.36,200.14,25036686
2026-02-25,201.31,205.48,201.31,201.92,13979068
2026-02-26,203.71,204.63,199.12,201.08,14378069
2026-02-27,204.0,204.0,200.05,200.96,13288519
2026-03-02,195.0,200.36,194.7,198.57,10486866
2026-03-04,196.01,197.12,194.51,195.55,19562075
2026-03-05,196.4,196.97,193.22,195.68,13149281
