Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
APARINDS,2016-06-27,446.3,482.08,437.49,466.45,65818,1.0,,0,,1,0.045149,0.033508,0.018887,,1.0,0,0.0988,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-06-28,469.77,473.8,460.47,463.22,13766,0.3459,-0.01102,0,,-1,0.013943,0.0087,0.005937,,0.3459,0,0.1841,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-06-29,467.42,498.02,458.75,482.17,129511,1.8582,0.02052,0,0.7071,1,0.031556,0.032872,0.017981,,1.8582,0,0.1076,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-06-30,484.38,487.04,468.62,474.86,33423,0.5513,-0.004849,0,-0.708,-1,0.019654,0.005602,0.013141,,0.5513,0,0.1858,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-01,484.25,486.59,467.56,470.04,13159,0.2573,-0.019898,0,-0.4729,-1,0.029344,0.004978,0.005276,,0.2573,0,0.1697,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-04,478.09,478.09,466.45,469.59,8160,0.1856,-0.02594,0,-0.1106,-1,0.017779,0.0,0.006687,,0.206,0,0.1674,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-05,475.97,475.97,458.7,459.54,9582,0.2453,-0.043191,0,-0.8582,-1,0.034519,0.0,0.001828,,0.2472,0,0.1604,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-07,464.01,467.56,456.04,457.02,3012,0.0872,-0.048909,0,-0.1347,-1,0.015064,0.007768,0.002144,,0.2237,0,0.1682,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-08,453.43,469.33,453.43,462.24,13879,0.4303,-0.035724,0,0.6349,1,0.01943,0.015338,0.0,,1.452,0,0.1616,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-11,467.07,470.66,460.74,467.07,10853,0.3604,-0.04266,0,0.5442,-1,0.0,0.007686,0.013553,,1.193,0,0.1542,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-12,471.94,471.94,457.82,459.9,9018,0.3198,-0.064288,0,-0.7712,-1,0.025512,0.0,0.004523,,0.9729,0,0.1762,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-13,463.08,463.08,445.42,455.16,9246,0.3473,-0.063393,0,-0.4686,-1,0.017103,0.0,0.021399,,1.0048,0,0.1629,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-14,447.68,461.93,445.99,458.48,4892,0.1961,-0.09298,0,0.5075,1,0.024124,0.007525,0.003686,,0.5108,0,0.1545,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-15,459.54,464.55,456.04,462.2,3679,0.157,-0.056742,0,0.5292,1,0.005788,0.005084,0.007572,,0.4881,0,0.1645,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-18,470.04,470.21,455.03,458.97,10751,0.4761,-0.044853,0,-0.3747,-1,0.023551,0.00037,0.008584,,1.4302,0,0.169,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-19,467.56,467.56,449.71,460.69,17309,0.7778,-0.037396,0,0.291,-1,0.014693,0.0,0.023834,,1.8865,0,0.1325,0,0,0.0,0.0,NO_SIGNAL
APARINDS,2016-07-20,465.79,472.87,458.79,470.52,16395,0.7483,-0.003181,0,1.3069,1,0.010155,0.004994,0.014877,,1.5459,0,0.1458,0,0,0.0,0.0,NO_SIGNAL
