Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
ASTRAMICRO,2016-07-07,118.06,126.23,116.66,124.59,1390643,1.0,,0,,1,0.055311,0.013163,0.011237,,1.0,0,0.1354,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-08,123.88,123.88,119.43,120.46,421508,0.4652,-0.031386,0,,-1,0.027607,0.0,0.008551,,0.4652,0,0.1951,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-11,121.96,121.96,117.36,118.06,360174,0.4974,-0.068695,0,0.7071,-1,0.031978,0.0,0.005929,,0.4974,0,0.1713,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-12,118.63,119.71,117.41,118.11,277949,0.4537,-0.074548,0,1.0628,-1,0.004383,0.009144,0.005927,,0.4537,0,0.1752,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-13,118.58,121.3,117.88,118.96,290887,0.5306,-0.067169,0,1.001,1,0.003205,0.01967,0.005884,,0.5306,0,0.1568,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-14,118.91,119.85,117.6,118.25,351864,0.6826,-0.078478,0,0.2658,-1,0.00555,0.007949,0.005497,,1.0334,0,0.2023,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-15,118.63,119.0,115.3,115.53,268637,0.5594,-0.098725,0,-0.6872,-1,0.026132,0.003203,0.001991,,0.8668,0,0.192,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-18,116.28,120.08,115.95,117.36,508689,1.0515,-0.079057,0,1.3701,1,0.009288,0.023177,0.002812,,1.4979,0,0.1378,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-19,118.16,121.07,117.31,118.35,374110,0.7933,-0.072954,0,0.8449,1,0.001608,0.022983,0.007182,,1.0426,0,0.1555,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-20,119.96,120.81,119.01,120.05,205580,0.462,-0.062964,0,1.0377,1,0.00075,0.006331,0.007913,,0.6015,0,0.1558,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-21,120.34,121.66,118.54,119.15,179982,0.4276,-0.063953,0,-0.1898,-1,0.009889,0.011078,0.00512,,0.5855,0,0.2123,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-22,119.58,121.09,118.63,119.15,208178,0.5163,-0.036221,0,0.2475,-1,0.003596,0.012673,0.004364,,0.705,0,0.2048,0,0,0.0,0.0,NO_SIGNAL
ASTRAMICRO,2016-07-25,119.39,122.04,119.15,119.96,387761,0.9646,-0.003172,0,0.636,1,0.004774,0.017339,0.002001,,1.4302,0,0.1741,0,0,0.0,0.0,NO_SIGNAL
