Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
AVANTEL,2024-07-31,210.38,210.88,203.49,203.85,517685,1.0,,0,,-1,0.031039,0.002453,0.001766,,1.0,0,0.1929,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-01,206.17,207.19,195.15,198.41,563044,1.042,-0.029081,0,,-1,0.037639,0.005141,0.016431,,1.042,0,0.1868,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-02,194.52,199.39,192.52,197.51,416358,0.8343,-0.021894,0,0.7071,1,0.015371,0.009519,0.010126,,0.8343,0,0.1904,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-05,181.56,191.03,181.56,185.15,1489699,1.9951,-0.057687,0,-1.069,1,0.019773,0.031758,0.0,,1.9951,0,0.0843,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-06,186.52,194.52,179.65,183.36,646183,0.8893,-0.064734,0,0.6173,-1,0.016942,0.04363,0.020233,,0.8893,0,0.102,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-07,188.53,193.02,184.54,191.1,562517,0.8045,-0.035232,0,1.4335,1,0.013632,0.010047,0.020879,,0.7647,0,0.1616,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-08,191.1,191.86,187.68,188.59,357226,0.5493,-0.040937,0,-0.0216,-1,0.013134,0.00403,0.004825,,0.5144,0,0.2071,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-09,191.3,191.3,184.44,186.14,521211,0.8218,-0.064315,0,-0.0164,-1,0.026973,0.0,0.009133,,0.7286,0,0.1984,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-12,183.06,196.11,179.73,191.73,1060631,1.5561,-0.033443,0,1.1475,1,0.047362,0.022845,0.017368,,1.6847,0,0.1267,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-13,193.92,193.92,182.55,183.86,655173,0.9649,-0.065947,0,-0.9306,-1,0.051877,0.0,0.007125,,1.0377,0,0.1653,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-14,182.67,183.54,176.12,177.7,962410,1.3656,-0.099648,0,-0.6484,-1,0.027208,0.004896,0.008891,,1.353,0,0.1752,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-16,182.57,183.54,176.56,178.66,571193,0.8235,-0.081625,0,0.5588,-1,0.021416,0.005429,0.011754,,0.7574,0,0.186,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-19,178.66,183.14,178.66,181.08,479015,0.7074,-0.076551,0,0.7722,1,0.013545,0.011376,0.0,,0.6424,0,0.1733,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-20,183.57,188.39,180.64,182.6,501545,0.7547,-0.0375,0,0.5689,-1,0.005284,0.026396,0.010734,,0.7912,0,0.1683,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-21,182.32,190.53,179.85,185.38,1432559,2.0014,-0.018117,0,0.7595,1,0.016784,0.027781,0.013324,,1.8149,0,0.1328,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-22,188.03,194.42,187.05,190.56,1197650,1.6057,-0.021343,0,1.112,1,0.013455,0.020256,0.005143,,1.4319,0,0.1665,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-23,191.42,192.52,186.06,186.85,354569,0.4905,-0.035577,0,-0.5131,-1,0.023874,0.005887,0.004228,,0.4471,0,0.199,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-26,188.31,188.31,183.54,184.67,494457,0.6962,-0.031417,0,-0.2284,-1,0.01933,0.0,0.006119,,0.6211,0,0.2062,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-27,185.34,186.27,182.55,184.45,427490,0.6148,-0.063766,0,0.1518,-1,0.004802,0.005042,0.010301,,0.5471,0,0.2014,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-28,185.44,185.67,180.41,181.55,630892,0.9116,-0.048367,0,-0.3858,-1,0.020977,0.001267,0.006279,,1.0159,0,0.2055,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-29,183.54,183.54,174.57,176.24,785295,1.1275,-0.04789,0,-0.869,-1,0.039773,0.0,0.009476,0.060296,1.4582,0,0.169,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-08-30,176.25,179.79,175.64,177.21,417377,0.6104,-0.034666,0,0.4706,1,0.005447,0.014559,0.003442,0.055257,0.7573,0,0.1899,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-02,178.26,178.55,171.57,172.38,616526,0.9055,-0.075879,0,-0.7995,-1,0.032986,0.001682,0.004699,0.060683,1.0713,0,0.196,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-03,172.37,177.8,171.68,173.7,396354,0.5924,-0.071524,0,0.5815,1,0.007716,0.023604,0.003972,0.00356,0.6962,0,0.1636,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-04,172.55,173.22,169.89,171.07,507779,0.7664,-0.095791,0,-0.3377,-1,0.008577,0.003917,0.006898,0.009301,0.9323,0,0.2011,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-05,172.47,177.41,172.26,175.01,651254,0.9835,-0.096908,0,1.1834,1,0.014727,0.013714,0.0012,0.077218,1.2576,0,0.1662,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-06,175.95,176.04,170.83,171.96,428867,0.6562,-0.082747,0,-0.4665,-1,0.022677,0.000523,0.006571,0.058555,0.8245,0,0.2026,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-09,170.42,171.03,165.59,166.48,602117,0.9239,-0.098787,0,-1.0272,-1,0.023119,0.003664,0.005346,0.071393,1.164,0,0.1914,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-10,167.09,174.52,167.09,169.69,463779,0.7188,-0.082227,0,1.0594,1,0.01556,0.028464,0.0,0.091868,0.8738,0,0.1418,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-11,170.48,175.38,170.04,171.86,430587,0.6749,-0.047436,0,0.7681,1,0.008095,0.020482,0.00256,0.069885,0.8356,0,0.1807,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-12,171.86,173.36,167.85,170.23,442569,0.7006,-0.042576,0,-0.16,-1,0.009484,0.008812,0.013981,0.014724,0.9345,0,0.2074,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-13,167.6,171.2,167.39,168.13,528244,0.8405,-0.055802,0,-0.2765,1,0.003162,0.01826,0.001249,0.036666,1.0705,0,0.1681,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-16,168.57,171.84,167.01,167.9,490647,0.7859,-0.029293,0,0.194,-1,0.003975,0.019476,0.005301,0.081315,1.0413,0,0.1931,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-17,168.02,172.58,166.53,168.94,542988,0.8731,-0.032083,0,0.5158,1,0.005476,0.021546,0.00882,0.070388,1.1149,0,0.1793,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-18,174.57,183.54,169.49,172.18,2196766,3.2938,0.000639,0,1.0574,-1,0.013691,0.052097,0.015623,0.073067,2.6144,1,-0.0056,0,0,0.0933,0.0,LOW_QUALITY_FLAG
AVANTEL,2024-09-19,174.42,177.87,166.71,169.85,644576,0.9674,-0.039559,0,-0.3845,-1,0.026201,0.020312,0.018487,0.106447,0.7319,0,0.1819,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-20,171.08,174.61,169.06,171.88,471692,0.7135,-0.03659,0,0.7418,1,0.004676,0.015883,0.011752,0.102422,0.5426,0,0.1697,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-23,173.52,173.52,169.59,171.64,407143,0.6222,-0.00847,0,0.1376,-1,0.010834,0.0,0.011944,0.092833,0.4775,0,0.1921,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-24,171.5,172.87,169.65,171.6,356816,0.5517,-0.023838,0,0.1882,1,0.000583,0.007401,0.010781,0.085412,0.4376,0,0.1533,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-25,170.6,177.95,168.59,175.88,889036,1.3619,-0.01904,0,1.3071,1,0.03095,0.011769,0.011428,0.05272,1.6052,0,0.1709,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-26,177.26,177.56,171.54,172.26,544355,0.8373,-0.019407,0,-0.7663,-1,0.028207,0.001742,0.00418,0.036772,1.0198,0,0.2014,0,0,0.0,0.0,NO_SIGNAL
AVANTEL,2024-09-27,173.04,175.76,170.58,171.13,284857,0.4441,-0.013492,0,-0.118,-1,0.011038,0.015894,0.003214,0.029946,0.5738,0,0.2025,0,0,0.0,0.0,NO_SIGNAL
