Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
CGPOWER,2016-06-27,71.08,71.57,70.14,70.88,5534759,1.0,,0,,-1,0.002814,0.006913,0.01044,,1.0,0,0.1957,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-06-28,71.52,72.06,70.04,70.43,2696550,0.6552,-0.010444,0,,-1,0.01524,0.007667,0.005537,,0.6552,0,0.2036,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-06-29,71.03,71.42,70.38,71.08,3912678,0.9666,-0.010584,0,0.7071,1,0.000704,0.004783,0.009145,,0.9666,0,0.1613,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-06-30,71.62,73.4,71.42,72.85,9921588,1.7986,0.00411,0,1.001,1,0.017174,0.00755,0.002745,,1.7986,0,0.1513,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-01,73.35,73.74,72.61,72.9,2314481,0.4747,-0.000103,0,-0.4778,-1,0.006135,0.00535,0.003978,,0.4747,0,0.2022,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-04,73.25,73.69,72.75,72.9,1432715,0.333,-0.005188,0,-0.4712,-1,0.004778,0.006036,0.002058,,0.3533,0,0.1923,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-05,72.9,74.58,72.21,73.05,4126786,0.9649,0.001021,0,-0.2777,1,0.002058,0.020945,0.009446,,0.9505,0,0.1549,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-07,73.3,73.74,72.16,72.41,2406178,0.5951,-0.007974,0,-1.0551,-1,0.012142,0.006077,0.003453,,0.5955,0,0.198,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-08,72.11,72.61,68.16,70.14,5912298,1.3908,-0.03756,0,-1.8811,-1,0.027319,0.007129,0.028229,,1.8256,0,0.1305,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-11,70.83,73.79,70.53,72.26,6399896,1.4331,-0.02472,0,1.5272,1,0.020189,0.021174,0.004152,,1.578,0,0.1319,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-12,72.85,73.1,71.22,72.21,4860619,1.0797,-0.031689,0,-0.1556,-1,0.008785,0.003462,0.01371,,1.0252,0,0.1994,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-13,73.0,73.0,69.74,69.94,3510046,0.7943,-0.052499,0,-1.58,-1,0.041918,0.0,0.00286,,0.7601,0,0.1566,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-14,70.38,71.03,69.35,69.99,2429176,0.5694,-0.056985,0,0.0879,-1,0.005541,0.009287,0.009144,,0.5255,0,0.1942,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-15,70.19,70.53,68.46,69.35,3716835,0.8794,-0.078068,0,-0.4297,-1,0.011968,0.004903,0.012833,,0.8885,0,0.1981,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-18,69.45,71.32,69.35,70.19,5439733,1.2628,-0.057915,0,0.7279,1,0.010655,0.016099,0.001425,,1.3629,0,0.1576,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-19,70.14,70.83,69.54,70.33,1548068,0.3744,-0.053168,0,0.1419,1,0.002709,0.007109,0.008531,,0.4651,0,0.1616,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-20,71.03,73.3,70.53,72.66,4701512,1.1279,-0.030621,0,1.7215,1,0.022948,0.008808,0.006881,,1.318,0,0.1492,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-21,73.1,73.59,71.22,71.52,3399743,0.824,-0.030808,0,-0.9011,-1,0.021614,0.006851,0.004195,,0.9039,0,0.1978,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-22,71.77,73.1,71.12,72.51,2821285,0.6954,0.008966,0,0.6943,1,0.010311,0.008137,0.008964,,0.7876,0,0.1841,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-25,72.8,73.3,71.72,72.95,2469883,0.6209,-0.008864,0,0.2529,1,0.00206,0.004798,0.014805,,0.8266,0,0.1714,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-26,73.1,73.54,71.32,71.91,1999271,0.5148,-0.01094,0,-0.8724,-1,0.016279,0.006119,0.008205,0.007934,0.6495,0,0.2024,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-27,71.62,76.56,71.62,75.82,6416773,1.6047,0.07176,0,2.4816,1,0.058643,0.00976,0.0,-0.03304,1.8755,0,0.0646,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-28,76.95,77.84,75.92,77.15,8292249,1.9813,0.088067,0,0.6655,1,0.002599,0.008944,0.013351,-0.006677,1.8846,0,0.1331,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-07-29,77.2,78.43,76.56,77.55,3769086,0.9043,0.102849,0,0.0546,1,0.004534,0.011348,0.008253,0.004992,0.8212,0,0.1735,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-01,79.52,79.72,75.72,77.55,4115252,0.9878,0.087135,0,-0.2029,-1,0.024774,0.002579,0.023598,-0.000729,0.8367,0,0.176,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-02,78.43,78.43,75.82,76.16,1460089,0.3595,0.071129,0,-1.0775,-1,0.028943,0.0,0.004464,0.014383,0.3035,0,0.1758,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-03,76.76,77.2,73.4,74.09,2390910,0.5977,0.024244,0,-1.4552,-1,0.034784,0.005939,0.009313,-0.037054,0.5969,0,0.1749,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-04,75.17,78.63,74.24,77.99,5903581,1.4512,0.085334,0,2.2322,1,0.037515,0.008206,0.011925,-0.066173,1.6735,0,0.1112,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-05,78.93,80.31,77.64,79.62,4516255,1.106,0.080604,0,0.7601,1,0.008742,0.008666,0.016202,-0.108466,1.2282,0,0.1666,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-08,79.62,83.87,79.32,83.32,7565865,1.8016,0.128817,0,1.7885,1,0.046471,0.006601,0.003601,-0.078655,1.7324,0,0.1043,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-09,83.97,84.41,81.4,82.34,5797889,1.3639,0.1299,0,-0.7543,-1,0.019412,0.005344,0.011416,-0.05914,1.1075,0,0.1819,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-10,83.08,83.08,80.36,81.05,2246280,0.5363,0.07465,0,-0.9001,-1,0.024434,0.0,0.008513,-0.064911,0.4315,0,0.1858,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-11,80.66,82.24,80.31,81.6,1691089,0.4112,0.06779,0,0.0967,1,0.011654,0.007843,0.004289,-0.119593,0.3876,0,0.1613,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-12,82.19,82.93,81.5,82.44,1559484,0.3862,0.069691,0,0.2512,1,0.003042,0.005944,0.00837,-0.153334,0.4134,0,0.1531,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-16,82.48,85.6,81.79,84.91,3252900,0.8101,0.09356,0,1.1145,1,0.029462,0.008126,0.008126,-0.190633,1.118,0,0.1513,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-17,84.95,86.88,84.95,85.4,2686072,0.6752,0.117816,0,0.0097,1,0.005297,0.01733,0.0,-0.177113,1.1744,0,0.1423,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-18,85.55,87.72,85.0,86.29,2619302,0.6645,0.140662,0,0.222,1,0.00865,0.016572,0.006374,-0.122935,1.109,0,0.159,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-19,86.49,86.93,85.3,86.09,1650665,0.4253,0.087168,0,-0.371,-1,0.004625,0.005111,0.009176,-0.148695,0.7013,0,0.1945,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-22,85.7,87.82,85.2,86.34,1989136,0.519,0.08897,0,-0.121,1,0.007468,0.017142,0.005791,-0.143425,0.8153,0,0.1616,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-23,85.94,86.78,84.86,85.35,3821700,0.9972,0.033881,0,-0.7967,-1,0.006865,0.009842,0.005741,-0.164797,1.4967,0,0.1763,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-24,85.0,85.74,83.42,85.35,2724599,0.716,0.039793,0,-0.2381,1,0.004118,0.004569,0.018512,-0.187486,1.0638,0,0.1507,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-25,85.65,85.74,82.78,83.13,6107972,1.5823,0.024303,0,-1.4544,-1,0.029422,0.001083,0.00421,-0.133033,1.8743,0,0.1429,0,0,0.0,0.0,NO_SIGNAL
CGPOWER,2016-08-26,83.08,83.72,81.3,81.84,2061638,0.5399,0.006251,0,-0.9265,-1,0.014925,0.00782,0.006598,-0.110158,0.6171,0,0.1961,0,0,0.0,0.0,NO_SIGNAL
