Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
DEEPAKNTR,2016-06-27,77.47,80.34,77.04,78.78,34855,1.0,,0,,1,0.01691,0.019802,0.005458,,1.0,0,0.1847,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-06-28,77.84,80.34,77.84,79.68,50769,1.1859,0.007329,0,,1,0.023638,0.008283,0.0,,1.1859,0,0.1847,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-06-29,79.68,81.89,79.68,81.52,30867,0.7949,0.021052,0,0.7071,1,0.023092,0.004539,0.0,,0.7949,0,0.1823,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-06-30,82.41,82.6,80.06,81.28,43842,1.0938,0.0079,0,-1.0327,-1,0.013712,0.002338,0.01501,,1.0938,0,0.1838,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-01,81.56,85.99,80.48,83.87,192286,2.7265,0.034866,0,1.0618,1,0.028323,0.025277,0.012877,,2.7265,0,0.0671,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-04,84.15,85.99,83.59,85.47,105290,1.3796,0.048858,0,0.196,1,0.015686,0.006084,0.006552,,1.2444,0,0.1906,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-05,84.86,89.43,84.86,87.07,237280,2.3892,0.071729,0,0.1568,1,0.026043,0.027105,0.0,,1.9463,0,0.1104,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-07,87.5,88.16,85.24,87.12,47225,0.5089,0.072069,0,-1.1271,-1,0.004343,0.007576,0.021579,,0.3772,0,0.1607,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-08,86.79,87.4,85.71,86.22,27662,0.3233,0.063501,0,-1.5054,-1,0.006568,0.007075,0.005915,,0.2268,0,0.1575,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-11,86.27,91.59,86.27,91.03,190124,1.98,0.101904,0,1.9676,1,0.055176,0.006152,0.0,,1.5646,0,0.0948,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-12,91.03,92.02,90.32,90.98,67082,0.7183,0.095078,0,-0.7752,-1,0.000549,0.010882,0.007254,,0.5891,0,0.1779,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-13,90.7,93.99,90.27,91.97,137546,1.417,0.098813,0,-0.1846,1,0.014002,0.021964,0.004675,,1.4644,0,0.1562,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-14,93.19,93.29,90.89,91.45,35528,0.3848,0.074095,0,-0.9792,-1,0.018672,0.001093,0.006124,,0.3879,0,0.1771,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-15,90.7,100.02,90.65,96.91,267828,2.5539,0.149707,0,1.9599,1,0.068467,0.032092,0.000516,,1.9182,0,0.0232,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-18,96.91,100.45,92.16,93.43,137949,1.2883,0.090659,0,-1.9042,-1,0.03591,0.037889,0.013593,,1.0678,0,0.0618,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-19,93.43,98.42,93.43,96.16,140708,1.2888,0.103554,0,0.6248,1,0.02922,0.023502,0.0,,0.9777,0,0.144,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-20,96.16,97.01,95.12,95.74,37323,0.3556,0.071941,0,-0.6907,-1,0.004368,0.008878,0.006476,,0.3013,0,0.1813,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-21,95.78,97.2,93.71,94.56,45431,0.447,0.065784,0,-0.957,-1,0.012738,0.015017,0.008989,,0.361,0,0.1787,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-22,94.18,98.14,93.66,95.93,55353,0.558,0.085186,0,0.1358,1,0.018581,0.023038,0.005421,,0.6641,0,0.1662,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-25,96.35,97.67,92.68,93.62,81706,0.8309,0.011645,0,-1.3695,-1,0.028334,0.0141,0.010041,,1.1332,0,0.1691,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-26,94.09,96.54,92.3,93.34,72419,0.7458,0.020691,0,-0.4915,-1,0.007971,0.026248,0.011142,-0.214145,1.2391,0,0.1428,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-27,94.18,95.6,89.85,92.25,95906,0.9883,-0.004979,0,-0.8197,-1,0.020493,0.015393,0.026016,-0.194209,1.3669,0,0.1364,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-28,93.44,96.78,92.01,95.64,63217,0.6614,0.036903,0,1.1505,1,0.023545,0.01192,0.014952,-0.161788,0.8575,0,0.1536,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-07-29,95.21,100.12,93.44,98.16,176925,1.7878,0.004,0,0.6943,1,0.030984,0.019967,0.018032,-0.184431,1.8047,0,0.1105,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-01,99.69,103.84,95.64,97.31,205222,1.9883,0.027649,0,-0.7553,-1,0.023874,0.042647,0.017162,-0.120833,1.672,0,0.0638,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-02,98.31,99.02,94.59,96.35,95862,0.9313,-0.007523,0,-0.7805,-1,0.019937,0.007369,0.018267,-0.095048,0.7523,0,0.193,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-03,96.21,102.03,94.21,99.26,266962,2.4491,0.040472,0,0.9037,1,0.031701,0.027907,0.020149,-0.064013,1.6516,0,0.1027,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-04,100.79,101.55,95.35,97.26,109124,1.001,0.025409,0,-1.2023,-1,0.035023,0.007814,0.019638,-0.099453,0.6388,0,0.1596,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-05,101.55,102.22,94.4,95.64,755953,5.7566,-0.017523,0,-1.0147,-1,0.058198,0.007005,0.012965,-0.134928,2.6374,0,0.0118,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-08,96.54,99.5,95.64,98.31,158660,1.1999,0.042284,0,0.8536,1,0.018334,0.012105,0.009155,-0.069697,0.5721,0,0.1794,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-09,98.59,99.5,94.4,98.93,292593,2.1294,0.050171,0,-0.0681,1,0.003449,0.005762,0.042353,-0.060604,0.924,0,0.1003,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-10,102.55,104.89,95.92,97.54,846625,5.3058,0.06259,0,-0.9238,-1,0.048854,0.02399,0.016609,-0.077891,1.9571,0,0.0242,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-11,98.21,98.21,95.21,97.02,121406,0.7664,0.024407,0,-0.5333,-1,0.012117,0.0,0.018656,-0.063375,0.2791,0,0.1723,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-12,97.97,97.97,95.49,96.3,66673,0.4282,-0.012571,0,-0.6124,-1,0.017046,0.0,0.008411,0.013195,0.2243,0,0.1767,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-16,97.54,98.16,95.35,96.16,81297,0.5293,-0.011458,0,-0.3414,-1,0.014148,0.006448,0.008423,-0.051089,0.2886,0,0.1979,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-17,97.16,98.16,95.35,96.83,55114,0.3654,0.005936,0,0.0379,-1,0.003396,0.010327,0.015285,-0.028195,0.2353,0,0.1672,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-18,97.45,102.31,96.83,99.45,184121,1.2133,-0.011964,0,0.9323,1,0.020523,0.028758,0.006234,-0.019169,1.81,0,0.1288,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-19,98.74,99.64,97.54,97.73,86627,0.5774,-0.007647,0,-1.0685,-1,0.010229,0.009209,0.001944,-0.026206,0.9141,0,0.1949,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-22,97.31,99.78,97.07,98.78,62940,0.4258,0.039551,0,0.2107,1,0.015106,0.010124,0.00243,-0.003956,0.6694,0,0.1954,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-23,98.16,101.07,97.54,98.12,57583,0.3956,0.0078,0,-0.5864,-1,0.000407,0.029658,0.005911,-0.027684,0.645,0,0.1474,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-24,97.73,99.88,97.5,97.93,73052,0.5081,-0.006293,0,-0.3595,1,0.002046,0.019912,0.002349,-0.037815,0.7867,0,0.1691,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-25,98.64,98.69,96.54,97.31,43500,0.3077,-0.00372,0,-0.5582,-1,0.013483,0.000514,0.007913,-0.076369,0.6719,0,0.1989,0,0,0.0,0.0,NO_SIGNAL
DEEPAKNTR,2016-08-26,96.59,98.12,95.59,95.97,31901,0.2298,-0.007907,0,-0.8931,-1,0.006419,0.015942,0.00396,-0.021459,0.593,0,0.1845,0,0,0.0,0.0,NO_SIGNAL
