Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
ENDURANCE,2016-10-19,551.48,630.93,551.48,623.7,36506028,1.0,,0,,1,0.130957,0.011592,0.0,,1.0,0,0.0416,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-10-20,636.33,650.31,586.19,591.45,8610390,0.3817,-0.056362,0,,-1,0.070529,0.023637,0.008893,,0.3817,0,0.0523,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-10-21,591.98,609.33,583.45,603.79,3193161,0.1983,-0.034768,0,0.7071,1,0.01995,0.009175,0.014127,,0.1983,0,0.1384,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-10-24,609.24,611.26,597.81,604.9,942296,0.0765,-0.034759,0,0.3058,-1,0.007124,0.003339,0.011721,,0.0765,0,0.1497,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-10-25,604.9,611.69,596.56,603.93,633022,0.0634,-0.034336,0,0.1952,-1,0.001604,0.011243,0.012203,,0.0634,0,0.1363,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-10-26,600.22,604.95,585.23,593.09,514571,0.0613,-0.043535,0,-0.3025,-1,0.011879,0.007975,0.013253,,0.1852,0,0.1563,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-10-27,592.94,595.79,583.3,590.1,359111,0.0495,-0.048576,0,0.1593,-1,0.00479,0.00483,0.011523,,0.3182,0,0.1654,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-10-28,590.1,606.15,590.1,602.01,401342,0.0628,-0.031034,0,1.0036,1,0.020183,0.006877,0.0,,0.704,0,0.1527,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-01,595.83,599.45,584.36,586.82,214674,0.0376,-0.054906,0,-0.7418,-1,0.015122,0.006169,0.004192,,0.5057,0,0.1737,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-02,583.2,592.36,567.1,580.31,644219,0.1238,-0.052987,0,-0.1479,-1,0.004955,0.015785,0.022764,,1.5095,0,0.1253,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-03,577.61,597.18,577.61,582.87,354758,0.0745,-0.045164,0,0.5053,1,0.009106,0.024551,0.0,,0.8985,0,0.138,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-04,583.4,586.92,561.13,572.74,322506,0.0734,-0.000148,0,-0.4739,-1,0.018272,0.006146,0.020271,,0.8323,0,0.1575,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-07,581.37,599.55,576.55,592.32,532110,0.13,0.004939,0,1.6475,1,0.018835,0.012206,0.008137,,1.2864,0,0.138,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-08,592.94,609.33,584.51,601.91,398604,0.1041,0.015649,0,0.8151,1,0.015128,0.012327,0.014005,,0.8849,0,0.1594,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-09,528.35,623.75,507.13,610.59,685896,0.1894,0.042704,0,0.6986,1,0.155654,0.021553,0.034753,,1.4951,1,-0.0237,0,0,0.1321,0.0567,LOW_QUALITY_FLAG
ENDURANCE,2016-11-10,621.29,625.0,601.62,609.67,341773,0.1001,0.039278,0,-0.0098,-1,0.018703,0.006085,0.013204,,0.7492,0,0.1712,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-11,597.76,606.44,566.91,574.05,337195,0.1042,0.012807,0,-2.1142,-1,0.039665,0.015121,0.012438,,0.7344,0,0.0872,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-15,578.43,578.43,528.83,565.42,552423,0.179,0.002874,0,-0.3882,-1,0.022492,0.0,0.064713,,1.1927,0,0.0605,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-16,573.76,577.23,538.47,546.71,260799,0.0888,-0.006732,0,-1.0526,-1,0.047145,0.006347,0.015072,,0.5987,0,0.1158,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-17,546.71,552.45,523.81,528.15,382901,0.1363,-0.038698,0,-1.0266,-1,0.033949,0.010868,0.008217,,1.021,0,0.1492,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-18,528.25,534.13,508.1,522.95,472679,0.1752,-0.055643,0,-0.0561,-1,0.010033,0.011244,0.028397,0.019295,1.1782,0,0.1346,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-21,519.43,519.43,500.14,504.19,514445,0.198,-0.062211,0,-1.0715,-1,0.02934,0.0,0.008033,0.025839,1.1782,0,0.1454,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-22,508.92,515.52,503.28,510.75,268588,0.1075,-0.085113,0,0.8977,1,0.003596,0.009339,0.011043,0.057404,0.707,0,0.1262,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-23,515.09,530.56,509.06,525.89,264459,0.11,-0.070063,0,1.4688,1,0.020967,0.00888,0.011466,0.092534,0.6948,0,0.1127,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-24,523.52,528.35,514.85,521.21,174139,0.0752,-0.098,0,-0.071,-1,0.004412,0.009267,0.012202,0.123829,0.5139,0,0.1223,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-25,528.35,535.09,521.89,525.84,165067,0.0739,-0.095173,0,0.6376,-1,0.004751,0.012818,0.007512,0.118916,0.5952,0,0.1138,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-28,529.21,556.16,522.99,542.47,246027,0.114,-0.033588,0,1.4776,1,0.025056,0.025236,0.011466,0.156639,1.1,0,0.0669,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-29,544.16,573.51,539.14,562.76,520680,0.2479,-0.00567,0,1.5922,1,0.034181,0.019102,0.00892,0.167029,1.8998,0,0.0642,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-11-30,563.05,580.17,559.49,571.92,309485,0.1518,0.033971,0,0.748,1,0.015753,0.014425,0.006225,0.112919,1.0933,0,0.1431,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-12-01,574.62,576.12,556.4,563.49,92939,0.0471,0.05312,0,-0.4601,-1,0.019369,0.002662,0.012582,0.110103,0.3483,0,0.1423,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-12-02,563.49,565.27,544.83,552.35,98655,0.0516,0.055422,0,-0.6448,-1,0.01977,0.003223,0.013615,0.102776,0.3891,0,0.1457,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-12-05,549.56,562.81,538.95,546.04,151236,0.0814,0.056725,0,-0.3038,-1,0.006405,0.024266,0.012984,0.053199,0.6447,0,0.1438,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-12-06,549.03,553.85,543.29,546.23,103540,0.0574,0.051523,0,0.1743,-1,0.0051,0.008824,0.005382,0.04844,0.6849,0,0.1642,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-12-07,550.52,578.91,549.51,569.27,586912,0.3317,0.072981,0,1.7832,1,0.034059,0.016934,0.001774,0.049594,2.84,0,0.0612,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-12-08,572.6,579.2,561.22,563.15,193847,0.1124,0.044817,0,-0.326,-1,0.016504,0.01172,0.003427,0.077092,0.8546,0,0.1571,0,0,0.0,0.0,NO_SIGNAL
ENDURANCE,2016-12-09,564.4,569.66,556.31,558.47,43010,0.0256,0.044498,0,-0.2238,-1,0.010507,0.009419,0.003868,0.09506,0.1994,0,0.1388,0,0,0.0,0.0,NO_SIGNAL
