Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
FEDFINA,2023-11-30,138.0,148.25,133.0,140.25,33768075,1.0,,0,,1,0.016304,0.057041,0.035651,,1.0,1,-0.0472,0,0,0.0,0.36,LOW_QUALITY_FLAG
FEDFINA,2023-12-01,141.5,144.8,141.3,142.55,5428331,0.277,0.009706,0,,1,0.00742,0.015784,0.001403,,0.277,0,0.1201,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-04,144.15,146.3,140.6,141.5,3850479,0.2683,-0.018328,0,-0.7071,-1,0.018384,0.015194,0.00636,,0.2683,0,0.1497,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-05,141.85,142.5,135.05,136.6,2270739,0.2004,-0.061093,0,-1.0221,-1,0.037011,0.004758,0.011347,,0.2004,0,0.1094,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-06,137.05,139.4,135.0,137.45,1569037,0.1673,-0.058831,0,0.5004,1,0.002919,0.014187,0.014915,,0.1673,0,0.0871,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-07,136.95,140.2,136.3,139.05,1080402,0.1351,-0.045444,0,0.6426,1,0.015334,0.00827,0.004675,,0.3805,0,0.1344,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-08,139.8,141.1,136.5,136.95,1778418,0.2503,-0.063811,0,-0.5892,-1,0.020386,0.009493,0.003286,,0.8429,0,0.1728,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-11,138.25,140.0,136.5,137.35,2070721,0.3197,-0.062211,0,0.326,-1,0.00651,0.012741,0.006189,,1.1807,0,0.1652,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-12,140.0,152.8,139.25,146.3,12224375,1.718,0.007271,0,2.0456,1,0.045,0.044429,0.005126,,3.2645,1,-0.0519,0,0,0.0,0.03,LOW_QUALITY_FLAG
FEDFINA,2023-12-13,147.2,149.85,145.9,147.0,3413491,0.506,0.011102,0,-0.0285,-1,0.001359,0.018027,0.007483,,0.8298,0,0.1559,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-14,148.0,148.85,145.6,147.45,3762961,0.5812,0.001913,0,-0.0876,-1,0.003716,0.005765,0.012547,,0.8092,0,0.1804,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-15,147.45,153.6,146.35,147.7,4182407,0.6656,-0.019031,0,-0.1348,1,0.001695,0.039946,0.007448,,0.8152,0,0.0573,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-18,147.9,148.65,143.65,146.0,1543605,0.2608,-0.000736,0,-0.6372,-1,0.012847,0.005137,0.016096,,0.3072,0,0.1623,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-19,146.0,148.35,145.0,145.5,1451007,0.2591,0.036996,0,-0.2847,-1,0.003425,0.016151,0.003436,,0.5055,0,0.1591,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-20,146.0,148.05,139.5,140.5,2484641,0.4608,0.014492,0,-1.4434,-1,0.037671,0.014591,0.007117,,0.9254,0,0.1153,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-21,135.0,142.45,135.0,141.35,1038729,0.2029,0.002195,0,0.2271,1,0.047037,0.007782,0.0,,0.4854,0,0.084,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-22,142.3,143.05,140.1,141.05,614557,0.1266,0.014001,0,-0.1206,-1,0.008784,0.005317,0.006735,,0.4308,0,0.1781,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-26,141.25,142.9,140.0,140.85,624148,0.1351,0.006676,0,-0.0868,-1,0.002832,0.011715,0.006035,,0.5023,0,0.1691,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-27,140.85,142.0,140.1,140.6,588694,0.1336,-0.074534,0,-0.1004,-1,0.001775,0.008179,0.003556,,0.5501,0,0.1574,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-28,140.15,141.45,138.25,138.6,713747,0.169,-0.098314,0,-0.6638,-1,0.01106,0.00938,0.002525,,0.9969,0,0.16,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2023-12-29,138.95,138.95,135.5,136.15,1366932,0.3345,-0.10463,0,-0.7955,-1,0.020151,0.0,0.004774,-0.007555,1.7489,0,0.1246,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-01,136.15,138.3,136.15,137.2,415643,0.106,-0.086163,0,0.4245,1,0.007712,0.008017,0.0,0.010235,0.5603,0,0.1228,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-02,137.95,139.4,136.2,137.8,842877,0.2226,-0.068551,0,0.253,-1,0.001087,0.010522,0.011611,0.004494,1.0729,0,0.1471,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-03,137.8,138.05,136.55,137.2,603217,0.1651,-0.06102,0,-0.1853,-1,0.004354,0.001822,0.004738,-0.028574,0.765,0,0.1737,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-04,137.15,138.45,137.15,138.0,695205,0.1966,-0.041511,0,0.335,1,0.006198,0.003261,0.0,-0.00833,0.8859,0,0.1363,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-05,138.05,139.2,137.05,138.55,966911,0.2814,-0.041025,0,0.2326,1,0.003622,0.004691,0.007218,0.021223,1.372,0,0.1373,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-08,139.05,139.05,136.35,136.6,749846,0.2247,-0.039427,0,-0.7201,-1,0.01762,0.0,0.00183,-0.001818,0.9718,0,0.1718,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-09,137.05,138.25,136.5,136.9,578471,0.1786,-0.032987,0,0.163,-1,0.001094,0.008766,0.002922,-0.003255,0.8049,0,0.1715,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-10,137.0,139.8,136.6,139.5,974155,0.3082,-0.005695,0,1.0533,1,0.018248,0.002151,0.002867,0.063244,1.2286,0,0.1297,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-11,139.5,140.5,138.55,139.4,802522,0.2604,0.012219,0,-0.0371,-1,0.000717,0.007174,0.006098,0.061846,0.9854,0,0.1637,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-12,140.25,140.75,139.0,139.85,649908,0.2164,0.019526,0,0.1822,-1,0.002852,0.003575,0.006078,0.060926,0.8654,0,0.1663,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-15,139.85,139.85,139.85,139.85,0,0.0,0.00303,0,-0.0028,-1,0.0,0.0,0.0,0.07694,0.0,0,0.0978,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-16,142.25,142.4,139.0,139.35,1808867,0.6289,-0.00547,0,-0.2079,-1,0.020387,0.001076,0.002512,0.063444,2.1354,0,0.1264,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-17,139.0,139.4,136.05,136.75,997700,0.3537,-0.005732,0,-1.065,-1,0.016187,0.002925,0.005119,0.040424,1.1713,0,0.1771,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-18,135.9,138.4,133.15,136.85,573895,0.2082,0.000817,0,0.0791,1,0.00699,0.011326,0.020095,0.007686,0.712,0,0.1199,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-19,138.0,138.0,136.0,136.4,312989,0.1164,-0.011509,0,-0.1596,-1,0.011594,0.0,0.002933,0.01035,0.4237,0,0.1727,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-23,135.65,136.0,132.0,132.95,494128,0.1879,-0.014098,0,-1.4332,-1,0.019904,0.002633,0.007146,0.008088,0.59,0,0.1619,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-24,133.5,133.5,130.7,132.1,548141,0.2129,-0.031336,0,-0.2975,-1,0.010487,0.0,0.010598,0.010096,0.9364,0,0.1818,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-25,132.1,133.5,129.95,131.0,495150,0.1964,-0.050503,0,-0.4085,-1,0.008327,0.010687,0.008015,0.026231,1.0212,0,0.1777,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-29,131.1,132.3,130.7,131.35,326329,0.1323,-0.063827,0,0.2624,1,0.001907,0.007233,0.003045,0.012119,0.7496,0,0.1302,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-30,131.6,132.2,130.5,131.0,383713,0.1588,-0.04838,0,-0.0681,-1,0.004559,0.00458,0.003817,-0.001764,0.8537,0,0.1786,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-01-31,131.05,131.8,130.7,131.35,245546,0.1039,-0.045901,0,0.2641,1,0.002289,0.003426,0.002665,0.030604,0.6142,0,0.1305,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-02-01,131.7,135.35,130.3,132.15,645572,0.2778,-0.037883,0,0.4748,1,0.003417,0.024215,0.010594,0.04138,1.5398,0,0.0938,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-02-02,133.15,133.45,131.3,131.55,304375,0.1336,-0.051865,0,-0.2058,-1,0.012017,0.002281,0.0019,0.045379,0.7987,0,0.1764,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-02-05,131.5,132.5,130.0,130.2,450887,0.2015,-0.064186,0,-0.569,-1,0.009886,0.00768,0.001536,0.047767,1.1105,0,0.1696,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-02-06,130.25,130.85,129.7,130.55,230805,0.1052,-0.057991,0,0.276,1,0.002303,0.002298,0.004213,0.054306,0.6148,0,0.1139,0,0,0.0,0.0,NO_SIGNAL
FEDFINA,2024-02-07,130.6,131.7,130.55,130.95,208065,0.0967,-0.047425,0,0.2974,1,0.00268,0.005727,0.000382,0.038316,0.5655,0,0.1282,0,0,0.0,0.0,NO_SIGNAL
