Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
GENUSPOWER,2016-06-27,41.59,43.58,41.59,42.75,135106,1.0,,0,,1,0.027891,0.019415,0.0,,1.0,0,0.1574,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-06-28,42.75,43.25,42.56,42.88,140538,1.0197,-0.001054,0,,1,0.003041,0.008629,0.004431,,1.0197,0,0.1614,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-06-29,43.35,45.06,42.79,44.87,393268,1.7638,0.035986,0,0.7071,1,0.035063,0.004234,0.01248,,1.7638,0,0.1365,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-06-30,45.29,45.56,44.55,45.01,227629,1.0156,0.028898,0,-0.5758,-1,0.006182,0.005999,0.01022,,1.0156,0,0.1877,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-07-01,45.19,45.29,44.09,44.18,85985,0.4376,0.005559,0,-0.9912,-1,0.02235,0.002263,0.002037,,0.4376,0,0.1787,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-07-04,44.64,47.6,44.64,47.18,753596,2.6044,0.068378,0,1.3379,1,0.0569,0.008902,0.0,,2.3535,0,0.0889,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-07-05,47.37,47.6,45.56,46.03,246039,0.8689,0.048154,0,-1.0185,-1,0.028288,0.004997,0.010211,,0.7209,0,0.1831,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-07-07,46.4,46.4,44.59,45.06,148940,0.5591,0.026847,0,-0.8137,-1,0.028879,0.0,0.010431,,0.5093,0,0.1889,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-07-08,45.75,45.75,43.9,44.32,153351,0.6042,0.012187,0,-0.6254,-1,0.031257,0.0,0.009477,,0.5525,0,0.1909,0,0,0.0,0.0,NO_SIGNAL
GENUSPOWER,2016-07-11,44.45,45.06,43.99,44.22,102613,0.4299,-0.007454,0,-0.2011,-1,0.005174,0.013795,0.005201,,0.3653,0,0.188,0,0,0.0,0.0,NO_SIGNAL
