Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
LAURUSLABS,2016-12-19,94.42,95.98,91.55,92.59,87741675,1.0,,0,,-1,0.019381,0.016848,0.011232,,1.0,0,0.1737,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-20,93.05,94.33,89.76,91.3,12775220,0.2542,-0.011224,0,,-1,0.018807,0.01402,0.016867,,0.2542,0,0.1531,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-21,91.36,92.51,90.59,91.24,4620385,0.1318,-0.00927,0,0.7071,-1,0.001313,0.012604,0.007124,,0.1318,0,0.1457,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-22,90.97,92.11,90.59,91.46,5630110,0.2033,0.003338,0,0.7449,1,0.005386,0.007107,0.004155,,0.2033,0,0.1721,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-23,91.54,92.13,90.8,91.67,2094665,0.0928,0.004801,0,0.6133,1,0.00142,0.005018,0.008072,,0.0928,0,0.1551,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-26,91.55,91.93,87.15,87.73,2237565,0.1166,-0.028474,0,-1.6769,-1,0.041726,0.004331,0.006611,,0.4089,0,0.1303,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-27,88.18,94.71,87.37,92.75,7962865,0.4529,0.012991,0,1.7313,1,0.051826,0.021132,0.008733,,1.7659,0,0.0821,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-28,93.09,94.44,91.41,93.72,4318655,0.2712,0.0232,0,0.2779,1,0.006768,0.007682,0.017926,,0.9708,0,0.1712,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-29,94.21,96.16,91.88,92.56,1870740,0.1303,0.002267,0,-0.4488,-1,0.017514,0.021067,0.007347,,0.506,0,0.1585,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2016-12-30,93.24,93.38,92.32,92.68,814260,0.0626,-0.006581,0,0.0333,-1,0.006006,0.001511,0.003884,,0.2366,0,0.1725,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-02,92.9,94.04,91.73,93.75,903575,0.0759,0.005734,0,0.398,1,0.00915,0.003093,0.01248,,0.2847,0,0.16,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-03,93.67,94.05,91.65,91.81,561355,0.0512,-0.005294,0,-0.8146,-1,0.019857,0.004139,0.001743,,0.3314,0,0.1771,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-04,92.49,93.24,91.32,91.65,491035,0.0484,-0.008777,0,-0.0485,-1,0.009082,0.008183,0.003601,,0.529,0,0.1905,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-05,92.29,93.07,91.65,91.81,455055,0.0481,-0.029809,0,0.0955,-1,0.005201,0.008496,0.001743,,0.7055,0,0.1895,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-06,92.3,92.49,90.88,91.12,340570,0.0385,-0.035162,0,-0.3018,-1,0.012784,0.002085,0.002634,,0.6189,0,0.1873,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-09,92.12,92.51,89.2,91.61,948015,0.1134,0.004431,0,0.2786,-1,0.005536,0.004257,0.026307,,1.6953,0,0.1307,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-10,91.62,91.93,90.3,91.18,370290,0.0469,-0.048108,0,-0.1924,-1,0.004802,0.0034,0.009651,,0.7107,0,0.1877,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-11,91.36,92.13,91.17,91.56,377015,0.0505,-0.065255,0,0.2344,1,0.002189,0.006225,0.002075,,0.7568,0,0.1738,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-12,90.97,92.62,90.52,91.6,436490,0.0615,-0.047053,0,0.0448,1,0.006925,0.011135,0.004913,,0.8827,0,0.1824,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-13,91.55,96.31,91.21,95.33,2654720,0.3858,0.003331,0,1.8625,1,0.041289,0.01028,0.003567,,2.7731,0,0.0734,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-16,95.6,96.14,93.28,93.52,2818405,0.4215,-0.029453,0,-0.9426,-1,0.021757,0.005774,0.002566,0.010805,2.1169,0,0.1457,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-17,93.65,94.34,91.55,91.92,2304050,0.3551,-0.022551,0,-0.8184,-1,0.018473,0.007507,0.004025,0.001325,1.341,0,0.1815,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-18,92.31,93.48,91.93,92.15,317020,0.051,-0.020782,0,0.1248,-1,0.001733,0.012697,0.002387,-0.00353,0.1858,0,0.1594,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-19,92.25,93.48,92.25,92.68,346810,0.058,-0.008757,0,0.2788,1,0.004661,0.008632,0.0,-0.001549,0.2054,0,0.1673,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-20,92.51,92.9,91.65,92.28,580095,0.1007,0.000983,0,-0.2245,-1,0.002486,0.004226,0.006827,-0.038648,0.4556,0,0.1844,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-23,92.32,92.84,91.62,92.02,737715,0.1325,-0.013201,0,-0.1444,-1,0.00325,0.005651,0.004347,-0.064939,0.8607,0,0.1927,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-24,92.13,92.71,91.43,92.03,1472090,0.2719,-0.012064,0,0.0095,-1,0.001085,0.006302,0.00652,0.008959,2.1312,0,0.15,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-25,92.45,92.51,91.74,92.05,797325,0.1519,-0.019887,0,0.0151,-1,0.004327,0.000652,0.003368,0.016734,1.0134,0,0.1864,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-27,90.98,92.51,90.98,91.27,181720,0.0358,-0.030105,0,-0.4513,1,0.003188,0.013586,0.0,-0.001277,0.2411,0,0.1437,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-30,91.36,92.51,91.01,92.16,542220,0.1101,-0.060906,0,0.5497,1,0.008757,0.003798,0.003798,0.00431,0.7266,0,0.1752,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-01-31,92.32,92.71,91.36,91.5,389600,0.0816,-0.039321,0,-0.3951,-1,0.008882,0.004262,0.00153,0.018349,0.5758,0,0.1855,0,0,0.0,0.0,NO_SIGNAL
LAURUSLABS,2017-02-01,90.68,92.6,90.68,91.66,3309870,0.6996,-0.040338,0,0.1123,1,0.010807,0.010255,0.0,-0.002387,3.1699,0,0.1028,0,0,0.0,0.0,NO_SIGNAL
