Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
MSUMI,2022-03-28,29.58,31.05,28.1,28.1,42214051,1.0,,0,,-1,0.050034,0.052313,0.0,,1.0,1,-0.0028,0,0,0.0,0.0158,LOW_QUALITY_FLAG
MSUMI,2022-03-29,26.72,27.22,26.72,26.72,107432712,1.4358,-0.055108,0,,-1,0.0,0.018713,0.0,,1.4358,0,0.0945,0,0,0.0,0.0,NO_SIGNAL
MSUMI,2022-03-30,25.4,28.04,25.4,27.97,114514962,1.3005,-0.01831,0,0.7071,1,0.101181,0.002503,0.0,,1.3005,0,0.0053,0,0,0.0,0.0,NO_SIGNAL
MSUMI,2022-03-31,27.45,29.35,26.9,29.24,20994001,0.2945,0.02901,0,0.5648,1,0.065209,0.003762,0.01881,,0.2945,0,0.0194,0,0,0.0,0.0,NO_SIGNAL
MSUMI,2022-04-01,28.97,30.69,27.79,29.37,86487987,1.1636,0.021678,0,-0.1646,1,0.013807,0.044944,0.040177,,1.1636,1,-0.0523,0,0,0.0,0.0,LOW_QUALITY_FLAG
MSUMI,2022-04-04,30.12,30.37,29.28,29.96,9315387,0.1467,0.020095,0,0.1672,-1,0.005312,0.008344,0.022697,,0.1375,0,0.0868,0,0,0.0,0.0,NO_SIGNAL
MSUMI,2022-04-05,29.94,31.21,29.12,30.42,29860846,0.5088,0.040767,0,0.0434,1,0.016032,0.02597,0.026956,,0.5717,0,0.0602,0,0,0.0,0.0,NO_SIGNAL
MSUMI,2022-04-06,30.42,31.19,30.17,30.96,10740220,0.2038,0.066857,0,0.1047,1,0.017751,0.007429,0.008075,,0.3412,0,0.1168,0,0,0.0,0.0,NO_SIGNAL
MSUMI,2022-04-07,31.28,31.28,30.03,30.62,7857918,0.1647,0.065315,0,-0.7149,-1,0.0211,0.0,0.019268,,0.2723,0,0.0937,0,0,0.0,0.0,NO_SIGNAL
MSUMI,2022-04-08,30.85,32.14,30.62,32.14,28488199,0.6221,0.106747,0,1.0759,1,0.041815,0.0,0.007156,,1.6512,0,0.0568,0,0,0.0,0.0,NO_SIGNAL
