Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
MUTHOOTFIN,2016-06-27,233.05,241.96,233.05,235.69,651377,1.0,,0,,1,0.011328,0.026603,0.0,,1.0,0,0.1346,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-06-28,239.06,241.45,232.88,234.73,373557,0.7289,-0.008168,0,,-1,0.018113,0.010182,0.007881,,0.7289,0,0.1912,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-06-29,236.37,246.16,236.37,241.96,789253,1.3051,0.013264,0,0.7071,1,0.023649,0.017358,0.0,,1.3051,0,0.1486,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-06-30,244.23,248.85,241.45,246.37,740974,1.16,0.021282,0,0.1835,1,0.008762,0.010066,0.011284,,1.16,0,0.1732,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-01,248.77,251.25,239.81,241.62,1266267,1.6568,-0.002897,0,-1.1476,-1,0.028741,0.010264,0.007491,,1.6568,0,0.1333,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-04,246.33,250.74,240.44,242.0,1880447,1.9788,-0.006409,0,-0.1986,-1,0.017578,0.018223,0.006446,,1.8616,0,0.1154,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-05,244.23,244.44,239.77,241.37,376363,0.4334,-0.004861,0,-0.3778,-1,0.01171,0.00087,0.006629,,0.3724,0,0.1869,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-07,241.7,243.64,231.41,233.93,750466,0.8792,-0.035919,0,-1.432,-1,0.032147,0.008293,0.010772,,0.7483,0,0.1534,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-08,235.06,238.55,233.93,234.81,699420,0.8362,-0.030394,0,0.2092,-1,0.001064,0.014863,0.003748,,0.7032,0,0.1732,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-11,236.95,240.78,235.44,237.46,733046,0.8873,-0.036493,0,0.5544,1,0.002152,0.013981,0.006359,,0.8256,0,0.1698,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-12,237.5,240.02,232.54,236.49,570807,0.7109,-0.046855,0,-0.2594,-1,0.004253,0.010656,0.016703,,0.9118,0,0.1748,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-13,237.08,237.16,228.04,228.97,406828,0.5284,-0.070303,0,-1.519,-1,0.034208,0.000349,0.004062,,0.6436,0,0.1306,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-14,228.67,233.72,224.05,231.28,481115,0.6435,-0.086987,0,0.6126,1,0.011414,0.01055,0.019976,,0.832,0,0.1401,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-15,233.59,233.59,228.8,231.36,210733,0.2971,-0.091904,0,0.0902,-1,0.009547,0.0,0.011065,,0.4386,0,0.1465,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-18,230.86,236.24,230.86,234.05,639170,0.9071,-0.05227,0,0.6802,1,0.013818,0.009357,0.0,,1.3843,0,0.1575,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-19,233.3,235.36,228.72,231.91,327646,0.4811,-0.060234,0,-0.479,-1,0.005958,0.008883,0.013755,,0.7931,0,0.1784,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-20,233.63,236.62,231.95,233.97,405662,0.6101,-0.057273,0,0.5506,1,0.001455,0.011326,0.00718,,0.9826,0,0.1595,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-21,233.89,238.34,230.48,231.49,675246,1.0147,-0.030307,0,-0.5902,-1,0.010261,0.019223,0.004363,,1.4949,0,0.1571,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-22,231.62,237.75,224.76,233.34,375013,0.5768,-0.031494,0,0.5256,1,0.007426,0.018899,0.029399,,0.7739,0,0.1139,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-25,233.09,235.82,231.2,234.64,392683,0.6162,-0.030882,0,0.3637,1,0.00665,0.005029,0.008055,,0.9022,0,0.1836,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-26,234.56,254.23,234.1,240.36,2251385,3.1525,0.009069,0,1.4382,1,0.024727,0.057705,0.001914,0.016622,2.7456,1,-0.0299,0,0,0.1978,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-07-27,241.58,263.56,241.33,259.61,1615063,2.1388,0.117845,0,3.2198,1,0.074634,0.015215,0.000963,0.003593,1.5209,1,-0.0073,0,0,0.0373,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-07-28,263.14,271.55,260.62,268.27,1841800,2.2955,0.140594,0,1.1526,1,0.019495,0.012226,0.009394,0.050147,1.422,0,0.0889,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-07-29,276.68,285.84,274.37,278.91,2801296,3.163,0.180363,0,1.3303,1,0.00806,0.024847,0.008282,0.063217,1.5734,0,0.0187,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-01,279.2,334.69,279.2,298.83,6637764,5.9492,0.236555,0,2.2715,1,0.070308,0.120001,0.0,0.036791,2.1911,1,-0.1294,0,0,0.2076,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-08-02,304.34,327.88,301.27,304.63,5032368,3.9738,0.26902,0,0.3319,1,0.000953,0.076322,0.010078,0.008589,1.4035,1,-0.0514,0,0,0.1226,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-08-03,309.3,314.76,289.41,292.53,1820593,1.4147,0.233842,0,-1.7481,-1,0.054219,0.018665,0.010666,-0.085151,0.502,0,0.0006,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-04,298.49,308.29,290.47,302.78,1250266,0.9725,0.272242,0,0.9177,1,0.014372,0.018198,0.026488,-0.16568,0.3564,0,0.0105,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-05,306.27,309.38,289.2,296.48,2831915,2.1151,0.231655,0,-1.0605,-1,0.031965,0.01049,0.024555,-0.199643,0.8058,0,0.013,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-08,290.97,342.0,287.52,336.12,5461511,3.6994,0.367596,0,3.3754,1,0.155171,0.017494,0.010264,-0.290694,1.6654,1,-0.1077,0,0,0.0803,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-08-09,337.97,338.39,316.53,319.26,2173829,1.4503,0.291646,1,-1.6476,-1,0.05536,0.001316,0.008551,-0.301968,0.8029,1,-0.0868,0,0,0.0067,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-08-10,322.33,337.97,321.19,329.1,3288202,2.1149,0.25717,0,0.5299,1,0.021003,0.026952,0.003464,-0.312293,1.0956,1,-0.0069,0,0,0.0922,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-08-11,326.87,326.87,305.6,309.68,1156538,0.7497,0.168699,1,-1.7935,-1,0.05259,0.0,0.013175,-0.316194,0.3878,1,-0.0775,0,0,0.0068,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-08-12,311.06,317.75,301.48,310.26,961017,0.6299,0.127702,1,-0.1908,-1,0.002572,0.021563,0.028299,-0.294548,0.3685,1,-0.0509,0,0,0.0272,0.0,LOW_QUALITY_FLAG
MUTHOOTFIN,2016-08-16,311.06,312.74,302.87,307.28,810487,0.5385,0.040584,0,-0.4881,-1,0.012152,0.005467,0.014352,-0.398685,0.483,0,0.108,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-17,307.32,308.84,300.22,301.27,502318,0.34,0.002177,0,-0.74,-1,0.019686,0.005045,0.003485,-0.355431,0.3738,0,0.111,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-18,304.09,305.18,294.33,302.11,886530,0.6067,0.029929,0,-0.131,-1,0.006511,0.003608,0.025752,-0.373245,1.0268,0,0.0903,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-19,303.92,303.92,291.73,294.16,813453,0.5632,-0.029962,0,-0.9098,-1,0.032114,0.0,0.008261,-0.320841,1.0235,0,0.0936,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-22,296.1,296.77,284.37,287.69,851607,0.5959,-0.011352,0,-0.7738,-1,0.028403,0.002329,0.01154,-0.305667,1.1019,0,0.1096,0,0,0.0,0.0,NO_SIGNAL
MUTHOOTFIN,2016-08-23,288.83,289.88,280.08,281.09,748644,0.5302,-0.165147,0,-0.7834,-1,0.026798,0.003735,0.003593,-0.283195,0.9844,0,0.0799,0,0,0.0,0.0,NO_SIGNAL
