Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
PIGL,2018-05-08,24.12,29.59,24.12,29.59,20000,1.0,,0,,1,0.226783,0.0,0.0,,1.0,0,0.0052,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-09,28.79,29.59,28.79,29.59,8000,0.5714,-0.00223,0,,1,0.027787,0.0,0.0,,0.5714,0,0.1009,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-10,25.96,26.06,25.96,26.06,8000,0.6667,-0.119186,0,-0.7071,1,0.003852,0.0,0.0,,0.6667,0,0.1007,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-11,25.02,25.02,25.02,25.02,4000,0.4,-0.167488,0,0.2167,-1,0.0,0.0,0.0,,0.4,0,0.2246,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-14,25.02,25.02,25.02,25.02,0,0.0,-0.167497,0,0.7077,-1,0.0,0.0,0.0,,0.0,0,0.2197,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-15,25.02,25.02,25.02,25.02,0,0.0,-0.167057,0,0.6141,-1,0.0,0.0,0.0,,0.0,0,0.2228,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-16,25.02,25.02,25.02,25.02,0,0.0,-0.161433,0,0.5509,-1,0.0,0.0,0.0,,0.0,0,0.2242,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-17,25.02,25.02,25.02,25.02,0,0.0,-0.155996,0,0.5043,-1,0.0,0.0,0.0,,0.0,0,0.2258,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-18,25.81,25.81,25.81,25.81,4000,0.8182,-0.116343,0,1.0342,-1,0.0,0.0,0.0,,5.0,0,0.1347,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-21,25.81,25.81,25.81,25.81,0,0.0,-0.108822,0,0.3274,-1,0.0,0.0,0.0,,0.0,0,0.2367,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-22,30.78,30.78,30.68,30.68,48000,5.7391,0.077963,0,2.4008,-1,0.003249,0.0,0.0,,4.6154,0,0.0789,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-23,30.68,30.68,30.68,30.68,0,0.0,0.090286,0,-0.0769,-1,0.0,0.0,0.0,,0.0,0,0.2425,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-24,26.31,28.59,25.86,27.2,16000,1.9259,0.085808,0,-1.4181,1,0.033827,0.051103,0.016544,,1.1765,1,-0.0251,0,0,0.013,0.0446,LOW_QUALITY_FLAG
PIGL,2018-05-25,29.78,29.78,29.78,29.78,4000,0.5,0.220279,0,1.1651,-1,0.0,0.0,0.0,,0.2941,0,0.1983,0,0,0.0,0.0,NO_SIGNAL
PIGL,2018-05-28,29.63,29.63,23.83,24.22,36000,3.6486,0.025712,0,-1.9384,-1,0.182585,0.0,0.016102,,1.7308,1,-0.0113,0,0,0.0033,0.3145,LOW_QUALITY_FLAG
