Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
POONAWALLA,2016-07-07,105.75,106.62,103.68,104.26,176661,1.0,,0,,-1,0.01409,0.008345,0.005563,,1.0,0,0.1984,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-08,105.13,105.13,99.4,101.33,412041,1.3998,-0.02634,0,,-1,0.036146,0.0,0.019047,,1.3998,0,0.1641,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-11,103.59,104.84,101.95,103.2,608976,1.5254,-0.02527,0,0.7071,-1,0.003765,0.012112,0.012112,,1.5254,0,0.1594,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-12,102.67,102.96,100.22,102.05,367252,0.9387,-0.04269,0,-0.1788,-1,0.006039,0.002842,0.017932,,0.9387,0,0.1925,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-13,102.19,102.19,97.63,98.39,168266,0.4854,-0.078373,0,-0.9015,-1,0.037186,0.0,0.007724,,0.4854,0,0.182,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-14,98.06,104.36,97.48,103.78,210799,0.6506,-0.028932,0,1.4819,1,0.058332,0.005589,0.005589,,0.5964,0,0.1112,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-15,103.78,103.83,99.69,100.65,168908,0.5596,-0.056337,0,-0.7003,-1,0.03016,0.000497,0.009538,,0.5541,0,0.1921,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-18,101.38,101.47,98.15,98.68,183231,0.6384,-0.072082,0,-0.372,-1,0.026632,0.000912,0.005371,,0.834,0,0.1924,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-19,99.5,100.27,98.25,99.26,82958,0.3138,-0.068537,0,0.3774,-1,0.002412,0.007757,0.010175,,0.5095,0,0.1763,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-20,99.55,99.98,98.35,98.88,131317,0.5231,-0.076739,0,0.0584,-1,0.00673,0.004349,0.00536,,0.8448,0,0.1924,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-21,98.92,100.41,98.49,99.74,102170,0.4302,-0.061534,0,0.4653,1,0.00829,0.006717,0.004311,,0.7641,0,0.1766,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-22,99.89,104.36,97.72,102.43,408020,1.621,-0.011878,0,1.0195,1,0.025428,0.018842,0.021185,,2.2476,0,0.1333,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-25,103.88,103.88,99.55,101.76,629434,2.2418,-0.030547,0,-0.1829,-1,0.020408,0.0,0.021718,,2.3245,0,0.1402,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-26,100.99,104.69,99.21,99.89,723148,2.315,-0.026293,0,-0.5979,-1,0.010892,0.037041,0.006807,,1.8132,0,0.1321,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-27,100.08,102.7,96.93,99.45,536018,1.6378,0.002057,0,-0.0533,-1,0.006295,0.026345,0.025339,,1.1173,0,0.1605,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-28,100.81,105.07,99.89,102.26,523780,1.5425,-0.02499,0,1.1621,1,0.014383,0.027479,0.008997,,0.9286,0,0.1443,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-07-29,102.7,107.4,102.07,103.28,867656,2.3411,0.015598,0,0.4203,1,0.005648,0.039892,0.0061,,1.3226,0,0.1178,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-08-01,103.33,111.66,102.89,108.61,2386007,4.9442,0.083176,0,1.8211,1,0.051098,0.028082,0.004051,,2.3687,0,0.0418,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-08-02,109.29,109.63,104.44,104.88,390817,0.818,0.046868,0,-1.2755,-1,0.040351,0.003242,0.004195,,0.4154,0,0.1748,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-08-03,105.6,106.48,101.15,102.65,299635,0.6391,0.042859,0,-0.7655,-1,0.027936,0.008573,0.014613,,0.3353,0,0.1854,0,0,0.0,0.0,NO_SIGNAL
POONAWALLA,2016-08-04,103.86,104.54,101.39,102.55,198164,0.4346,0.025949,0,-0.018,-1,0.012613,0.006631,0.011312,0.019237,0.2392,0,0.1911,0,0,0.0,0.0,NO_SIGNAL
