Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
PRIVISCL,2016-07-07,250.47,250.59,242.27,242.91,11136,1.0,,0,,-1,0.030183,0.000494,0.002635,,1.0,0,0.18,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-08,242.27,291.47,242.27,291.47,125781,1.8373,0.201672,0,,1,0.203079,0.0,0.0,,1.8373,1,-0.0029,0,0,0.1801,0.0953,LOW_QUALITY_FLAG
PRIVISCL,2016-07-11,291.47,304.89,281.08,284.62,119052,1.3953,0.160785,0,-0.7071,-1,0.023502,0.047151,0.012438,,1.3953,0,0.1031,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-12,284.09,298.18,284.09,292.63,42335,0.5677,0.182651,0,-0.3423,1,0.030061,0.018966,0.0,,0.5677,0,0.1359,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-13,290.73,292.29,266.87,270.86,82699,1.0853,0.108439,0,-0.8973,-1,0.068345,0.005759,0.014731,,1.0853,0,0.114,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-14,282.53,283.27,261.06,274.48,67965,0.9083,0.116463,0,-0.1481,-1,0.028493,0.002696,0.048892,,0.7762,0,0.1186,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-15,280.26,281.78,264.79,278.58,50130,0.7031,0.134155,0,-0.1236,-1,0.005994,0.005456,0.049501,,0.6921,0,0.1167,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-18,276.19,286.22,268.55,270.83,17481,0.2707,0.110163,0,-0.5333,-1,0.019407,0.037034,0.008419,,0.3354,0,0.1487,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-19,265.68,272.09,263.15,266.91,13471,0.2287,0.093356,0,-0.3556,1,0.00463,0.019407,0.009479,,0.2906,0,0.1622,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-20,266.87,269.86,264.71,267.36,18502,0.3373,0.090668,0,-0.1493,1,0.001836,0.009351,0.008079,,0.5521,0,0.1755,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-21,263.97,268.25,260.54,261.36,23470,0.4513,0.074734,0,-0.4387,-1,0.009887,0.016376,0.003137,,0.9536,0,0.1924,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-22,266.87,296.99,256.07,282.53,51871,0.9977,-0.049593,0,0.8969,1,0.05868,0.05118,0.038226,,2.0782,0,0.0443,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-25,278.17,296.69,278.17,288.53,40096,0.785,0.001473,0,0.069,1,0.037243,0.028281,0.0,,1.36,0,0.1508,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-26,287.0,292.22,272.84,277.61,27026,0.5475,-0.053029,0,-0.7392,-1,0.032718,0.018803,0.017182,,0.8395,0,0.175,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-27,278.8,280.74,273.58,275.26,14926,0.3172,0.00979,0,-0.2947,-1,0.012697,0.007048,0.006103,,0.4742,0,0.2057,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-28,276.53,287.75,275.82,281.08,6835,0.1534,0.017049,0,0.1529,1,0.016454,0.02373,0.002526,,0.2428,0,0.1674,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-07-29,283.24,292.33,278.06,289.16,10681,0.251,0.031311,0,0.2647,1,0.020901,0.010963,0.017914,,0.5364,0,0.175,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-01,296.66,296.66,278.06,279.29,15009,0.3658,0.021396,0,-0.7299,-1,0.058552,0.0,0.004404,,1.0076,0,0.1425,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-02,283.27,290.73,279.55,285.03,21471,0.5368,0.060335,0,0.1732,1,0.006213,0.019998,0.013051,,1.5576,0,0.1717,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-03,289.16,291.47,279.55,282.86,17787,0.4574,0.064461,0,-0.2998,-1,0.021787,0.008167,0.011702,,1.2389,0,0.1927,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-04,287.0,288.31,230.35,283.13,25924,0.6774,0.080619,0,-0.1458,-1,0.013484,0.004627,0.186416,-0.158282,1.4264,0,0.0442,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-05,288.08,288.12,275.82,278.06,7631,0.2069,-0.030075,0,-0.4718,-1,0.034782,0.000144,0.008056,0.007621,0.4345,0,0.1819,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-08,280.85,284.62,270.6,274.14,7753,0.2177,-0.0576,0,-0.3915,-1,0.023892,0.013752,0.012913,0.018381,0.4812,0,0.1894,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-09,272.13,283.2,272.09,278.21,13477,0.3885,-0.006318,0,0.1482,1,0.022342,0.017936,0.000144,0.02535,0.9285,0,0.1823,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-10,280.22,281.56,272.13,275.56,6081,0.1813,0.007413,0,-0.3123,-1,0.01663,0.004863,0.012447,-0.04316,0.4995,0,0.1984,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-11,272.91,276.71,270.42,275.11,4000,0.1234,-0.011468,0,-0.1547,1,0.008061,0.005816,0.009051,-0.030621,0.5136,0,0.185,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-12,279.21,281.04,273.21,274.93,3178,0.1015,-0.044076,0,-0.1326,-1,0.015329,0.006656,0.006256,0.001846,0.4607,0,0.192,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-16,270.6,278.06,265.05,269.04,15717,0.5108,-0.037459,0,-0.5429,-1,0.005765,0.027728,0.014831,-0.011994,1.8511,0,0.1519,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-17,268.37,287.0,266.24,284.47,30758,0.9997,-9.8e-05,0,1.0443,1,0.059992,0.008894,0.007488,-0.043289,2.5746,0,0.1028,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-18,288.49,289.98,279.25,281.0,10807,0.359,-0.019439,0,-0.3824,-1,0.025963,0.005302,0.006228,-0.031276,0.8383,0,0.1981,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-19,285.85,289.98,281.71,289.28,10686,0.3625,0.010535,0,0.4803,1,0.011999,0.00242,0.014311,-0.055319,0.751,0,0.1813,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-22,293.64,295.2,284.8,293.34,12318,0.4257,0.062275,0,0.1503,-1,0.001022,0.005318,0.029113,0.028701,0.7671,0,0.1578,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-23,290.73,294.46,287.0,289.8,6653,0.2354,0.067153,0,-0.4057,-1,0.003199,0.012871,0.009662,0.072762,0.4671,0,0.1876,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-24,294.01,294.01,287.04,290.21,4441,0.1611,0.047872,0,-0.109,-1,0.012925,0.0,0.010923,-0.02521,0.4945,0,0.1936,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-25,292.93,292.97,281.78,289.13,6476,0.2402,0.04853,0,-0.2198,-1,0.012972,0.000138,0.025421,-0.021456,0.798,0,0.1766,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-26,290.73,290.73,283.31,283.8,2884,0.1097,0.03598,0,-0.5415,-1,0.023837,0.0,0.001727,-0.028621,0.44,0,0.1809,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-29,290.73,294.38,283.27,291.77,9442,0.3655,0.060646,0,0.5096,1,0.003577,0.008945,0.025568,-0.014378,1.5791,0,0.1544,0,0,0.0,0.0,NO_SIGNAL
PRIVISCL,2016-08-30,290.73,300.42,283.27,288.34,30253,1.1657,0.060275,0,-0.4017,-1,0.008221,0.033606,0.017583,-0.037442,2.8276,0,0.0873,0,0,0.0,0.0,NO_SIGNAL
