Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
RITES,2018-07-03,59.41,62.17,59.37,60.39,18520145,1.0,,0,,1,0.016496,0.029475,0.000662,,1.0,0,0.1497,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-04,60.49,60.67,57.41,57.83,7925442,0.5994,-0.048933,0,,-1,0.043974,0.003113,0.007263,,0.5994,0,0.1795,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-05,57.35,57.66,55.0,55.38,8161322,0.7075,-0.089428,0,0.7071,-1,0.03435,0.005598,0.006862,,0.7075,0,0.1601,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-06,54.61,57.1,54.58,55.21,4003900,0.4148,-0.094628,0,1.1547,1,0.010987,0.034233,0.000543,,0.4148,0,0.0993,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-09,55.64,56.29,54.63,54.89,2077962,0.2553,-0.107873,0,0.8028,-1,0.01348,0.011842,0.004737,,0.2553,0,0.1504,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-10,55.24,57.55,54.54,56.37,7331162,0.916,-0.089604,0,1.3675,1,0.020456,0.020933,0.012418,,1.2426,0,0.1329,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-11,56.27,58.33,56.01,56.24,3546540,0.4814,-0.092006,0,0.3436,-1,0.000533,0.036629,0.00409,,0.7059,0,0.1108,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-12,56.51,57.83,56.5,57.36,2914890,0.428,-0.078932,0,0.9919,1,0.015042,0.008194,0.000174,,0.7333,0,0.1798,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-13,57.27,57.76,55.82,56.06,1446200,0.2327,-0.101206,0,-0.5324,-1,0.021128,0.008741,0.004281,,0.4176,0,0.1916,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-16,56.13,56.4,54.33,54.54,1198197,0.2097,-0.120874,0,-0.6501,-1,0.028327,0.00495,0.00385,,0.3645,0,0.1739,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-17,54.61,55.05,53.81,54.41,1125320,0.2125,-0.129768,0,0.3285,-1,0.003662,0.008087,0.011027,,0.5499,0,0.1784,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-18,54.76,56.26,54.07,55.31,2222447,0.441,-0.061787,0,1.0206,1,0.010044,0.017176,0.012475,,1.2476,0,0.1635,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-19,55.53,56.1,54.07,55.0,1162900,0.2453,-0.02477,0,0.0847,-1,0.009544,0.010364,0.016909,,0.8126,0,0.2035,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-20,54.93,55.15,54.14,54.62,598402,0.1346,-0.031325,0,0.0261,-1,0.005644,0.004028,0.008788,,0.4744,0,0.2089,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-23,54.83,56.15,54.68,55.47,1122650,0.2658,-0.009289,0,0.9845,1,0.011672,0.012259,0.002704,,0.9008,0,0.1849,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-24,55.43,56.57,55.29,56.08,1280015,0.3168,-0.021031,0,0.7345,1,0.011727,0.008738,0.002496,,1.0021,0,0.1954,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-25,56.09,58.08,56.09,57.59,2514327,0.6365,0.008504,0,1.3407,1,0.026743,0.008508,0.0,,1.8825,0,0.1584,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-07-26,57.78,63.27,57.7,62.48,9717965,2.2756,0.07717,0,2.7336,1,0.081343,0.012644,0.00128,,3.1897,1,-0.0,0,0,0.07,0.0,LOW_QUALITY_FLAG
RITES,2018-07-27,63.29,74.97,61.64,74.11,26672655,4.8944,0.27564,0,3.3195,1,0.170959,0.011604,0.022264,,3.2285,1,-0.11,0,0,0.03,0.0,LOW_QUALITY_FLAG
RITES,2018-07-30,73.76,79.67,70.71,71.72,22750125,3.6028,0.259406,0,-0.8203,-1,0.027657,0.082404,0.014083,,1.8074,1,-0.0226,0,0,0.0033,0.0,LOW_QUALITY_FLAG
RITES,2018-07-31,71.6,74.21,68.75,69.92,10103845,1.5556,0.239938,0,-0.658,-1,0.023464,0.037328,0.016733,0.088983,0.704,0,0.0385,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-01,70.15,72.78,69.87,70.9,4529162,0.7071,0.235813,0,0.1055,1,0.010691,0.026516,0.003949,0.005109,0.307,0,0.1034,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-02,71.37,72.74,70.29,72.01,3413787,0.544,0.263893,0,0.1354,1,0.008967,0.010137,0.014998,-0.14776,0.253,0,0.0981,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-03,72.5,79.81,72.42,78.89,14184552,2.1475,0.360865,0,1.6282,1,0.088138,0.011662,0.001014,-0.364409,1.2899,1,-0.0262,0,0,0.0067,0.0,LOW_QUALITY_FLAG
RITES,2018-08-06,79.67,81.34,77.09,78.79,6329132,0.9598,0.348491,0,-0.2716,-1,0.011046,0.021196,0.021576,-0.336838,0.8207,0,0.0297,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-07,78.69,79.25,76.18,77.23,2253385,0.3506,0.321959,0,-0.6261,-1,0.018554,0.007251,0.013596,-0.265507,0.3669,0,0.0731,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-08,77.29,78.89,76.73,77.49,2003317,0.3198,0.292877,0,-0.1517,1,0.002588,0.018067,0.007227,-0.284897,0.3554,0,0.0685,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-09,77.51,78.33,76.04,76.98,1866975,0.3057,0.202748,0,-0.3509,-1,0.006838,0.010652,0.012211,-0.273032,0.3504,0,0.0952,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-10,76.73,77.0,72.88,73.35,1326272,0.2232,-0.017011,0,-1.1561,-1,0.044051,0.003681,0.006408,-0.378644,0.4813,0,0.0961,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-13,71.97,77.35,71.45,75.68,3525725,0.6016,0.05711,0,0.4879,1,0.051549,0.022067,0.006871,-0.427077,1.6062,0,0.047,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-14,76.34,77.77,75.23,76.16,1707302,0.2981,0.084826,0,-0.0516,-1,0.002358,0.018776,0.012211,-0.413597,0.8185,0,0.099,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-16,75.89,81.17,74.81,79.95,4889525,0.8577,0.124044,0,0.8623,1,0.053498,0.01526,0.013508,-0.413743,1.836,0,0.0341,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-17,82.19,91.29,81.46,86.71,30331785,4.7047,0.176468,0,1.5298,1,0.054995,0.05282,0.008419,-0.450149,3.6299,1,-0.0856,0,0,0.08,0.0,LOW_QUALITY_FLAG
RITES,2018-08-20,87.09,89.3,86.11,86.78,10075430,1.5373,0.084997,0,-0.2415,-1,0.00356,0.025467,0.007721,-0.405701,0.997,0,0.0762,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-21,86.73,90.13,86.12,87.72,9026325,1.3626,0.097754,0,-0.0254,1,0.011415,0.027474,0.006954,-0.422304,0.8055,0,0.0773,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-23,87.99,89.18,86.87,88.2,3624075,0.554,0.122207,0,-0.1405,1,0.002387,0.011111,0.012698,-0.414665,0.3127,0,0.0949,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-24,87.89,89.11,86.6,87.09,2356947,0.3667,0.113786,0,-0.5313,-1,0.009102,0.014008,0.005626,-0.422936,0.2127,0,0.0897,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-27,87.76,89.97,81.52,82.92,13497305,2.0407,0.062625,0,-1.2739,-1,0.05515,0.026652,0.016884,-0.370854,1.7493,0,0.0052,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-28,83.73,85.13,81.8,82.16,2770387,0.4252,0.093042,0,-0.4086,-1,0.018751,0.01704,0.004382,-0.16186,0.4429,0,0.1695,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-29,82.06,83.03,79.36,80.01,2196195,0.3427,0.032625,0,-0.7739,-1,0.024982,0.012123,0.008124,-0.203482,0.4492,0,0.1732,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-30,80.34,82.16,78.52,80.62,2500462,0.3961,0.042186,0,-0.0115,1,0.003485,0.019102,0.022575,-0.238973,0.5361,0,0.1182,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-08-31,81.13,81.83,79.56,79.98,1187752,0.1919,-0.02021,0,-0.3621,-1,0.014175,0.008752,0.005251,-0.209707,0.2681,0,0.1699,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-03,80.37,80.79,77.98,78.38,1250877,0.2059,-0.108838,0,-0.6303,-1,0.02476,0.005359,0.005103,-0.143212,0.6314,0,0.1799,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-04,78.41,78.94,72.81,73.96,2377142,0.3968,-0.153619,0,-1.4238,-1,0.056753,0.007166,0.015549,-0.037313,1.2495,0,0.0857,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-05,73.96,75.47,68.61,70.6,3420325,0.5764,-0.20446,0,-1.1408,-1,0.04543,0.021388,0.028187,-0.013663,1.5928,0,0.0358,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-06,71.67,74.74,70.6,74.07,3596320,0.6113,-0.164982,0,0.9998,1,0.033487,0.009045,0.014446,-0.040329,1.5197,0,0.1091,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-07,74.18,74.31,72.22,73.09,1360377,0.2351,-0.172368,0,-0.4215,-1,0.014694,0.001779,0.011903,-0.029365,0.5666,0,0.1728,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-10,74.42,77.01,74.42,75.48,3811667,0.6634,-0.06709,0,0.6292,1,0.014243,0.02027,0.0,-0.017514,1.3084,0,0.1737,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-11,76.81,77.02,73.35,73.64,1299167,0.2297,-0.065154,0,-0.6862,-1,0.041271,0.002852,0.003938,-0.00828,0.4816,0,0.1797,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-12,73.64,74.06,69.12,71.53,2278432,0.4078,-0.078909,0,-0.7732,-1,0.028653,0.005872,0.033692,0.068009,0.9227,0,0.1281,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-14,72.37,74.02,72.08,72.76,1240197,0.2254,-0.083407,0,0.2992,1,0.005389,0.017317,0.003986,0.026957,0.6207,0,0.1808,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-17,73.25,73.28,70.53,71.49,1730145,0.3186,-0.080671,0,-0.515,-1,0.024027,0.00042,0.013428,0.083925,0.835,0,0.1796,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-18,71.83,72.14,69.5,69.87,1152152,0.2154,-0.083042,0,-0.6306,-1,0.027287,0.004437,0.005296,0.119886,0.7481,0,0.1792,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-19,73.18,73.89,70.25,71.58,2728532,0.5147,-0.003583,0,0.4947,-1,0.021864,0.009919,0.018581,0.147182,1.4944,0,0.149,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-21,72.22,72.22,62.07,67.78,2181577,0.416,-0.006881,0,-1.3438,-1,0.061479,0.0,0.084243,0.174889,1.2076,1,-0.0055,0,0,0.0,0.0,LOW_QUALITY_FLAG
RITES,2018-09-24,67.99,68.26,64.18,64.62,1089182,0.2107,-0.08166,0,-1.163,-1,0.049566,0.004178,0.006809,0.155472,0.6132,0,0.12,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-25,64.38,67.61,64.25,66.77,1817735,0.3557,-0.039755,0,0.7357,1,0.037123,0.012581,0.001947,0.167299,1.0133,0,0.1403,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-26,67.27,71.77,67.01,71.24,2258685,0.4462,-0.017304,0,1.4987,1,0.059016,0.00744,0.00365,0.160467,1.1209,0,0.0973,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-27,71.19,73.87,70.08,70.63,2250742,0.4489,-0.007759,0,-0.289,-1,0.007866,0.037944,0.007787,0.127064,1.1725,0,0.1257,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-09-28,70.53,70.63,67.95,69.43,1427360,0.2881,0.015495,0,-0.4853,-1,0.015596,0.00144,0.021316,0.156577,0.807,0,0.1534,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-01,68.84,70.48,66.31,69.7,1104280,0.2258,0.007845,0,0.017,1,0.012493,0.011191,0.036298,0.214064,0.6233,0,0.0992,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-03,68.57,71.52,68.49,69.91,823102,0.1706,0.030008,0,-0.0042,1,0.019542,0.02303,0.001144,0.172934,0.5233,0,0.1365,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-04,68.56,69.63,67.43,68.11,598872,0.1259,0.042087,0,-0.6996,-1,0.006564,0.01571,0.009984,0.087092,0.4826,0,0.1816,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-05,68.11,68.94,63.73,64.35,972577,0.207,-0.014861,0,-1.3899,-1,0.055205,0.012898,0.009635,0.041021,0.9871,0,0.1382,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-08,64.61,67.12,64.35,65.54,1049217,0.226,0.045534,0,0.4033,1,0.014394,0.024107,0.003967,0.015644,1.1535,0,0.1738,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-09,66.09,66.16,63.49,64.21,577480,0.126,0.060636,0,-0.5432,-1,0.028446,0.00109,0.011213,0.054351,0.718,0,0.1702,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-10,64.32,68.5,64.21,67.57,1096460,0.2421,0.073375,0,1.2251,1,0.050529,0.013764,0.001628,0.042052,1.2766,0,0.129,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-11,64.68,67.01,64.33,65.83,645545,0.1443,0.000998,0,-0.6864,1,0.01778,0.017925,0.005317,0.094373,0.7435,0,0.1506,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-12,66.55,69.09,66.55,68.5,758632,0.1717,0.019982,0,0.9368,1,0.029301,0.008613,0.0,0.13429,0.919,0,0.1539,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-15,68.5,71.89,68.5,70.74,1198660,0.2741,0.061562,0,0.7344,1,0.032701,0.016257,0.0,0.090385,1.4014,0,0.1446,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-16,70.98,72.51,70.25,71.05,689660,0.1596,0.062304,0,0.0324,1,0.000986,0.020549,0.010274,0.130027,0.7857,0,0.1405,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-17,71.1,71.6,67.71,67.95,532790,0.1248,0.014471,0,-1.1469,-1,0.044304,0.007358,0.003532,0.055141,0.6964,0,0.1577,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-19,67.57,68.09,65.5,66.61,420552,0.0998,0.010947,0,-0.5465,-1,0.014207,0.007807,0.016664,0.058507,0.5841,0,0.1899,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-22,66.86,68.16,65.28,67.67,604640,0.1451,0.061043,0,0.3426,1,0.012115,0.007241,0.023349,0.042507,0.8772,0,0.1452,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-23,66.86,68.56,66.16,67.17,429960,0.1044,0.047833,0,-0.2424,1,0.004637,0.020694,0.010421,-0.041467,0.8029,0,0.173,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-24,67.71,68.84,66.91,67.75,453487,0.1115,0.064537,0,0.1626,1,0.000591,0.016089,0.011808,-0.094883,0.9287,0,0.1638,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-25,66.84,67.65,66.51,67.16,300152,0.0747,0.028707,0,-0.2779,1,0.004788,0.007296,0.004914,-0.017467,0.6794,0,0.1907,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-26,67.29,68.22,66.02,67.2,383270,0.0965,0.042874,0,-0.0388,-1,0.001337,0.013839,0.01756,0.065567,0.8825,0,0.1741,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-29,67.2,71.32,67.15,70.9,824397,0.2096,0.058596,0,1.3437,1,0.05506,0.005924,0.000705,0.043909,1.7238,0,0.1104,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-30,70.28,73.65,70.14,71.55,591692,0.152,0.044,0,0.1632,1,0.018071,0.02935,0.001957,0.034673,1.1588,0,0.143,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-10-31,71.38,72.25,70.09,71.52,533795,0.1386,0.027618,0,-0.0842,1,0.001961,0.010207,0.018037,0.029534,1.0135,0,0.1642,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-01,71.55,75.05,70.93,74.48,879980,0.2307,0.100786,0,0.9915,1,0.04095,0.007653,0.008324,0.043624,1.3693,0,0.1367,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-02,75.05,75.84,72.11,73.03,478692,0.1269,0.070113,0,-0.5876,-1,0.026915,0.010817,0.012598,0.01452,0.7234,0,0.1803,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-05,72.51,75.05,71.76,74.43,517062,0.1384,0.070459,0,0.4192,1,0.026479,0.00833,0.010077,-0.106855,0.8614,0,0.1677,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-06,74.44,76.16,74.07,74.85,340942,0.0923,0.073312,0,0.0635,1,0.005508,0.017502,0.004943,-0.095929,0.6198,0,0.1793,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-07,75.37,76.57,75.22,76.29,317132,0.0868,0.085101,0,0.4199,1,0.012206,0.00367,0.001966,-0.121438,0.6258,0,0.1666,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-09,76.17,82.03,75.62,80.11,1600947,0.4408,0.13536,0,1.2205,1,0.051726,0.023967,0.006866,-0.109995,2.4594,0,0.0555,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-12,80.41,80.7,78.36,79.25,486175,0.1352,0.124387,0,-0.3867,-1,0.014426,0.003659,0.01123,-0.118688,0.7452,0,0.1686,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-13,79.28,87.74,77.64,85.61,8031335,2.2027,0.162029,0,1.9762,1,0.079844,0.02488,0.019157,-0.099573,3.7263,1,-0.048,0,0,0.0333,0.0,LOW_QUALITY_FLAG
RITES,2018-11-14,88.59,90.73,86.47,88.9,6190860,1.6849,0.18676,0,0.8739,1,0.003499,0.020585,0.023847,-0.069006,1.8618,0,0.0721,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-15,86.25,87.42,83.23,83.88,1627170,0.4456,0.145345,0,-1.5788,-1,0.027478,0.013948,0.007749,-0.081088,0.4536,0,0.123,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-16,82.95,85.63,80.49,83.17,1620085,0.4463,0.088732,0,-0.3309,1,0.002652,0.029578,0.029578,-0.185791,0.4511,0,0.0631,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-19,83.23,83.51,79.56,80.01,1155425,0.3207,0.079228,0,-1.088,-1,0.038688,0.0035,0.005624,-0.191581,0.3102,0,0.1332,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-20,79.77,80.34,75.85,76.37,997317,0.2789,0.021776,0,-1.2653,-1,0.042623,0.007464,0.006809,-0.236496,0.4302,0,0.1309,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-21,76.48,82.3,76.48,78.64,2559405,0.718,0.051696,0,0.6824,1,0.028243,0.046541,0.0,-0.286171,1.6078,0,0.0564,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-22,79.0,79.39,76.63,77.05,839730,0.2375,0.02565,0,-0.6136,-1,0.024684,0.005062,0.005451,-0.218695,0.5854,0,0.1792,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-26,77.27,80.41,75.43,76.1,1189372,0.3386,-0.047672,0,-0.4051,-1,0.015142,0.041261,0.008804,-0.218122,0.8822,0,0.0962,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-27,76.03,77.73,76.03,77.25,714765,0.2052,-0.036919,0,0.3133,1,0.016046,0.006214,0.0,-0.184049,0.5672,0,0.1676,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-28,77.53,77.8,75.07,75.5,617455,0.1787,-0.134304,0,-0.6774,-1,0.026183,0.003576,0.005695,-0.076272,0.5214,0,0.1767,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-29,76.17,77.27,75.12,75.47,478725,0.1398,-0.18582,0,-0.0884,-1,0.00919,0.014575,0.004638,-0.095097,0.6233,0,0.1642,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-11-30,75.58,76.99,74.76,75.23,454217,0.1338,-0.130374,0,-0.1616,-1,0.004631,0.018743,0.006248,-0.075495,0.6574,0,0.166,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-03,75.69,76.89,75.44,75.75,457150,0.1358,-0.109472,0,0.1074,1,0.000793,0.01505,0.0033,-0.021651,0.8396,0,0.171,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-04,75.55,79.69,75.09,77.08,2228680,0.6642,-0.04501,0,0.3909,1,0.020251,0.033861,0.005968,-0.057657,2.6305,0,0.0882,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-05,76.46,77.53,75.36,75.93,524435,0.1576,-0.016429,0,-0.4815,-1,0.006932,0.014092,0.007507,-0.014458,0.6329,0,0.2095,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-06,75.53,77.16,75.5,76.44,821922,0.2487,-0.02785,0,0.1033,1,0.012048,0.009419,0.000392,-0.00839,0.916,0,0.1989,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-07,76.6,77.58,76.27,77.16,645032,0.1967,-0.013857,0,0.1759,1,0.007311,0.005443,0.004277,0.014251,0.6895,0,0.2024,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-10,75.61,76.17,73.68,74.19,316437,0.0973,-0.011149,0,-1.1205,-1,0.018781,0.007548,0.006874,0.053304,0.3488,0,0.1879,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-11,73.35,77.22,73.09,76.51,682007,0.2113,0.004586,0,0.7766,1,0.043081,0.00928,0.003398,0.027179,1.1405,0,0.163,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-12,76.72,78.95,76.72,76.96,721960,0.2253,0.019306,0,0.0824,1,0.003128,0.025858,0.0,0.114605,1.1325,0,0.1418,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-13,77.88,80.12,76.98,77.3,1052380,0.3304,0.0312,0,0.042,-1,0.007447,0.028978,0.00414,0.141734,1.5396,0,0.1238,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-14,77.29,78.08,75.36,75.6,579780,0.1834,0.012762,0,-0.682,-1,0.021866,0.01045,0.003175,0.078495,0.8647,0,0.1986,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-17,76.12,83.2,76.1,81.25,3426597,1.0829,0.073557,0,1.9489,1,0.067394,0.024,0.000246,0.118246,2.651,0,0.0259,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-18,82.38,83.51,80.83,81.42,2564032,0.8117,0.054913,0,-0.0334,-1,0.011653,0.013879,0.007246,0.046552,1.5363,0,0.1779,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-19,81.59,81.61,79.36,80.04,719672,0.2294,0.039545,0,-0.5521,-1,0.018997,0.00025,0.008496,-0.008035,0.4313,0,0.2043,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-20,79.56,83.79,79.19,83.17,1910715,0.611,0.0565,0,0.9807,1,0.045375,0.007455,0.004449,0.018334,1.0383,0,0.1534,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-21,83.23,83.99,79.56,81.18,2955375,0.9456,0.049936,0,-0.7477,-1,0.024631,0.009362,0.019956,0.020208,1.2765,0,0.1698,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-24,80.49,82.04,79.86,80.34,814435,0.2622,0.067301,0,-0.3717,-1,0.001864,0.019293,0.005975,-0.066916,0.4543,0,0.1779,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-26,79.84,80.62,78.18,78.94,1051202,0.3404,0.018169,0,-0.5643,-1,0.011273,0.009881,0.009628,-0.052336,0.7054,0,0.2167,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-27,79.44,80.06,78.92,79.11,623837,0.2034,0.02765,0,-0.021,-1,0.004154,0.007837,0.002402,-0.059434,0.4241,0,0.2056,0,0,0.0,0.0,NO_SIGNAL
RITES,2018-12-28,79.21,80.59,78.92,79.48,499662,0.164,0.025502,0,0.0491,1,0.003409,0.013966,0.003649,-0.097501,0.4203,0,0.1831,0,0,0.0,0.0,NO_SIGNAL
