Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
RTNPOWER,2016-06-27,10.6,10.8,10.5,10.75,1555954,1.0,,0,,1,0.014151,0.004651,0.009302,,1.0,0,0.1659,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-06-28,10.65,11.1,10.65,11.0,1694170,1.0425,0.019161,0,,1,0.032864,0.009091,0.0,,1.0425,0,0.1635,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-06-29,11.05,11.4,11.05,11.25,1983068,1.1368,0.032519,0,-0.7071,1,0.0181,0.013333,0.0,,1.1368,0,0.1449,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-06-30,11.2,11.6,11.2,11.35,3429913,1.5837,0.0312,0,-1.1541,1,0.013393,0.022026,0.0,,1.5837,0,0.1226,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-01,11.4,11.5,11.3,11.4,1385056,0.6892,0.030706,0,-1.0831,-1,0.0,0.008772,0.008772,,0.6892,0,0.2055,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-04,11.5,11.75,11.35,11.4,2352531,1.1383,0.025621,0,-1.114,-1,0.008696,0.02193,0.004386,,1.0846,0,0.1999,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-05,11.5,12.1,11.3,11.9,5760320,2.2203,0.073632,0,1.6498,1,0.034783,0.016807,0.016807,,1.9316,0,0.1215,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-07,11.85,12.3,11.85,12.0,5599158,1.8852,0.081801,0,-0.4979,1,0.012658,0.025,0.0,,1.5111,0,0.1233,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-08,12.1,12.2,11.7,11.75,2108354,0.7335,0.062731,0,-1.6837,-1,0.028926,0.008511,0.004255,,0.6127,0,0.1862,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-11,11.95,12.0,11.25,11.4,5357074,1.7156,0.015559,0,-1.6229,-1,0.046025,0.004386,0.013158,,1.2648,0,0.1761,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-12,11.5,11.95,11.35,11.7,4834093,1.4746,0.035598,0,0.7954,1,0.017391,0.021368,0.012821,,1.0216,0,0.1641,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-13,11.8,11.8,11.05,11.2,4492539,1.3294,-0.026116,0,-1.7926,-1,0.050847,0.0,0.013393,,1.0032,0,0.1743,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-14,11.15,11.5,11.15,11.25,1519750,0.4696,-0.040351,0,0.0154,1,0.008969,0.022222,0.0,,0.415,0,0.1501,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-15,11.4,11.4,10.9,10.95,1706455,0.5457,-0.062944,0,-1.1217,-1,0.039474,0.0,0.004566,,0.4764,0,0.2026,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-18,11.1,11.25,11.0,11.1,2431804,0.7894,-0.044923,0,0.4538,-1,0.0,0.013514,0.009009,,0.8114,0,0.2105,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-19,11.2,11.2,10.75,10.8,1865407,0.6208,-0.069198,0,-1.1124,-1,0.035714,0.0,0.00463,,0.7762,0,0.2098,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-20,11.0,11.2,10.75,11.05,1921655,0.6534,-0.098435,0,0.8578,1,0.004545,0.013575,0.022624,,1.0173,0,0.1533,0,0,0.0,0.0,NO_SIGNAL
RTNPOWER,2016-07-21,11.0,11.3,10.9,11.05,1778141,0.6182,-0.100096,0,-0.0792,1,0.004545,0.022624,0.00905,,0.9162,0,0.149,0,0,0.0,0.0,NO_SIGNAL
