Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
RVNL,2019-04-11,15.67,16.33,15.38,15.71,89144982,1.0,,0,,1,0.002553,0.039465,0.01846,,1.0,0,0.1545,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-12,15.91,16.41,15.83,16.29,29799546,0.5011,0.032888,0,,1,0.023884,0.007366,0.004911,,0.5011,0,0.2114,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-15,16.49,19.54,16.41,19.5,80684771,1.2125,0.225913,0,0.7071,1,0.182535,0.002051,0.004103,,1.2125,0,0.0529,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-16,20.2,22.22,19.96,21.11,98193853,1.3188,0.300197,0,-0.2782,1,0.04505,0.052582,0.011369,,1.3188,0,0.0621,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-18,21.73,22.14,20.74,21.56,49134384,0.7081,0.324428,0,-0.795,-1,0.007823,0.019017,0.038033,,0.7081,0,0.1057,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-22,21.65,21.77,20.04,20.28,27638075,0.4427,0.278532,0,-1.2218,-1,0.063279,0.005917,0.011834,,0.4841,0,0.1242,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-23,20.2,20.33,18.97,19.17,23479783,0.4129,0.225394,0,-0.9632,-1,0.05099,0.006781,0.010433,,0.4206,0,0.16,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-24,19.34,19.96,19.25,19.54,10435909,0.2044,0.23172,0,-0.1763,1,0.010341,0.021494,0.004606,,0.2498,0,0.1444,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-25,19.75,19.91,19.13,19.38,9656994,0.2078,0.230725,0,-0.4557,-1,0.018734,0.008256,0.0129,,0.4012,0,0.1942,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-26,19.38,19.5,18.92,19.01,7087998,0.1667,0.201939,0,-0.5469,-1,0.019092,0.006312,0.004734,,0.4526,0,0.2084,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-04-30,19.01,19.01,17.48,18.18,12865523,0.323,0.158831,0,-0.7878,-1,0.043661,0.0,0.038504,,1.0126,0,0.1276,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-05-02,18.18,20.16,18.18,19.71,21855261,0.5702,0.212093,0,0.8005,1,0.084158,0.022831,0.0,,1.7653,0,0.1032,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-05-03,19.96,20.08,19.05,19.09,7641982,0.2125,-0.011322,0,-0.6765,-1,0.043587,0.006286,0.002095,,0.6464,0,0.2219,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-05-06,18.76,19.05,18.31,18.72,4701329,0.1394,-0.095255,0,-0.4899,-1,0.002132,0.015491,0.021902,,0.4341,0,0.1891,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-05-07,19.13,19.42,18.72,18.8,4706773,0.148,-0.10656,0,-0.155,-1,0.01725,0.015426,0.004255,,0.4546,0,0.2233,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-05-08,18.72,18.97,18.55,18.64,4409931,0.1466,-0.057134,0,-0.328,-1,0.004274,0.013412,0.004828,,0.5091,0,0.2395,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-05-09,18.55,19.13,18.55,18.8,5263687,0.1839,0.009663,0,-0.0701,1,0.013477,0.017553,0.0,,0.9848,0,0.2071,0,0,0.0,0.0,NO_SIGNAL
RVNL,2019-05-10,18.97,19.05,18.64,18.72,3917012,0.1437,0.001108,0,-0.2608,-1,0.013179,0.004274,0.004274,,0.8516,0,0.2518,0,0,0.0,0.0,NO_SIGNAL
